uid,Upi,Fleng,Fwidth
1,1,564.0,541.0
2,2,2100.0,334.0
3,3,2090.0,304.0
4,4,505.0,304.0
5,5,175.0,525.0
6,6,232.0,515.0
7,7,878.0,369.0
8,8,608.0,877.5
9,9,284.0,323.0
10,10,1576.0,550.0
11,11,505.0,304.0
12,12,483.0,638.5
13,13,713.5,409.0
14,14,740.5,348.0
15,15,417.0,293.0
16,16,654.0,320.0
17,17,712.0,248.5
18,18,393.0,361.0
19,19,2000.0,362.0
20,20,320.0,158.0
21,21,1884.0,303.0
22,22,625.0,80.0
23,23,773.0,70.0
24,24,1368.0,60.0
25,25,832.0,60.0
26,26,150.0,276.0
27,27,440.0,120.0
28,28,944.0,70.0
29,29,643.0,60.0
30,30,514.0,70.0
31,31,1004.0,70.0
32,32,780.0,551.0
33,33,1176.0,320.0
34,34,878.0,363.0
35,35,509.0,331.0
36,36,902.0,330.0
37,37,300.0,330.0
38,38,1485.0,322.0
39,39,654.0,320.0
40,40,664.0,311.0
41,41,2405.0,554.0
42,42,255.0,328.0
43,43,2360.0,444.0
44,44,382.0,321.0
45,45,310.7,293.0
46,46,309.0,300.0
47,47,700.0,304.0
48,48,364.0,303.0
49,49,2355.0,327.0
50,50,827.0,563.0
51,51,326.0,321.0
52,52,1401.0,350.0
53,53,2118.0,555.0
54,54,1626.0,329.0
55,55,2398.0,510.0
56,56,1270.0,310.0
57,57,932.0,354.0
58,58,384.0,373.0
59,59,384.0,373.0
60,60,384.0,373.0
61,61,323.0,361.0
62,62,399.5,290.0
63,63,953.0,301.0
64,64,390.0,301.0
65,65,518.0,554.0
66,66,518.0,560.0
67,67,832.0,553.0
68,68,415.0,233.0
69,69,820.0,751.0
70,70,182.0,519.0
71,71,404.0,303.0
72,72,1284.0,329.0
73,73,435.0,544.0
74,74,1164.0,563.0
75,75,528.0,344.0
76,76,480.0,364.0
77,77,1018.0,371.0
78,78,1018.0,463.0
79,79,590.0,544.0
80,80,2321.0,334.0
81,81,2397.0,812.0
82,82,731.0,248.0
83,83,862.0,279.0
84,84,364.0,311.0
85,85,828.0,443.0
86,86,1686.0,294.0
87,87,313.5,549.5
88,88,326.0,321.0
89,89,450.0,259.0
90,90,874.0,553.0
91,91,1760.0,280.0
92,92,407.0,551.0
93,93,327.0,260.0
94,94,2220.0,474.0
95,95,874.0,553.0
96,96,726.0,473.0
97,97,417.8,433.0
98,98,182.0,653.0
99,99,1335.0,329.0
100,100,878.0,323.0
101,101,932.0,405.0
102,102,402.0,543.0
103,103,767.7,308.0
104,104,812.5,540.0
105,105,1538.0,675.0
106,106,262.0,327.0
107,107,1792.0,363.0
108,108,430.0,361.0
109,109,450.0,544.0
110,110,1114.0,264.0
111,111,717.5,458.5
112,112,914.0,353.0
113,113,743.0,280.0
114,114,900.0,360.0
115,115,1089.0,573.0
116,116,925.0,324.0
117,117,310.7,364.5
118,118,720.0,279.0
119,119,1440.0,1150.0
120,120,855.5,310.0
121,121,2340.0,305.0
122,122,1570.0,334.0
123,123,417.0,549.0
124,124,218.5,290.0
125,125,826.0,353.0
126,126,216.5,375.0
127,127,982.0,367.0
128,128,182.0,300.0
129,129,776.0,543.0
130,130,777.0,543.0
131,131,776.0,393.0
132,132,1534.0,541.0
133,133,844.0,333.0
134,134,350.0,334.0
135,135,953.0,548.0
136,136,509.0,331.0
137,137,1169.0,317.0
138,138,862.0,279.0
139,139,2009.0,323.0
140,140,415.0,288.0
141,141,1686.0,294.0
142,142,1284.0,538.0
143,143,150.5,507.0
144,144,2347.0,560.0
145,145,2320.0,554.0
146,146,1792.0,362.0
147,147,421.0,363.0
148,148,440.0,574.0
149,149,417.0,311.0
150,150,379.0,361.0
151,151,666.0,330.0
152,152,2090.0,363.0
153,153,789.0,273.0
154,154,643.0,273.0
155,155,630.5,359.0
156,156,844.0,333.0
157,157,1210.0,330.0
158,158,421.0,363.0
159,159,878.0,369.0
160,160,714.0,263.0
161,161,1259.0,219.0
162,162,932.0,427.0
163,163,670.0,478.0
164,164,299.5,795.0
165,165,182.0,664.0
166,166,914.0,323.0
167,167,1495.0,330.0
168,168,863.0,280.0
169,169,1458.0,299.0
170,170,1395.0,1062.0
171,171,689.0,280.0
172,172,2347.0,544.0
173,173,402.0,543.0
174,174,895.0,603.0
175,175,403.0,531.0
176,176,347.0,581.0
177,177,2267.0,324.0
178,178,282.0,310.0
179,179,1965.0,354.0
180,180,320.5,311.0
181,181,564.0,559.0
182,182,844.0,333.0
183,183,223.5,358.5
184,184,1190.0,732.0
185,185,2295.0,364.0
186,186,586.0,293.0
187,187,286.0,513.0
188,188,1600.0,330.0
189,189,440.0,574.0
190,190,723.5,340.0
191,191,750.5,339.0
192,192,1485.0,322.0
193,193,813.0,320.0
194,194,310.7,789.5
195,195,899.5,322.0
196,196,474.0,411.0
197,197,880.1,543.0
198,198,300.0,355.0
199,199,2382.0,535.0
200,200,1847.0,310.0
201,201,849.0,523.0
202,202,1334.5,605.0
203,203,163.5,517.0
204,204,347.0,581.0
205,205,870.0,300.0
206,206,364.0,573.0
207,207,441.0,303.0
208,208,664.0,291.0
209,209,450.0,544.0
210,210,2005.0,539.0
211,211,430.0,361.0
212,212,258.0,245.0
213,213,1506.0,550.0
214,214,976.0,220.0
215,215,865.0,310.0
216,216,795.0,311.0
217,217,335.0,301.0
218,218,393.0,361.0
219,219,164.5,312.0
220,220,370.0,574.0
221,221,363.0,541.0
222,222,382.0,321.0
223,223,1495.0,330.0
224,224,373.0,350.0
225,225,679.0,313.0
226,226,1457.0,450.0
227,227,1226.0,323.0
228,228,683.0,861.5
229,229,175.5,319.0
230,230,417.0,363.0
231,231,480.0,364.0
232,232,211.5,299.0
233,233,826.0,353.0
234,234,417.0,549.0
235,235,752.0,329.0
236,236,2090.0,304.0
237,237,1004.0,453.0
238,238,650.0,655.0
239,239,430.0,361.0
240,240,440.0,324.0
241,241,509.0,251.0
242,242,1445.0,420.0
243,243,813.0,320.0
244,244,828.4,309.0
245,245,1089.0,573.0
246,246,791.0,321.0
247,247,670.0,324.0
248,248,828.0,534.0
249,249,791.0,321.0
250,250,782.0,329.0
251,251,313.5,293.0
252,252,310.7,293.0
253,253,2370.0,289.0
254,254,2271.0,294.0
255,255,463.0,333.0
256,256,1965.0,400.0
257,257,399.5,1113.5
258,258,164.0,278.0
259,259,1792.0,363.0
260,260,1565.0,500.0
261,261,713.5,613.5
262,262,717.5,458.5
263,263,723.5,410.0
264,264,214.0,330.0
265,265,514.0,332.0
266,266,2352.0,524.0
267,267,814.0,531.0
268,268,233.0,448.5
269,269,404.0,303.0
270,270,300.0,300.0
271,271,1018.0,463.0
272,272,826.0,353.0
273,273,982.0,869.0
274,274,2380.0,274.0
275,275,310.7,549.5
276,276,1064.0,309.0
277,277,1224.0,308.0
278,278,804.0,303.0
279,279,560.5,341.0
280,280,850.0,280.0
281,281,455.5,251.0
282,282,1720.0,261.0
283,283,2320.0,554.0
284,284,407.0,551.0
285,285,869.0,299.0
286,286,425.5,279.0
287,287,650.0,257.0
288,288,1210.0,570.0
289,289,882.0,369.0
290,290,1349.5,280.0
291,291,387.0,311.0
292,292,812.5,540.0
293,293,511.0,281.0
294,294,430.0,361.0
295,295,284.0,312.0
296,296,823.0,353.0
297,297,363.0,541.0
298,298,370.0,362.0
299,299,781.9,323.0
300,300,518.0,554.0
301,301,982.0,327.0
302,302,494.0,281.0
303,303,2220.0,294.0
304,304,1525.0,355.0
305,305,2100.0,304.0
306,306,545.0,301.0
307,307,364.0,303.0
308,308,558.5,307.0
309,309,595.0,327.0
310,310,384.0,294.0
311,311,1014.0,323.0
312,312,1482.0,352.0
313,313,415.0,233.0
314,314,1339.0,304.0
315,315,622.5,419.0
316,316,384.0,373.0
317,317,379.0,361.0
318,318,1089.0,573.0
319,319,363.0,541.0
320,320,310.7,559.5
321,321,310.7,293.0
322,322,390.0,301.0
323,323,804.0,308.0
324,324,804.0,303.0
325,325,720.0,291.0
326,326,1600.0,310.0
327,327,768.0,250.0
328,328,500.0,380.0
329,329,680.0,320.0
330,330,1403.0,380.0
331,331,393.0,361.0
332,332,1759.5,263.0
333,333,263.0,280.0
334,334,914.0,353.0
335,335,727.0,291.0
336,336,917.0,314.0
337,337,375.0,480.0
338,338,415.0,233.0
339,339,424.5,540.0
340,340,2400.0,580.0
341,341,448.0,309.0
342,342,799.0,363.0
343,343,884.0,543.0
344,344,249.5,299.0
345,345,878.0,351.0
346,346,884.0,543.0
347,347,284.0,323.0
348,348,976.0,220.0
349,349,1626.0,329.0
350,350,499.0,220.0
351,351,1209.0,301.0
352,352,393.0,361.0
353,353,300.0,300.0
354,354,1058.0,351.0
355,355,2347.0,234.0
356,356,373.0,350.0
357,357,2190.0,304.0
358,358,425.0,310.0
359,359,549.0,336.0
360,360,421.0,343.0
361,361,642.0,330.0
362,362,422.0,303.0
363,363,417.0,363.0
364,364,1140.0,569.0
365,365,549.0,336.0
366,366,421.0,531.0
367,367,831.0,316.0
368,368,895.0,603.0
369,369,900.0,989.0
370,370,2326.0,544.0
371,371,2321.0,334.0
372,372,1806.0,291.0
373,373,826.0,353.0
374,374,641.0,279.0
375,375,668.5,342.0
376,376,444.0,511.0
377,377,670.0,321.0
378,378,670.0,321.0
379,379,727.0,291.0
380,380,880.1,541.0
381,381,425.0,310.0
382,382,2190.0,304.0
383,383,1980.0,324.0
384,384,2321.0,814.0
385,385,2000.0,554.0
386,386,2000.0,362.0
387,387,320.0,158.0
388,388,364.0,311.0
389,389,828.0,534.0
390,390,782.0,311.0
391,391,1064.0,303.0
392,392,700.0,310.0
393,393,384.0,282.0
394,394,441.0,259.0
395,395,625.0,80.0
396,396,953.0,60.0
