Customernumber,Fleng,Fwidth,Quantity
ORD_000001,564.0,541.0,1
ORD_000002,2100.0,334.0,1
ORD_000003,2090.0,304.0,1
ORD_000004,505.0,304.0,1
ORD_000005,175.0,525.0,1
ORD_000006,232.0,515.0,1
ORD_000007,878.0,369.0,1
ORD_000008,608.0,877.5,1
ORD_000009,284.0,323.0,1
ORD_000010,1576.0,550.0,1
ORD_000011,505.0,304.0,1
ORD_000012,483.0,638.5,1
ORD_000013,713.5,409.0,1
ORD_000014,740.5,348.0,1
ORD_000015,417.0,293.0,1
ORD_000016,654.0,320.0,1
ORD_000017,712.0,248.5,1
ORD_000018,393.0,361.0,1
ORD_000019,2000.0,362.0,1
ORD_000020,320.0,158.0,1
ORD_000021,1884.0,303.0,1
ORD_000022,625.0,80.0,1
ORD_000023,773.0,70.0,1
ORD_000024,1368.0,60.0,1
ORD_000025,832.0,60.0,1
ORD_000026,150.0,276.0,1
ORD_000027,440.0,120.0,1
ORD_000028,944.0,70.0,1
ORD_000029,643.0,60.0,1
ORD_000030,514.0,70.0,1
ORD_000031,1004.0,70.0,1
ORD_000032,780.0,551.0,1
ORD_000033,1176.0,320.0,1
ORD_000034,878.0,363.0,1
ORD_000035,509.0,331.0,1
ORD_000036,902.0,330.0,1
ORD_000037,300.0,330.0,1
ORD_000038,1485.0,322.0,1
ORD_000039,654.0,320.0,1
ORD_000040,664.0,311.0,1
ORD_000041,2405.0,554.0,1
ORD_000042,255.0,328.0,1
ORD_000043,2360.0,444.0,1
ORD_000044,382.0,321.0,1
ORD_000045,310.7,293.0,1
ORD_000046,309.0,300.0,1
ORD_000047,700.0,304.0,1
ORD_000048,364.0,303.0,1
ORD_000049,2355.0,327.0,1
ORD_000050,827.0,563.0,1
ORD_000051,326.0,321.0,1
ORD_000052,1401.0,350.0,1
ORD_000053,2118.0,555.0,1
ORD_000054,1626.0,329.0,1
ORD_000055,2398.0,510.0,1
ORD_000056,1270.0,310.0,1
ORD_000057,932.0,354.0,1
ORD_000058,384.0,373.0,1
ORD_000059,384.0,373.0,1
ORD_000060,384.0,373.0,1
ORD_000061,323.0,361.0,1
ORD_000062,399.5,290.0,1
ORD_000063,953.0,301.0,1
ORD_000064,390.0,301.0,1
ORD_000065,518.0,554.0,1
ORD_000066,518.0,560.0,1
ORD_000067,832.0,553.0,1
ORD_000068,415.0,233.0,1
ORD_000069,820.0,751.0,1
ORD_000070,182.0,519.0,1
ORD_000071,404.0,303.0,1
ORD_000072,1284.0,329.0,1
ORD_000073,435.0,544.0,1
ORD_000074,1164.0,563.0,1
ORD_000075,528.0,344.0,1
ORD_000076,480.0,364.0,1
ORD_000077,1018.0,371.0,1
ORD_000078,1018.0,463.0,1
ORD_000079,590.0,544.0,1
ORD_000080,2321.0,334.0,1
ORD_000081,2397.0,812.0,1
ORD_000082,731.0,248.0,1
ORD_000083,862.0,279.0,1
ORD_000084,364.0,311.0,1
ORD_000085,828.0,443.0,1
ORD_000086,1686.0,294.0,1
ORD_000087,313.5,549.5,1
ORD_000088,326.0,321.0,1
ORD_000089,450.0,259.0,1
ORD_000090,874.0,553.0,1
ORD_000091,1760.0,280.0,1
ORD_000092,407.0,551.0,1
ORD_000093,327.0,260.0,1
ORD_000094,2220.0,474.0,1
ORD_000095,874.0,553.0,1
ORD_000096,726.0,473.0,1
ORD_000097,417.8,433.0,1
ORD_000098,182.0,653.0,1
ORD_000099,1335.0,329.0,1
ORD_000100,878.0,323.0,1
ORD_000101,932.0,405.0,1
ORD_000102,402.0,543.0,1
ORD_000103,767.7,308.0,1
ORD_000104,812.5,540.0,1
ORD_000105,1538.0,675.0,1
ORD_000106,262.0,327.0,1
ORD_000107,1792.0,363.0,1
ORD_000108,430.0,361.0,1
ORD_000109,450.0,544.0,1
ORD_000110,1114.0,264.0,1
ORD_000111,717.5,458.5,1
ORD_000112,914.0,353.0,1
ORD_000113,743.0,280.0,1
ORD_000114,900.0,360.0,1
ORD_000115,1089.0,573.0,1
ORD_000116,925.0,324.0,1
ORD_000117,310.7,364.5,1
ORD_000118,720.0,279.0,1
ORD_000119,1440.0,1150.0,1
ORD_000120,855.5,310.0,1
ORD_000121,2340.0,305.0,1
ORD_000122,1570.0,334.0,1
ORD_000123,417.0,549.0,1
ORD_000124,218.5,290.0,1
ORD_000125,826.0,353.0,1
ORD_000126,216.5,375.0,1
ORD_000127,982.0,367.0,1
ORD_000128,182.0,300.0,1
ORD_000129,776.0,543.0,1
ORD_000130,777.0,543.0,1
ORD_000131,776.0,393.0,1
ORD_000132,1534.0,541.0,1
ORD_000133,844.0,333.0,1
ORD_000134,350.0,334.0,1
ORD_000135,953.0,548.0,1
ORD_000136,509.0,331.0,1
ORD_000137,1169.0,317.0,1
ORD_000138,862.0,279.0,1
ORD_000139,2009.0,323.0,1
ORD_000140,415.0,288.0,1
ORD_000141,1686.0,294.0,1
ORD_000142,1284.0,538.0,1
ORD_000143,150.5,507.0,1
ORD_000144,2347.0,560.0,1
ORD_000145,2320.0,554.0,1
ORD_000146,1792.0,362.0,1
ORD_000147,421.0,363.0,1
ORD_000148,440.0,574.0,1
ORD_000149,417.0,311.0,1
ORD_000150,379.0,361.0,1
ORD_000151,666.0,330.0,1
ORD_000152,2090.0,363.0,1
ORD_000153,789.0,273.0,1
ORD_000154,643.0,273.0,1
ORD_000155,630.5,359.0,1
ORD_000156,844.0,333.0,1
ORD_000157,1210.0,330.0,1
ORD_000158,421.0,363.0,1
ORD_000159,878.0,369.0,1
ORD_000160,714.0,263.0,1
ORD_000161,1259.0,219.0,1
ORD_000162,932.0,427.0,1
ORD_000163,670.0,478.0,1
ORD_000164,299.5,795.0,1
ORD_000165,182.0,664.0,1
ORD_000166,914.0,323.0,1
ORD_000167,1495.0,330.0,1
ORD_000168,863.0,280.0,1
ORD_000169,1458.0,299.0,1
ORD_000170,1395.0,1062.0,1
ORD_000171,689.0,280.0,1
ORD_000172,2347.0,544.0,1
ORD_000173,402.0,543.0,1
ORD_000174,895.0,603.0,1
ORD_000175,403.0,531.0,1
ORD_000176,347.0,581.0,1
ORD_000177,2267.0,324.0,1
ORD_000178,282.0,310.0,1
ORD_000179,1965.0,354.0,1
ORD_000180,320.5,311.0,1
ORD_000181,564.0,559.0,1
ORD_000182,844.0,333.0,1
ORD_000183,223.5,358.5,1
ORD_000184,1190.0,732.0,1
ORD_000185,2295.0,364.0,1
ORD_000186,586.0,293.0,1
ORD_000187,286.0,513.0,1
ORD_000188,1600.0,330.0,1
ORD_000189,440.0,574.0,1
ORD_000190,723.5,340.0,1
ORD_000191,750.5,339.0,1
ORD_000192,1485.0,322.0,1
ORD_000193,813.0,320.0,1
ORD_000194,310.7,789.5,1
ORD_000195,899.5,322.0,1
ORD_000196,474.0,411.0,1
ORD_000197,880.1,543.0,1
ORD_000198,300.0,355.0,1
ORD_000199,2382.0,535.0,1
ORD_000200,1847.0,310.0,1
ORD_000201,849.0,523.0,1
ORD_000202,1334.5,605.0,1
ORD_000203,163.5,517.0,1
ORD_000204,347.0,581.0,1
ORD_000205,870.0,300.0,1
ORD_000206,364.0,573.0,1
ORD_000207,441.0,303.0,1
ORD_000208,664.0,291.0,1
ORD_000209,450.0,544.0,1
ORD_000210,2005.0,539.0,1
ORD_000211,430.0,361.0,1
ORD_000212,258.0,245.0,1
ORD_000213,1506.0,550.0,1
ORD_000214,976.0,220.0,1
ORD_000215,865.0,310.0,1
ORD_000216,795.0,311.0,1
ORD_000217,335.0,301.0,1
ORD_000218,393.0,361.0,1
ORD_000219,164.5,312.0,1
ORD_000220,370.0,574.0,1
ORD_000221,363.0,541.0,1
ORD_000222,382.0,321.0,1
ORD_000223,1495.0,330.0,1
ORD_000224,373.0,350.0,1
ORD_000225,679.0,313.0,1
ORD_000226,1457.0,450.0,1
ORD_000227,1226.0,323.0,1
ORD_000228,683.0,861.5,1
ORD_000229,175.5,319.0,1
ORD_000230,417.0,363.0,1
ORD_000231,480.0,364.0,1
ORD_000232,211.5,299.0,1
ORD_000233,826.0,353.0,1
ORD_000234,417.0,549.0,1
ORD_000235,752.0,329.0,1
ORD_000236,2090.0,304.0,1
ORD_000237,1004.0,453.0,1
ORD_000238,650.0,655.0,1
ORD_000239,430.0,361.0,1
ORD_000240,440.0,324.0,1
ORD_000241,509.0,251.0,1
ORD_000242,1445.0,420.0,1
ORD_000243,813.0,320.0,1
ORD_000244,828.4,309.0,1
ORD_000245,1089.0,573.0,1
ORD_000246,791.0,321.0,1
ORD_000247,670.0,324.0,1
ORD_000248,828.0,534.0,1
ORD_000249,791.0,321.0,1
ORD_000250,782.0,329.0,1
ORD_000251,313.5,293.0,1
ORD_000252,310.7,293.0,1
ORD_000253,2370.0,289.0,1
ORD_000254,2271.0,294.0,1
ORD_000255,463.0,333.0,1
ORD_000256,1965.0,400.0,1
ORD_000257,399.5,1113.5,1
ORD_000258,164.0,278.0,1
ORD_000259,1792.0,363.0,1
ORD_000260,1565.0,500.0,1
ORD_000261,713.5,613.5,1
ORD_000262,717.5,458.5,1
ORD_000263,723.5,410.0,1
ORD_000264,214.0,330.0,1
ORD_000265,514.0,332.0,1
ORD_000266,2352.0,524.0,1
ORD_000267,814.0,531.0,1
ORD_000268,233.0,448.5,1
ORD_000269,404.0,303.0,1
ORD_000270,300.0,300.0,1
ORD_000271,1018.0,463.0,1
ORD_000272,826.0,353.0,1
ORD_000273,982.0,869.0,1
ORD_000274,2380.0,274.0,1
ORD_000275,310.7,549.5,1
ORD_000276,1064.0,309.0,1
ORD_000277,1224.0,308.0,1
ORD_000278,804.0,303.0,1
ORD_000279,560.5,341.0,1
ORD_000280,850.0,280.0,1
ORD_000281,455.5,251.0,1
ORD_000282,1720.0,261.0,1
ORD_000283,2320.0,554.0,1
ORD_000284,407.0,551.0,1
ORD_000285,869.0,299.0,1
ORD_000286,425.5,279.0,1
ORD_000287,650.0,257.0,1
ORD_000288,1210.0,570.0,1
ORD_000289,882.0,369.0,1
ORD_000290,1349.5,280.0,1
ORD_000291,387.0,311.0,1
ORD_000292,812.5,540.0,1
ORD_000293,511.0,281.0,1
ORD_000294,430.0,361.0,1
ORD_000295,284.0,312.0,1
ORD_000296,823.0,353.0,1
ORD_000297,363.0,541.0,1
ORD_000298,370.0,362.0,1
ORD_000299,781.9,323.0,1
ORD_000300,518.0,554.0,1
ORD_000301,982.0,327.0,1
ORD_000302,494.0,281.0,1
ORD_000303,2220.0,294.0,1
ORD_000304,1525.0,355.0,1
ORD_000305,2100.0,304.0,1
