uid,Upi,Fleng,Fwidth
1,1,564.0,541.0
2,2,284.0,323.0
3,3,505.0,304.0
4,4,740.5,348.0
5,5,712.0,248.5
6,6,2000.0,362.0
7,7,773.0,70.0
8,8,1004.0,70.0
9,9,780.0,551.0
10,10,1176.0,320.0
11,11,878.0,363.0
12,12,509.0,331.0
13,13,2360.0,444.0
14,14,310.7,293.0
15,15,2355.0,327.0
16,16,2398.0,510.0
17,17,384.0,373.0
18,18,731.0,248.0
19,19,1686.0,294.0
20,20,874.0,553.0
21,21,182.0,653.0
22,22,1335.0,329.0
23,23,1792.0,363.0
24,24,855.5,310.0
25,25,2340.0,305.0
26,26,844.0,333.0
27,27,1169.0,317.0
28,28,862.0,279.0
29,29,2320.0,554.0
30,30,417.0,311.0
31,31,666.0,330.0
32,32,182.0,664.0
33,33,863.0,280.0
34,34,689.0,280.0
35,35,1965.0,354.0
36,36,320.5,311.0
37,37,813.0,320.0
38,38,899.5,322.0
39,39,163.5,517.0
40,40,664.0,291.0
41,41,450.0,544.0
42,42,258.0,245.0
43,43,865.0,310.0
44,44,164.5,312.0
45,45,1226.0,323.0
46,46,430.0,361.0
47,47,813.0,320.0
48,48,1965.0,400.0
49,49,713.5,613.5
50,50,404.0,303.0
51,51,804.0,303.0
52,52,455.5,251.0
53,53,407.0,551.0
54,54,882.0,369.0
55,55,387.0,311.0
56,56,363.0,541.0
57,57,370.0,362.0
58,58,1525.0,355.0
59,59,1014.0,323.0
60,60,363.0,541.0
61,61,310.7,559.5
62,62,310.7,293.0
63,63,720.0,291.0
64,64,1600.0,310.0
65,65,393.0,361.0
66,66,727.0,291.0
67,67,375.0,480.0
68,68,249.5,299.0
69,69,878.0,351.0
70,70,373.0,350.0
71,71,417.0,363.0
72,72,421.0,531.0
73,73,900.0,989.0
74,74,444.0,511.0
75,75,670.0,321.0
76,76,425.0,310.0
77,77,2190.0,304.0
78,78,320.0,158.0
79,79,441.0,303.0
80,80,416.0,303.0
81,81,2100.0,334.0
82,82,356.0,331.0
83,83,589.0,60.0
84,84,1433.0,60.0
85,85,862.0,261.0
86,86,414.0,553.0
87,87,497.0,449.0
88,88,755.0,420.0
89,89,430.0,361.0
90,90,795.0,311.0
91,91,664.0,311.0
92,92,264.0,343.0
93,93,2397.0,440.0
94,94,2265.0,70.0
95,95,776.0,70.0
96,96,1634.0,70.0
97,97,1395.0,698.0
98,98,844.0,303.0
99,99,900.0,360.0
100,100,844.0,333.0
101,101,444.0,333.0
102,102,586.0,293.0
103,103,333.8,300.0
104,104,1468.0,554.0
105,105,450.0,332.0
106,106,2220.0,294.0
107,107,1339.0,304.0
108,108,850.5,301.0
109,109,255.0,328.0
110,110,827.0,563.0
111,111,1014.0,323.0
112,112,866.0,543.0
113,113,417.8,433.0
114,114,1599.5,720.0
115,115,1402.5,379.0
116,116,971.0,543.0
117,117,1089.0,573.0
118,118,925.0,324.0
119,119,764.0,60.0
120,120,990.0,260.0
121,121,776.0,543.0
122,122,414.0,553.0
123,123,1925.0,399.0
124,124,1224.0,595.0
125,125,284.0,323.0
126,126,849.0,523.0
127,127,875.0,380.0
128,128,300.5,301.0
129,129,457.0,354.0
130,130,311.5,472.0
131,131,777.0,654.0
132,132,564.0,559.0
133,133,908.0,322.0
134,134,640.0,628.0
135,135,918.0,302.0
136,136,371.0,556.0
137,137,826.0,353.0
138,138,799.0,363.0
139,139,2200.0,334.0
140,140,902.0,320.0
141,141,782.0,323.0
142,142,920.0,330.0
143,143,982.0,327.0
144,144,326.0,321.0
145,145,1445.5,535.0
146,146,233.5,312.0
147,147,182.0,330.0
148,148,528.0,344.0
149,149,364.0,311.0
150,150,629.0,310.0
151,151,870.0,550.0
152,152,945.0,324.0
153,153,1114.0,264.0
154,154,643.0,300.0
155,155,441.0,303.0
156,156,953.0,333.0
157,157,604.0,519.0
158,158,844.0,333.0
159,159,875.0,555.0
160,160,625.0,80.0
161,161,516.0,70.0
162,162,299.0,70.0
163,163,2208.0,70.0
164,164,1437.5,483.0
165,165,419.0,438.0
166,166,896.0,311.0
167,167,932.5,345.5
168,168,405.0,199.0
169,169,1340.0,340.0
170,170,664.0,311.0
171,171,2360.0,540.0
172,172,384.0,310.0
173,173,804.0,308.0
174,174,780.0,60.0
175,175,727.0,60.0
176,176,953.0,70.0
177,177,1614.0,70.0
178,178,366.0,543.0
179,179,1164.0,60.0
180,180,773.0,70.0
181,181,435.0,344.0
182,182,417.0,549.0
183,183,1331.5,298.0
184,184,776.0,60.0
185,185,1868.0,321.0
186,186,983.0,280.0
187,187,425.0,321.0
188,188,1291.5,528.0
189,189,1125.0,550.0
190,190,403.0,841.5
191,191,420.0,353.0
192,192,414.0,70.0
193,193,804.0,308.0
194,194,366.4,342.0
195,195,914.0,324.0
196,196,373.0,311.0
197,197,310.7,313.0
198,198,2400.0,324.0
199,199,570.0,260.0
200,200,347.0,581.0
201,201,776.0,391.0
202,202,632.0,264.0
203,203,300.0,258.0
204,204,639.0,359.0
205,205,853.0,359.0
206,206,310.7,724.5
207,207,450.0,580.0
208,208,1089.0,573.0
209,209,2053.5,552.0
210,210,2400.0,544.0
211,211,815.0,249.0
212,212,1038.5,302.0
213,213,364.0,303.0
214,214,870.0,530.0
215,215,2348.0,170.0
216,216,2350.0,394.0
217,217,740.0,380.0
218,218,310.7,369.5
219,219,396.0,306.0
220,220,558.5,307.0
221,221,815.0,353.0
222,222,1400.0,294.0
223,223,370.0,574.0
224,224,415.0,288.0
