Customernumber,Fleng,Fwidth,Quantity
ORD_000004,505.0,304.0,1
ORD_000005,175.0,525.0,1
ORD_000006,232.0,515.0,1
ORD_000007,878.0,369.0,1
ORD_000008,608.0,877.5,1
ORD_000012,483.0,638.5,1
ORD_000026,150.0,276.0,1
ORD_000028,944.0,70.0,1
ORD_000029,643.0,60.0,1
ORD_000039,654.0,320.0,1
ORD_000044,382.0,321.0,1
ORD_000046,309.0,300.0,1
ORD_000057,932.0,354.0,1
ORD_000064,390.0,301.0,1
ORD_000070,182.0,519.0,1
ORD_000078,1018.0,463.0,1
ORD_000083,862.0,279.0,1
ORD_000089,450.0,259.0,1
ORD_000090,874.0,553.0,1
ORD_000091,1760.0,280.0,1
ORD_000093,327.0,260.0,1
ORD_000096,726.0,473.0,1
ORD_000105,1538.0,675.0,1
ORD_000122,1570.0,334.0,1
ORD_000129,776.0,543.0,1
ORD_000139,2009.0,323.0,1
ORD_000143,150.5,507.0,1
ORD_000144,2347.0,560.0,1
ORD_000153,789.0,273.0,1
ORD_000154,643.0,273.0,1
ORD_000156,844.0,333.0,1
ORD_000157,1210.0,330.0,1
ORD_000167,1495.0,330.0,1
ORD_000172,2347.0,544.0,1
ORD_000173,402.0,543.0,1
ORD_000184,1190.0,732.0,1
ORD_000189,440.0,574.0,1
ORD_000191,750.5,339.0,1
ORD_000192,1485.0,322.0,1
ORD_000198,300.0,355.0,1
ORD_000204,347.0,581.0,1
ORD_000217,335.0,301.0,1
ORD_000218,393.0,361.0,1
ORD_000221,363.0,541.0,1
ORD_000224,373.0,350.0,1
ORD_000235,752.0,329.0,1
ORD_000240,440.0,324.0,1
ORD_000242,1445.0,420.0,1
ORD_000248,828.0,534.0,1
ORD_000252,310.7,293.0,1
ORD_000257,399.5,1113.5,1
ORD_000258,164.0,278.0,1
ORD_000262,717.5,458.5,1
ORD_000264,214.0,330.0,1
ORD_000268,233.0,448.5,1
ORD_000274,2380.0,274.0,1
ORD_000277,1224.0,308.0,1
ORD_000285,869.0,299.0,1
ORD_000286,425.5,279.0,1
ORD_000287,650.0,257.0,1
ORD_000293,511.0,281.0,1
ORD_000295,284.0,312.0,1
ORD_000300,518.0,554.0,1
ORD_000305,2100.0,304.0,1
ORD_000309,595.0,327.0,1
ORD_000310,384.0,294.0,1
ORD_000313,415.0,233.0,1
ORD_000342,799.0,363.0,1
ORD_000348,976.0,220.0,1
ORD_000350,499.0,220.0,1
ORD_000351,1209.0,301.0,1
ORD_000352,393.0,361.0,1
ORD_000353,300.0,300.0,1
ORD_000361,642.0,330.0,1
ORD_000367,831.0,316.0,1
ORD_000373,826.0,353.0,1
ORD_000375,668.5,342.0,1
ORD_000394,441.0,259.0,1
ORD_000395,625.0,80.0,1
ORD_000396,953.0,60.0,1
ORD_000408,413.0,199.0,1
ORD_000412,700.0,330.0,1
ORD_000414,837.0,537.0,1
ORD_000415,828.0,443.0,1
