Customernumber,Fleng,Fwidth,Quantity
data3_ORD_000001,440.5,541.0,1
data3_ORD_000002,519.0,341.0,1
data3_ORD_000003,682.0,350.0,1
data3_ORD_000004,550.5,329.0,1
data3_ORD_000005,369.0,513.0,1
data3_ORD_000006,814.0,331.0,1
data3_ORD_000007,814.0,331.0,1
data3_ORD_000008,1301.0,341.0,1
data3_ORD_000009,478.0,293.0,1
data3_ORD_000010,731.0,270.0,1
data3_ORD_000011,882.0,269.0,1
data3_ORD_000012,834.0,250.0,1
data3_ORD_000013,913.0,473.0,1
data3_ORD_000014,813.0,350.0,1
data3_ORD_000015,934.0,331.0,1
data3_ORD_000016,813.0,350.0,1
data3_ORD_000017,869.0,313.0,1
data3_ORD_000018,2055.0,324.0,1
data3_ORD_000019,725.0,540.0,1
data3_ORD_000020,412.0,323.0,1
data3_ORD_000021,180.0,580.0,1
data3_ORD_000022,860.0,323.0,1
data3_ORD_000023,400.0,547.0,1
data3_ORD_000024,580.0,554.0,1
data3_ORD_000025,389.0,331.0,1
data3_ORD_000026,2240.5,292.0,1
data3_ORD_000027,163.5,342.0,1
data3_ORD_000028,875.0,554.0,1
data3_ORD_000029,564.0,541.0,1
data3_ORD_000030,2400.0,300.0,1
data3_ORD_000031,400.0,372.0,1
data3_ORD_000032,730.0,544.0,1
data3_ORD_000033,941.0,543.0,1
data3_ORD_000034,876.0,353.0,1
data3_ORD_000035,412.0,323.0,1
data3_ORD_000036,575.0,550.0,1
data3_ORD_000037,539.0,311.0,1
data3_ORD_000038,857.0,301.0,1
data3_ORD_000039,2340.0,514.0,1
data3_ORD_000040,397.0,543.0,1
data3_ORD_000041,900.0,550.0,1
data3_ORD_000042,2420.0,364.0,1
data3_ORD_000043,1775.0,650.0,1
data3_ORD_000044,279.0,877.5,1
data3_ORD_000045,800.0,574.0,1
data3_ORD_000046,924.0,275.0,1
data3_ORD_000047,2400.0,100.0,1
data3_ORD_000048,753.0,80.0,1
data3_ORD_000049,400.0,70.0,1
data3_ORD_000050,550.0,92.0,1
data3_ORD_000051,1009.0,70.0,1
data3_ORD_000052,400.0,70.0,1
data3_ORD_000053,70.0,300.0,1
data3_ORD_000054,363.0,80.0,1
data3_ORD_000055,1019.0,450.0,1
data3_ORD_000056,526.0,416.5,1
data3_ORD_000057,651.5,348.0,1
data3_ORD_000058,762.0,440.0,1
data3_ORD_000059,279.0,322.0,1
data3_ORD_000060,304.0,300.0,1
data3_ORD_000061,470.0,544.0,1
data3_ORD_000062,412.0,323.0,1
data3_ORD_000063,369.0,513.0,1
data3_ORD_000064,1301.0,411.0,1
data3_ORD_000065,430.0,544.0,1
data3_ORD_000066,225.0,325.0,1
data3_ORD_000067,1560.0,343.0,1
data3_ORD_000068,2420.0,344.0,1
data3_ORD_000069,1540.0,680.0,1
data3_ORD_000070,858.0,299.0,1
data3_ORD_000071,941.0,543.0,1
data3_ORD_000072,304.0,270.0,1
data3_ORD_000073,2350.0,434.0,1
data3_ORD_000074,452.0,471.0,1
data3_ORD_000075,896.0,351.0,1
data3_ORD_000076,876.0,353.0,1
data3_ORD_000077,363.0,603.0,1
data3_ORD_000078,1505.0,314.0,1
data3_ORD_000079,2040.0,544.0,1
data3_ORD_000080,160.0,914.0,1
data3_ORD_000081,401.0,560.0,1
data3_ORD_000082,2090.0,554.0,1
data3_ORD_000083,878.0,299.0,1
data3_ORD_000084,2040.0,550.0,1
data3_ORD_000085,1704.0,393.0,1
data3_ORD_000086,725.0,544.0,1
data3_ORD_000087,908.0,543.0,1
data3_ORD_000088,1850.0,604.0,1
data3_ORD_000089,363.0,603.0,1
data3_ORD_000090,400.0,314.0,1
data3_ORD_000091,989.0,553.0,1
data3_ORD_000092,804.0,199.0,1
data3_ORD_000093,870.0,225.0,1
data3_ORD_000094,2055.0,554.0,1
data3_ORD_000095,456.0,271.0,1
data3_ORD_000096,655.0,500.0,1
data3_ORD_000097,672.0,363.0,1
data3_ORD_000098,435.5,551.0,1
data3_ORD_000099,420.0,279.0,1
data3_ORD_000100,473.0,471.0,1
data3_ORD_000101,755.0,574.0,1
data3_ORD_000102,411.0,299.0,1
data3_ORD_000103,419.5,279.0,1
data3_ORD_000104,435.0,543.0,1
data3_ORD_000105,1009.0,543.0,1
data3_ORD_000106,2040.0,544.0,1
data3_ORD_000107,730.0,550.0,1
data3_ORD_000108,774.0,183.0,1
data3_ORD_000109,1419.0,331.0,1
data3_ORD_000110,896.0,351.0,1
data3_ORD_000111,424.5,279.0,1
data3_ORD_000112,369.0,513.0,1
data3_ORD_000113,2340.0,514.0,1
data3_ORD_000114,326.0,430.0,1
data3_ORD_000115,827.0,224.0,1
data3_ORD_000116,2260.0,360.0,1
data3_ORD_000117,624.0,648.0,1
data3_ORD_000118,832.0,449.0,1
data3_ORD_000119,957.0,543.0,1
data3_ORD_000120,2045.0,544.0,1
data3_ORD_000121,143.5,560.0,1
data3_ORD_000122,2243.0,70.0,1
data3_ORD_000123,600.0,92.0,1
data3_ORD_000124,2400.0,100.0,1
data3_ORD_000125,889.0,70.0,1
data3_ORD_000126,991.0,70.0,1
data3_ORD_000127,753.0,70.0,1
data3_ORD_000128,857.0,70.0,1
data3_ORD_000129,1244.0,70.0,1
data3_ORD_000130,1403.0,70.0,1
data3_ORD_000131,882.0,279.0,1
data3_ORD_000132,919.0,423.0,1
data3_ORD_000133,443.0,421.0,1
