uid,Upi,Fleng,Fwidth
1,1,232.3,250.0
2,2,232.3,250.0
3,3,463.0,439.0
4,4,953.0,439.0
5,5,854.0,543.0
6,6,1898.5,552.0
7,7,750.0,568.0
8,8,944.0,473.0
9,9,2204.0,413.0
10,10,450.0,437.0
11,11,445.0,573.0
12,12,919.0,573.0
13,13,1259.0,580.0
14,14,205.0,589.0
15,15,1858.0,554.0
16,16,790.0,403.0
17,17,580.0,530.0
18,18,1820.0,350.0
19,19,2107.0,725.0
20,20,642.0,311.0
21,21,762.0,530.0
22,22,410.0,300.0
23,23,476.0,423.0
24,24,510.0,554.0
25,25,2348.0,544.0
26,26,494.0,437.0
27,27,528.0,343.0
28,28,886.0,533.0
29,29,886.0,533.0
30,30,464.0,180.0
31,31,1401.5,464.0
32,32,1288.0,533.0
33,33,362.0,371.0
34,34,910.0,553.0
35,35,394.0,603.0
36,36,913.0,551.0
37,37,1214.0,406.0
38,38,377.0,533.0
39,39,378.0,503.0
40,40,839.0,503.0
41,41,514.0,573.0
42,42,600.0,580.0
43,43,782.0,479.0
44,44,414.0,553.0
45,45,873.0,553.0
46,46,414.0,553.0
47,47,1641.0,350.0
48,48,482.0,397.0
49,49,2040.0,554.0
50,50,1812.0,423.0
51,51,439.5,551.0
52,52,1100.0,550.0
53,53,660.0,580.0
54,54,381.0,403.0
55,55,832.0,199.0
56,56,2040.0,534.0
57,57,345.0,543.0
58,58,754.0,539.0
59,59,624.0,346.0
60,60,380.0,1180.0
61,61,468.0,551.0
62,62,826.5,458.5
63,63,898.5,371.8
64,64,353.5,201.5
65,65,557.5,435.0
66,66,468.0,551.0
67,67,199.5,442.0
68,68,364.0,573.0
69,69,782.0,450.0
70,70,793.0,543.0
71,71,186.5,540.0
72,72,836.5,349.0
73,73,970.0,417.0
74,74,509.0,378.0
75,75,944.0,553.0
76,76,1064.0,383.0
77,77,2320.0,683.0
78,78,1100.0,1000.0
79,79,417.0,531.0
80,80,464.0,480.0
81,81,1858.0,554.0
82,82,400.0,523.0
83,83,858.0,553.0
84,84,501.0,202.0
85,85,535.0,553.0
86,86,573.5,441.5
87,87,574.0,336.5
88,88,353.5,201.5
89,89,628.5,458.5
90,90,539.5,483.0
91,91,2076.5,483.0
92,92,539.5,483.0
93,93,2076.5,483.0
94,94,642.5,273.6
95,95,377.0,533.0
96,96,450.0,437.0
97,97,2040.0,544.0
98,98,897.0,419.0
99,99,850.0,430.0
100,100,853.5,428.5
101,101,454.0,553.0
102,102,1655.0,534.0
103,103,2000.0,554.0
104,104,521.0,573.0
