Fleng,Fwidth
564.0,541.0
2100.0,334.0
2090.0,304.0
505.0,304.0
175.0,525.0
232.0,515.0
878.0,369.0
608.0,877.5
284.0,323.0
1576.0,550.0
505.0,304.0
483.0,638.5
713.5,409.0
740.5,348.0
417.0,293.0
654.0,320.0
712.0,248.5
393.0,361.0
2000.0,362.0
320.0,158.0
1884.0,303.0
625.0,80.0
773.0,70.0
1368.0,60.0
832.0,60.0
150.0,276.0
440.0,120.0
944.0,70.0
643.0,60.0
514.0,70.0
1004.0,70.0
780.0,551.0
1176.0,320.0
878.0,363.0
509.0,331.0
902.0,330.0
300.0,330.0
1485.0,322.0
654.0,320.0
664.0,311.0
2405.0,554.0
255.0,328.0
2360.0,444.0
382.0,321.0
310.7,293.0
309.0,300.0
700.0,304.0
364.0,303.0
2355.0,327.0
827.0,563.0
326.0,321.0
1401.0,350.0
2118.0,555.0
1626.0,329.0
2398.0,510.0
1270.0,310.0
932.0,354.0
384.0,373.0
384.0,373.0
384.0,373.0
323.0,361.0
399.5,290.0
953.0,301.0
390.0,301.0
518.0,554.0
518.0,560.0
832.0,553.0
415.0,233.0
820.0,751.0
182.0,519.0
404.0,303.0
1284.0,329.0
435.0,544.0
1164.0,563.0
528.0,344.0
480.0,364.0
1018.0,371.0
1018.0,463.0
590.0,544.0
2321.0,334.0
2397.0,812.0
731.0,248.0
862.0,279.0
364.0,311.0
828.0,443.0
1686.0,294.0
313.5,549.5
326.0,321.0
450.0,259.0
874.0,553.0
1760.0,280.0
407.0,551.0
327.0,260.0
2220.0,474.0
874.0,553.0
726.0,473.0
417.8,433.0
182.0,653.0
1335.0,329.0
878.0,323.0
932.0,405.0
402.0,543.0
767.7,308.0
812.5,540.0
1538.0,675.0
262.0,327.0
1792.0,363.0
430.0,361.0
450.0,544.0
1114.0,264.0
717.5,458.5
914.0,353.0
743.0,280.0
900.0,360.0
1089.0,573.0
925.0,324.0
310.7,364.5
720.0,279.0
1440.0,1150.0
855.5,310.0
2340.0,305.0
1570.0,334.0
417.0,549.0
218.5,290.0
826.0,353.0
216.5,375.0
982.0,367.0
182.0,300.0
776.0,543.0
777.0,543.0
776.0,393.0
1534.0,541.0
844.0,333.0
350.0,334.0
953.0,548.0
509.0,331.0
1169.0,317.0
862.0,279.0
2009.0,323.0
415.0,288.0
1686.0,294.0
1284.0,538.0
150.5,507.0
2347.0,560.0
2320.0,554.0
1792.0,362.0
421.0,363.0
440.0,574.0
417.0,311.0
379.0,361.0
666.0,330.0
2090.0,363.0
789.0,273.0
643.0,273.0
630.5,359.0
844.0,333.0
1210.0,330.0
421.0,363.0
878.0,369.0
714.0,263.0
1259.0,219.0
932.0,427.0
670.0,478.0
299.5,795.0
182.0,664.0
914.0,323.0
1495.0,330.0
863.0,280.0
1458.0,299.0
1395.0,1062.0
689.0,280.0
2347.0,544.0
402.0,543.0
895.0,603.0
403.0,531.0
347.0,581.0
2267.0,324.0
282.0,310.0
1965.0,354.0
320.5,311.0
564.0,559.0
844.0,333.0
223.5,358.5
1190.0,732.0
2295.0,364.0
586.0,293.0
286.0,513.0
1600.0,330.0
440.0,574.0
723.5,340.0
750.5,339.0
1485.0,322.0
813.0,320.0
310.7,789.5
899.5,322.0
474.0,411.0
880.1,543.0
300.0,355.0
2382.0,535.0
1847.0,310.0
