uid,Upi,Fleng,Fwidth
1,M1b_0001,7,9
2,M1b_0002,2,4
3,M1b_0003,2,9
4,M1b_0004,5,9
5,M1b_0005,1,6
6,M1b_0006,1,4
7,M1b_0007,9,3
8,M1b_0008,3,7
9,M1b_0009,4,2
10,M1b_0010,6,6
11,M1b_0011,5,5
12,M1b_0012,6,6
13,M1b_0013,8,8
14,M1b_0014,6,7
15,M1b_0015,6,4
16,M1b_0016,2,7
17,M1b_0017,5,9
18,M1b_0018,3,2
19,M1b_0019,6,7
20,M1b_0020,6,4
21,M1b_0021,5,1
22,M1b_0022,7,6
23,M1b_0023,6,7
24,M1b_0024,8,2
25,M1b_0025,6,8
26,M1b_0026,9,6
27,M1b_0027,7,1
28,M1b_0028,7,9
29,M1b_0029,3,6
30,M1b_0030,3,2
31,M1b_0031,8,7
32,M1b_0032,2,3
33,M1b_0033,1,1
34,M1b_0034,6,8
35,M1b_0035,5,5
36,M1b_0036,4,3
37,M1b_0037,5,5
38,M1b_0038,2,3
39,M1b_0039,7,3
40,M1b_0040,8,9
41,M1b_0041,8,7
42,M1b_0042,3,9
43,M1b_0043,2,1
44,M1b_0044,8,5
45,M1b_0045,6,9
46,M1b_0046,6,3
47,M1b_0047,1,5
48,M1b_0048,3,3
49,M1b_0049,9,5
50,M1b_0050,6,2
51,M1b_0051,5,4
52,M1b_0052,5,8
53,M1b_0053,5,4
54,M1b_0054,7,5
55,M1b_0055,6,4
56,M1b_0056,1,7
57,M1b_0057,1,6
58,M1b_0058,8,5
59,M1b_0059,7,5
60,M1b_0060,4,8
61,M1b_0061,5,4
62,M1b_0062,9,6
63,M1b_0063,2,4
64,M1b_0064,2,7
65,M1b_0065,9,6
66,M1b_0066,1,3
67,M1b_0067,1,6
68,M1b_0068,2,8
69,M1b_0069,8,6
70,M1b_0070,7,8
71,M1b_0071,1,2
72,M1b_0072,7,6
73,M1b_0073,2,1
74,M1b_0074,2,6
75,M1b_0075,4,3
76,M1b_0076,4,6
77,M1b_0077,8,8
78,M1b_0078,5,6
79,M1b_0079,8,9
80,M1b_0080,2,6
81,M1b_0081,4,3
82,M1b_0082,2,8
83,M1b_0083,1,4
84,M1b_0084,6,3
85,M1b_0085,5,3
86,M1b_0086,3,1
87,M1b_0087,8,2
88,M1b_0088,3,8
89,M1b_0089,9,8
90,M1b_0090,7,6
91,M1b_0091,4,8
92,M1b_0092,3,8
93,M1b_0093,3,3
94,M1b_0094,5,9
95,M1b_0095,1,1
96,M1b_0096,5,4
97,M1b_0097,1,3
98,M1b_0098,9,3
99,M1b_0099,2,2
100,M1b_0100,1,1
