uid,Upi,Fleng,Fwidth
1,M1d_0001,8,9
2,M1d_0002,6,9
3,M1d_0003,1,6
4,M1d_0004,8,4
5,M1d_0005,3,3
6,M1d_0006,1,6
7,M1d_0007,4,1
8,M1d_0008,1,5
9,M1d_0009,8,9
10,M1d_0010,4,7
11,M1d_0011,6,8
12,M1d_0012,8,6
13,M1d_0013,6,1
14,M1d_0014,8,5
15,M1d_0015,6,6
16,M1d_0016,6,8
17,M1d_0017,7,4
18,M1d_0018,1,3
19,M1d_0019,4,3
20,M1d_0020,7,4
21,M1d_0021,8,2
22,M1d_0022,7,6
23,M1d_0023,9,2
24,M1d_0024,5,9
25,M1d_0025,8,9
26,M1d_0026,2,9
27,M1d_0027,8,9
28,M1d_0028,8,9
29,M1d_0029,6,2
30,M1d_0030,6,3
31,M1d_0031,3,7
32,M1d_0032,8,2
33,M1d_0033,7,5
34,M1d_0034,8,2
35,M1d_0035,3,6
36,M1d_0036,5,7
37,M1d_0037,2,7
38,M1d_0038,6,7
39,M1d_0039,2,1
40,M1d_0040,3,7
41,M1d_0041,8,6
42,M1d_0042,4,8
43,M1d_0043,3,6
44,M1d_0044,3,2
45,M1d_0045,9,3
46,M1d_0046,1,7
47,M1d_0047,2,1
48,M1d_0048,1,4
49,M1d_0049,6,4
50,M1d_0050,4,4
51,M1d_0051,1,5
52,M1d_0052,7,4
53,M1d_0053,6,8
54,M1d_0054,5,6
55,M1d_0055,1,5
56,M1d_0056,3,4
57,M1d_0057,8,5
58,M1d_0058,1,6
59,M1d_0059,7,8
60,M1d_0060,8,8
61,M1d_0061,3,8
62,M1d_0062,6,7
63,M1d_0063,8,7
64,M1d_0064,8,9
65,M1d_0065,9,5
66,M1d_0066,4,1
67,M1d_0067,4,8
68,M1d_0068,4,2
69,M1d_0069,1,6
70,M1d_0070,7,1
71,M1d_0071,1,4
72,M1d_0072,7,8
73,M1d_0073,2,2
74,M1d_0074,1,4
75,M1d_0075,6,1
76,M1d_0076,9,6
77,M1d_0077,4,1
78,M1d_0078,3,4
79,M1d_0079,6,8
80,M1d_0080,2,6
81,M1d_0081,5,9
82,M1d_0082,5,2
83,M1d_0083,3,8
84,M1d_0084,4,5
85,M1d_0085,6,1
86,M1d_0086,9,7
87,M1d_0087,2,5
88,M1d_0088,7,9
89,M1d_0089,7,6
90,M1d_0090,6,9
91,M1d_0091,7,3
92,M1d_0092,6,3
93,M1d_0093,5,7
94,M1d_0094,3,5
95,M1d_0095,5,9
96,M1d_0096,7,7
97,M1d_0097,6,5
98,M1d_0098,8,7
99,M1d_0099,9,2
100,M1d_0100,6,9
