uid,Upi,Fleng,Fwidth
1,M2c_0001,13,28
2,M2c_0002,13,13
3,M2c_0003,28,25
4,M2c_0004,16,25
5,M2c_0005,22,13
6,M2c_0006,9,3
7,M2c_0007,16,28
8,M2c_0008,13,9
9,M2c_0009,19,9
10,M2c_0010,22,28
11,M2c_0011,13,28
12,M2c_0012,19,25
13,M2c_0013,19,6
14,M2c_0014,9,13
15,M2c_0015,3,13
16,M2c_0016,3,19
17,M2c_0017,25,19
18,M2c_0018,22,25
19,M2c_0019,16,22
20,M2c_0020,6,22
21,M2c_0021,22,22
22,M2c_0022,19,22
23,M2c_0023,3,16
24,M2c_0024,9,6
25,M2c_0025,28,19
26,M2c_0026,9,28
27,M2c_0027,13,22
28,M2c_0028,6,6
29,M2c_0029,9,16
30,M2c_0030,28,13
31,M2c_0031,6,28
32,M2c_0032,22,25
33,M2c_0033,6,16
34,M2c_0034,3,22
35,M2c_0035,6,13
36,M2c_0036,9,28
37,M2c_0037,3,9
38,M2c_0038,6,9
39,M2c_0039,6,19
40,M2c_0040,25,28
41,M2c_0041,6,25
42,M2c_0042,19,19
43,M2c_0043,28,16
44,M2c_0044,28,19
45,M2c_0045,6,19
46,M2c_0046,19,13
47,M2c_0047,28,16
48,M2c_0048,19,16
49,M2c_0049,9,13
50,M2c_0050,13,3
51,M2c_0051,25,6
52,M2c_0052,3,13
53,M2c_0053,19,3
54,M2c_0054,6,6
55,M2c_0055,19,16
56,M2c_0056,19,22
57,M2c_0057,13,22
58,M2c_0058,13,25
59,M2c_0059,19,6
60,M2c_0060,28,25
61,M2c_0061,13,28
62,M2c_0062,6,28
63,M2c_0063,19,13
64,M2c_0064,19,22
65,M2c_0065,3,9
66,M2c_0066,9,13
67,M2c_0067,28,22
68,M2c_0068,22,28
69,M2c_0069,13,13
70,M2c_0070,28,9
71,M2c_0071,13,19
72,M2c_0072,13,22
73,M2c_0073,22,22
74,M2c_0074,22,6
75,M2c_0075,6,9
76,M2c_0076,22,28
77,M2c_0077,13,16
78,M2c_0078,6,16
79,M2c_0079,19,13
80,M2c_0080,22,3
81,M2c_0081,3,3
82,M2c_0082,3,13
83,M2c_0083,9,22
84,M2c_0084,6,13
85,M2c_0085,3,22
86,M2c_0086,22,6
87,M2c_0087,22,19
88,M2c_0088,19,16
89,M2c_0089,3,16
90,M2c_0090,16,28
91,M2c_0091,22,16
92,M2c_0092,22,22
93,M2c_0093,13,13
94,M2c_0094,6,3
95,M2c_0095,9,25
96,M2c_0096,6,9
97,M2c_0097,16,3
98,M2c_0098,13,16
99,M2c_0099,19,22
100,M2c_0100,13,13
