uid,Upi,Fleng,Fwidth
1,M3e_0001,7,30
2,M3e_0002,7,3
3,M3e_0003,7,27
4,M3e_0004,10,20
5,M3e_0005,13,17
6,M3e_0006,20,27
7,M3e_0007,30,30
8,M3e_0008,3,7
9,M3e_0009,20,27
10,M3e_0010,27,27
11,M3e_0011,13,17
12,M3e_0012,23,17
13,M3e_0013,10,30
14,M3e_0014,30,23
15,M3e_0015,20,10
16,M3e_0016,7,7
17,M3e_0017,20,17
18,M3e_0018,13,10
19,M3e_0019,17,23
20,M3e_0020,30,23
21,M3e_0021,30,10
22,M3e_0022,17,10
23,M3e_0023,30,17
24,M3e_0024,10,17
25,M3e_0025,20,13
26,M3e_0026,13,7
27,M3e_0027,10,7
28,M3e_0028,30,23
29,M3e_0029,27,20
30,M3e_0030,23,10
31,M3e_0031,23,3
32,M3e_0032,23,27
33,M3e_0033,13,3
34,M3e_0034,17,3
35,M3e_0035,27,20
36,M3e_0036,17,20
37,M3e_0037,20,23
38,M3e_0038,20,23
39,M3e_0039,23,27
40,M3e_0040,7,13
41,M3e_0041,13,3
42,M3e_0042,17,10
43,M3e_0043,3,10
44,M3e_0044,30,17
45,M3e_0045,20,3
46,M3e_0046,13,30
47,M3e_0047,27,13
48,M3e_0048,10,10
49,M3e_0049,7,3
50,M3e_0050,7,10
51,M3e_0051,27,20
52,M3e_0052,3,10
53,M3e_0053,7,7
54,M3e_0054,20,7
55,M3e_0055,20,3
56,M3e_0056,17,23
57,M3e_0057,13,3
58,M3e_0058,10,23
59,M3e_0059,27,20
60,M3e_0060,27,30
61,M3e_0061,20,20
62,M3e_0062,20,20
63,M3e_0063,7,30
64,M3e_0064,10,3
65,M3e_0065,10,10
66,M3e_0066,13,27
67,M3e_0067,10,30
68,M3e_0068,13,23
69,M3e_0069,7,3
70,M3e_0070,20,13
71,M3e_0071,13,23
72,M3e_0072,30,10
73,M3e_0073,30,13
74,M3e_0074,30,20
75,M3e_0075,7,10
76,M3e_0076,13,17
77,M3e_0077,10,7
78,M3e_0078,3,3
79,M3e_0079,23,27
80,M3e_0080,23,27
81,M3e_0081,3,17
82,M3e_0082,20,30
83,M3e_0083,10,20
84,M3e_0084,23,27
85,M3e_0085,30,27
86,M3e_0086,20,10
87,M3e_0087,27,7
88,M3e_0088,17,23
89,M3e_0089,13,30
90,M3e_0090,3,13
91,M3e_0091,3,23
92,M3e_0092,10,7
93,M3e_0093,10,7
94,M3e_0094,27,23
95,M3e_0095,3,17
96,M3e_0096,3,20
97,M3e_0097,30,20
98,M3e_0098,27,13
99,M3e_0099,13,13
100,M3e_0100,20,27
101,M3e_0101,30,10
102,M3e_0102,3,20
103,M3e_0103,3,20
104,M3e_0104,13,30
105,M3e_0105,20,7
106,M3e_0106,13,13
107,M3e_0107,20,27
108,M3e_0108,3,3
109,M3e_0109,13,10
110,M3e_0110,10,27
111,M3e_0111,27,10
112,M3e_0112,7,20
113,M3e_0113,17,30
114,M3e_0114,13,13
115,M3e_0115,13,13
116,M3e_0116,20,27
117,M3e_0117,13,13
118,M3e_0118,30,17
119,M3e_0119,13,20
120,M3e_0120,23,3
121,M3e_0121,7,7
122,M3e_0122,3,10
123,M3e_0123,17,20
124,M3e_0124,10,3
125,M3e_0125,20,7
126,M3e_0126,10,27
127,M3e_0127,13,30
128,M3e_0128,7,3
129,M3e_0129,17,10
130,M3e_0130,3,20
131,M3e_0131,23,3
132,M3e_0132,30,13
133,M3e_0133,30,17
134,M3e_0134,10,10
135,M3e_0135,17,10
136,M3e_0136,13,23
137,M3e_0137,27,13
138,M3e_0138,13,23
139,M3e_0139,23,3
140,M3e_0140,3,23
141,M3e_0141,27,20
142,M3e_0142,13,17
143,M3e_0143,3,13
144,M3e_0144,7,13
145,M3e_0145,30,10
146,M3e_0146,10,7
147,M3e_0147,13,7
148,M3e_0148,10,7
149,M3e_0149,7,13
150,M3e_0150,3,17
