uid,Upi,Fleng,Fwidth
1,cgcut3_0001,31,43
2,cgcut3_0002,31,43
3,cgcut3_0003,31,43
4,cgcut3_0004,31,43
5,cgcut3_0005,30,41
6,cgcut3_0006,30,41
7,cgcut3_0007,29,39
8,cgcut3_0008,29,39
9,cgcut3_0009,29,39
10,cgcut3_0010,29,39
11,cgcut3_0011,28,38
12,cgcut3_0012,28,38
13,cgcut3_0013,28,38
14,cgcut3_0014,28,38
15,cgcut3_0015,27,37
16,cgcut3_0016,27,37
17,cgcut3_0017,27,37
18,cgcut3_0018,26,36
19,cgcut3_0019,26,36
20,cgcut3_0020,26,36
21,cgcut3_0021,26,36
22,cgcut3_0022,25,35
23,cgcut3_0023,25,35
24,cgcut3_0024,25,35
25,cgcut3_0025,24,34
26,cgcut3_0026,24,34
27,cgcut3_0027,24,34
28,cgcut3_0028,24,34
29,cgcut3_0029,33,23
30,cgcut3_0030,33,23
31,cgcut3_0031,33,23
32,cgcut3_0032,33,23
33,cgcut3_0033,22,32
34,cgcut3_0034,22,32
35,cgcut3_0035,22,32
36,cgcut3_0036,31,21
37,cgcut3_0037,31,21
38,cgcut3_0038,31,21
39,cgcut3_0039,29,18
40,cgcut3_0040,29,18
41,cgcut3_0041,29,18
42,cgcut3_0042,17,27
43,cgcut3_0043,17,27
44,cgcut3_0044,15,24
45,cgcut3_0045,15,24
46,cgcut3_0046,16,25
47,cgcut3_0047,16,25
48,cgcut3_0048,16,25
49,cgcut3_0049,16,25
50,cgcut3_0050,15,24
51,cgcut3_0051,23,14
52,cgcut3_0052,23,14
53,cgcut3_0053,23,14
54,cgcut3_0054,23,14
55,cgcut3_0055,21,12
56,cgcut3_0056,21,12
57,cgcut3_0057,21,12
58,cgcut3_0058,19,11
59,cgcut3_0059,19,11
60,cgcut3_0060,19,11
61,cgcut3_0061,19,11
62,cgcut3_0062,9,17
