uid,Upi,Fleng,Fwidth
1,gcut8_0001,277,242
2,gcut8_0002,233,177
3,gcut8_0003,182,216
4,gcut8_0004,147,134
5,gcut8_0005,213,127
6,gcut8_0006,315,212
7,gcut8_0007,261,175
8,gcut8_0008,210,281
9,gcut8_0009,243,256
10,gcut8_0010,159,314
11,gcut8_0011,217,147
12,gcut8_0012,260,349
13,gcut8_0013,222,199
14,gcut8_0014,296,127
15,gcut8_0015,263,302
16,gcut8_0016,226,250
17,gcut8_0017,264,344
18,gcut8_0018,237,179
19,gcut8_0019,245,137
20,gcut8_0020,137,328
21,gcut8_0021,321,154
22,gcut8_0022,200,174
23,gcut8_0023,270,128
24,gcut8_0024,299,179
25,gcut8_0025,165,370
26,gcut8_0026,198,182
27,gcut8_0027,155,295
28,gcut8_0028,278,219
29,gcut8_0029,184,155
30,gcut8_0030,187,270
31,gcut8_0031,208,293
32,gcut8_0032,261,204
33,gcut8_0033,344,168
34,gcut8_0034,213,135
35,gcut8_0035,362,162
36,gcut8_0036,362,374
37,gcut8_0037,237,322
38,gcut8_0038,281,308
39,gcut8_0039,155,344
40,gcut8_0040,210,163
41,gcut8_0041,325,225
42,gcut8_0042,360,225
43,gcut8_0043,346,347
44,gcut8_0044,131,144
45,gcut8_0045,284,284
46,gcut8_0046,262,228
47,gcut8_0047,146,178
48,gcut8_0048,254,164
49,gcut8_0049,332,238
50,gcut8_0050,313,304
