uid,pid_raw,Fleng,Fwidth
1,data1_1,564.0,541.0
2,data1_2,2100.0,334.0
3,data1_3,2090.0,304.0
4,data1_4,505.0,304.0
5,data1_5,175.0,525.0
6,data1_6,232.0,515.0
7,data1_7,878.0,369.0
8,data1_8,608.0,877.5
9,data1_9,284.0,323.0
10,data1_10,1576.0,550.0
11,data1_11,505.0,304.0
12,data1_12,483.0,638.5
13,data1_13,713.5,409.0
14,data1_14,740.5,348.0
15,data1_15,417.0,293.0
16,data1_16,654.0,320.0
17,data1_17,712.0,248.5
18,data1_18,393.0,361.0
19,data1_19,2000.0,362.0
20,data1_20,320.0,158.0
21,data1_21,1884.0,303.0
22,data1_22,625.0,80.0
23,data1_23,773.0,70.0
24,data1_24,1368.0,60.0
25,data1_25,832.0,60.0
26,data1_26,150.0,276.0
27,data1_27,440.0,120.0
28,data1_28,944.0,70.0
29,data1_29,643.0,60.0
30,data1_30,514.0,70.0
31,data1_31,1004.0,70.0
32,data1_32,780.0,551.0
33,data1_33,1176.0,320.0
34,data1_34,878.0,363.0
35,data1_35,509.0,331.0
36,data1_36,902.0,330.0
37,data1_37,300.0,330.0
38,data1_38,1485.0,322.0
39,data1_39,654.0,320.0
40,data1_40,664.0,311.0
41,data1_41,2405.0,554.0
42,data1_42,255.0,328.0
43,data1_43,2360.0,444.0
44,data1_44,382.0,321.0
45,data1_45,310.7,293.0
46,data1_46,309.0,300.0
47,data1_47,700.0,304.0
48,data1_48,364.0,303.0
49,data1_49,2355.0,327.0
50,data1_50,827.0,563.0
51,data1_51,326.0,321.0
52,data1_52,1401.0,350.0
53,data1_53,2118.0,555.0
54,data1_54,1626.0,329.0
55,data1_55,2398.0,510.0
56,data1_56,1270.0,310.0
57,data1_57,932.0,354.0
58,data1_58,384.0,373.0
59,data1_59,384.0,373.0
60,data1_60,384.0,373.0
61,data1_61,323.0,361.0
62,data1_62,399.5,290.0
63,data1_63,953.0,301.0
64,data1_64,390.0,301.0
65,data1_65,518.0,554.0
66,data1_66,518.0,560.0
67,data1_67,832.0,553.0
68,data1_68,415.0,233.0
69,data1_69,820.0,751.0
70,data1_70,182.0,519.0
71,data1_71,404.0,303.0
72,data1_72,1284.0,329.0
73,data1_73,435.0,544.0
74,data1_74,1164.0,563.0
75,data1_75,528.0,344.0
76,data1_76,480.0,364.0
77,data1_77,1018.0,371.0
78,data1_78,1018.0,463.0
79,data1_79,590.0,544.0
80,data1_80,2321.0,334.0
81,data1_81,2397.0,812.0
82,data1_82,731.0,248.0
83,data1_83,862.0,279.0
84,data1_84,364.0,311.0
85,data1_85,828.0,443.0
86,data1_86,1686.0,294.0
87,data1_87,313.5,549.5
88,data1_88,326.0,321.0
89,data1_89,450.0,259.0
90,data1_90,874.0,553.0
91,data1_91,1760.0,280.0
92,data1_92,407.0,551.0
93,data1_93,327.0,260.0
94,data1_94,2220.0,474.0
95,data1_95,874.0,553.0
96,data1_96,726.0,473.0
97,data1_97,417.8,433.0
98,data1_98,182.0,653.0
99,data1_99,1335.0,329.0
100,data1_100,878.0,323.0
101,data1_101,932.0,405.0
102,data1_102,402.0,543.0
103,data1_103,767.7,308.0
104,data1_104,812.5,540.0
105,data1_105,1538.0,675.0
106,data1_106,262.0,327.0
107,data1_107,1792.0,363.0
108,data1_108,430.0,361.0
109,data1_109,450.0,544.0
110,data1_110,1114.0,264.0
111,data1_111,717.5,458.5
112,data1_112,914.0,353.0
113,data1_113,743.0,280.0
114,data1_114,900.0,360.0
115,data1_115,1089.0,573.0
116,data1_116,925.0,324.0
117,data1_117,310.7,364.5
118,data1_118,720.0,279.0
119,data1_119,1440.0,1150.0
120,data1_120,855.5,310.0
121,data1_121,2340.0,305.0
122,data1_122,1570.0,334.0
123,data1_123,417.0,549.0
124,data1_124,218.5,290.0
125,data1_125,826.0,353.0
126,data1_126,216.5,375.0
127,data1_127,982.0,367.0
128,data1_128,182.0,300.0
129,data1_129,776.0,543.0
130,data1_130,777.0,543.0
131,data1_131,776.0,393.0
132,data1_132,1534.0,541.0
133,data1_133,844.0,333.0
134,data1_134,350.0,334.0
135,data1_135,953.0,548.0
136,data1_136,509.0,331.0
137,data1_137,1169.0,317.0
138,data1_138,862.0,279.0
139,data1_139,2009.0,323.0
140,data1_140,415.0,288.0
141,data1_141,1686.0,294.0
142,data1_142,1284.0,538.0
143,data1_143,150.5,507.0
144,data1_144,2347.0,560.0
145,data1_145,2320.0,554.0
146,data1_146,1792.0,362.0
147,data1_147,421.0,363.0
148,data1_148,440.0,574.0
149,data1_149,417.0,311.0
150,data1_150,379.0,361.0
151,data1_151,666.0,330.0
152,data1_152,2090.0,363.0
153,data1_153,789.0,273.0
154,data1_154,643.0,273.0
155,data1_155,630.5,359.0
156,data1_156,844.0,333.0
157,data1_157,1210.0,330.0
158,data1_158,421.0,363.0
159,data1_159,878.0,369.0
160,data1_160,714.0,263.0
161,data1_161,1259.0,219.0
162,data1_162,932.0,427.0
163,data1_163,670.0,478.0
164,data1_164,299.5,795.0
165,data1_165,182.0,664.0
166,data1_166,914.0,323.0
167,data1_167,1495.0,330.0
168,data1_168,863.0,280.0
169,data1_169,1458.0,299.0
170,data1_170,1395.0,1062.0
171,data1_171,689.0,280.0
172,data1_172,2347.0,544.0
173,data1_173,402.0,543.0
174,data1_174,895.0,603.0
175,data1_175,403.0,531.0
176,data1_176,347.0,581.0
177,data1_177,2267.0,324.0
178,data1_178,282.0,310.0
179,data1_179,1965.0,354.0
180,data1_180,320.5,311.0
181,data1_181,564.0,559.0
182,data1_182,844.0,333.0
183,data1_183,223.5,358.5
184,data1_184,1190.0,732.0
185,data1_185,2295.0,364.0
186,data1_186,586.0,293.0
187,data1_187,286.0,513.0
188,data1_188,1600.0,330.0
189,data1_189,440.0,574.0
190,data1_190,723.5,340.0
191,data1_191,750.5,339.0
192,data1_192,1485.0,322.0
193,data1_193,813.0,320.0
194,data1_194,310.7,789.5
195,data1_195,899.5,322.0
196,data1_196,474.0,411.0
197,data1_197,880.1,543.0
198,data1_198,300.0,355.0
199,data1_199,2382.0,535.0
200,data1_200,1847.0,310.0
201,data1_201,849.0,523.0
202,data1_202,1334.5,605.0
203,data1_203,163.5,517.0
204,data1_204,347.0,581.0
205,data1_205,870.0,300.0
206,data1_206,364.0,573.0
207,data1_207,441.0,303.0
208,data1_208,664.0,291.0
209,data1_209,450.0,544.0
210,data1_210,2005.0,539.0
211,data1_211,430.0,361.0
212,data1_212,258.0,245.0
213,data1_213,1506.0,550.0
214,data1_214,976.0,220.0
215,data1_215,865.0,310.0
216,data1_216,795.0,311.0
217,data1_217,335.0,301.0
218,data1_218,393.0,361.0
219,data1_219,164.5,312.0
220,data1_220,370.0,574.0
221,data1_221,363.0,541.0
222,data1_222,382.0,321.0
223,data1_223,1495.0,330.0
224,data1_224,373.0,350.0
225,data1_225,679.0,313.0
226,data1_226,1457.0,450.0
227,data1_227,1226.0,323.0
228,data1_228,683.0,861.5
229,data1_229,175.5,319.0
230,data1_230,417.0,363.0
231,data1_231,480.0,364.0
232,data1_232,211.5,299.0
233,data1_233,826.0,353.0
234,data1_234,417.0,549.0
235,data1_235,752.0,329.0
236,data1_236,2090.0,304.0
237,data1_237,1004.0,453.0
238,data1_238,650.0,655.0
239,data1_239,430.0,361.0
240,data1_240,440.0,324.0
241,data1_241,509.0,251.0
242,data1_242,1445.0,420.0
243,data1_243,813.0,320.0
244,data1_244,828.4,309.0
245,data1_245,1089.0,573.0
246,data1_246,791.0,321.0
247,data1_247,670.0,324.0
248,data1_248,828.0,534.0
249,data1_249,791.0,321.0
250,data1_250,782.0,329.0
251,data1_251,313.5,293.0
252,data1_252,310.7,293.0
253,data1_253,2370.0,289.0
254,data1_254,2271.0,294.0
255,data1_255,463.0,333.0
256,data1_256,1965.0,400.0
257,data1_257,399.5,1113.5
258,data1_258,164.0,278.0
259,data1_259,1792.0,363.0
260,data1_260,1565.0,500.0
261,data1_261,713.5,613.5
262,data1_262,717.5,458.5
263,data1_263,723.5,410.0
264,data1_264,214.0,330.0
265,data1_265,514.0,332.0
266,data1_266,2352.0,524.0
267,data1_267,814.0,531.0
268,data1_268,233.0,448.5
269,data1_269,404.0,303.0
270,data1_270,300.0,300.0
271,data1_271,1018.0,463.0
272,data1_272,826.0,353.0
273,data1_273,982.0,869.0
274,data1_274,2380.0,274.0
275,data1_275,310.7,549.5
276,data1_276,1064.0,309.0
277,data1_277,1224.0,308.0
278,data1_278,804.0,303.0
279,data1_279,560.5,341.0
280,data1_280,850.0,280.0
281,data1_281,455.5,251.0
282,data1_282,1720.0,261.0
283,data1_283,2320.0,554.0
284,data1_284,407.0,551.0
285,data1_285,869.0,299.0
286,data1_286,425.5,279.0
287,data1_287,650.0,257.0
288,data1_288,1210.0,570.0
289,data1_289,882.0,369.0
290,data1_290,1349.5,280.0
291,data1_291,387.0,311.0
292,data1_292,812.5,540.0
293,data1_293,511.0,281.0
294,data1_294,430.0,361.0
295,data1_295,284.0,312.0
296,data1_296,823.0,353.0
297,data1_297,363.0,541.0
298,data1_298,370.0,362.0
299,data1_299,781.9,323.0
300,data1_300,518.0,554.0
301,data1_301,982.0,327.0
302,data1_302,494.0,281.0
303,data1_303,2220.0,294.0
304,data1_304,1525.0,355.0
305,data1_305,2100.0,304.0
306,data1_306,545.0,301.0
307,data1_307,364.0,303.0
308,data1_308,558.5,307.0
309,data1_309,595.0,327.0
310,data1_310,384.0,294.0
311,data1_311,1014.0,323.0
312,data1_312,1482.0,352.0
313,data1_313,415.0,233.0
314,data1_314,1339.0,304.0
315,data1_315,622.5,419.0
316,data1_316,384.0,373.0
317,data1_317,379.0,361.0
318,data1_318,1089.0,573.0
319,data1_319,363.0,541.0
320,data1_320,310.7,559.5
321,data1_321,310.7,293.0
322,data1_322,390.0,301.0
323,data1_323,804.0,308.0
324,data1_324,804.0,303.0
325,data1_325,720.0,291.0
326,data1_326,1600.0,310.0
327,data1_327,768.0,250.0
328,data1_328,500.0,380.0
329,data1_329,680.0,320.0
330,data1_330,1403.0,380.0
331,data1_331,393.0,361.0
332,data1_332,1759.5,263.0
333,data1_333,263.0,280.0
334,data1_334,914.0,353.0
335,data1_335,727.0,291.0
336,data1_336,917.0,314.0
337,data1_337,375.0,480.0
338,data1_338,415.0,233.0
339,data1_339,424.5,540.0
340,data1_340,2400.0,580.0
341,data1_341,448.0,309.0
342,data1_342,799.0,363.0
343,data1_343,884.0,543.0
344,data1_344,249.5,299.0
345,data1_345,878.0,351.0
346,data1_346,884.0,543.0
347,data1_347,284.0,323.0
348,data1_348,976.0,220.0
349,data1_349,1626.0,329.0
350,data1_350,499.0,220.0
351,data1_351,1209.0,301.0
352,data1_352,393.0,361.0
353,data1_353,300.0,300.0
354,data1_354,1058.0,351.0
355,data1_355,2347.0,234.0
356,data1_356,373.0,350.0
357,data1_357,2190.0,304.0
358,data1_358,425.0,310.0
359,data1_359,549.0,336.0
360,data1_360,421.0,343.0
361,data1_361,642.0,330.0
362,data1_362,422.0,303.0
363,data1_363,417.0,363.0
364,data1_364,1140.0,569.0
365,data1_365,549.0,336.0
366,data1_366,421.0,531.0
367,data1_367,831.0,316.0
368,data1_368,895.0,603.0
369,data1_369,900.0,989.0
370,data1_370,2326.0,544.0
371,data1_371,2321.0,334.0
372,data1_372,1806.0,291.0
373,data1_373,826.0,353.0
374,data1_374,641.0,279.0
375,data1_375,668.5,342.0
376,data1_376,444.0,511.0
377,data1_377,670.0,321.0
378,data1_378,670.0,321.0
379,data1_379,727.0,291.0
380,data1_380,880.1,541.0
381,data1_381,425.0,310.0
382,data1_382,2190.0,304.0
383,data1_383,1980.0,324.0
384,data1_384,2321.0,814.0
385,data1_385,2000.0,554.0
386,data1_386,2000.0,362.0
387,data1_387,320.0,158.0
388,data1_388,364.0,311.0
389,data1_389,828.0,534.0
390,data1_390,782.0,311.0
391,data1_391,1064.0,303.0
392,data1_392,700.0,310.0
393,data1_393,384.0,282.0
394,data1_394,441.0,259.0
395,data1_395,625.0,80.0
396,data1_396,953.0,60.0
397,data1_397,874.0,60.0
398,data1_398,911.0,70.0
