board,n_parts,used_area,waste_area,board_area,U
1,4,2892286.0,84514.0,2976800.0,0.971609110454179
2,4,2902050.0,74750.0,2976800.0,0.9748891427035743
3,6,2903029.0,73771.0,2976800.0,0.9752180193496371
4,6,2890330.0,86470.0,2976800.0,0.9709520290244558
5,6,2837113.25,139686.75,2976800.0,0.9530748622682075
6,7,2883174.0,93626.0,2976800.0,0.9685481053480247
7,6,2889572.0,87228.0,2976800.0,0.970697393173878
8,7,2873538.75,103261.25,2976800.0,0.9653113242407955
9,5,2800474.0,176326.0,2976800.0,0.9407665950013437
10,6,2870737.0,106063.0,2976800.0,0.9643701289975813
11,5,2843230.75,133569.25,2976800.0,0.9551299213920988
12,4,2852134.0,124666.0,2976800.0,0.9581208008599839
13,5,2869750.0,107050.0,2976800.0,0.9640385649019081
14,6,2837226.75,139573.25,2976800.0,0.9531129904595539
15,6,2883326.5,93473.5,2976800.0,0.9685993348562214
16,6,2835328.0,141472.0,2976800.0,0.9524751410911045
17,6,2884996.5,91803.5,2976800.0,0.9691603399623757
18,6,2906411.0,70389.0,2976800.0,0.9763541386723998
19,6,2863163.0,113637.0,2976800.0,0.961825786079011
20,6,2867803.0,108997.0,2976800.0,0.9633845068529965
21,5,2860449.0,116351.0,2976800.0,0.96091406879871
22,5,2839162.75,137637.25,2976800.0,0.9537633532652513
23,5,2852238.0,124562.0,2976800.0,0.958155737704918
24,5,2832570.25,144229.75,2976800.0,0.9515487268207471
25,3,2759061.0,217739.0,2976800.0,0.926854676162322
26,5,2878974.0,97826.0,2976800.0,0.9671371943026068
27,5,2675734.0,301066.0,2976800.0,0.8988625369524321
28,8,2750805.75,225994.25,2976800.0,0.9240814801128728
29,7,2847169.5,129630.5,2976800.0,0.9564530704111798
30,5,2768583.0,208217.0,2976800.0,0.9300534130610051
31,7,2688350.0,288450.0,2976800.0,0.9031006449879064
32,9,2760811.0,215989.0,2976800.0,0.9274425557645795
33,5,2622734.0,354066.0,2976800.0,0.8810581832840634
34,8,2785372.5,191427.5,2976800.0,0.9356935299650632
35,9,2793161.75,183638.25,2976800.0,0.9383101820747111
36,6,2748169.25,228630.75,2976800.0,0.9231957975006718
37,6,2796389.25,180410.75,2976800.0,0.9393944000268745
38,9,2559503.0,417297.0,2976800.0,0.859816917495297
39,8,2782283.25,194516.75,2976800.0,0.9346557545014781
40,7,2762446.0,214354.0,2976800.0,0.9279918032786886
41,8,2599923.0,376877.0,2976800.0,0.8733952566514378
42,9,2509787.8,467012.2000000002,2976800.0,0.8431160306369255
43,8,2820294.0,156506.0,2976800.0,0.9474247514109111
44,7,2801408.0,175392.0,2976800.0,0.9410803547433486
45,12,2727099.0,249701.0,2976800.0,0.9161176431066917
46,12,2668699.0,308101.0,2976800.0,0.8964992609513571
47,7,2500124.0,476676.0,2976800.0,0.8398696586938995
48,10,2681995.0,294805.0,2976800.0,0.9009658022037087
49,9,2318602.25,658197.75,2976800.0,0.7788908391561408
50,8,2533411.0,443389.0,2976800.0,0.8510518005912389
51,9,2598961.0,377839.0,2976800.0,0.8730720908357968
52,12,2806521.75,170278.25,2976800.0,0.9427982229239452
53,10,2573074.4,403725.6000000001,2976800.0,0.8643759742004837
54,8,2766590.4,210209.6000000001,2976800.0,0.9293840365493147
55,10,2700961.0,275839.0,2976800.0,0.9073370733673743
56,12,2722020.0,254780.0,2976800.0,0.91441144853534
57,11,2739707.5,237092.5,2976800.0,0.9203532316581564
58,14,2543736.1,433063.8999999999,2976800.0,0.8545203238376781
59,9,2471222.0,505578.0,2976800.0,0.8301605751142166
60,10,2614911.2,361888.7999999998,2976800.0,0.8784302606826123
61,12,2558876.1,417923.8999999999,2976800.0,0.8596063222252083
62,11,2265087.65,711712.3500000001,2976800.0,0.7609136152915883
63,16,2466420.15,510379.8500000001,2976800.0,0.8285474838753023
64,19,2404405.25,572394.75,2976800.0,0.8077147440204246
65,14,2565062.3,411737.7000000002,2976800.0,0.8616844598226283
66,11,2199928.0,776872.0,2976800.0,0.7390244557914539
67,11,2248991.0,727809.0,2976800.0,0.755506248320344
68,16,2583683.5,393116.5,2976800.0,0.8679399019080892
69,16,2262846.0500000003,713953.9499999997,2976800.0,0.7601605919107768
70,3,308967.5,2667832.5,2976800.0,0.1037918234345606
