board,uid,pid_raw,x,y,w,h,w0,h0,rotated
1,4,4,5.0,5.0,2405.0,554.0,2405.0,554.0,0
1,66,66,5.0,559.0,2400.0,580.0,2400.0,580.0,0
1,374,374,5.0,1139.0,2054.0,70.0,2054.0,70.0,0
1,169,169,2059.0,1139.0,344.8,70.0,344.8,70.0,0
2,404,404,5.0,5.0,2352.0,530.0,2352.0,530.0,0
2,54,54,5.0,535.0,2352.0,524.0,2352.0,524.0,0
2,209,209,5.0,1059.0,2397.0,146.0,2397.0,146.0,0
2,192,192,2357.0,5.0,70.0,1044.0,1044.0,70.0,1
3,13,13,5.0,5.0,2397.0,812.0,2397.0,812.0,0
3,521,521,5.0,817.0,2355.0,327.0,2355.0,327.0,0
3,426,426,5.0,1144.0,1614.0,70.0,1614.0,70.0,0
3,315,315,1619.0,1144.0,299.0,70.0,299.0,70.0,0
3,375,375,1918.0,1144.0,509.0,70.0,509.0,70.0,0
3,181,181,2360.0,817.0,60.0,284.0,284.0,60.0,1
4,430,430,5.0,5.0,2360.0,536.0,2360.0,536.0,0
4,95,95,5.0,541.0,2400.0,550.0,2400.0,550.0,0
4,469,469,5.0,1091.0,1626.0,110.0,1626.0,110.0,0
4,373,373,1631.0,1091.0,726.0,60.0,726.0,60.0,0
4,210,210,2365.0,5.0,70.0,519.0,519.0,70.0,1
4,510,510,1631.0,1151.0,777.0,60.0,777.0,60.0,0
5,142,142,5.0,5.0,2320.0,288.0,2320.0,288.0,0
5,301,301,5.0,293.0,2290.0,279.0,2290.0,279.0,0
5,464,464,5.0,572.0,2395.0,315.0,2395.0,315.0,0
5,41,41,5.0,887.0,1847.0,310.0,1847.0,310.0,0
5,94,94,1852.0,887.0,549.5,313.5,313.5,549.5,1
5,398,398,2325.0,5.0,60.0,513.0,513.0,60.0,1
6,89,89,5.0,5.0,2352.0,230.0,2352.0,230.0,0
6,69,69,5.0,235.0,2347.0,234.0,2347.0,234.0,0
6,278,278,5.0,469.0,2340.0,242.0,2340.0,242.0,0
6,527,527,5.0,711.0,2332.0,320.0,2332.0,320.0,0
6,403,403,5.0,1031.0,2119.0,184.0,2119.0,184.0,0
6,267,267,2352.0,235.0,60.0,820.0,820.0,60.0,1
6,109,109,2124.0,1055.0,276.0,150.0,150.0,276.0,1
7,439,439,5.0,5.0,2279.0,538.0,2279.0,538.0,0
7,47,47,5.0,543.0,2090.0,304.0,2090.0,304.0,0
7,36,36,5.0,847.0,2295.0,364.0,2295.0,364.0,0
7,208,208,2284.0,5.0,70.0,643.0,643.0,70.0,1
7,179,179,2354.0,5.0,80.0,1209.5,1209.5,80.0,1
7,145,145,2095.0,543.0,182.0,280.0,182.0,280.0,0
8,70,70,5.0,5.0,2190.0,304.0,2190.0,304.0,0
8,160,160,5.0,309.0,2190.0,330.0,2190.0,330.0,0
8,311,311,5.0,639.0,2040.0,564.0,2040.0,564.0,0
8,196,196,2045.0,639.0,384.5,541.5,541.5,384.5,1
8,242,242,2195.0,5.0,162.0,326.0,162.0,326.0,0
8,20,20,2195.0,331.0,182.0,300.0,182.0,300.0,0
8,422,422,2357.0,5.0,60.0,315.0,315.0,60.0,1
9,60,60,5.0,5.0,2220.0,294.0,2220.0,294.0,0
9,251,251,5.0,299.0,1900.0,324.0,1900.0,324.0,0
9,182,182,5.0,623.0,1924.0,303.0,1924.0,303.0,0
9,551,551,5.0,926.0,1864.0,280.0,1864.0,280.0,0
9,295,295,1929.0,299.0,492.0,868.5,868.5,492.0,1
10,236,236,5.0,5.0,1720.0,689.0,1720.0,689.0,0
10,350,350,5.0,694.0,1629.0,508.0,1629.0,508.0,0
10,401,401,1725.0,5.0,600.0,1150.0,600.0,1150.0,0
10,197,197,2325.0,5.0,110.0,844.0,844.0,110.0,1
10,239,239,1634.0,1155.0,776.0,60.0,776.0,60.0,0
10,199,199,1634.0,694.0,75.0,383.0,383.0,75.0,1
11,410,410,5.0,5.0,2350.0,544.0,2350.0,544.0,0
11,185,185,5.0,549.0,2382.0,405.0,2382.0,405.0,0
11,332,332,5.0,954.0,990.0,260.0,990.0,260.0,0
11,212,212,995.0,954.0,1258.5,249.5,1258.5,249.5,0
11,128,128,2355.0,5.0,75.0,383.0,383.0,75.0,1
12,40,40,5.0,5.0,2382.0,535.0,2382.0,535.0,0
12,294,294,5.0,540.0,2353.0,370.0,2353.0,370.0,0
12,51,51,5.0,910.0,2271.0,294.0,2271.0,294.0,0
12,223,223,2358.0,540.0,70.0,564.0,564.0,70.0,1
13,302,302,5.0,5.0,2330.0,586.0,2330.0,586.0,0
13,342,342,5.0,591.0,2321.0,550.0,2321.0,550.0,0
13,240,240,5.0,1141.0,1550.0,70.0,1550.0,70.0,0
13,191,191,2335.0,5.0,60.0,1004.0,1004.0,60.0,1
13,516,516,1555.0,1141.0,844.0,70.0,844.0,70.0,0
14,200,200,5.0,5.0,1502.0,530.0,1502.0,530.0,0
14,349,349,1507.0,5.0,835.5,939.0,939.0,835.5,1
14,563,563,5.0,535.0,1486.5,516.5,1486.5,516.5,0
14,358,358,5.0,1051.5,2345.0,159.0,2345.0,159.0,0
14,220,220,2342.5,5.0,70.0,944.0,944.0,70.0,1
14,542,542,1491.5,944.0,832.0,60.0,832.0,60.0,0
15,434,434,5.0,5.0,1874.0,537.0,1874.0,537.0,0
15,492,492,5.0,542.0,1849.5,549.0,1849.5,549.0,0
15,224,224,1879.0,5.0,494.0,1149.5,1149.5,494.0,1
15,397,397,5.0,1091.0,1724.0,120.0,1724.0,120.0,0
15,206,206,2373.0,5.0,60.0,884.0,884.0,60.0,1
15,508,508,1729.0,1154.5,564.0,60.0,564.0,60.0,0
16,84,84,5.0,5.0,2040.0,544.0,2040.0,544.0,0
16,362,362,5.0,549.0,1650.0,554.0,1650.0,554.0,0
16,104,104,1655.0,549.0,777.0,654.0,777.0,654.0,0
16,219,219,5.0,1103.0,1244.0,70.0,1244.0,70.0,0
16,204,204,2045.0,5.0,364.0,530.0,530.0,364.0,1
16,130,130,1249.0,1103.0,333.0,70.0,333.0,70.0,0
17,176,176,5.0,5.0,2119.0,330.0,2119.0,330.0,0
17,81,81,5.0,335.0,2100.0,334.0,2100.0,334.0,0
17,26,26,5.0,669.0,2090.0,363.0,2090.0,363.0,0
17,155,155,5.0,1032.0,1499.0,180.0,1499.0,180.0,0
17,436,436,2124.0,5.0,301.0,1209.0,1209.0,301.0,1
17,96,96,1504.0,1032.0,595.0,154.5,154.5,595.0,1
18,57,57,5.0,5.0,982.0,869.0,982.0,869.0,0
18,151,151,987.0,5.0,983.0,868.5,983.0,868.5,0
18,202,202,1970.0,5.0,463.0,931.5,463.0,931.5,0
18,447,447,5.0,874.0,975.0,330.0,975.0,330.0,0
18,331,331,987.0,873.5,953.0,333.0,953.0,333.0,0
18,457,457,1940.0,936.5,494.0,261.0,494.0,261.0,0
19,286,286,5.0,5.0,1376.0,508.0,1376.0,508.0,0
19,512,512,5.0,513.0,1355.0,327.0,1355.0,327.0,0
19,514,514,5.0,840.0,1326.0,373.5,1326.0,373.5,0
19,227,227,1381.0,5.0,732.0,1190.0,1190.0,732.0,1
19,8,8,2113.0,5.0,301.0,953.0,953.0,301.0,1
19,346,346,2113.0,958.0,284.0,239.0,284.0,239.0,0
20,172,172,5.0,5.0,861.5,706.0,706.0,861.5,1
20,550,550,866.5,5.0,1004.0,453.0,1004.0,453.0,0
20,48,48,866.5,458.0,1004.0,453.0,1004.0,453.0,0
20,497,497,1870.5,5.0,553.0,1164.0,1164.0,553.0,1
20,336,336,5.0,711.0,827.0,484.0,827.0,484.0,0
20,280,280,832.0,911.0,1020.0,300.0,1020.0,300.0,0
21,215,215,5.0,5.0,2040.0,549.0,2040.0,549.0,0
21,270,270,5.0,554.0,2000.0,354.0,2000.0,354.0,0
21,395,395,5.0,908.0,2220.0,294.0,2220.0,294.0,0
21,244,244,2045.0,5.0,373.5,867.0,867.0,373.5,1
21,356,356,2225.0,872.0,175.5,319.0,175.5,319.0,0
22,68,68,5.0,5.0,1626.0,329.0,1626.0,329.0,0
22,552,552,5.0,334.0,1626.0,311.0,1626.0,311.0,0
22,133,133,5.0,645.0,2040.0,544.0,2040.0,544.0,0
22,165,165,1631.0,5.0,776.5,613.5,613.5,776.5,1
22,229,229,2045.0,618.5,370.0,574.0,370.0,574.0,0
23,347,347,5.0,5.0,2040.0,454.0,2040.0,454.0,0
23,76,76,5.0,459.0,2000.0,554.0,2000.0,554.0,0
23,408,408,5.0,1013.0,1565.0,200.0,1565.0,200.0,0
23,113,113,2045.0,5.0,371.0,1018.0,1018.0,371.0,1
23,299,299,1570.0,1023.0,700.0,182.0,700.0,182.0,0
24,238,238,5.0,5.0,1563.5,917.5,1563.5,917.5,0
24,107,107,1568.5,5.0,543.0,971.0,971.0,543.0,1
24,85,85,5.0,922.5,1327.0,277.0,1327.0,277.0,0
24,352,352,2111.5,5.0,299.0,1149.0,1149.0,299.0,1
24,417,417,1332.0,976.0,764.0,209.0,764.0,209.0,0
25,152,152,5.0,5.0,2347.0,479.0,2347.0,479.0,0
25,127,127,5.0,484.0,2382.0,544.0,2382.0,544.0,0
25,106,106,5.0,1028.0,2119.0,160.0,2119.0,160.0,0
26,103,103,5.0,5.0,2330.0,312.0,2330.0,312.0,0
26,74,74,5.0,317.0,2321.0,334.0,2321.0,334.0,0
26,166,166,5.0,651.0,2320.0,554.0,2320.0,554.0,0
26,131,131,2335.0,5.0,80.0,780.0,780.0,80.0,1
26,450,450,2325.0,785.0,70.0,416.0,416.0,70.0,1
27,385,385,5.0,5.0,2222.0,350.0,2222.0,350.0,0
27,15,15,5.0,355.0,2220.0,474.0,2220.0,474.0,0
27,254,254,5.0,829.0,2220.0,300.0,2220.0,300.0,0
27,553,553,2225.0,355.0,182.0,633.0,182.0,633.0,0
27,262,262,2227.0,5.0,198.0,326.0,326.0,198.0,1
28,330,330,5.0,5.0,2090.0,330.0,2090.0,330.0,0
28,118,118,5.0,335.0,2064.0,321.0,2064.0,321.0,0
28,123,123,5.0,656.0,2020.0,284.0,2020.0,284.0,0
28,237,237,2025.0,656.0,363.0,541.0,363.0,541.0,0
28,360,360,5.0,940.0,405.0,266.0,266.0,405.0,1
28,307,307,410.0,940.0,1334.5,213.5,1334.5,213.5,0
28,421,421,2095.0,5.0,293.0,586.0,586.0,293.0,1
28,490,490,1744.5,940.0,273.0,235.0,235.0,273.0,1
29,162,162,5.0,5.0,2040.0,570.0,2040.0,570.0,0
29,296,296,5.0,575.0,2000.0,280.0,2000.0,280.0,0
29,506,506,5.0,855.0,1884.0,330.0,1884.0,330.0,0
29,455,455,2045.0,5.0,318.0,700.0,700.0,318.0,1
29,487,487,1889.0,855.0,539.0,357.5,357.5,539.0,1
29,540,540,2363.0,5.0,60.0,820.0,820.0,60.0,1
29,221,221,2005.0,705.0,322.0,118.5,118.5,322.0,1
30,475,475,5.0,5.0,1796.0,600.0,1796.0,600.0,0
30,449,449,5.0,605.0,1760.0,280.0,1760.0,280.0,0
30,149,149,5.0,885.0,1807.0,291.0,1807.0,291.0,0
30,154,154,1812.0,5.0,529.0,1154.0,1154.0,529.0,1
30,180,180,2341.0,5.0,70.0,884.0,884.0,70.0,1
31,135,135,5.0,5.0,1760.0,299.0,1760.0,299.0,0
31,268,268,5.0,304.0,1724.0,344.0,1724.0,344.0,0
31,338,338,5.0,648.0,1724.0,432.0,1724.0,432.0,0
31,354,354,1765.0,5.0,575.0,1140.0,1140.0,575.0,1
31,541,541,5.0,1145.0,776.0,70.0,776.0,70.0,0
31,314,314,781.0,1145.0,773.0,70.0,773.0,70.0,0
31,511,511,2340.0,5.0,79.0,764.0,764.0,79.0,1
32,288,288,5.0,5.0,1724.0,361.0,1724.0,361.0,0
32,194,194,5.0,366.0,1679.0,318.0,1679.0,318.0,0
32,500,500,5.0,684.0,1580.0,305.0,1580.0,305.0,0
32,56,56,1729.0,5.0,463.0,1018.0,1018.0,463.0,1
32,325,325,2192.0,5.0,175.0,1143.0,175.0,1143.0,0
32,269,269,5.0,989.0,1259.0,219.0,1259.0,219.0,0
