board,n_parts,used_area,waste_area,board_area,U
1,5,2897100.0,79700.0,2976800.0,0.973226283257189
2,3,2845699.0,131101.0,2976800.0,0.9559590835796828
3,4,2898690.0,78110.0,2976800.0,0.97376041386724
4,3,2651830.0,324970.0,2976800.0,0.8908324375167965
5,5,2856023.25,120776.75,2976800.0,0.959427321284601
6,6,2818722.0,158078.0,2976800.0,0.9468966675624833
7,5,2875833.0,100967.0,2976800.0,0.966082034399355
8,8,2877051.0,99749.0,2976800.0,0.9664911986025262
9,4,2717538.0,259262.0,2976800.0,0.9129058048911582
10,6,2786639.6,190160.3999999999,2976800.0,0.9361191883902177
11,7,2817224.5,159575.5,2976800.0,0.9463936105885514
12,6,2882332.0,94468.0,2976800.0,0.9682652512765386
13,6,2818993.0,157807.0,2976800.0,0.9469877049180327
14,5,2873130.5,103669.5,2976800.0,0.9651741803278688
15,7,2885727.0,91073.0,2976800.0,0.969405737704918
16,7,2855375.0,121425.0,2976800.0,0.9592095538833647
17,7,2712516.25,264283.75,2976800.0,0.9112188423810803
18,7,2874588.0,102212.0,2976800.0,0.965663800053749
19,5,2768771.0,208029.0,2976800.0,0.9301165681268476
20,6,2757543.0,219257.0,2976800.0,0.9263447325987638
21,7,2695437.25,281362.75,2976800.0,0.9054814733942489
22,5,2882443.75,94356.25,2976800.0,0.9683027915882827
23,6,2773473.25,203326.75,2976800.0,0.9316962006181134
24,5,2616363.25,360436.75,2976800.0,0.8789180495834453
25,5,2668626.0,308174.0,2976800.0,0.896474737973663
26,5,2772813.75,203986.25,2976800.0,0.9314746539908627
27,8,2794201.0,182599.0,2976800.0,0.9386592985756517
28,9,2768257.75,208542.25,2976800.0,0.9299441514377855
29,5,2551646.75,425153.25,2976800.0,0.8571777579951626
30,9,2772178.0,204622.0,2976800.0,0.9312610857296426
31,7,2784164.5,192635.5,2976800.0,0.9352877250739049
32,9,2778456.6,198343.3999999999,2976800.0,0.9333702633700618
33,5,2816998.75,159801.25,2976800.0,0.9463177741198603
34,5,2632824.0,343976.0,2976800.0,0.8844477291050793
35,9,2769310.65,207489.3500000001,2976800.0,0.9302978533996237
36,5,2594564.5,382235.5,2976800.0,0.8715951693093255
37,7,2824176.5,152623.5,2976800.0,0.9487290042999194
38,6,2696305.0,280495.0,2976800.0,0.9057729776941682
39,7,2674692.45,302107.5499999998,2976800.0,0.8985126478097286
40,8,2711073.3,265726.7000000002,2976800.0,0.910734110454179
41,11,2825223.0,151577.0,2976800.0,0.9490805563020693
42,8,2715680.0,261120.0,2976800.0,0.9122816447191615
43,8,2750594.0,226206.0,2976800.0,0.9240103466809997
44,6,2329859.0,646941.0,2976800.0,0.7826723327062618
45,7,2455110.5,521689.5,2976800.0,0.8247482195646332
46,10,2640662.1,336137.8999999999,2976800.0,0.8870807914539103
47,9,2601296.0,375504.0,2976800.0,0.8738564901908089
48,12,2703347.0,273453.0,2976800.0,0.9081386052136522
49,9,2299094.5,677705.5,2976800.0,0.7723375772641763
50,8,2608978.0,367822.0,2976800.0,0.8764371136791185
51,11,2733534.0,243266.0,2976800.0,0.9182793603869928
52,9,2488546.25,488253.75,2976800.0,0.8359803312281645
53,12,2764225.0,212575.0,2976800.0,0.9285894248857834
54,11,2755745.5,221054.5,2976800.0,0.925740896264445
55,11,2590544.0,386256.0,2976800.0,0.8702445579145391
56,9,2202260.5,774539.5,2976800.0,0.7398080153184627
57,9,2396732.0,580068.0,2976800.0,0.8051370599301263
58,9,2448470.5,528329.5,2976800.0,0.8225176363880677
59,11,2603376.0,373424.0,2976800.0,0.8745552270894921
60,11,2646920.95,329879.0499999998,2976800.0,0.889183334453104
61,11,2643087.0,333713.0,2976800.0,0.8878953910239183
62,11,2446121.0,530679.0,2976800.0,0.8217283660306369
63,14,2642337.0,334463.0,2976800.0,0.8876434426229508
64,11,2275613.3,701186.7000000002,2976800.0,0.7644495095404461
65,12,2132606.75,844193.25,2976800.0,0.7164091474066111
66,14,2453818.25,522981.75,2976800.0,0.8243141124697662
67,15,2452996.15,523803.8500000001,2976800.0,0.8240379434291857
68,19,2581241.8,395558.2000000002,2976800.0,0.8671196586938994
69,2,2574208.0,402592.0,2976800.0,0.864756785810266
70,20,2501395.5,475404.5,2976800.0,0.8402967952163397
