board,uid,pid_raw,x,y,w,h,w0,h0,rotated
1,302,302,5.0,5.0,2330.0,586.0,2330.0,586.0,0
1,95,95,5.0,591.0,2400.0,550.0,2400.0,550.0,0
1,374,374,5.0,1141.0,2054.0,70.0,2054.0,70.0,0
1,178,178,2335.0,5.0,100.0,509.0,509.0,100.0,1
1,181,181,2059.0,1141.0,284.0,60.0,284.0,60.0,0
2,13,13,5.0,5.0,2397.0,812.0,2397.0,812.0,0
2,294,294,5.0,817.0,2353.0,370.0,2353.0,370.0,0
2,128,128,2358.0,817.0,75.0,383.0,383.0,75.0,1
3,66,66,5.0,5.0,2400.0,580.0,2400.0,580.0,0
3,4,4,5.0,585.0,2405.0,554.0,2405.0,554.0,0
3,80,80,5.0,1139.0,1600.0,75.0,1600.0,75.0,0
3,541,541,1605.0,1139.0,776.0,70.0,776.0,70.0,0
4,166,166,5.0,5.0,2320.0,554.0,2320.0,554.0,0
4,342,342,5.0,559.0,2321.0,550.0,2321.0,550.0,0
4,509,509,5.0,1109.0,900.0,100.0,900.0,100.0,0
5,40,40,5.0,5.0,2382.0,535.0,2382.0,535.0,0
5,430,430,5.0,540.0,2360.0,536.0,2360.0,536.0,0
5,397,397,5.0,1076.0,1724.0,120.0,1724.0,120.0,0
5,223,223,2365.0,540.0,70.0,564.0,564.0,70.0,1
5,198,198,1729.0,1076.0,569.5,123.5,123.5,569.5,1
6,439,439,5.0,5.0,2279.0,538.0,2279.0,538.0,0
6,404,404,5.0,543.0,2352.0,530.0,2352.0,530.0,0
6,469,469,5.0,1073.0,1626.0,110.0,1626.0,110.0,0
6,372,372,1631.0,1073.0,758.0,110.0,758.0,110.0,0
6,206,206,2357.0,5.0,60.0,884.0,884.0,60.0,1
6,398,398,2284.0,5.0,60.0,513.0,513.0,60.0,1
7,152,152,5.0,5.0,2347.0,479.0,2347.0,479.0,0
7,15,15,5.0,484.0,2220.0,474.0,2220.0,474.0,0
7,278,278,5.0,958.0,2340.0,242.0,2340.0,242.0,0
7,179,179,2352.0,5.0,80.0,1209.5,1209.5,80.0,1
7,399,399,2225.0,484.0,110.0,330.0,110.0,330.0,0
8,36,36,5.0,5.0,2295.0,364.0,2295.0,364.0,0
8,185,185,5.0,369.0,2382.0,405.0,2382.0,405.0,0
8,26,26,5.0,774.0,2090.0,363.0,2090.0,363.0,0
8,351,351,2095.0,774.0,330.0,403.5,403.5,330.0,1
8,426,426,5.0,1137.0,1614.0,70.0,1614.0,70.0,0
8,450,450,1619.0,1137.0,416.0,70.0,416.0,70.0,0
8,169,169,2300.0,5.0,70.0,344.8,344.8,70.0,1
8,422,422,2370.0,5.0,60.0,315.0,315.0,60.0,1
9,54,54,5.0,5.0,2352.0,524.0,2352.0,524.0,0
9,162,162,5.0,529.0,2040.0,570.0,2040.0,570.0,0
9,211,211,2045.0,529.0,370.0,645.0,645.0,370.0,1
9,207,207,5.0,1099.0,1394.0,60.0,1394.0,60.0,0
10,311,311,5.0,5.0,2040.0,564.0,2040.0,564.0,0
10,215,215,5.0,569.0,2040.0,549.0,2040.0,549.0,0
10,116,116,2045.0,5.0,308.0,767.7,767.7,308.0,1
10,495,495,2045.0,772.7,312.0,409.0,409.0,312.0,1
10,240,240,5.0,1118.0,1550.0,70.0,1550.0,70.0,0
10,373,373,2353.0,5.0,60.0,726.0,726.0,60.0,1
11,347,347,5.0,5.0,2040.0,454.0,2040.0,454.0,0
11,160,160,5.0,459.0,2190.0,330.0,2190.0,330.0,0
11,385,385,5.0,789.0,2222.0,350.0,2222.0,350.0,0
11,92,92,2227.0,5.0,150.0,1114.0,1114.0,150.0,1
11,108,108,5.0,1139.0,1550.0,70.0,1550.0,70.0,0
11,516,516,1555.0,1139.0,844.0,70.0,844.0,70.0,0
11,356,356,2045.0,5.0,175.5,319.0,175.5,319.0,0
12,76,76,5.0,5.0,2000.0,554.0,2000.0,554.0,0
12,270,270,5.0,559.0,2000.0,354.0,2000.0,354.0,0
12,254,254,5.0,913.0,2220.0,300.0,2220.0,300.0,0
12,159,159,2005.0,5.0,303.0,844.0,844.0,303.0,1
12,132,132,2308.0,5.0,100.0,900.0,900.0,100.0,1
12,20,20,2225.0,905.0,182.0,300.0,182.0,300.0,0
13,81,81,5.0,5.0,2100.0,334.0,2100.0,334.0,0
13,330,330,5.0,339.0,2090.0,330.0,2090.0,330.0,0
13,434,434,5.0,669.0,1874.0,537.0,1874.0,537.0,0
13,388,388,2095.0,339.0,316.0,830.0,830.0,316.0,1
13,343,343,2105.0,5.0,280.0,281.0,280.0,281.0,0
13,256,256,1879.0,669.0,199.0,405.0,405.0,199.0,1
14,74,74,5.0,5.0,2321.0,334.0,2321.0,334.0,0
14,492,492,5.0,339.0,1849.5,549.0,1849.5,549.0,0
