uid,step
302,1
13,2
95,3
66,4
4,5
166,6
342,7
40,8
430,9
294,10
439,11
404,12
152,13
15,14
36,15
185,16
26,17
54,18
162,19
311,20
215,21
347,22
160,23
385,24
76,25
270,26
254,27
81,28
330,29
434,30
74,31
492,32
464,33
176,34
475,35
301,36
521,37
70,38
142,39
123,40
236,41
118,42
84,43
338,44
362,45
395,46
527,47
350,48
133,49
60,50
187,51
238,52
278,53
51,54
89,55
22,56
200,57
103,58
378,59
146,60
296,61
477,62
563,63
82,64
288,65
47,66
251,67
345,68
506,69
69,70
515,71
431,72
268,73
203,74
182,75
43,76
41,77
149,78
286,79
135,80
452,81
227,82
194,83
68,84
401,85
503,86
224,87
481,88
354,89
136,90
72,91
551,92
201,93
154,94
151,95
514,96
57,97
156,98
364,99
349,100
164,101
552,102
107,103
148,104
249,105
56,106
137,107
282,108
555,109
474,110
24,111
98,112
202,113
172,114
500,115
449,116
104,117
368,118
257,119
304,120
414,121
273,122
258,123
260,124
124,125
6,126
165,127
512,128
558,129
300,130
32,131
67,132
501,133
86,134
459,135
11,136
403,137
155,138
106,139
358,140
216,141
209,142
397,143
292,144
80,145
374,146
7,147
440,148
144,149
159,150
472,151
545,152
388,153
225,154
253,155
380,156
92,157
351,158
419,159
291,160
184,161
357,162
116,163
428,164
38,165
359,166
495,167
35,168
426,169
480,170
497,171
114,172
318,173
442,174
240,175
108,176
293,177
211,178
179,179
132,180
207,181
427,182
139,183
102,184
173,185
219,186
222,187
334,188
484,189
192,190
117,191
220,192
180,193
131,194
170,195
325,196
485,197
191,198
516,199
129,200
541,201
314,202
542,203
540,204
507,205
533,206
259,207
510,208
195,209
267,210
509,211
316,212
469,213
343,214
534,215
214,216
256,217
408,218
239,219
197,220
372,221
206,222
212,223
391,224
490,225
55,226
379,227
281,228
208,229
377,230
483,231
448,232
479,233
255,234
188,235
550,236
353,237
525,238
213,239
537,240
48,241
346,242
402,243
476,244
178,245
174,246
150,247
499,248
223,249
90,250
535,251
444,252
473,253
113,254
471,255
373,256
189,257
10,258
112,259
520,260
198,261
443,262
289,263
382,264
526,265
554,266
447,267
269,268
352,269
436,270
101,271
29,272
266,273
454,274
168,275
85,276
468,277
416,278
290,279
119,280
532,281
564,282
34,283
465,284
331,285
494,286
205,287
543,288
307,289
83,290
141,291
435,292
50,293
522,294
310,295
231,296
295,297
413,298
453,299
171,300
491,301
508,302
539,303
409,304
417,305
335,306
42,307
153,308
420,309
122,310
375,311
226,312
470,313
299,314
143,315
65,316
134,317
280,318
424,319
561,320
3,321
478,322
458,323
105,324
332,325
28,326
438,327
425,328
244,329
277,330
158,331
418,332
336,333
297,334
493,335
405,336
14,337
329,338
91,339
31,340
387,341
398,342
138,343
341,344
328,345
287,346
505,347
271,348
8,349
248,350
120,351
64,352
175,353
553,354
96,355
327,356
389,357
140,358
462,359
193,360
190,361
467,362
49,363
241,364
18,365
21,366
400,367
177,368
429,369
423,370
456,371
322,372
381,373
333,374
406,375
433,376
217,377
52,378
163,379
319,380
547,381
1,382
125,383
544,384
455,385
340,386
548,387
46,388
121,389
298,390
265,391
167,392
245,393
78,394
204,395
30,396
306,397
412,398
320,399
186,400
361,401
93,402
12,403
126,404
371,405
356,406
365,407
303,408
528,409
235,410
369,411
390,412
9,413
518,414
157,415
399,416
264,417
486,418
557,419
229,420
79,421
531,422
75,423
393,424
221,425
366,426
482,427
88,428
279,429
524,430
228,431
58,432
261,433
115,434
363,435
100,436
19,437
546,438
367,439
461,440
415,441
445,442
308,443
355,444
421,445
538,446
530,447
243,448
460,449
560,450
529,451
247,452
62,453
61,454
37,455
383,456
17,457
246,458
196,459
376,460
33,461
250,462
489,463
305,464
496,465
463,466
53,467
536,468
370,469
411,470
502,471
94,472
337,473
488,474
73,475
504,476
457,477
386,478
183,479
274,480
285,481
321,482
27,483
559,484
523,485
111,486
97,487
432,488
237,489
23,490
71,491
39,492
276,493
487,494
466,495
242,496
498,497
312,498
562,499
348,500
407,501
344,502
283,503
556,504
317,505
446,506
16,507
360,508
324,509
232,510
262,511
284,512
392,513
59,514
161,515
396,516
410,517
384,518
147,519
127,520
511,521
210,522
517,523
230,524
45,525
313,526
441,527
263,528
252,529
20,530
44,531
110,532
99,533
326,534
2,535
275,536
63,537
25,538
233,539
513,540
323,541
309,542
394,543
339,544
234,545
437,546
549,547
451,548
77,549
272,550
519,551
5,552
87,553
218,554
145,555
109,556
181,557
450,558
199,559
128,560
169,561
130,562
315,563
422,564
