board,uid,pid_raw,x,y,w,h,w0,h0,rotated
1,1053,1053,5.0,5.0,2090.0,560.0,2090.0,560.0,0
1,142,142,5.0,565.0,2150.0,544.0,2150.0,544.0,0
1,779,779,5.0,1109.0,2400.0,100.0,2400.0,100.0,0
1,4,4,2095.0,5.0,329.0,550.5,550.5,329.0,1
1,702,702,2155.0,555.5,243.0,525.5,243.0,525.5,0
2,82,82,5.0,5.0,2090.0,554.0,2090.0,554.0,0
2,260,260,5.0,559.0,2090.0,554.0,2090.0,554.0,0
2,921,921,2095.0,5.0,330.0,961.0,961.0,330.0,1
2,867,867,5.0,1113.0,2400.0,100.0,2400.0,100.0,0
2,53,53,2095.0,966.0,300.0,70.0,70.0,300.0,1
2,800,800,2095.0,1036.0,300.0,70.0,70.0,300.0,1
3,494,494,5.0,5.0,2340.0,514.0,2340.0,514.0,0
3,583,583,5.0,519.0,2340.0,514.0,2340.0,514.0,0
3,124,124,5.0,1033.0,2400.0,100.0,2400.0,100.0,0
3,1002,1002,5.0,1133.0,1866.0,70.0,1866.0,70.0,0
3,51,51,2345.0,5.0,70.0,1009.0,1009.0,70.0,1
3,1141,1141,1871.0,1133.0,501.0,70.0,501.0,70.0,0
4,1040,1040,5.0,5.0,2350.0,424.0,2350.0,424.0,0
4,270,270,5.0,429.0,2040.0,476.0,2040.0,476.0,0
4,30,30,5.0,905.0,2400.0,300.0,2400.0,300.0,0
4,607,607,2045.0,429.0,354.0,455.0,455.0,354.0,1
4,725,725,2355.0,5.0,70.0,400.0,400.0,70.0,1
5,1115,1115,5.0,5.0,2090.0,554.0,2090.0,554.0,0
5,1190,1190,5.0,559.0,2090.0,554.0,2090.0,554.0,0
5,15,15,2095.0,5.0,331.0,934.0,934.0,331.0,1
5,1140,1140,5.0,1113.0,2400.0,100.0,2400.0,100.0,0
5,433,433,2095.0,939.0,337.0,161.5,161.5,337.0,1
6,94,94,5.0,5.0,2055.0,554.0,2055.0,554.0,0
6,849,849,5.0,559.0,2055.0,553.0,2055.0,553.0,0
6,1191,1191,2060.0,5.0,349.0,982.0,982.0,349.0,1
6,1143,1143,5.0,1112.0,2400.0,100.0,2400.0,100.0,0
6,1145,1145,2060.0,987.0,363.0,80.0,363.0,80.0,0
7,84,84,5.0,5.0,2040.0,550.0,2040.0,550.0,0
7,1059,1059,5.0,555.0,2040.0,550.0,2040.0,550.0,0
7,417,417,2045.0,5.0,358.0,888.0,888.0,358.0,1
7,1080,1080,5.0,1105.0,2380.0,100.0,2380.0,100.0,0
7,598,598,2045.0,893.0,370.0,200.0,200.0,370.0,1
8,670,670,5.0,5.0,2420.0,370.0,2420.0,370.0,0
8,42,42,5.0,375.0,2420.0,364.0,2420.0,364.0,0
8,246,246,5.0,739.0,2420.0,364.0,2420.0,364.0,0
8,47,47,5.0,1103.0,2400.0,100.0,2400.0,100.0,0
9,644,644,5.0,5.0,1945.0,620.0,1945.0,620.0,0
9,113,113,5.0,625.0,2340.0,514.0,2340.0,514.0,0
9,683,683,1950.0,5.0,476.0,586.0,476.0,586.0,0
9,122,122,5.0,1139.0,2243.0,70.0,2243.0,70.0,0
9,1081,1081,2345.0,591.0,70.0,419.0,419.0,70.0,1
10,908,908,5.0,5.0,1606.0,560.0,1606.0,560.0,0
10,436,436,5.0,565.0,2420.0,364.0,2420.0,364.0,0
10,245,245,1611.0,5.0,813.0,551.0,813.0,551.0,0
10,337,337,5.0,929.0,1413.0,273.0,1413.0,273.0,0
10,814,814,1418.0,929.0,975.0,274.0,975.0,274.0,0
11,1100,1100,5.0,5.0,2363.0,449.0,2363.0,449.0,0
11,790,790,5.0,454.0,2420.0,364.0,2420.0,364.0,0
11,497,497,5.0,818.0,2322.0,294.0,2322.0,294.0,0
11,708,708,5.0,1112.0,1959.0,94.0,1959.0,94.0,0
11,1149,1149,1964.0,1112.0,400.0,70.0,400.0,70.0,0
11,1001,1001,2364.0,818.0,70.0,397.0,397.0,70.0,1
11,873,873,2368.0,5.0,60.0,443.0,443.0,60.0,1
12,39,39,5.0,5.0,2340.0,514.0,2340.0,514.0,0
12,1164,1164,5.0,519.0,2326.0,575.0,2326.0,575.0,0
12,1146,1146,5.0,1094.0,1959.0,120.0,1959.0,120.0,0
12,999,999,2345.0,5.0,70.0,1060.0,1060.0,70.0,1
12,1004,1004,1964.0,1094.0,415.0,70.0,415.0,70.0,0
13,327,327,5.0,5.0,2040.0,544.0,2040.0,544.0,0
13,932,932,5.0,549.0,2040.0,360.0,2040.0,360.0,0
13,262,262,2045.0,5.0,389.0,732.5,732.5,389.0,1
