uid,step
533,1
104,2
78,3
485,4
13,5
210,6
785,7
827,8
60,9
1065,10
11,11
272,12
311,13
350,14
813,15
997,16
980,17
790,18
541,19
425,20
494,21
722,22
569,23
384,24
748,25
618,26
749,27
483,28
958,29
659,30
1011,31
660,32
996,33
877,34
314,35
823,36
1098,37
58,38
283,39
865,40
583,41
81,42
944,43
15,44
336,45
655,46
76,47
568,48
1061,49
421,50
1074,51
265,52
794,53
810,54
1089,55
184,56
784,57
441,58
550,59
75,60
955,61
588,62
405,63
858,64
1078,65
1071,66
709,67
1021,68
591,69
149,70
381,71
51,72
447,73
54,74
630,75
876,76
17,77
621,78
766,79
622,80
1024,81
82,82
147,83
580,84
1000,85
913,86
474,87
487,88
1004,89
1066,90
155,91
863,92
807,93
761,94
214,95
906,96
96,97
592,98
822,99
711,100
1002,101
328,102
683,103
617,104
593,105
956,106
355,107
86,108
394,109
282,110
508,111
896,112
725,113
226,114
746,115
74,116
332,117
375,118
613,119
941,120
551,121
1030,122
1031,123
192,124
1067,125
874,126
1034,127
1033,128
724,129
735,130
917,131
805,132
62,133
576,134
102,135
241,136
849,137
892,138
656,139
73,140
570,141
1059,142
429,143
679,144
256,145
649,146
1060,147
747,148
611,149
701,150
641,151
928,152
1058,153
145,154
1111,155
964,156
109,157
315,158
690,159
946,160
900,161
788,162
12,163
620,164
482,165
1005,166
777,167
642,168
514,169
537,170
511,171
521,172
739,173
952,174
939,175
1070,176
715,177
779,178
250,179
615,180
1105,181
601,182
1083,183
1064,184
839,185
848,186
628,187
532,188
616,189
989,190
531,191
933,192
970,193
317,194
975,195
300,196
347,197
98,198
1042,199
969,200
844,201
134,202
740,203
666,204
1062,205
14,206
1028,207
553,208
732,209
688,210
637,211
234,212
309,213
926,214
678,215
84,216
1086,217
391,218
274,219
23,220
193,221
565,222
79,223
998,224
428,225
383,226
7,227
727,228
1102,229
1075,230
798,231
186,232
703,233
408,234
652,235
279,236
841,237
469,238
619,239
614,240
378,241
629,242
20,243
789,244
824,245
549,246
245,247
269,248
632,249
197,250
1007,251
999,252
35,253
817,254
289,255
419,256
460,257
1010,258
744,259
85,260
911,261
895,262
910,263
909,264
2,265
639,266
53,267
1107,268
22,269
1109,270
792,271
9,272
804,273
943,274
206,275
463,276
919,277
138,278
161,279
957,280
873,281
988,282
235,283
137,284
708,285
681,286
1017,287
401,288
668,289
664,290
209,291
530,292
843,293
442,294
752,295
826,296
435,297
1027,298
373,299
961,300
297,301
1113,302
175,303
918,304
948,305
177,306
963,307
978,308
773,309
132,310
801,311
864,312
260,313
847,314
393,315
412,316
765,317
110,318
967,319
458,320
459,321
386,322
557,323
154,324
129,325
713,326
840,327
783,328
290,329
736,330
87,331
10,332
1099,333
331,334
240,335
915,336
686,337
3,338
255,339
276,340
171,341
833,342
646,343
965,344
984,345
528,346
780,347
121,348
574,349
409,350
189,351
356,352
357,353
871,354
806,355
674,356
870,357
979,358
415,359
188,360
995,361
1006,362
29,363
131,364
842,365
1048,366
647,367
775,368
1012,369
587,370
971,371
1019,372
1026,373
811,374
812,375
937,376
942,377
706,378
539,379
1050,380
144,381
631,382
1014,383
194,384
506,385
196,386
178,387
776,388
891,389
219,390
464,391
959,392
451,393
489,394
484,395
77,396
1072,397
875,398
1068,399
878,400
745,401
