board,n_parts,used_area,waste_area,board_area,U
1,5,2895662.0,81138.0,2976800.0,0.972743214189734
2,4,2892286.0,84514.0,2976800.0,0.971609110454179
3,3,2845699.0,131101.0,2976800.0,0.9559590835796828
4,4,2830998.0,145802.0,2976800.0,0.951020558989519
5,5,2773260.0,203540.0,2976800.0,0.9316245632894383
6,5,2873143.25,103656.75,2976800.0,0.9651784634506853
7,2,2511520.0,465280.0,2976800.0,0.8436979306638
8,5,2820030.0,156770.0,2976800.0,0.9473360655737705
9,4,2746878.0,229922.0,2976800.0,0.9227620263370062
10,7,2861883.0,114917.0,2976800.0,0.9613957941413599
11,7,2873065.0,103735.0,2976800.0,0.9651521768341843
12,8,2839747.0,137053.0,2976800.0,0.953959621069605
13,4,2494162.0,482638.0,2976800.0,0.8378668368718086
14,4,2793508.0,183292.0,2976800.0,0.9384264982531577
15,5,2867422.5,109377.5,2976800.0,0.9632566850309057
16,6,2718082.0,258718.0,2976800.0,0.9130885514646601
17,6,2707620.0,269180.0,2976800.0,0.9095740392367643
18,7,2806658.0,170142.0,2976800.0,0.9428439935501209
19,7,2777941.0,198859.0,2976800.0,0.9331970572426767
20,6,2824130.0,152670.0,2976800.0,0.9487133834990594
21,7,2778561.0,198239.0,2976800.0,0.9334053345874764
22,5,2769134.75,207665.25,2976800.0,0.9302387631013168
23,6,2869015.25,107784.75,2976800.0,0.9637917394517603
24,8,2851728.5,125071.5,2976800.0,0.9579845807578607
25,7,2789494.3,187305.7000000002,2976800.0,0.9370781711905402
26,5,2784923.6,191876.3999999999,2976800.0,0.9355427304488041
27,8,2814951.15,161848.8500000001,2976800.0,0.9456299213920989
28,6,2730685.75,246114.25,2976800.0,0.9173225443429186
29,7,2822622.0,154178.0,2976800.0,0.948206799247514
30,5,2602074.5,374725.5,2976800.0,0.8741180126310132
31,6,2682830.5,293969.5,2976800.0,0.9012464727223864
32,4,2549708.25,427091.75,2976800.0,0.8565265553614619
33,6,2715900.0,260900.0,2976800.0,0.9123555495834453
34,6,2562466.0,414334.0,2976800.0,0.8608122816447191
35,8,2871459.0,105341.0,2976800.0,0.9646126713249127
36,6,2751930.0,224870.0,2976800.0,0.9244591507659231
37,7,2634361.1,342438.8999999999,2976800.0,0.8849640889545821
38,6,2703291.0,273509.0,2976800.0,0.90811979306638
39,7,2716611.95,260188.0499999998,2976800.0,0.9125947158022037
40,6,2437904.0,538896.0,2976800.0,0.8189680193496371
41,9,2775975.0,200825.0,2976800.0,0.9325366165009407
42,8,2711325.75,265474.25,2976800.0,0.9108189162859447
43,6,2588898.0,387902.0,2976800.0,0.8696916151572158
44,8,2713900.25,262899.75,2976800.0,0.9116837711636657
45,9,2727455.0,249345.0,2976800.0,0.916237234614351
46,12,2816831.75,159968.25,2976800.0,0.9462616736092448
47,10,2804384.75,172415.25,2976800.0,0.9420803379467885
48,10,2788408.5,188391.5,2976800.0,0.9367134170921795
49,12,2625368.5,351431.5,2976800.0,0.8819431940338619
50,13,2667101.0,309699.0,2976800.0,0.8959624428916958
51,11,2822623.0,154177.0,2976800.0,0.9482071351787154
52,17,2810719.0,166081.0,2976800.0,0.9442082101585595
53,14,2483991.0,492809.0,2976800.0,0.8344500806234884
54,11,2578649.5,398150.5,2976800.0,0.8662488242407955
55,9,2555887.5,420912.5,2976800.0,0.858602358237033
56,8,2515737.5,461062.5,2976800.0,0.8451147205052405
57,7,2132258.75,844541.25,2976800.0,0.7162922433485622
58,9,2565363.75,411436.25,2976800.0,0.8617857262832572
59,10,2700837.5,275962.5,2976800.0,0.907295585864015
60,10,2559898.0,416902.0,2976800.0,0.8599496103198065
61,12,2657647.3,319152.7000000002,2976800.0,0.8927866500940607
62,11,2453385.0,523415.0,2976800.0,0.8241685702768073
63,12,2423419.7,553380.2999999998,2976800.0,0.8141022910507929
64,15,2441575.4,535224.6000000001,2976800.0,0.8202013571620532
65,10,2499006.0,477794.0,2976800.0,0.8394940876108573
66,14,2689135.0,287665.0,2976800.0,0.9033643509809192
67,16,2227540.25,749259.75,2976800.0,0.7483002721042731
68,13,2266495.6,710304.3999999999,2976800.0,0.7613865896264446
69,15,2497248.0,479552.0,2976800.0,0.8389035205589895
70,13,2018543.0499999998,958256.9500000002,2976800.0,0.6780915916420317
