board,uid,pid_raw,x,y,w,h,w0,h0,rotated
1,89,89,5.0,5.0,2352.0,230.0,2352.0,230.0,0
1,278,278,5.0,235.0,2340.0,242.0,2340.0,242.0,0
1,302,302,5.0,477.0,2330.0,586.0,2330.0,586.0,0
1,209,209,5.0,1063.0,2397.0,146.0,2397.0,146.0,0
1,192,192,2357.0,5.0,70.0,1044.0,1044.0,70.0,1
2,66,66,5.0,5.0,2400.0,580.0,2400.0,580.0,0
2,4,4,5.0,585.0,2405.0,554.0,2405.0,554.0,0
2,374,374,5.0,1139.0,2054.0,70.0,2054.0,70.0,0
2,169,169,2059.0,1139.0,344.8,70.0,344.8,70.0,0
3,13,13,5.0,5.0,2397.0,812.0,2397.0,812.0,0
3,294,294,5.0,817.0,2353.0,370.0,2353.0,370.0,0
3,128,128,2358.0,817.0,75.0,383.0,383.0,75.0,1
4,127,127,5.0,5.0,2382.0,544.0,2382.0,544.0,0
4,95,95,5.0,549.0,2400.0,550.0,2400.0,550.0,0
4,469,469,5.0,1099.0,1626.0,110.0,1626.0,110.0,0
4,210,210,1631.0,1099.0,519.0,70.0,519.0,70.0,0
5,166,166,5.0,5.0,2320.0,554.0,2320.0,554.0,0
5,410,410,5.0,559.0,2350.0,544.0,2350.0,544.0,0
5,129,129,5.0,1103.0,953.0,60.0,953.0,60.0,0
5,131,131,2355.0,5.0,80.0,780.0,780.0,80.0,1
5,509,509,958.0,1103.0,900.0,100.0,900.0,100.0,0
6,40,40,5.0,5.0,2382.0,535.0,2382.0,535.0,0
6,342,342,5.0,540.0,2321.0,550.0,2321.0,550.0,0
6,397,397,5.0,1090.0,1724.0,120.0,1724.0,120.0,0
6,208,208,2326.0,540.0,70.0,643.0,643.0,70.0,1
6,198,198,1729.0,1090.0,569.5,123.5,123.5,569.5,1
7,430,430,5.0,5.0,2360.0,536.0,2360.0,536.0,0
7,404,404,5.0,541.0,2352.0,530.0,2352.0,530.0,0
8,439,439,5.0,5.0,2279.0,538.0,2279.0,538.0,0
8,152,152,5.0,543.0,2347.0,479.0,2347.0,479.0,0
8,358,358,5.0,1022.0,2345.0,159.0,2345.0,159.0,0
8,220,220,2352.0,5.0,70.0,944.0,944.0,70.0,1
8,398,398,2284.0,5.0,60.0,513.0,513.0,60.0,1
9,54,54,5.0,5.0,2352.0,524.0,2352.0,524.0,0
9,162,162,5.0,529.0,2040.0,570.0,2040.0,570.0,0
9,211,211,2045.0,529.0,370.0,645.0,645.0,370.0,1
9,426,426,5.0,1099.0,1614.0,70.0,1614.0,70.0,0
10,311,311,5.0,5.0,2040.0,564.0,2040.0,564.0,0
10,215,215,5.0,569.0,2040.0,549.0,2040.0,549.0,0
10,159,159,2045.0,5.0,303.0,844.0,844.0,303.0,1
10,428,428,2045.0,849.0,375.0,357.0,375.0,357.0,0
10,219,219,5.0,1118.0,1244.0,70.0,1244.0,70.0,0
10,511,511,2348.0,5.0,79.0,764.0,764.0,79.0,1
10,541,541,1249.0,1118.0,776.0,70.0,776.0,70.0,0
11,15,15,5.0,5.0,2220.0,474.0,2220.0,474.0,0
11,185,185,5.0,479.0,2382.0,405.0,2382.0,405.0,0
11,521,521,5.0,884.0,2355.0,327.0,2355.0,327.0,0
11,450,450,2225.0,5.0,70.0,416.0,416.0,70.0,1
