uid,step
410,1
301,2
13,3
4,4
66,5
95,6
302,7
36,8
127,9
40,10
166,11
342,12
294,13
430,14
404,15
439,16
185,17
54,18
152,19
162,20
215,21
311,22
15,23
347,24
76,25
385,26
26,27
160,28
270,29
81,30
176,31
434,32
142,33
521,34
492,35
330,36
464,37
475,38
254,39
51,40
118,41
338,42
527,43
236,44
84,45
70,46
362,47
74,48
350,49
103,50
133,51
238,52
123,53
187,54
22,55
395,56
60,57
288,58
200,59
47,60
146,61
378,62
251,63
477,64
563,65
506,66
41,67
345,68
268,69
182,70
82,71
203,72
296,73
515,74
431,75
278,76
286,77
43,78
69,79
68,80
194,81
89,82
452,83
227,84
552,85
154,86
401,87
224,88
135,89
481,90
72,91
551,92
136,93
201,94
503,95
364,96
151,97
57,98
149,99
164,100
354,101
148,102
249,103
156,104
24,105
98,106
349,107
137,108
368,109
282,110
107,111
474,112
202,113
172,114
304,115
449,116
42,117
555,118
104,119
414,120
165,121
329,122
56,123
273,124
295,125
497,126
500,127
124,128
258,129
512,130
141,131
501,132
459,133
480,134
550,135
514,136
554,137
300,138
260,139
403,140
209,141
106,142
32,143
419,144
397,145
358,146
469,147
144,148
388,149
440,150
374,151
225,152
7,153
159,154
80,155
292,156
545,157
426,158
92,159
291,160
472,161
359,162
518,163
240,164
548,165
114,166
179,167
211,168
173,169
253,170
108,171
139,172
219,173
547,174
155,175
222,176
121,177
126,178
293,179
132,180
192,181
170,182
96,183
79,184
131,185
102,186
318,187
484,188
233,189
78,190
180,191
467,192
334,193
117,194
442,195
220,196
511,197
509,198
325,199
307,200
269,201
195,202
485,203
533,204
207,205
281,206
191,207
516,208
343,209
502,210
129,211
206,212
314,213
372,214
537,215
534,216
490,217
55,218
379,219
197,220
541,221
256,222
507,223
525,224
213,225
346,226
436,227
352,228
370,229
510,230
483,231
239,232
214,233
540,234
542,235
408,236
332,237
101,238
280,239
279,240
393,241
402,242
208,243
411,244
10,245
377,246
48,247
178,248
150,249
267,250
113,251
466,252
353,253
276,254
448,255
499,256
520,257
535,258
373,259
34,260
473,261
471,262
526,263
257,264
39,265
289,266
198,267
433,268
444,269
38,270
50,271
223,272
67,273
11,274
443,275
396,276
25,277
428,278
479,279
316,280
210,281
476,282
382,283
255,284
112,285
188,286
266,287
461,288
29,289
231,290
90,291
168,292
212,293
564,294
561,295
85,296
371,297
375,298
75,299
494,300
435,301
491,302
465,303
456,304
310,305
424,306
409,307
65,308
335,309
6,310
361,311
505,312
508,313
140,314
417,315
539,316
387,317
321,318
143,319
153,320
447,321
8,322
216,323
205,324
299,325
105,326
14,327
331,328
28,329
83,330
277,331
244,332
157,333
91,334
425,335
558,336
413,337
453,338
543,339
478,340
405,341
86,342
312,343
175,344
365,345
336,346
3,347
438,348
31,349
341,350
64,351
271,352
138,353
328,354
398,355
553,356
327,357
319,358
298,359
389,360
287,361
49,362
190,363
193,364
18,365
116,366
544,367
406,368
167,369
21,370
429,371
486,372
163,373
391,374
125,375
265,376
35,377
297,378
366,379
241,380
93,381
245,382
487,383
556,384
110,385
322,386
462,387
259,388
1,389
455,390
248,391
468,392
37,393
381,394
423,395
30,396
100,397
52,398
177,399
306,400
158,401
400,402
367,403
470,404
488,405
463,406
243,407
303,408
333,409
12,410
186,411
340,412
418,413
97,414
412,415
356,416
235,417
528,418
122,419
326,420
27,421
458,422
441,423
221,424
390,425
9,426
531,427
399,428
229,429
120,430
46,431
73,432
174,433
532,434
61,435
557,436
171,437
524,438
115,439
363,440
376,441
445,442
88,443
454,444
111,445
339,446
522,447
228,448
489,449
504,450
53,451
16,452
23,453
351,454
2,455
309,456
99,457
357,458
495,459
437,460
63,461
77,462
549,463
230,464
451,465
416,466
275,467
45,468
394,469
323,470
290,471
324,472
407,473
284,474
44,475
147,476
196,477
420,478
392,479
562,480
498,481
246,482
386,483
204,484
33,485
496,486
384,487
283,488
119,489
134,490
247,491
517,492
226,493
513,494
272,495
360,496
263,497
427,498
250,499
421,500
415,501
232,502
355,503
308,504
460,505
58,506
560,507
559,508
482,509
529,510
380,511
493,512
252,513
305,514
261,515
457,516
19,517
237,518
432,519
530,520
383,521
59,522
546,523
62,524
94,525
320,526
184,527
523,528
274,529
183,530
337,531
264,532
369,533
242,534
285,535
71,536
17,537
317,538
217,539
446,540
234,541
348,542
189,543
313,544
538,545
5,546
519,547
536,548
344,549
161,550
218,551
145,552
20,553
181,554
87,555
262,556
109,557
450,558
199,559
128,560
169,561
130,562
315,563
422,564
