uid,step
756,1
401,2
1178,3
50,4
602,5
516,6
778,7
973,8
672,9
45,10
310,11
1175,12
673,13
875,14
1164,15
231,16
47,17
1136,18
526,19
434,20
205,21
873,22
490,23
1181,24
1116,25
639,26
678,27
1000,28
597,29
1032,30
319,31
383,32
465,33
670,34
734,35
994,36
39,37
117,38
1141,39
644,40
113,41
683,42
122,43
1081,44
263,45
311,46
329,47
999,48
494,49
583,50
124,51
1002,52
51,53
1004,54
852,55
178,56
729,57
37,58
54,59
1113,60
188,61
186,62
801,63
870,64
53,65
1053,66
142,67
779,68
4,69
702,70
976,71
1173,72
814,73
799,74
838,75
618,76
234,77
189,78
82,79
260,80
921,81
867,82
800,83
423,84
675,85
255,86
1068,87
832,88
1098,89
1228,90
1084,91
1115,92
1190,93
15,94
1140,95
433,96
1233,97
714,98
344,99
784,100
72,101
1145,102
43,103
287,104
371,105
5,106
726,107
1057,108
557,109
845,110
876,111
453,112
1163,113
450,114
558,115
727,116
94,117
849,118
1191,119
1143,120
1213,121
685,122
747,123
1201,124
668,125
889,126
139,127
165,128
63,129
424,130
42,131
215,132
333,133
84,134
1059,135
803,136
1080,137
27,138
88,139
534,140
377,141
77,142
1005,143
120,144
277,145
417,146
1146,147
317,148
298,149
412,150
486,151
708,152
615,153
737,154
758,155
914,156
1216,157
661,158
1006,159
1037,160
79,161
1155,162
112,163
130,164
1076,165
106,166
136,167
1222,168
1085,169
704,170
123,171
195,172
325,173
807,174
926,175
780,176
1208,177
327,178
355,179
1028,180
1159,181
129,182
1144,183
467,184
503,185
75,186
60,187
1077,188
48,189
505,190
577,191
110,192
59,193
874,194
785,195
622,196
628,197
509,198
781,199
948,200
566,201
1214,202
629,203
773,204
740,205
1106,206
126,207
1217,208
775,209
795,210
1047,211
286,212
1069,213
1142,214
730,215
904,216
958,217
987,218
507,219
797,220
1150,221
991,222
1118,223
34,224
25,225
1147,226
1212,227
472,228
172,229
76,230
511,231
777,232
1209,233
744,234
752,235
418,236
1071,237
413,238
468,239
810,240
640,241
950,242
125,243
601,244
796,245
919,246
1102,247
786,248
1079,249
196,250
1100,251
252,252
1075,253
224,254
986,255
961,256
127,257
49,258
210,259
996,260
55,261
449,262
1078,263
1148,264
680,265
246,266
264,267
847,268
69,269
73,270
302,271
871,272
1074,273
1070,274
52,275
725,276
1038,277
1224,278
540,279
1120,280
128,281
1210,282
248,283
1019,284
866,285
1211,286
1082,287
201,288
782,289
1066,290
911,291
1020,292
57,293
80,294
220,295
121,296
1040,297
270,298
30,299
607,300
783,301
662,302
152,303
1183,304
856,305
776,306
808,307
1188,308
218,309
265,310
1072,311
949,312
709,313
798,314
426,315
903,316
954,317
596,318
868,319
1067,320
1205,321
857,322
238,323
242,324
1017,325
145,326
765,327
148,328
244,329
267,330
226,331
241,332
1207,333
1003,334
908,335
436,336
245,337
337,338
243,339
1045,340
790,341
766,342
1090,343
1073,344
890,345
612,346
710,347
947,348
1227,349
687,350
213,351
385,352
474,353
1180,354
185,355
521,356
324,357
1215,358
1083,359
728,360
1149,361
147,362
938,363
1052,364
872,365
1206,366
1001,367
869,368
1093,369
1195,370
513,371
666,372
933,373
985,374
748,375
594,376
68,377
444,378
742,379
313,380
116,381
611,382
679,383
370,384
984,385
1089,386
625,387
1221,388
108,389
479,390
853,391
1088,392
817,393
690,394
1110,395
663,396
357,397
804,398
451,399
480,400
203,401
858,402
463,403
942,404
335,405
387,406
762,407
105,408
273,409
483,410
519,411
487,412
841,413
932,414
181,415
592,416
1199,417
916,418
283,419
118,420
10,421
1051,422
576,423
141,424
296,425
384,426
1230,427
207,428
646,429
818,430
956,431
204,432
382,433
473,434
144,435
497,436
1036,437
1096,438
1101,439
138,440
1189,441
85,442
86,443
1153,444
455,445
18,446
712,447
14,448
1193,449
26,450
405,451
543,452
374,453
89,454
816,455
306,456
307,457
1107,458
1104,459
1063,460
440,461
1034,462
1025,463
842,464
143,465
372,466
634,467
1186,468
691,469
389,470
380,471
1127,472
115,473
652,474
91,475
156,476
636,477
222,478
161,479
633,480
1128,481
599,482
787,483
488,484
802,485
992,486
698,487
724,488
1139,489
230,490
197,491
523,492
771,493
295,494
923,495
67,496
530,497
1008,498
66,499
442,500
64,501
159,502
235,503
967,504
12,505
701,506
200,507
495,508
358,509
446,510
360,511
565,512
584,513
881,514
501,515
573,516
8,517
93,518
930,519
931,520
1135,521
1176,522
191,523
1194,524
846,525
119,526
228,527
815,528
491,529
251,530
21,531
408,532
476,533
477,534
512,535
492,536
700,537
336,538
643,539
33,540
71,541
280,542
699,543
11,544
598,545
506,546
739,547
1138,548
1030,549
935,550
470,551
332,552
175,553
237,554
304,555
484,556
359,557
595,558
754,559
111,560
569,561
606,562
772,563
840,564
46,565
364,566
1182,567
1056,568
1041,569
41,570
651,571
227,572
953,573
198,574
1095,575
102,576
87,577
217,578
349,579
448,580
83,581
445,582
1225,583
258,584
515,585
998,586
233,587
696,588
132,589
239,590
525,591
292,592
733,593
1015,594
1065,595
924,596
394,597
104,598
199,599
173,600
529,601
620,602
510,603
410,604
827,605
957,606
697,607
28,608
268,609
338,610
768,611
367,612
820,613
988,614
989,615
1094,616
1007,617
38,618
681,619
894,620
171,621
192,622
300,623
326,624
609,625
769,626
745,627
927,628
78,629
1169,630
363,631
960,632
229,633
619,634
109,635
163,636
13,637
1166,638
649,639
830,640
1197,641
328,642
345,643
356,644
844,645
174,646
114,647
365,648
419,649
422,650
552,651
902,652
579,653
669,654
545,655
715,656
879,657
275,658
568,659
253,660
404,661
1226,662
323,663
631,664
585,665
851,666
257,667
340,668
308,669
421,670
1229,671
471,672
225,673
378,674
580,675
962,676
150,677
221,678
334,679
347,680
937,681
92,682
880,683
369,684
549,685
586,686
587,687
922,688
654,689
694,690
1119,691
428,692
499,693
741,694
101,695
276,696
563,697
692,698
425,699
475,700
158,701
316,702
2,703
564,704
590,705
1179,706
478,707
975,708
959,709
262,710
1174,711
1154,712
432,713
767,714
560,715
415,716
65,717
247,718
411,719
928,720
249,721
409,722
430,723
466,724
759,725
979,726
1171,727
107,728
518,729
140,730
32,731
216,732
321,733
322,734
504,735
604,736
353,737
983,738
169,739
170,740
285,741
749,742
647,743
1187,744
1185,745
293,746
312,747
630,748
637,749
833,750
897,751
134,752
835,753
850,754
964,755
1024,756
19,757
1026,758
194,759
686,760
437,761
925,762
878,763
1114,764
955,765
546,766
99,767
893,768
271,769
541,770
757,771
1219,772
206,773
303,774
517,775
97,776
236,777
1121,778
605,779
750,780
951,781
952,782
177,783
641,784
684,785
561,786
278,787
535,788
301,789
502,790
862,791
452,792
805,793
667,794
24,795
56,796
58,797
1156,798
214,799
96,800
500,801
997,802
831,803
133,804
1009,805
589,806
713,807
1049,808
1202,809
209,810
362,811
843,812
414,813
882,814
941,815
888,816
912,817
164,818
166,819
1054,820
1203,821
36,822
489,823
859,824
1086,825
1151,826
1220,827
272,828
884,829
1011,830
822,831
193,832
407,833
907,834
29,835
537,836
482,837
920,838
131,839
379,840
638,841
660,842
811,843
968,844
1012,845
1192,846
274,847
650,848
718,849
155,850
533,851
676,852
318,853
616,854
721,855
527,856
1103,857
693,858
16,859
176,860
1184,861
208,862
658,863
1044,864
137,865
635,866
393,867
190,868
261,869
154,870
397,871
716,872
809,873
1031,874
1027,875
22,876
162,877
665,878
813,879
1092,880
17,881
182,882
183,883
391,884
456,885
623,886
865,887
1091,888
1198,889
314,890
6,891
7,892
1130,893
617,894
149,895
167,896
180,897
212,898
547,899
556,900
627,901
717,902
990,903
901,904
1117,905
299,906
536,907
910,908
981,909
892,910
522,911
677,912
315,913
289,914
1137,915
1055,916
551,917
553,918
309,919
153,920
368,921
61,922
1039,923
