board,uid,pid_raw,x,y,w,h,w0,h0,rotated
1,27,27,5.0,5.0,421.0,363.0,421.0,363.0,0
1,326,326,426.0,5.0,417.0,363.0,417.0,363.0,0
1,528,528,843.0,5.0,420.0,353.0,420.0,353.0,0
1,4,4,5.0,368.0,2405.0,554.0,2405.0,554.0,0
1,374,374,5.0,922.0,2054.0,70.0,2054.0,70.0,0
1,169,169,2059.0,922.0,344.8,70.0,344.8,70.0,0
1,408,408,5.0,992.0,1565.0,200.0,1565.0,200.0,0
1,325,325,1263.0,5.0,1143.0,175.0,175.0,1143.0,1
1,425,425,1263.0,180.0,673.5,178.5,673.5,178.5,0
1,553,553,1570.0,992.0,633.0,182.0,182.0,633.0,1
1,409,409,1936.5,180.0,479.0,161.0,479.0,161.0,0
2,66,66,5.0,5.0,2400.0,580.0,2400.0,580.0,0
2,302,302,5.0,585.0,2330.0,586.0,2330.0,586.0,0
2,178,178,2335.0,585.0,100.0,509.0,509.0,100.0,1
3,13,13,5.0,5.0,2397.0,812.0,2397.0,812.0,0
3,294,294,5.0,817.0,2353.0,370.0,2353.0,370.0,0
3,422,422,2358.0,817.0,60.0,315.0,315.0,60.0,1
4,127,127,5.0,5.0,2382.0,544.0,2382.0,544.0,0
4,95,95,5.0,549.0,2400.0,550.0,2400.0,550.0,0
4,469,469,5.0,1099.0,1626.0,110.0,1626.0,110.0,0
4,510,510,1631.0,1099.0,777.0,60.0,777.0,60.0,0
5,166,166,5.0,5.0,2320.0,554.0,2320.0,554.0,0
5,410,410,5.0,559.0,2350.0,544.0,2350.0,544.0,0
5,426,426,5.0,1103.0,1614.0,70.0,1614.0,70.0,0
5,222,222,2355.0,5.0,70.0,1089.0,1089.0,70.0,1
5,239,239,1619.0,1103.0,776.0,60.0,776.0,60.0,0
6,40,40,5.0,5.0,2382.0,535.0,2382.0,535.0,0
6,342,342,5.0,540.0,2321.0,550.0,2321.0,550.0,0
6,397,397,5.0,1090.0,1724.0,120.0,1724.0,120.0,0
6,208,208,2326.0,540.0,70.0,643.0,643.0,70.0,1
6,223,223,1729.0,1090.0,564.0,70.0,564.0,70.0,0
7,430,430,5.0,5.0,2360.0,536.0,2360.0,536.0,0
7,404,404,5.0,541.0,2352.0,530.0,2352.0,530.0,0
7,509,509,5.0,1071.0,900.0,100.0,900.0,100.0,0
7,197,197,905.0,1071.0,844.0,110.0,844.0,110.0,0
7,193,193,1749.0,1071.0,530.0,142.0,142.0,530.0,1
8,439,439,5.0,5.0,2279.0,538.0,2279.0,538.0,0
8,152,152,5.0,543.0,2347.0,479.0,2347.0,479.0,0
8,358,358,5.0,1022.0,2345.0,159.0,2345.0,159.0,0
8,191,191,2352.0,5.0,60.0,1004.0,1004.0,60.0,1
9,54,54,5.0,5.0,2352.0,524.0,2352.0,524.0,0
9,185,185,5.0,529.0,2382.0,405.0,2382.0,405.0,0
9,301,301,5.0,934.0,2290.0,279.0,2290.0,279.0,0
