board,n_parts,used_area,waste_area,board_area,U
1,12,2661457.25,315342.75,2976800.0,0.8940665311744155
2,5,2807982.0,168818.0,2976800.0,0.9432887664606289
3,4,2879916.0,96884.0,2976800.0,0.967453641494222
4,4,2883189.0,93611.0,2976800.0,0.9685531443160441
5,5,2850378.0,126422.0,2976800.0,0.9575309056705187
6,5,2857075.0,119725.0,2976800.0,0.9597806369255576
7,4,2834764.0,142036.0,2976800.0,0.952285675893577
8,5,2722668.0,254132.0,2976800.0,0.9146291319537758
9,6,2700513.0,276287.0,2976800.0,0.9071865761891964
10,4,2875484.0,101316.0,2976800.0,0.9659647944101049
11,5,2838446.0,138354.0,2976800.0,0.9535225745767267
12,4,2798921.25,177878.75,2976800.0,0.9402449778285407
13,4,2678940.0,297860.0,2976800.0,0.8999395323837678
14,5,2819048.0,157752.0,2976800.0,0.9470061811341037
15,8,2874410.75,102389.25,2976800.0,0.9656042562483204
16,4,2752318.0,224482.0,2976800.0,0.9245894920720237
17,6,2865375.0,111425.0,2976800.0,0.9625688658962644
18,4,2746962.0,229838.0,2976800.0,0.9227902445579146
19,6,2851434.0,125366.0,2976800.0,0.9578856490190809
20,4,2811094.0,165706.0,2976800.0,0.9443341843590433
21,6,2739425.0,237375.0,2976800.0,0.920258331093792
22,4,2786640.0,190160.0,2976800.0,0.9361193227626982
23,10,2828886.0,147914.0,2976800.0,0.9503110722923945
24,7,2832682.0,144118.0,2976800.0,0.9515862671324913
25,6,2802526.0,174274.0,2976800.0,0.9414559258263907
26,5,2716148.0,260652.0,2976800.0,0.9124388605213652
27,7,2819710.0,157090.0,2976800.0,0.9472285675893577
28,5,2815977.25,160822.75,2976800.0,0.9459746203977425
29,6,2642901.25,333898.75,2976800.0,0.8878329918032787
30,5,2755125.5,221674.5,2976800.0,0.9255326189196452
31,5,2568743.0,408057.0,2976800.0,0.8629209217952163
32,6,2848147.25,128652.75,2976800.0,0.956781527143241
33,4,2486701.25,490098.75,2976800.0,0.8353605381617845
34,7,2837032.0,139768.0,2976800.0,0.9530475678581026
35,7,2803236.0,173564.0,2976800.0,0.9416944369793067
36,6,2521181.5,455618.5,2976800.0,0.8469435299650632
37,9,2887352.0,89448.0,2976800.0,0.9699516259070142
38,8,2908138.5,68661.5,2976800.0,0.9769344598226283
39,8,2828105.75,148694.25,2976800.0,0.950048961972588
40,6,2830550.0,146250.0,2976800.0,0.950870061811341
41,8,2850393.0,126407.0,2976800.0,0.957535944638538
42,7,2632086.3,344713.7000000002,2976800.0,0.8841999126578876
43,8,2706585.6,270214.3999999999,2976800.0,0.90922655200215
44,7,2770635.75,206164.25,2976800.0,0.9307429958344531
45,7,2525022.0,451778.0,2976800.0,0.8482336737436174
46,7,2520802.0,455998.0,2976800.0,0.8468160440741737
47,10,2829748.0,147052.0,2976800.0,0.9506006449879065
48,9,2674624.75,302175.25,2976800.0,0.8984899052674012
49,9,2621692.5,355107.5,2976800.0,0.8807083109379199
50,8,2319937.5,656862.5,2976800.0,0.7793393912926633
51,11,2616693.5,360106.5,2976800.0,0.8790289908626713
52,11,2857997.0,118803.0,2976800.0,0.960090365493147
53,11,2678916.5,297883.5,2976800.0,0.8999316380005374
54,13,2759174.0,217626.0,2976800.0,0.9268926363880677
55,10,2404459.7,572340.2999999998,2976800.0,0.807733035474335
56,10,2468977.35,507822.6499999999,2976800.0,0.8294065271432411
57,11,2730105.0,246695.0,2976800.0,0.9171274522977694
58,10,2266343.15,710456.8500000001,2976800.0,0.7613353769148078
59,10,2279574.0,697226.0,2976800.0,0.7657800322493953
60,13,2632554.8,344245.2000000002,2976800.0,0.8843572964256919
61,14,2714751.0,262049.0,2976800.0,0.9119695646331631
62,15,2779613.0,197187.0,2976800.0,0.9337587342112336
63,13,2551089.0,425711.0,2976800.0,0.8569903923676431
64,13,2460377.25,516422.75,2976800.0,0.8265174852190271
65,14,2302851.5,673948.5,2976800.0,0.7735996707874228
66,19,2565300.1,411499.8999999999,2976800.0,0.8617643442622951
67,19,2371380.4,605419.6000000001,2976800.0,0.7966206664875033
68,15,2547392.0,429408.0,2976800.0,0.8557484547164741
69,15,2826050.5,150749.5,2976800.0,0.9493585393711368
70,6,678246.0,2298554.0,2976800.0,0.22784399355012094
