board,uid,pid_raw,x,y,w,h,w0,h0,rotated
1,534,534,5.0,5.0,280.0,263.0,263.0,280.0,1
1,309,309,5.0,268.0,373.0,323.0,373.0,323.0,0
1,513,513,5.0,591.0,373.0,323.0,373.0,323.0,0
1,77,77,378.0,5.0,364.0,311.0,364.0,311.0,0
1,451,451,378.0,316.0,364.0,311.0,364.0,311.0,0
1,343,343,378.0,627.0,281.0,280.0,280.0,281.0,1
1,213,213,659.0,627.0,295.0,265.0,295.0,265.0,0
1,14,14,742.0,5.0,326.0,321.0,326.0,321.0,0
1,301,301,5.0,914.0,2290.0,279.0,2290.0,279.0,0
1,258,258,954.0,326.0,1468.0,304.0,1468.0,304.0,0
1,473,473,1068.0,5.0,1350.0,300.0,1350.0,300.0,0
1,90,90,954.0,630.0,1399.5,263.5,1399.5,263.5,0
2,209,209,5.0,5.0,2397.0,146.0,2397.0,146.0,0
2,4,4,5.0,151.0,2405.0,554.0,2405.0,554.0,0
2,185,185,5.0,705.0,2382.0,405.0,2382.0,405.0,0
2,108,108,5.0,1110.0,1550.0,70.0,1550.0,70.0,0
2,507,507,1555.0,1110.0,874.0,60.0,874.0,60.0,0
3,66,66,5.0,5.0,2400.0,580.0,2400.0,580.0,0
3,95,95,5.0,585.0,2400.0,550.0,2400.0,550.0,0
3,374,374,5.0,1135.0,2054.0,70.0,2054.0,70.0,0
3,169,169,2059.0,1135.0,344.8,70.0,344.8,70.0,0
4,13,13,5.0,5.0,2397.0,812.0,2397.0,812.0,0
4,464,464,5.0,817.0,2395.0,315.0,2395.0,315.0,0
4,80,80,5.0,1132.0,1600.0,75.0,1600.0,75.0,0
4,131,131,1605.0,1132.0,780.0,80.0,780.0,80.0,0
5,127,127,5.0,5.0,2382.0,544.0,2382.0,544.0,0
5,40,40,5.0,549.0,2382.0,535.0,2382.0,535.0,0
5,397,397,5.0,1084.0,1724.0,120.0,1724.0,120.0,0
5,223,223,1729.0,1084.0,564.0,70.0,564.0,70.0,0
5,508,508,1729.0,1154.0,564.0,60.0,564.0,60.0,0
6,430,430,5.0,5.0,2360.0,536.0,2360.0,536.0,0
6,521,521,5.0,541.0,2355.0,327.0,2355.0,327.0,0
6,527,527,5.0,868.0,2332.0,320.0,2332.0,320.0,0
6,208,208,2360.0,541.0,70.0,643.0,643.0,70.0,1
6,398,398,2365.0,5.0,60.0,513.0,513.0,60.0,1
