uid,step
534,1
309,2
513,3
77,4
451,5
343,6
213,7
14,8
301,9
209,10
4,11
66,12
95,13
13,14
464,15
127,16
40,17
185,18
430,19
521,20
294,21
404,22
54,23
410,24
152,25
527,26
302,27
103,28
342,29
74,30
166,31
36,32
439,33
51,34
385,35
15,36
254,37
160,38
70,39
176,40
81,41
26,42
330,43
47,44
118,45
162,46
311,47
215,48
347,49
123,50
76,51
270,52
296,53
60,54
182,55
251,56
506,57
434,58
551,59
492,60
41,61
395,62
149,63
475,64
135,65
449,66
338,67
288,68
268,69
236,70
84,71
194,72
362,73
350,74
68,75
552,76
133,77
500,78
238,79
187,80
203,81
22,82
156,83
273,84
345,85
200,86
146,87
378,88
563,89
477,90
82,91
258,92
300,93
32,94
24,95
503,96
304,97
431,98
260,99
515,100
459,101
286,102
512,103
43,104
514,105
377,106
353,107
11,108
137,109
452,110
227,111
403,112
154,113
401,114
224,115
481,116
354,117
72,118
136,119
201,120
56,121
164,122
364,123
151,124
57,125
107,126
148,127
249,128
349,129
257,130
202,131
98,132
554,133
282,134
106,135
368,136
474,137
555,138
295,139
124,140
172,141
42,142
310,143
539,144
6,145
104,146
414,147
165,148
329,149
141,150
143,151
48,152
497,153
558,154
480,155
67,156
550,157
501,158
86,159
443,160
405,161
155,162
397,163
374,164
469,165
80,166
426,167
108,168
207,169
292,170
240,171
179,172
219,173
484,174
222,175
192,176
191,177
220,178
129,179
180,180
206,181
132,182
507,183
131,184
542,185
511,186
541,187
314,188
510,189
239,190
509,191
516,192
208,193
267,194
223,195
533,196
508,197
540,198
398,199
373,200
101,201
473,202
382,203
90,204
85,205
316,206
408,207
436,208
112,209
29,210
153,211
113,212
479,213
448,214
471,215
336,216
352,217
494,218
168,219
255,220
212,221
526,222
483,223
307,224
322,225
476,226
188,227
259,228
465,229
266,230
564,231
269,232
435,233
447,234
491,235
424,236
280,237
381,238
65,239
28,240
244,241
105,242
413,243
543,244
453,245
241,246
138,247
438,248
3,249
31,250
361,251
8,252
505,253
281,254
248,255
327,256
525,257
99,258
283,259
556,260
348,261
230,262
50,263
520,264
140,265
341,266
21,267
406,268
30,269
462,270
163,271
287,272
400,273
332,274
83,275
456,276
12,277
52,278
277,279
235,280
190,281
158,282
333,283
205,284
429,285
298,286
325,287
177,288
535,289
328,290
478,291
49,292
125,293
331,294
544,295
167,296
389,297
265,298
9,299
186,300
319,301
245,302
91,303
412,304
1,305
35,306
38,307
116,308
216,309
419,310
253,311
388,312
144,313
440,314
159,315
472,316
92,317
291,318
359,319
518,320
548,321
114,322
211,323
173,324
427,325
139,326
547,327
355,328
121,329
126,330
170,331
79,332
78,333
467,334
18,335
390,336
531,337
297,338
445,339
367,340
418,341
46,342
460,343
279,344
391,345
482,346
560,347
64,348
122,349
454,350
461,351
174,352
337,353
387,354
88,355
546,356
120,357
444,358
529,359
264,360
17,361
229,362
369,363
246,364
93,365
468,366
386,367
33,368
157,369
340,370
196,371
250,372
115,373
530,374
417,375
308,376
75,377
58,378
504,379
306,380
383,381
376,382
487,383
204,384
19,385
363,386
171,387
496,388
39,389
488,390
455,391
421,392
411,393
524,394
62,395
94,396
366,397
415,398
371,399
53,400
303,401
195,402
61,403
502,404
463,405
261,406
384,407
470,408
557,409
271,410
237,411
299,412
458,413
393,414
523,415
175,416
71,417
197,418
425,419
37,420
559,421
305,422
321,423
110,424
392,425
183,426
420,427
59,428
553,429
326,430
432,431
528,432
274,433
134,434
276,435
23,436
16,437
466,438
372,439
226,440
73,441
2,442
357,443
7,444
225,445
545,446
380,447
351,448
184,449
428,450
495,451
442,452
318,453
293,454
96,455
102,456
233,457
334,458
117,459
537,460
323,461
45,462
489,463
275,464
147,465
394,466
339,467
27,468
234,469
437,470
119,471
538,472
416,473
247,474
549,475
290,476
360,477
272,478
189,479
320,480
532,481
111,482
10,483
344,484
198,485
44,486
193,487
517,488
433,489
89,490
69,491
358,492
278,493
228,494
217,495
97,496
441,497
100,498
150,499
499,500
55,501
142,502
210,503
289,504
423,505
178,506
375,507
457,508
335,509
409,510
370,511
407,512
498,513
562,514
536,515
522,516
284,517
324,518
25,519
63,520
34,521
493,522
312,523
317,524
313,525
561,526
396,527
446,528
365,529
231,530
243,531
450,532
214,533
256,534
128,535
199,536
169,537
130,538
399,539
422,540
20,541
315,542
181,543
161,544
263,545
5,546
519,547
252,548
262,549
242,550
221,551
232,552
285,553
379,554
87,555
218,556
346,557
402,558
490,559
486,560
485,561
356,562
145,563
109,564
