board,uid,pid_raw,x,y,w,h,w0,h0,rotated
1,13,13,5.0,5.0,2397.0,812.0,2397.0,812.0,0
1,294,294,5.0,817.0,2353.0,370.0,2353.0,370.0,0
1,128,128,2358.0,817.0,75.0,383.0,383.0,75.0,1
2,238,238,5.0,5.0,1563.5,917.5,1563.5,917.5,0
2,227,227,1568.5,5.0,732.0,1190.0,1190.0,732.0,1
2,90,90,5.0,922.5,1399.5,263.5,1399.5,263.5,0
2,292,292,2300.5,5.0,123.5,1045.5,123.5,1045.5,0
2,109,109,1404.5,922.5,150.0,276.0,150.0,276.0,0
3,66,66,5.0,5.0,2400.0,580.0,2400.0,580.0,0
3,302,302,5.0,585.0,2330.0,586.0,2330.0,586.0,0
3,398,398,2335.0,585.0,60.0,513.0,513.0,60.0,1
4,4,4,5.0,5.0,2405.0,554.0,2405.0,554.0,0
4,95,95,5.0,559.0,2400.0,550.0,2400.0,550.0,0
4,240,240,5.0,1109.0,1550.0,70.0,1550.0,70.0,0
4,131,131,1555.0,1109.0,780.0,80.0,780.0,80.0,0
5,127,127,5.0,5.0,2382.0,544.0,2382.0,544.0,0
5,166,166,5.0,549.0,2320.0,554.0,2320.0,554.0,0
6,410,410,5.0,5.0,2350.0,544.0,2350.0,544.0,0
6,342,342,5.0,549.0,2321.0,550.0,2321.0,550.0,0
7,40,40,5.0,5.0,2382.0,535.0,2382.0,535.0,0
7,430,430,5.0,540.0,2360.0,536.0,2360.0,536.0,0
8,404,404,5.0,5.0,2352.0,530.0,2352.0,530.0,0
8,54,54,5.0,535.0,2352.0,524.0,2352.0,524.0,0
8,209,209,5.0,1059.0,2397.0,146.0,2397.0,146.0,0
8,192,192,2357.0,5.0,70.0,1044.0,1044.0,70.0,1
9,439,439,5.0,5.0,2279.0,538.0,2279.0,538.0,0
9,162,162,5.0,543.0,2040.0,570.0,2040.0,570.0,0
9,211,211,2045.0,543.0,370.0,645.0,645.0,370.0,1
10,236,236,5.0,5.0,1720.0,689.0,1720.0,689.0,0
10,152,152,5.0,694.0,2347.0,479.0,2347.0,479.0,0
10,322,322,1725.0,5.0,700.0,560.0,700.0,560.0,0
10,208,208,2352.0,565.0,70.0,643.0,643.0,70.0,1
10,199,199,1725.0,565.0,383.0,75.0,383.0,75.0,0
11,311,311,5.0,5.0,2040.0,564.0,2040.0,564.0,0
11,215,215,5.0,569.0,2040.0,549.0,2040.0,549.0,0
11,448,448,2045.0,5.0,343.0,1139.0,1139.0,343.0,1
11,108,108,5.0,1118.0,1550.0,70.0,1550.0,70.0,0
