board,uid,pid_raw,x,y,w,h,w0,h0,rotated
1,69,69,5.0,5.0,2347.0,234.0,2347.0,234.0,0
1,13,13,5.0,239.0,2397.0,812.0,2397.0,812.0,0
1,358,358,5.0,1051.0,2345.0,159.0,2345.0,159.0,0
2,89,89,5.0,5.0,2352.0,230.0,2352.0,230.0,0
2,238,238,5.0,235.0,1563.5,917.5,1563.5,917.5,0
2,349,349,1568.5,235.0,835.5,939.0,939.0,835.5,1
2,207,207,5.0,1152.5,1394.0,60.0,1394.0,60.0,0
3,66,66,5.0,5.0,2400.0,580.0,2400.0,580.0,0
3,302,302,5.0,585.0,2330.0,586.0,2330.0,586.0,0
3,178,178,2335.0,585.0,100.0,509.0,509.0,100.0,1
4,4,4,5.0,5.0,2405.0,554.0,2405.0,554.0,0
4,95,95,5.0,559.0,2400.0,550.0,2400.0,550.0,0
4,240,240,5.0,1109.0,1550.0,70.0,1550.0,70.0,0
4,131,131,1555.0,1109.0,780.0,80.0,780.0,80.0,0
5,127,127,5.0,5.0,2382.0,544.0,2382.0,544.0,0
5,166,166,5.0,549.0,2320.0,554.0,2320.0,554.0,0
6,410,410,5.0,5.0,2350.0,544.0,2350.0,544.0,0
6,342,342,5.0,549.0,2321.0,550.0,2321.0,550.0,0
7,40,40,5.0,5.0,2382.0,535.0,2382.0,535.0,0
7,430,430,5.0,540.0,2360.0,536.0,2360.0,536.0,0
8,404,404,5.0,5.0,2352.0,530.0,2352.0,530.0,0
8,54,54,5.0,535.0,2352.0,524.0,2352.0,524.0,0
8,209,209,5.0,1059.0,2397.0,146.0,2397.0,146.0,0
8,192,192,2357.0,5.0,70.0,1044.0,1044.0,70.0,1
9,439,439,5.0,5.0,2279.0,538.0,2279.0,538.0,0
9,162,162,5.0,543.0,2040.0,570.0,2040.0,570.0,0
9,211,211,2045.0,543.0,370.0,645.0,645.0,370.0,1
9,423,423,2284.0,5.0,142.0,520.0,142.0,520.0,0
9,516,516,5.0,1113.0,844.0,70.0,844.0,70.0,0
9,533,533,849.0,1113.0,844.0,70.0,844.0,70.0,0
10,236,236,5.0,5.0,1720.0,689.0,1720.0,689.0,0
10,152,152,5.0,694.0,2347.0,479.0,2347.0,479.0,0
10,322,322,1725.0,5.0,700.0,560.0,700.0,560.0,0
10,375,375,1725.0,565.0,509.0,70.0,509.0,70.0,0
11,311,311,5.0,5.0,2040.0,564.0,2040.0,564.0,0
11,215,215,5.0,569.0,2040.0,549.0,2040.0,549.0,0
11,448,448,2045.0,5.0,343.0,1139.0,1139.0,343.0,1
11,374,374,5.0,1144.0,2054.0,70.0,2054.0,70.0,0
12,378,378,5.0,5.0,1499.5,757.5,1499.5,757.5,0
12,481,481,1504.5,5.0,901.5,1144.0,901.5,1144.0,0
12,503,503,5.0,762.5,1403.0,380.0,1403.0,380.0,0
12,219,219,5.0,1142.5,1244.0,70.0,1244.0,70.0,0
12,484,484,1249.0,1149.0,1164.0,60.0,1164.0,60.0,0
12,130,130,1408.0,762.5,70.0,333.0,333.0,70.0,1
13,84,84,5.0,5.0,2040.0,544.0,2040.0,544.0,0
13,133,133,5.0,549.0,2040.0,544.0,2040.0,544.0,0
13,113,113,2045.0,5.0,371.0,1018.0,1018.0,371.0,1
13,469,469,5.0,1093.0,1626.0,110.0,1626.0,110.0,0
13,372,372,1631.0,1093.0,758.0,110.0,758.0,110.0,0
13,169,169,2045.0,1023.0,344.8,70.0,344.8,70.0,0
14,146,146,5.0,5.0,2040.0,544.0,2040.0,544.0,0
14,76,76,5.0,549.0,2000.0,554.0,2000.0,554.0,0
14,112,112,2045.0,5.0,333.0,1114.0,1114.0,333.0,1
15,475,475,5.0,5.0,1796.0,600.0,1796.0,600.0,0
15,15,15,5.0,605.0,2220.0,474.0,2220.0,474.0,0
15,361,361,1801.0,5.0,625.0,549.0,549.0,625.0,1
16,452,452,5.0,5.0,1275.5,844.0,1275.5,844.0,0
16,227,227,1280.5,5.0,732.0,1190.0,1190.0,732.0,1
16,316,316,5.0,849.0,1224.0,308.0,1224.0,308.0,0
16,471,471,2012.5,5.0,383.0,980.0,980.0,383.0,1
16,214,214,2012.5,985.0,405.0,199.0,405.0,199.0,0
17,492,492,5.0,5.0,1849.5,549.0,1849.5,549.0,0
17,434,434,5.0,554.0,1874.0,537.0,1874.0,537.0,0
17,98,98,1879.0,5.0,553.0,1164.0,1164.0,553.0,1
17,397,397,5.0,1091.0,1724.0,120.0,1724.0,120.0,0
18,185,185,5.0,5.0,2382.0,405.0,2382.0,405.0,0
18,347,347,5.0,410.0,2040.0,454.0,2040.0,454.0,0
18,385,385,5.0,864.0,2222.0,350.0,2222.0,350.0,0
18,384,384,2045.0,410.0,386.0,454.0,454.0,386.0,1
18,262,262,2227.0,864.0,198.0,326.0,326.0,198.0,1
19,362,362,5.0,5.0,1650.0,554.0,1650.0,554.0,0
19,294,294,5.0,559.0,2353.0,370.0,2353.0,370.0,0
19,301,301,5.0,929.0,2290.0,279.0,2290.0,279.0,0
19,86,86,1655.0,5.0,777.0,543.0,777.0,543.0,0
19,208,208,2358.0,548.0,70.0,643.0,643.0,70.0,1
20,151,151,5.0,5.0,983.0,868.5,983.0,868.5,0
20,57,57,988.0,5.0,982.0,869.0,982.0,869.0,0
20,257,257,1970.0,5.0,450.0,932.0,932.0,450.0,1
20,403,403,5.0,937.0,2119.0,184.0,2119.0,184.0,0
20,379,379,2124.0,937.0,296.0,276.0,296.0,276.0,0
20,540,540,5.0,1121.0,820.0,60.0,820.0,60.0,0
20,373,373,825.0,1121.0,726.0,60.0,726.0,60.0,0
21,36,36,5.0,5.0,2295.0,364.0,2295.0,364.0,0
21,22,22,5.0,369.0,1534.0,541.0,1534.0,541.0,0
21,142,142,5.0,910.0,2320.0,288.0,2320.0,288.0,0
21,42,42,1539.0,369.0,849.0,523.0,849.0,523.0,0
22,350,350,5.0,5.0,1629.0,508.0,1629.0,508.0,0
22,43,43,5.0,513.0,1334.5,605.0,1334.5,605.0,0
22,401,401,1634.0,5.0,600.0,1150.0,600.0,1150.0,0
22,281,281,2234.0,5.0,200.0,1191.0,1191.0,200.0,1
22,306,306,1339.5,513.0,273.0,643.0,643.0,273.0,1
22,179,179,5.0,1118.0,1209.5,80.0,1209.5,80.0,0
22,508,508,1612.5,1155.0,564.0,60.0,564.0,60.0,0
23,477,477,5.0,5.0,1484.0,543.0,1484.0,543.0,0
23,200,200,5.0,548.0,1502.0,530.0,1502.0,530.0,0
23,354,354,1507.0,5.0,575.0,1140.0,1140.0,575.0,1
23,483,483,2082.0,5.0,343.0,1139.0,1139.0,343.0,1
23,292,292,5.0,1078.0,1045.5,123.5,123.5,1045.5,1
23,220,220,1050.5,1145.0,944.0,70.0,944.0,70.0,0
23,315,315,2082.0,1144.0,299.0,70.0,299.0,70.0,0
23,422,422,1050.5,1078.0,315.0,60.0,315.0,60.0,0
24,74,74,5.0,5.0,2321.0,334.0,2321.0,334.0,0
