board,n_parts,used_area,waste_area,board_area,U
1,6,2316174.0,660626.0,2976800.0,0.7780751142166085
2,12,2317970.1,658829.8999999999,2976800.0,0.7786784802472454
3,5,2897100.0,79700.0,2976800.0,0.973226283257189
4,3,2845699.0,131101.0,2976800.0,0.9559590835796828
5,4,2898690.0,78110.0,2976800.0,0.97376041386724
6,4,2704870.0,271930.0,2976800.0,0.9086502284332169
7,5,2856023.25,120776.75,2976800.0,0.959427321284601
8,5,2705142.0,271658.0,2976800.0,0.9087416017199678
9,5,2875833.0,100967.0,2976800.0,0.966082034399355
10,8,2868861.0,107939.0,2976800.0,0.9637399220639613
11,4,2717538.0,259262.0,2976800.0,0.9129058048911582
12,6,2786639.6,190160.3999999999,2976800.0,0.9361191883902177
13,7,2817224.5,159575.5,2976800.0,0.9463936105885514
14,6,2882332.0,94468.0,2976800.0,0.9682652512765386
15,6,2818993.0,157807.0,2976800.0,0.9469877049180327
16,5,2873130.5,103669.5,2976800.0,0.9651741803278688
17,7,2885727.0,91073.0,2976800.0,0.969405737704918
18,7,2855375.0,121425.0,2976800.0,0.9592095538833647
19,8,2772872.25,203927.75,2976800.0,0.9314943059661381
20,7,2874588.0,102212.0,2976800.0,0.965663800053749
21,5,2768771.0,208029.0,2976800.0,0.9301165681268476
22,6,2755291.0,221509.0,2976800.0,0.9255882155334587
23,7,2695437.25,281362.75,2976800.0,0.9054814733942489
24,5,2882443.75,94356.25,2976800.0,0.9683027915882827
25,6,2773473.25,203326.75,2976800.0,0.9316962006181134
26,5,2616363.25,360436.75,2976800.0,0.8789180495834453
27,5,2668626.0,308174.0,2976800.0,0.896474737973663
28,5,2772813.75,203986.25,2976800.0,0.9314746539908627
29,8,2794201.0,182599.0,2976800.0,0.9386592985756517
30,9,2768257.75,208542.25,2976800.0,0.9299441514377855
31,5,2551646.75,425153.25,2976800.0,0.8571777579951626
32,8,2729982.0,246818.0,2976800.0,0.9170861327600107
33,9,2844064.5,132735.5,2976800.0,0.9554100040311744
34,9,2778456.6,198343.3999999999,2976800.0,0.9333702633700618
35,5,2816998.75,159801.25,2976800.0,0.9463177741198603
36,5,2632824.0,343976.0,2976800.0,0.8844477291050793
37,9,2772578.65,204221.3500000001,2976800.0,0.9313956765654393
38,5,2594564.5,382235.5,2976800.0,0.8715951693093255
39,7,2824176.5,152623.5,2976800.0,0.9487290042999194
40,6,2696305.0,280495.0,2976800.0,0.9057729776941682
41,7,2677971.45,298828.5499999998,2976800.0,0.8996141662187584
42,8,2711073.3,265726.7000000002,2976800.0,0.910734110454179
43,10,2804293.0,172507.0,2976800.0,0.9420495162590702
44,8,2715680.0,261120.0,2976800.0,0.9122816447191615
45,8,2731608.0,245192.0,2976800.0,0.9176323568933082
46,7,2490572.0,486228.0,2976800.0,0.8366608438591776
47,7,2268320.0,708480.0,2976800.0,0.7619994625100779
48,11,2789906.0,186894.0,2976800.0,0.9372164740661113
49,9,2694005.75,282794.25,2976800.0,0.9050005878796022
50,10,2601944.25,374855.75,2976800.0,0.8740742575920452
51,12,2490535.25,486264.75,2976800.0,0.8366484983875302
52,8,2414282.5,562517.5,2976800.0,0.811032820478366
53,10,2680988.0,295812.0,2976800.0,0.9006275194840097
54,12,2737761.0,239039.0,2976800.0,0.9196993415748455
55,10,2525573.5,451226.5,2976800.0,0.8484189398011287
56,10,2541317.0,435483.0,2976800.0,0.8537076726686375
57,10,2547568.0,429232.0,2976800.0,0.8558075786079011
58,12,2757877.0,218923.0,2976800.0,0.9264569336199946
59,9,2488676.5,488123.5,2976800.0,0.8360240862671325
60,11,2603376.0,373424.0,2976800.0,0.8745552270894921
61,11,2646920.95,329879.0499999998,2976800.0,0.889183334453104
62,12,2618782.5,358017.5,2976800.0,0.879730751142166
63,12,2465072.0,511728.0,2976800.0,0.8280945982262833
64,11,2294586.0,682214.0,2976800.0,0.7708230314431604
65,13,2474247.55,502552.4500000002,2976800.0,0.8311769517602794
66,14,2462368.25,514431.75,2976800.0,0.8271863242407955
67,17,2650600.15,326199.8500000001,2976800.0,0.8904192925288901
68,17,2442633.8,534166.2000000002,2976800.0,0.8205569067454984
69,13,2801049.5,175750.5,2976800.0,0.9409599234076861
70,6,1875310.0,1101490.0,2976800.0,0.6299751410911045
