board,uid,pid_raw,x,y,w,h,w0,h0,rotated
1,377,377,5.0,5.0,1324.0,376.0,1324.0,376.0,0
1,448,448,5.0,381.0,1139.0,343.0,1139.0,343.0,0
1,316,316,5.0,724.0,1224.0,308.0,1224.0,308.0,0
1,479,479,1329.0,5.0,1044.0,351.0,1044.0,351.0,0
1,255,255,1144.0,381.0,1065.0,330.0,1065.0,330.0,0
1,188,188,1229.0,711.0,1033.5,322.0,1033.5,322.0,0
2,390,390,5.0,5.0,564.0,543.0,564.0,543.0,0
2,9,9,569.0,5.0,554.0,518.0,518.0,554.0,1
2,518,518,569.0,523.0,574.0,440.0,440.0,574.0,1
2,264,264,5.0,548.0,451.0,502.0,502.0,451.0,1
2,79,79,1123.0,5.0,700.0,310.0,700.0,310.0,0
2,531,531,1823.0,5.0,306.0,700.5,700.5,306.0,1
2,229,229,1143.0,315.0,370.0,574.0,370.0,574.0,0
2,557,557,1513.0,705.5,664.0,311.0,664.0,311.0,0
2,189,189,2129.0,5.0,303.0,364.0,364.0,303.0,1
2,520,520,2129.0,369.0,293.0,310.7,310.7,293.0,1
2,231,231,1143.0,889.0,320.0,312.0,312.0,320.0,1
2,441,441,1513.0,315.0,286.0,330.0,286.0,330.0,0
3,302,302,5.0,5.0,2330.0,586.0,2330.0,586.0,0
3,95,95,5.0,591.0,2400.0,550.0,2400.0,550.0,0
3,374,374,5.0,1141.0,2054.0,70.0,2054.0,70.0,0
3,178,178,2335.0,5.0,100.0,509.0,509.0,100.0,1
3,181,181,2059.0,1141.0,284.0,60.0,284.0,60.0,0
4,13,13,5.0,5.0,2397.0,812.0,2397.0,812.0,0
4,294,294,5.0,817.0,2353.0,370.0,2353.0,370.0,0
4,128,128,2358.0,817.0,75.0,383.0,383.0,75.0,1
5,66,66,5.0,5.0,2400.0,580.0,2400.0,580.0,0
5,4,4,5.0,585.0,2405.0,554.0,2405.0,554.0,0
5,80,80,5.0,1139.0,1600.0,75.0,1600.0,75.0,0
5,541,541,1605.0,1139.0,776.0,70.0,776.0,70.0,0
