uid,step
377,1
448,2
316,3
479,4
255,5
188,6
390,7
9,8
518,9
264,10
79,11
531,12
229,13
557,14
302,15
13,16
95,17
66,18
4,19
166,20
342,21
40,22
430,23
294,24
439,25
404,26
152,27
15,28
36,29
185,30
26,31
54,32
162,33
311,34
215,35
347,36
160,37
385,38
76,39
270,40
254,41
81,42
330,43
434,44
74,45
492,46
464,47
176,48
475,49
301,50
521,51
70,52
142,53
123,54
236,55
118,56
84,57
338,58
362,59
395,60
527,61
350,62
133,63
60,64
187,65
238,66
278,67
51,68
89,69
22,70
200,71
103,72
378,73
146,74
296,75
477,76
563,77
82,78
288,79
47,80
251,81
345,82
506,83
69,84
515,85
431,86
268,87
203,88
182,89
43,90
41,91
149,92
286,93
135,94
452,95
227,96
194,97
68,98
401,99
503,100
224,101
481,102
354,103
136,104
72,105
551,106
201,107
154,108
151,109
514,110
57,111
156,112
364,113
349,114
164,115
552,116
107,117
148,118
249,119
56,120
137,121
282,122
555,123
474,124
24,125
98,126
202,127
172,128
500,129
449,130
104,131
368,132
257,133
304,134
414,135
273,136
258,137
260,138
124,139
6,140
165,141
512,142
558,143
300,144
32,145
67,146
501,147
86,148
459,149
11,150
403,151
155,152
106,153
358,154
216,155
209,156
397,157
292,158
80,159
374,160
7,161
440,162
144,163
159,164
472,165
545,166
388,167
225,168
253,169
380,170
92,171
351,172
419,173
291,174
184,175
357,176
116,177
428,178
38,179
359,180
495,181
35,182
426,183
480,184
497,185
114,186
318,187
442,188
240,189
108,190
293,191
211,192
179,193
132,194
207,195
427,196
139,197
102,198
173,199
219,200
222,201
334,202
484,203
192,204
117,205
220,206
180,207
131,208
170,209
325,210
485,211
191,212
516,213
129,214
483,215
541,216
314,217
542,218
540,219
507,220
533,221
259,222
510,223
195,224
267,225
509,226
343,227
534,228
214,229
256,230
408,231
239,232
197,233
372,234
206,235
212,236
391,237
490,238
55,239
379,240
281,241
208,242
550,243
353,244
525,245
213,246
537,247
48,248
346,249
402,250
476,251
178,252
174,253
150,254
499,255
223,256
90,257
535,258
444,259
473,260
113,261
471,262
373,263
189,264
10,265
112,266
520,267
198,268
443,269
289,270
382,271
526,272
554,273
447,274
269,275
352,276
143,277
65,278
424,279
205,280
134,281
493,282
416,283
290,284
436,285
101,286
29,287
266,288
454,289
168,290
85,291
494,292
564,293
465,294
331,295
543,296
307,297
458,298
532,299
468,300
280,301
204,302
420,303
119,304
34,305
83,306
141,307
435,308
50,309
522,310
310,311
231,312
295,313
413,314
453,315
171,316
491,317
508,318
539,319
409,320
417,321
335,322
42,323
153,324
122,325
375,326
226,327
470,328
299,329
561,330
3,331
478,332
105,333
332,334
28,335
438,336
425,337
244,338
277,339
158,340
418,341
327,342
389,343
248,344
8,345
140,346
120,347
502,348
336,349
297,350
405,351
14,352
329,353
91,354
31,355
387,356
398,357
138,358
341,359
328,360
287,361
505,362
271,363
64,364
175,365
553,366
96,367
462,368
193,369
190,370
467,371
49,372
241,373
18,374
21,375
400,376
177,377
429,378
423,379
456,380
322,381
381,382
333,383
406,384
433,385
217,386
52,387
163,388
319,389
547,390
1,391
125,392
544,393
455,394
340,395
548,396
46,397
121,398
298,399
265,400
167,401
245,402
78,403
30,404
306,405
412,406
320,407
186,408
361,409
93,410
12,411
126,412
371,413
356,414
365,415
303,416
528,417
235,418
369,419
157,420
399,421
486,422
75,423
393,424
221,425
366,426
482,427
88,428
279,429
524,430
228,431
58,432
261,433
115,434
363,435
100,436
19,437
546,438
367,439
461,440
415,441
445,442
308,443
355,444
421,445
538,446
530,447
243,448
460,449
560,450
529,451
247,452
62,453
61,454
37,455
383,456
17,457
246,458
196,459
376,460
33,461
250,462
489,463
305,464
496,465
463,466
53,467
536,468
370,469
411,470
94,471
337,472
488,473
73,474
504,475
457,476
386,477
183,478
274,479
285,480
321,481
27,482
559,483
523,484
111,485
97,486
432,487
237,488
23,489
71,490
39,491
276,492
487,493
466,494
242,495
498,496
312,497
562,498
407,499
348,500
344,501
283,502
556,503
317,504
446,505
16,506
360,507
324,508
384,509
232,510
262,511
284,512
392,513
147,514
59,515
161,516
396,517
410,518
44,519
99,520
326,521
2,522
127,523
394,524
234,525
63,526
25,527
233,528
323,529
469,530
511,531
210,532
517,533
230,534
45,535
313,536
441,537
263,538
252,539
20,540
110,541
275,542
513,543
309,544
339,545
437,546
549,547
451,548
77,549
272,550
519,551
5,552
87,553
218,554
145,555
109,556
181,557
450,558
199,559
128,560
169,561
130,562
315,563
422,564
