uid,step
936,1
1094,2
1157,3
1299,4
1435,5
1544,6
2350,7
654,8
661,9
472,10
879,11
538,12
1409,13
659,14
1953,15
2425,16
827,17
1126,18
1552,19
1034,20
1595,21
2495,22
2504,23
1720,24
2549,25
119,26
369,27
348,28
471,29
2669,30
547,31
519,32
343,33
930,34
384,35
1977,36
829,37
1008,38
1883,39
2361,40
572,41
2044,42
128,43
1982,44
1675,45
2303,46
999,47
1929,48
2313,49
2394,50
1755,51
1985,52
683,53
1044,54
1097,55
1222,56
157,57
1491,58
2075,59
2411,60
2277,61
1835,62
1951,63
2471,64
2119,65
288,66
811,67
573,68
1366,69
2321,70
2589,71
720,72
1327,73
1739,74
1021,75
1004,76
2371,77
884,78
396,79
611,80
2194,81
210,82
2328,83
690,84
366,85
773,86
1609,87
916,88
1478,89
2730,90
1099,91
1970,92
266,93
956,94
887,95
81,96
1067,97
608,98
2382,99
1698,100
459,101
680,102
640,103
1774,104
1897,105
922,106
628,107
2304,108
1972,109
340,110
2614,111
131,112
2367,113
742,114
1721,115
2073,116
2136,117
2220,118
1022,119
1431,120
2144,121
398,122
2060,123
1762,124
2811,125
1629,126
54,127
520,128
2781,129
539,130
2139,131
1041,132
1100,133
1351,134
2311,135
917,136
1252,137
870,138
1062,139
298,140
2063,141
815,142
1502,143
2034,144
2025,145
787,146
1843,147
170,148
2033,149
869,150
541,151
371,152
1254,153
755,154
2557,155
905,156
2738,157
740,158
1253,159
540,160
2174,161
1042,162
1668,163
2132,164
977,165
660,166
2435,167
2516,168
1479,169
1373,170
2806,171
152,172
2269,173
526,174
412,175
258,176
1091,177
1908,178
253,179
2062,180
675,181
200,182
606,183
21,184
524,185
1083,186
2609,187
631,188
1334,189
1388,190
1264,191
834,192
357,193
382,194
548,195
303,196
1318,197
1856,198
2817,199
1016,200
2731,201
328,202
1263,203
2140,204
639,205
856,206
79,207
1947,208
697,209
2410,210
2723,211
1164,212
2395,213
2501,214
1483,215
2699,216
2700,217
397,218
2285,219
1167,220
1877,221
1925,222
2389,223
544,224
2183,225
1988,226
1349,227
1842,228
2171,229
2667,230
835,231
1448,232
802,233
2018,234
2206,235
333,236
996,237
49,238
1015,239
1074,240
1848,241
832,242
2745,243
570,244
1685,245
1884,246
20,247
847,248
41,249
951,250
1241,251
27,252
29,253
132,254
1223,255
1996,256
205,257
831,258
770,259
778,260
94,261
783,262
1683,263
955,264
1635,265
1941,266
2788,267
2267,268
2312,269
1485,270
2494,271
2541,272
1160,273
1558,274
1534,275
1650,276
1640,277
2015,278
2657,279
552,280
823,281
2213,282
6,283
2424,284
1017,285
1740,286
80,287
1177,288
1240,289
1124,290
2187,291
2649,292
1590,293
636,294
1997,295
1704,296
2342,297
424,298
2276,299
2198,300
1063,301
1561,302
1312,303
2153,304
2588,305
1743,306
2193,307
1355,308
615,309
1133,310
1475,311
162,312
1838,313
1031,314
2137,315
1500,316
2086,317
775,318
2695,319
2782,320
1296,321
2773,322
511,323
1086,324
504,325
962,326
997,327
537,328
1495,329
2536,330
954,331
1390,332
2107,333
1824,334
2167,335
2405,336
1723,337
468,338
958,339
1107,340
1414,341
514,342
1760,343
2697,344
1930,345
866,346
1338,347
534,348
1462,349
1260,350
560,351
747,352
825,353
1226,354
1363,355
1364,356
1393,357
1578,358
1213,359
2279,360
2583,361
1447,362
339,363
594,364
630,365
1088,366
1288,367
1501,368
1679,369
2415,370
500,371
155,372
1271,373
848,374
2035,375
22,376
1919,377
711,378
1199,379
214,380
614,381
1994,382
2758,383
312,384
441,385
1284,386
1712,387
1831,388
1855,389
43,390
69,391
998,392
2401,393
2402,394
1130,395
1258,396
1727,397
2078,398
2083,399
824,400
918,401
1242,402
684,403
546,404
1589,405
1639,406
883,407
2396,408
2472,409
2474,410
2493,411
2684,412
2812,413
2813,414
358,415
381,416
1186,417
1467,418
1498,419
1734,420
1924,421
2393,422
2456,423
356,424
1757,425
2728,426
1406,427
1443,428
1815,429
774,430
612,431
2359,432
1225,433
1873,434
723,435
859,436
2743,437
2388,438
2458,439
577,440
274,441
2734,442
1488,443
2524,444
1134,445
2134,446
2555,447
1309,448
2364,449
1746,450
810,451
2061,452
465,453
1952,454
624,455
693,456
77,457
387,458
2698,459
882,460
1459,461
2170,462
2172,463
1275,464
1829,465
1928,466
839,467
1593,468
992,469
1834,470
1854,471
2416,472
257,473
607,474
2100,475
421,476
2265,477
1170,478
2058,479
508,480
725,481
780,482
808,483
863,484
1499,485
2566,486
2744,487
2786,488
714,489
1120,490
1473,491
1026,492
2185,493
881,494
776,495
13,496
2739,497
233,498
272,499
373,500
717,501
941,502
1095,503
2006,504
1745,505
