board,uid,pid_raw,x,y,w,h,w0,h0,rotated
1,81,data1_81,5.0,5.0,2397.0,812.0,2397.0,812.0,0
1,1067,data1_1067,5.0,817.0,2350.0,394.0,2350.0,394.0,0
1,608,data1_608,2355.0,817.0,75.0,383.0,383.0,75.0,1
2,384,data1_384,5.0,5.0,2321.0,814.0,2321.0,814.0,0
2,1977,data1_1977,5.0,819.0,2350.0,394.0,2350.0,394.0,0
2,1951,data1_1951,2326.0,5.0,100.0,776.0,776.0,100.0,1
2,609,data1_609,2355.0,781.0,75.0,383.0,383.0,75.0,1
3,2137,data1_2137,5.0,5.0,1720.0,1071.0,1720.0,1071.0,0
3,1500,data1_1500,1725.0,5.0,679.5,1209.0,1209.0,679.5,1
3,2312,data1_2312,5.0,1076.0,1626.0,110.0,1626.0,110.0,0
4,1516,data1_1516,5.0,5.0,1627.5,1083.5,1627.5,1083.5,0
4,184,data1_184,1632.5,5.0,732.0,1190.0,1190.0,732.0,1
4,1371,data1_1371,5.0,1088.5,1045.5,123.5,123.5,1045.5,1
4,1595,data1_1595,2364.5,5.0,70.0,1192.0,1192.0,70.0,1
4,903,data1_903,1050.5,1088.5,569.5,123.5,123.5,569.5,1
5,547,data1_547,5.0,5.0,1883.5,896.0,1883.5,896.0,0
5,519,data1_519,5.0,901.0,2330.0,312.0,2330.0,312.0,0
5,343,data1_343,1888.5,5.0,543.0,884.0,884.0,543.0,1
5,930,data1_930,2335.0,889.0,73.5,310.0,73.5,310.0,0
6,1004,data1_1004,5.0,5.0,1445.0,1150.0,1445.0,1150.0,0
6,2371,data1_2371,1450.0,5.0,901.5,1144.0,901.5,1144.0,0
6,607,data1_607,5.0,1155.0,2203.0,60.0,2203.0,60.0,0
6,829,data1_829,2351.5,5.0,80.0,1209.5,1209.5,80.0,1
7,119,data1_119,5.0,5.0,1440.0,1150.0,1440.0,1150.0,0
7,369,data1_369,1445.0,5.0,900.0,989.0,900.0,989.0,0
7,214,data1_214,1445.0,994.0,976.0,220.0,976.0,220.0,0
7,471,data1_471,5.0,1155.0,1433.0,60.0,1433.0,60.0,0
7,2669,data1_2669,2345.0,5.0,80.0,892.0,892.0,80.0,1
8,1982,data1_1982,5.0,5.0,2257.0,710.0,2257.0,710.0,0
8,1675,data1_1675,5.0,715.0,2357.0,499.0,2357.0,499.0,0
8,2304,data1_2304,2262.0,5.0,145.5,649.5,145.5,649.5,0
8,2174,data1_2174,2362.0,654.5,70.0,464.0,464.0,70.0,1
9,170,data1_170,5.0,5.0,1395.0,1062.0,1395.0,1062.0,0
9,2033,data1_2033,1400.0,5.0,1004.0,883.5,883.5,1004.0,1
9,956,data1_956,5.0,1067.0,2397.0,146.0,2397.0,146.0,0
9,454,data1_454,1400.0,888.5,1003.5,154.5,154.5,1003.5,1
10,1091,data1_1091,5.0,5.0,1563.5,917.5,1563.5,917.5,0
10,1023,data1_1023,1568.5,5.0,732.0,1190.0,1190.0,732.0,1
10,2741,data1_2741,5.0,922.5,1524.0,280.0,1524.0,280.0,0
10,1370,data1_1370,2300.5,5.0,100.0,1200.0,1200.0,100.0,1
11,1972,data1_1972,5.0,5.0,2260.0,625.0,2260.0,625.0,0
11,340,data1_340,5.0,630.0,2400.0,580.0,2400.0,580.0,0
11,2614,data1_2614,2265.0,5.0,162.0,576.0,162.0,576.0,0
12,2492,data1_2492,5.0,5.0,2400.0,580.0,2400.0,580.0,0
12,2138,data1_2138,5.0,585.0,2400.0,574.0,2400.0,574.0,0
13,492,data1_492,5.0,5.0,1832.0,755.0,1832.0,755.0,0
13,599,data1_599,5.0,760.0,2400.0,440.0,2400.0,440.0,0
13,1156,data1_1156,1837.0,5.0,550.0,755.0,755.0,550.0,1
14,546,data1_546,5.0,5.0,1820.0,754.0,1820.0,754.0,0
14,1589,data1_1589,5.0,759.0,2400.0,440.0,2400.0,440.0,0
14,1639,data1_1639,1825.0,5.0,550.0,732.0,732.0,550.0,1
14,883,data1_883,2375.0,5.0,60.0,727.0,727.0,60.0,1
15,2664,data1_2664,5.0,5.0,1534.0,894.0,1534.0,894.0,0
15,2329,data1_2329,1539.0,5.0,887.0,982.0,982.0,887.0,1
15,1286,data1_1286,5.0,899.0,1524.0,303.0,1524.0,303.0,0
15,754,data1_754,1529.0,987.0,836.0,199.0,836.0,199.0,0
16,1409,data1_1409,5.0,5.0,2330.0,586.0,2330.0,586.0,0
16,659,data1_659,5.0,591.0,2410.0,564.0,2410.0,564.0,0
16,775,data1_775,5.0,1155.0,1394.0,60.0,1394.0,60.0,0
16,992,data1_992,1399.0,1155.0,1014.0,60.0,1014.0,60.0,0
16,827,data1_827,2335.0,5.0,100.0,509.0,509.0,100.0,1
17,1495,data1_1495,5.0,5.0,2410.0,564.0,2410.0,564.0,0
17,2536,data1_2536,5.0,569.0,2410.0,564.0,2410.0,564.0,0
17,954,data1_954,5.0,1133.0,2289.0,70.0,2289.0,70.0,0
18,847,data1_847,5.0,5.0,2305.0,588.0,2305.0,588.0,0
18,41,data1_41,5.0,593.0,2405.0,554.0,2405.0,554.0,0
18,952,data1_952,5.0,1147.0,1394.0,60.0,1394.0,60.0,0
18,2199,data1_2199,2310.0,5.0,123.5,528.0,123.5,528.0,0
18,1596,data1_1596,1399.0,1147.0,1014.0,60.0,1014.0,60.0,0
19,2335,data1_2335,5.0,5.0,2405.0,554.0,2405.0,554.0,0
19,484,data1_484,5.0,559.0,2400.0,550.0,2400.0,550.0,0
19,1590,data1_1590,5.0,1109.0,2200.0,90.0,2200.0,90.0,0
20,2682,data1_2682,5.0,5.0,2400.0,550.0,2400.0,550.0,0
20,144,data1_144,5.0,555.0,2347.0,560.0,2347.0,560.0,0
20,2668,data1_2668,5.0,1115.0,2200.0,90.0,2200.0,90.0,0
20,2697,data1_2697,2352.0,555.0,80.0,639.0,639.0,80.0,1
21,2640,data1_2640,5.0,5.0,2347.0,560.0,2347.0,560.0,0
21,2027,data1_2027,5.0,565.0,2382.0,550.0,2382.0,550.0,0
21,2696,data1_2696,5.0,1115.0,2288.0,70.0,2288.0,70.0,0
21,1843,data1_1843,2352.0,5.0,70.0,547.0,547.0,70.0,1
22,1046,data1_1046,5.0,5.0,2400.0,544.0,2400.0,544.0,0
22,603,data1_603,5.0,549.0,2382.0,544.0,2382.0,544.0,0
22,1947,data1_1947,5.0,1093.0,1724.0,120.0,1724.0,120.0,0
22,1240,data1_1240,1729.0,1093.0,603.5,105.5,105.5,603.5,1
23,702,data1_702,5.0,5.0,2382.0,544.0,2382.0,544.0,0
23,145,data1_145,5.0,549.0,2320.0,554.0,2320.0,554.0,0
23,535,data1_535,5.0,1103.0,2265.0,70.0,2265.0,70.0,0
23,855,data1_855,2325.0,549.0,100.0,606.0,606.0,100.0,1
24,283,data1_283,5.0,5.0,2320.0,554.0,2320.0,554.0,0
24,752,data1_752,5.0,559.0,2320.0,554.0,2320.0,554.0,0
24,837,data1_837,5.0,1113.0,2208.0,70.0,2208.0,70.0,0
24,831,data1_831,2325.0,5.0,110.0,1004.0,1004.0,110.0,1
25,1175,data1_1175,5.0,5.0,2320.0,554.0,2320.0,554.0,0
25,2380,data1_2380,5.0,559.0,2320.0,554.0,2320.0,554.0,0
25,953,data1_953,5.0,1113.0,2128.0,70.0,2128.0,70.0,0
25,1237,data1_1237,2325.0,5.0,110.0,1004.0,1004.0,110.0,1
25,834,data1_834,2133.0,1113.0,299.0,70.0,299.0,70.0,0
26,2593,data1_2593,5.0,5.0,2320.0,554.0,2320.0,554.0,0
26,1805,data1_1805,5.0,559.0,2326.0,550.0,2326.0,550.0,0
26,2665,data1_2665,5.0,1109.0,2090.0,70.0,2090.0,70.0,0
26,22,data1_22,2331.0,5.0,80.0,625.0,625.0,80.0,1
26,2191,data1_2191,2331.0,630.0,100.0,494.0,100.0,494.0,0
26,1263,data1_1263,2095.0,1124.0,284.0,70.0,284.0,70.0,0
27,1068,data1_1068,5.0,5.0,2350.0,544.0,2350.0,544.0,0
27,1999,data1_1999,5.0,549.0,2350.0,544.0,2350.0,544.0,0
27,1838,data1_1838,5.0,1093.0,2054.0,70.0,2054.0,70.0,0
27,2549,data1_2549,2355.0,5.0,70.0,1181.0,1181.0,70.0,1
