uid,step
81,1
1067,2
608,3
384,4
1977,5
1951,6
609,7
2137,8
1500,9
2312,10
1516,11
184,12
1371,13
1595,14
903,15
547,16
519,17
343,18
930,19
1004,20
2371,21
607,22
829,23
119,24
369,25
214,26
471,27
2669,28
1982,29
1675,30
2304,31
2174,32
170,33
2033,34
956,35
454,36
1091,37
1023,38
2741,39
1370,40
1972,41
340,42
2614,43
2492,44
2138,45
492,46
599,47
1156,48
546,49
1589,50
1639,51
883,52
2664,53
2329,54
1286,55
754,56
1409,57
659,58
775,59
992,60
827,61
1495,62
2536,63
954,64
847,65
41,66
952,67
2199,68
1596,69
2335,70
484,71
1590,72
2682,73
144,74
2668,75
2697,76
2640,77
2027,78
2696,79
1843,80
1046,81
603,82
1947,83
1240,84
702,85
145,86
535,87
855,88
283,89
752,90
837,91
831,92
1175,93
2380,94
953,95
1237,96
834,97
2593,98
1805,99
2665,100
22,101
2191,102
1068,103
1999,104
1838,105
2549,106
1263,107
172,108
700,109
1264,110
832,111
996,112
487,113
530,114
2309,115
1835,116
1485,117
1619,118
1631,119
401,120
614,121
2545,122
1930,123
866,124
836,125
350,126
2192,127
995,128
1669,129
199,130
773,131
24,132
1376,133
958,134
538,135
456,136
1430,137
1242,138
1351,139
2311,140
1615,141
370,142
543,143
1836,144
1591,145
2550,146
2063,147
2533,148
816,149
1105,150
2423,151
770,152
830,153
2106,154
892,155
886,156
998,157
1953,158
2577,159
539,160
1070,161
1738,162
1354,163
2427,164
613,165
1919,166
711,167
1199,168
1515,169
2547,170
1097,171
1222,172
157,173
1970,174
266,175
949,176
1239,177
1126,178
1552,179
1034,180
887,181
2495,182
2504,183
1720,184
1479,185
2133,186
1584,187
1593,188
2086,189
400,190
55,191
663,192
171,193
2305,194
904,195
27,196
1124,197
2187,198
2213,199
1466,200
908,201
2722,202
1939,203
2649,204
534,205
880,206
999,207
1080,208
1454,209
2753,210
2205,211
53,212
2718,213
1103,214
1260,215
579,216
846,217
1760,218
2552,219
734,220
1752,221
463,222
2196,223
905,224
1353,225
1414,226
514,227
69,228
395,229
587,230
713,231
667,232
2421,233
1457,234
738,235
1585,236
1946,237
776,238
1369,239
1854,240
2416,241
257,242
931,243
2425,244
2567,245
1045,246
1909,247
155,248
468,249
2058,250
1855,251
43,252
638,253
828,254
399,255
2209,256
2457,257
517,258
1133,259
1475,260
162,261
1123,262
997,263
2551,264
1786,265
925,266
623,267
1184,268
772,269
929,270
984,271
1559,272
1787,273
610,274
902,275
537,276
1954,277
1681,278
1870,279
1828,280
991,281
990,282
2704,283
430,284
444,285
2181,286
2422,287
1373,288
2426,289
615,290
2062,291
624,292
693,293
2273,294
31,295
1487,296
1464,297
942,298
1269,299
2420,300
2193,301
540,302
2059,303
1297,304
2012,305
2255,306
884,307
1374,308
2197,309
2736,310
2748,311
2267,312
1462,313
28,314
881,315
2805,316
385,317
2604,318
993,319
2307,320
1355,321
1491,322
2075,323
2411,324
2185,325
398,326
473,327
2556,328
2607,329
2586,330
2277,331
833,332
1106,333
1546,334
2014,335
625,336
1460,337
2310,338
1950,339
466,340
955,341
2738,342
740,343
1253,344
2430,345
1244,346
778,347
94,348
783,349
1683,350
1484,351
2100,352
421,353
2265,354
408,355
469,356
210,357
2328,358
690,359
366,360
2583,361
2666,362
2337,363
1733,364
1739,365
2281,366
2702,367
396,368
611,369
1349,370
1488,371
2667,372
2208,373
2816,374
2777,375
2087,376
2212,377
2278,378
1648,379
2316,380
1955,381
2359,382
1225,383
1305,384
1974,385
1815,386
105,387
1830,388
8,389
2061,390
2306,391
951,392
30,393
2382,394
1698,395
459,396
680,397
2237,398
641,399
1234,400
542,401
2190,402
2471,403
2119,404
288,405
811,406
2122,407
968,408
1568,409
65,410
337,411
1472,412
1652,413
174,414
901,415
1259,416
2067,417
2195,418
2139,419
1041,420
1100,421
2303,422
1483,423
2699,424
1569,425
1332,426
1582,427
888,428
1241,429
1261,430
29,431
1262,432
545,433
2070,434
2519,435
2700,436
23,437
470,438
397,439
2543,440
882,441
950,442
695,443
1751,444
2631,445
907,446
1463,447
2760,448
2076,449
