board,uid,pid_raw,x,y,w,h,w0,h0,rotated
1,81,data1_81,5.0,5.0,2397.0,812.0,2397.0,812.0,0
1,1067,data1_1067,5.0,817.0,2350.0,394.0,2350.0,394.0,0
1,608,data1_608,2355.0,817.0,75.0,383.0,383.0,75.0,1
2,384,data1_384,5.0,5.0,2321.0,814.0,2321.0,814.0,0
2,1977,data1_1977,5.0,819.0,2350.0,394.0,2350.0,394.0,0
2,829,data1_829,2355.0,5.0,80.0,1209.5,1209.5,80.0,1
3,2137,data1_2137,5.0,5.0,1720.0,1071.0,1720.0,1071.0,0
3,1500,data1_1500,1725.0,5.0,679.5,1209.0,1209.0,679.5,1
3,2086,data1_2086,5.0,1076.0,1614.0,70.0,1614.0,70.0,0
3,775,data1_775,5.0,1146.0,1394.0,60.0,1394.0,60.0,0
3,2695,data1_2695,1399.0,1146.0,315.0,60.0,315.0,60.0,0
4,1516,data1_1516,5.0,5.0,1627.5,1083.5,1627.5,1083.5,0
4,1023,data1_1023,1632.5,5.0,732.0,1190.0,1190.0,732.0,1
4,904,data1_904,5.0,1088.5,1585.0,70.0,1585.0,70.0,0
4,1239,data1_1239,2364.5,5.0,70.0,1064.0,1064.0,70.0,1
5,547,data1_547,5.0,5.0,1883.5,896.0,1883.5,896.0,0
5,519,data1_519,5.0,901.0,2330.0,312.0,2330.0,312.0,0
5,343,data1_343,1888.5,5.0,543.0,884.0,884.0,543.0,1
5,930,data1_930,2335.0,889.0,73.5,310.0,73.5,310.0,0
6,1004,data1_1004,5.0,5.0,1445.0,1150.0,1445.0,1150.0,0
6,2371,data1_2371,1450.0,5.0,901.5,1144.0,901.5,1144.0,0
6,31,data1_31,2351.5,5.0,70.0,1004.0,1004.0,70.0,1
6,2702,data1_2702,5.0,1155.0,962.0,60.0,962.0,60.0,0
6,396,data1_396,967.0,1155.0,953.0,60.0,953.0,60.0,0
6,1948,data1_1948,1920.0,1149.0,513.0,60.0,513.0,60.0,0
7,119,data1_119,5.0,5.0,1440.0,1150.0,1440.0,1150.0,0
7,369,data1_369,1445.0,5.0,900.0,989.0,900.0,989.0,0
7,348,data1_348,1445.0,994.0,976.0,220.0,976.0,220.0,0
7,471,data1_471,5.0,1155.0,1433.0,60.0,1433.0,60.0,0
7,2669,data1_2669,2345.0,5.0,80.0,892.0,892.0,80.0,1
8,1982,data1_1982,5.0,5.0,2257.0,710.0,2257.0,710.0,0
8,1675,data1_1675,5.0,715.0,2357.0,499.0,2357.0,499.0,0
8,2303,data1_2303,2262.0,5.0,145.5,640.5,145.5,640.5,0
8,999,data1_999,2362.0,645.5,70.0,564.0,564.0,70.0,1
9,170,data1_170,5.0,5.0,1395.0,1062.0,1395.0,1062.0,0
9,2033,data1_2033,1400.0,5.0,1004.0,883.5,883.5,1004.0,1
9,869,data1_869,1400.0,888.5,1033.5,322.0,1033.5,322.0,0
9,541,data1_541,5.0,1067.0,1326.5,145.5,1326.5,145.5,0
10,1091,data1_1091,5.0,5.0,1563.5,917.5,1563.5,917.5,0
10,1908,data1_1908,1568.5,5.0,855.5,877.5,877.5,855.5,1
10,253,data1_253,5.0,922.5,2370.0,289.0,2370.0,289.0,0
10,2062,data1_2062,2375.0,882.5,60.0,315.0,315.0,60.0,1
11,1972,data1_1972,5.0,5.0,2260.0,625.0,2260.0,625.0,0
11,340,data1_340,5.0,630.0,2400.0,580.0,2400.0,580.0,0
11,2614,data1_2614,2265.0,5.0,162.0,576.0,162.0,576.0,0
12,2492,data1_2492,5.0,5.0,2400.0,580.0,2400.0,580.0,0
12,2138,data1_2138,5.0,585.0,2400.0,574.0,2400.0,574.0,0
13,492,data1_492,5.0,5.0,1832.0,755.0,1832.0,755.0,0
13,599,data1_599,5.0,760.0,2400.0,440.0,2400.0,440.0,0
13,1156,data1_1156,1837.0,5.0,550.0,755.0,755.0,550.0,1
14,546,data1_546,5.0,5.0,1820.0,754.0,1820.0,754.0,0
14,1589,data1_1589,5.0,759.0,2400.0,440.0,2400.0,440.0,0
14,1639,data1_1639,1825.0,5.0,550.0,732.0,732.0,550.0,1
14,883,data1_883,2375.0,5.0,60.0,727.0,727.0,60.0,1
15,2664,data1_2664,5.0,5.0,1534.0,894.0,1534.0,894.0,0
15,2329,data1_2329,1539.0,5.0,887.0,982.0,982.0,887.0,1
15,1286,data1_1286,5.0,899.0,1524.0,303.0,1524.0,303.0,0
15,754,data1_754,1529.0,987.0,836.0,199.0,836.0,199.0,0
16,1409,data1_1409,5.0,5.0,2330.0,586.0,2330.0,586.0,0
16,659,data1_659,5.0,591.0,2410.0,564.0,2410.0,564.0,0
16,1953,data1_1953,5.0,1155.0,1266.0,60.0,1266.0,60.0,0
16,2425,data1_2425,1271.0,1155.0,1164.0,60.0,1164.0,60.0,0
16,827,data1_827,2335.0,5.0,100.0,509.0,509.0,100.0,1
17,1495,data1_1495,5.0,5.0,2410.0,564.0,2410.0,564.0,0
17,2536,data1_2536,5.0,569.0,2410.0,564.0,2410.0,564.0,0
17,954,data1_954,5.0,1133.0,2289.0,70.0,2289.0,70.0,0
18,847,data1_847,5.0,5.0,2305.0,588.0,2305.0,588.0,0
18,41,data1_41,5.0,593.0,2405.0,554.0,2405.0,554.0,0
18,1261,data1_1261,5.0,1147.0,884.0,60.0,884.0,60.0,0
18,397,data1_397,889.0,1147.0,874.0,60.0,874.0,60.0,0
18,2550,data1_2550,2310.0,5.0,100.0,494.0,100.0,494.0,0
18,29,data1_29,1763.0,1147.0,643.0,60.0,643.0,60.0,0
19,2335,data1_2335,5.0,5.0,2405.0,554.0,2405.0,554.0,0
19,484,data1_484,5.0,559.0,2400.0,550.0,2400.0,550.0,0
19,2668,data1_2668,5.0,1109.0,2200.0,90.0,2200.0,90.0,0
20,2682,data1_2682,5.0,5.0,2400.0,550.0,2400.0,550.0,0
20,144,data1_144,5.0,555.0,2347.0,560.0,2347.0,560.0,0
20,1466,data1_1466,5.0,1115.0,1585.0,70.0,1585.0,70.0,0
20,2666,data1_2666,1590.0,1115.0,844.0,70.0,844.0,70.0,0
20,2173,data1_2173,2352.0,555.0,70.0,514.0,514.0,70.0,1
21,2640,data1_2640,5.0,5.0,2347.0,560.0,2347.0,560.0,0
21,2027,data1_2027,5.0,565.0,2382.0,550.0,2382.0,550.0,0
21,957,data1_957,5.0,1115.0,776.0,60.0,776.0,60.0,0
21,1102,data1_1102,781.0,1115.0,776.0,60.0,776.0,60.0,0
21,1375,data1_1375,1557.0,1115.0,776.0,60.0,776.0,60.0,0
22,1046,data1_1046,5.0,5.0,2400.0,544.0,2400.0,544.0,0
22,603,data1_603,5.0,549.0,2382.0,544.0,2382.0,544.0,0
23,702,data1_702,5.0,5.0,2382.0,544.0,2382.0,544.0,0
23,145,data1_145,5.0,549.0,2320.0,554.0,2320.0,554.0,0
24,283,data1_283,5.0,5.0,2320.0,554.0,2320.0,554.0,0
24,752,data1_752,5.0,559.0,2320.0,554.0,2320.0,554.0,0
25,1175,data1_1175,5.0,5.0,2320.0,554.0,2320.0,554.0,0
25,2380,data1_2380,5.0,559.0,2320.0,554.0,2320.0,554.0,0
26,2593,data1_2593,5.0,5.0,2320.0,554.0,2320.0,554.0,0
26,1805,data1_1805,5.0,559.0,2326.0,550.0,2326.0,550.0,0
27,1068,data1_1068,5.0,5.0,2350.0,544.0,2350.0,544.0,0
27,1999,data1_1999,5.0,549.0,2350.0,544.0,2350.0,544.0,0
28,172,data1_172,5.0,5.0,2347.0,544.0,2347.0,544.0,0
28,700,data1_700,5.0,549.0,2347.0,544.0,2347.0,544.0,0
29,487,data1_487,5.0,5.0,2321.0,550.0,2321.0,550.0,0
29,530,data1_530,5.0,555.0,2321.0,550.0,2321.0,550.0,0
30,1619,data1_1619,5.0,5.0,2321.0,550.0,2321.0,550.0,0
30,1631,data1_1631,5.0,555.0,2321.0,550.0,2321.0,550.0,0
31,1930,data1_1930,5.0,5.0,2200.0,580.0,2200.0,580.0,0
31,866,data1_866,5.0,585.0,2360.0,540.0,2360.0,540.0,0
31,1338,data1_1338,2205.0,5.0,220.0,499.0,499.0,220.0,1
31,534,data1_534,5.0,1125.0,1550.0,70.0,1550.0,70.0,0
