board,n_parts,used_area,waste_area,board_area,U
1,18,2866097.0,110703.0,2976800.0,0.9628114082235958
2,18,2840227.25,136572.75,2976800.0,0.9541209520290245
3,17,2849710.0,127090.0,2976800.0,0.957306503628057
4,17,2845891.5,130908.5,2976800.0,0.9560237503359312
5,16,2852462.0,124338.0,2976800.0,0.9582309862940069
6,16,2815286.0,161514.0,2976800.0,0.9457424079548509
7,17,2756024.4,220775.6000000001,2976800.0,0.9258345874764848
8,15,2872721.0,104079.0,2976800.0,0.9650366165009406
9,15,2872470.0,104330.0,2976800.0,0.9649522977694168
10,15,2858370.5,118429.5,2976800.0,0.9602158357968288
11,15,2847953.5,128846.5,2976800.0,0.9567164404729911
12,15,2829228.8,147571.2000000002,2976800.0,0.9504262295081967
13,15,2781553.5,195246.5,2976800.0,0.9344106087073367
14,14,2881799.0,95001.0,2976800.0,0.968086199946251
15,14,2876697.0,100103.0,2976800.0,0.9663722789572695
16,14,2864604.0,112196.0,2976800.0,0.9623098629400699
17,14,2862203.0,114597.0,2976800.0,0.9615032921257727
18,14,2856971.0,119829.0,2976800.0,0.9597457000806235
19,15,2829884.0,146916.0,2976800.0,0.9506463316312819
20,14,2793924.0,182876.0,2976800.0,0.9385662456328944
21,13,2879956.0,96844.0,2976800.0,0.9674670787422736
22,13,2845989.0,130811.0,2976800.0,0.9560565036280569
23,13,2827838.05,148961.9500000002,2976800.0,0.9499590331900026
24,13,2787235.0,189565.0,2976800.0,0.9363192018274658
25,13,2785378.25,191421.75,2976800.0,0.9356954615694706
26,17,2740274.5,236525.5,2976800.0,0.9205437046492878
27,16,2790376.0,186424.0,2976800.0,0.9373743617307175
28,12,2867072.95,109727.04999999981,2976800.0,0.9631392602794948
29,15,2790488.0,186312.0,2976800.0,0.937411986025262
30,11,2865909.0,110891.0,2976800.0,0.9627482531577533
31,12,2844649.0,132151.0,2976800.0,0.9556063558183284
32,11,2851759.0,125041.0,2976800.0,0.9579948266595001
33,10,2817788.0,159012.0,2976800.0,0.9465829078204784
34,11,2476918.0,499882.0,2976800.0,0.8320740392367643
35,11,2460969.0,515831.0,2976800.0,0.8267162725073904
36,10,2268321.25,708478.75,2976800.0,0.7619998824240796
37,10,2878628.8,98171.20000000019,2976800.0,0.9670212308519215
38,10,2876829.5,99970.5,2976800.0,0.9664167898414405
39,10,2798084.0,178716.0,2976800.0,0.9399637194302607
40,8,2566775.0,410025.0,2976800.0,0.8622598091910777
41,9,2845152.0,131648.0,2976800.0,0.9557753292125772
42,10,2826889.0,149911.0,2976800.0,0.9496402176834184
43,10,2818405.25,158394.75,2976800.0,0.9467902613544746
44,10,2810788.0,166012.0,2976800.0,0.9442313894114486
45,16,2838305.5,138494.5,2976800.0,0.9534753762429454
46,13,2796794.0,180006.0,2976800.0,0.9395303681805967
47,10,2384200.75,592599.25,2976800.0,0.8009274220639613
48,7,2765438.5,211361.5,2976800.0,0.9289970773985488
49,9,2879877.0,96923.0,2976800.0,0.9674405401773717
50,9,2869824.0,106976.0,2976800.0,0.9640634238108036
51,9,2869685.25,107114.75,2976800.0,0.9640168133566246
52,9,2822990.75,153809.25,2976800.0,0.9483306738779897
53,9,2811342.0,165458.0,2976800.0,0.9444174952969632
54,8,2788783.0,188017.0,2976800.0,0.9368392233270626
55,9,2830352.0,146448.0,2976800.0,0.9508035474334856
56,9,2797375.0,179425.0,2976800.0,0.939725544208546
57,9,2801969.0,174831.0,2976800.0,0.9412688121472722
58,8,2778133.5,198666.5,2976800.0,0.933261723998925
59,9,2749402.75,227397.25,2976800.0,0.923610168637463
60,9,2737041.0,239759.0,2976800.0,0.9194574711099167
61,9,2536862.0,439938.0,2976800.0,0.8522110991668906
62,9,2454586.3,522213.7000000002,2976800.0,0.8245721244289169
63,9,2442438.5,534361.5,2976800.0,0.8204912993818866
64,9,2390049.0,586751.0,2976800.0,0.8028920317119054
65,8,2908240.0,68560.0,2976800.0,0.9769685568395593
66,8,2904696.0,72104.0,2976800.0,0.9757780166621876
67,8,2895510.5,81289.5,2976800.0,0.9726923206127385
68,8,2890135.0,86665.0,2976800.0,0.9708865224402042
69,8,2877422.15,99377.8500000001,2976800.0,0.966615879467885
70,8,2863452.0,113348.0,2976800.0,0.9619228701961838
71,8,2863177.0,113623.0,2976800.0,0.961830489115829
72,8,2861039.0,115761.0,2976800.0,0.9611122682074711
73,2,2382200.0,594600.0,2976800.0,0.8002553077129804
74,9,2845249.0,131551.0,2976800.0,0.9558079145391024
75,8,2850305.2,126494.79999999981,2976800.0,0.9575064498790649
76,8,2845425.0,131375.0,2976800.0,0.9558670384305294
77,9,2830407.5,146392.5,2976800.0,0.9508221916151572
78,8,2784694.0,192106.0,2976800.0,0.935465600644988
79,8,2839290.0,137510.0,2976800.0,0.9538061005106154
80,8,2834168.15,142631.8500000001,2976800.0,0.9520855112872884
81,7,2815563.0,161237.0,2976800.0,0.9458354608976082
82,8,2808438.1,168361.8999999999,2976800.0,0.9434419846815373
83,8,2815154.0,161646.0,2976800.0,0.9456980650362806
84,8,2786925.0,189875.0,2976800.0,0.9362150631550659
85,8,2644915.55,331884.4500000002,2976800.0,0.8885096580220371
86,8,2527638.0,449162.0,2976800.0,0.8491124697661919
87,8,2451526.0,525274.0,2976800.0,0.8235440741736092
88,8,2431868.75,544931.25,2976800.0,0.8169405905670518
