board,uid,pid_raw,x,y,w,h,w0,h0,rotated
1,1291,data2_1291,5.0,5.0,426.0,421.0,426.0,421.0,0
1,368,data2_368,5.0,426.0,450.0,394.0,450.0,394.0,0
1,137,data2_137,455.0,5.0,419.0,423.0,419.0,423.0,0
1,204,data2_204,455.0,428.0,419.0,423.0,419.0,423.0,0
1,254,data2_254,874.0,5.0,419.0,423.0,419.0,423.0,0
1,593,data2_593,874.0,428.0,419.0,423.0,419.0,423.0,0
1,1321,data2_1321,1293.0,5.0,419.0,423.0,419.0,423.0,0
1,2055,data2_2055,1293.0,428.0,419.0,423.0,419.0,423.0,0
1,2252,data2_2252,1712.0,5.0,419.0,423.0,419.0,423.0,0
1,1656,data2_1656,1712.0,428.0,399.0,420.0,420.0,399.0,1
1,1776,data2_1776,5.0,820.0,413.5,390.0,390.0,413.5,1
1,1441,data2_1441,1712.0,848.0,429.0,363.0,429.0,363.0,0
1,1714,data2_1714,418.5,851.0,429.0,363.0,429.0,363.0,0
1,1071,data2_1071,847.5,851.0,431.5,360.0,431.5,360.0,0
1,1938,data2_1938,1279.0,851.0,416.0,364.0,364.0,416.0,1
1,250,data2_250,2131.0,5.0,301.0,494.0,494.0,301.0,1
1,923,data2_923,2141.0,499.0,281.0,494.0,494.0,281.0,1
1,2331,data2_2331,2141.0,993.0,280.5,122.0,122.0,280.5,1
2,1163,data2_1163,5.0,5.0,509.0,378.0,509.0,378.0,0
2,1497,data2_1497,5.0,383.0,509.0,378.0,509.0,378.0,0
2,2269,data2_2269,5.0,761.0,509.0,378.0,509.0,378.0,0
2,1107,data2_1107,514.0,5.0,482.0,397.0,482.0,397.0,0
2,39,data2_39,514.0,402.0,503.0,378.0,378.0,503.0,1
2,1720,data2_1720,996.0,5.0,500.0,380.0,500.0,380.0,0
2,2227,data2_2227,1496.0,5.0,500.0,380.0,500.0,380.0,0
2,1604,data2_1604,1017.0,385.0,437.5,433.5,437.5,433.5,0
2,316,data2_316,1454.5,385.0,450.0,420.0,420.0,450.0,1
2,2263,data2_2263,1904.5,385.0,450.0,420.0,420.0,450.0,1
2,1546,data2_1546,1454.5,805.0,543.0,345.0,345.0,543.0,1
2,1717,data2_1717,514.0,818.5,543.0,345.0,345.0,543.0,1
2,268,data2_268,1997.5,805.0,432.0,400.0,432.0,400.0,0
2,138,data2_138,1996.0,5.0,429.0,363.0,429.0,363.0,0
2,997,data2_997,1057.0,818.5,380.0,368.5,368.5,380.0,1
2,129,data2_129,5.0,1139.0,509.0,70.0,509.0,70.0,0
2,283,data2_283,1437.0,1150.0,476.0,60.0,476.0,60.0,0
2,1930,data2_1930,2354.5,368.0,70.0,378.0,378.0,70.0,1
3,1731,data2_1731,5.0,5.0,523.0,395.0,395.0,523.0,1
3,2021,data2_2021,5.0,400.0,523.0,395.0,395.0,523.0,1
3,2305,data2_2305,5.0,795.0,523.0,395.0,395.0,523.0,1
3,1917,data2_1917,528.0,5.0,479.0,431.0,479.0,431.0,0
3,2389,data2_2389,528.0,436.0,479.0,431.0,479.0,431.0,0
3,496,data2_496,1007.0,5.0,494.0,417.0,494.0,417.0,0
3,1954,data2_1954,1501.0,5.0,494.0,417.0,494.0,417.0,0
3,1967,data2_1967,1007.0,422.0,494.0,417.0,494.0,417.0,0
3,954,data2_954,1501.0,422.0,509.0,398.0,509.0,398.0,0
3,1203,data2_1203,2010.0,5.0,409.5,494.0,409.5,494.0,0
3,1495,data2_1495,2010.0,499.0,357.0,566.0,357.0,566.0,0
3,1886,data2_1886,1007.0,839.0,566.0,357.0,357.0,566.0,1
3,975,data2_975,1573.0,820.0,420.0,385.0,420.0,385.0,0
3,1103,data2_1103,528.0,867.0,452.0,332.0,332.0,452.0,1
3,221,data2_221,2367.0,499.0,60.0,450.0,450.0,60.0,1
3,1643,data2_1643,1993.0,1065.0,429.0,60.0,429.0,60.0,0
3,173,data2_173,1993.0,1125.0,426.0,60.0,426.0,60.0,0
4,1830,data2_1830,5.0,5.0,543.0,345.0,345.0,543.0,1
4,2115,data2_2115,5.0,350.0,543.0,345.0,345.0,543.0,1
4,2419,data2_2419,5.0,695.0,543.0,345.0,345.0,543.0,1
4,2420,data2_2420,548.0,5.0,543.0,345.0,345.0,543.0,1
4,372,data2_372,1091.0,5.0,489.0,380.0,489.0,380.0,0
4,642,data2_642,1580.0,5.0,489.0,380.0,489.0,380.0,0
4,852,data2_852,548.0,350.0,380.0,489.0,489.0,380.0,1
4,1078,data2_1078,928.0,385.0,489.0,380.0,489.0,380.0,0
4,1887,data2_1887,1417.0,385.0,489.0,380.0,489.0,380.0,0
4,2393,data2_2393,1906.0,385.0,489.0,380.0,489.0,380.0,0
4,760,data2_760,928.0,765.0,464.0,399.0,464.0,399.0,0
4,1797,data2_1797,1392.0,765.0,464.0,399.0,464.0,399.0,0
4,2187,data2_2187,1856.0,765.0,419.0,435.0,435.0,419.0,1
4,1461,data2_1461,548.0,839.0,380.0,368.5,368.5,380.0,1
4,33,data2_33,2069.0,5.0,362.0,371.0,362.0,371.0,0
4,1882,data2_1882,5.0,1040.0,532.0,160.0,532.0,160.0,0
4,1483,data2_1483,2275.0,765.0,156.5,445.0,156.5,445.0,0
5,1257,data2_1257,5.0,5.0,476.0,423.0,476.0,423.0,0
5,2405,data2_2405,5.0,428.0,476.0,423.0,476.0,423.0,0
5,558,data2_558,481.0,5.0,533.0,377.0,377.0,533.0,1
5,999,data2_999,481.0,382.0,533.0,377.0,377.0,533.0,1
5,1059,data2_1059,481.0,759.0,533.0,377.0,377.0,533.0,1
5,1077,data2_1077,1014.0,5.0,533.0,377.0,377.0,533.0,1
5,1164,data2_1164,1547.0,5.0,533.0,377.0,377.0,533.0,1
5,235,data2_235,1014.0,382.0,519.0,384.0,384.0,519.0,1
5,515,data2_515,1533.0,382.0,519.0,384.0,384.0,519.0,1
