board,n_parts,used_area,waste_area,board_area,U
1,3,2855112.0,121688.0,2976800.0,0.9591212039774254
2,3,2842929.0,133871.0,2976800.0,0.9550285541521096
3,3,2842849.0,133951.0,2976800.0,0.9550016796560065
4,3,2879163.0,97637.0,2976800.0,0.9672006852996506
5,3,2879163.0,97637.0,2976800.0,0.9672006852996506
6,3,2904290.0,72510.0,2976800.0,0.9756416285944639
7,3,2874312.0,102488.0,2976800.0,0.965571083042193
8,3,2876252.0,100548.0,2976800.0,0.9662227895726955
9,3,2865927.0,110873.0,2976800.0,0.9627542999193766
10,4,2764187.0,212613.0,2976800.0,0.9285766595001343
11,3,2884845.0,91955.0,2976800.0,0.9691094463853803
12,2,2903550.0,73250.0,2976800.0,0.9753930395055093
13,2,2889120.0,87680.0,2976800.0,0.9705455522708949
14,3,2830757.0,146043.0,2976800.0,0.9509395995700081
15,3,2896670.0,80130.0,2976800.0,0.9730818328406342
16,2,2924570.0,52230.0,2976800.0,0.9824543133566246
17,3,2835926.0,140874.0,2976800.0,0.9526760279494759
18,2,2880000.0,96800.0,2976800.0,0.9674818597151303
19,2,2880000.0,96800.0,2976800.0,0.9674818597151303
20,2,2880000.0,96800.0,2976800.0,0.9674818597151303
21,3,2855369.5,121430.5,2976800.0,0.9592077062617576
22,4,2834830.0,141970.0,2976800.0,0.9523078473528621
23,4,2898379.0,78421.0,2976800.0,0.9736559392636388
24,4,2886420.0,90380.0,2976800.0,0.969638538027412
25,4,2869484.5,107315.5,2976800.0,0.9639493751679656
26,4,2836240.25,140559.75,2976800.0,0.9527815943294813
27,3,2740524.25,236275.75,2976800.0,0.92062760346681
28,3,2740524.25,236275.75,2976800.0,0.92062760346681
29,6,2894126.0,82674.0,2976800.0,0.9722272238645525
30,6,2887286.0,89514.0,2976800.0,0.9699294544477292
31,6,2894176.0,82624.0,2976800.0,0.972244020424617
32,6,2881689.0,95111.0,2976800.0,0.9680492475141091
33,6,2825590.0,151210.0,2976800.0,0.9492038430529428
34,2,2656128.0,320672.0,2976800.0,0.8922762698199409
35,2,2651928.0,324872.0,2976800.0,0.890865358774523
36,2,2645400.0,331400.0,2976800.0,0.888672399892502
37,2,2614880.0,361920.0,2976800.0,0.878419779629132
38,3,2660594.5,316205.5,2976800.0,0.8937767065305026
39,2,2593920.0,382880.0,2976800.0,0.871378661650094
40,2,2584500.0,392300.0,2976800.0,0.8682141897339425
41,4,2867331.0,109469.0,2976800.0,0.9632259473259877
42,2,2570560.0,406240.0,2976800.0,0.8635313087879603
43,2,2570560.0,406240.0,2976800.0,0.8635313087879603
44,2,2570560.0,406240.0,2976800.0,0.8635313087879603
45,2,2570560.0,406240.0,2976800.0,0.8635313087879603
46,2,2569452.0,407348.0,2976800.0,0.8631590970169309
47,5,2913430.0,63370.0,2976800.0,0.9787120397742542
48,2,2565358.0,411442.0,2976800.0,0.8617837946788498
49,2,2565020.0,411780.0,2976800.0,0.8616702499328137
50,2,2561696.0,415104.0,2976800.0,0.8605536146197259
51,2,2561696.0,415104.0,2976800.0,0.8605536146197259
52,2,2557400.0,419400.0,2976800.0,0.8591104541789841
53,2,2554624.0,422176.0,2976800.0,0.8581779091642032
54,7,2849182.0,127618.0,2976800.0,0.9571291319537759
55,7,2832110.5,144689.5,2976800.0,0.951394282450954
56,2,2527424.0,449376.0,2976800.0,0.8490405804891158
57,2,2526512.0,450288.0,2976800.0,0.8487342112335394
58,2,2525248.0,451552.0,2976800.0,0.8483095941951089
59,2,2520632.0,456168.0,2976800.0,0.8467589357699543
60,2,2504520.0,472280.0,2976800.0,0.8413464122547702
61,4,2846470.25,130329.75,2976800.0,0.9562181705186777
62,4,2813103.25,163696.75,2976800.0,0.9450091541252351
63,2,2476692.0,500108.0,2976800.0,0.8319981187852727
64,2,2476692.0,500108.0,2976800.0,0.8319981187852727
65,2,2476692.0,500108.0,2976800.0,0.8319981187852727
66,2,2473564.0,503236.0,2976800.0,0.8309473259876378
67,2,2448720.0,528080.0,2976800.0,0.8226014512227896
68,2,2435040.0,541760.0,2976800.0,0.8180059123891427
69,2,2435040.0,541760.0,2976800.0,0.8180059123891427
70,2,2435040.0,541760.0,2976800.0,0.8180059123891427
71,2,2435040.0,541760.0,2976800.0,0.8180059123891427
72,4,2836719.0,140081.0,2976800.0,0.952942421392099
73,4,2900600.0,76200.0,2976800.0,0.9744020424617038
74,5,2827400.0,149400.0,2976800.0,0.9498118785272777
75,8,2856920.0,119880.0,2976800.0,0.9597285675893577
76,5,2905253.55,71546.45000000019,2976800.0,0.9759653151034667
77,3,2804600.0,172200.0,2976800.0,0.9421526471378662
78,4,2749273.5,227526.5,2976800.0,0.9235667495296963
79,4,2875188.0,101612.0,2976800.0,0.965865358774523
80,7,2845732.0,131068.0,2976800.0,0.9559701693093254
81,4,2888960.0,87840.0,2976800.0,0.9704918032786886
82,4,2888960.0,87840.0,2976800.0,0.9704918032786886
83,4,2812982.5,163817.5,2976800.0,0.9449685904326793
84,3,2652920.0,323880.0,2976800.0,0.8911986025262026
85,7,2825345.0,151455.0,2976800.0,0.9491215399086267
86,6,2803155.0,173645.0,2976800.0,0.9416672265520022
87,4,2658450.0,318350.0,2976800.0,0.8930563020693362
88,6,2816340.0,160460.0,2976800.0,0.9460964794410105
89,7,2819730.0,157070.0,2976800.0,0.9472352862133835
90,4,2762658.0,214142.0,2976800.0,0.928063020693362
91,8,2871128.0,105672.0,2976800.0,0.9645014780972857
92,4,2840400.0,136400.0,2976800.0,0.9541789841440473
93,4,2849540.0,127260.0,2976800.0,0.9572493953238377
94,5,2859844.0,116956.0,2976800.0,0.9607108304219296
95,5,2862544.0,114256.0,2976800.0,0.9616178446654126
96,5,2878761.5,98038.5,2976800.0,0.9670658089223327
97,6,2907036.0,69764.0,2976800.0,0.9765640956732061
98,6,2854004.0,122796.0,2976800.0,0.9587489922063961
99,6,2861922.0,114878.0,2976800.0,0.9614088954582102
100,4,2924046.0,52754.0,2976800.0,0.9822782854071486
101,4,2812220.0,164580.0,2976800.0,0.9447124428916958
102,5,2863256.5,113543.5,2976800.0,0.9618571956463317
103,4,2905032.0,71768.0,2976800.0,0.975890889545821
104,7,2830238.0,146562.0,2976800.0,0.9507652512765385
105,5,2813502.3,163297.7000000002,2976800.0,0.9451432074711098
