uid,step
1212,1
494,2
1454,3
1946,4
1953,5
2200,6
77,7
1699,8
1528,9
1980,10
1875,11
990,12
1892,13
19,14
624,15
227,16
1388,17
653,18
207,19
632,20
681,21
924,22
1318,23
1964,24
1283,25
518,26
2148,27
1041,28
502,29
1389,30
718,31
2270,32
1442,33
401,34
1527,35
1726,36
215,37
970,38
983,39
1175,40
1305,41
1529,42
1672,43
1920,44
108,45
1056,46
1716,47
698,48
699,49
194,50
1030,51
690,52
2391,53
2116,54
1115,55
2276,56
746,57
1039,58
1968,59
408,60
711,61
697,62
1034,63
1466,64
407,65
724,66
873,67
926,68
1019,69
1658,70
1879,71
1916,72
1913,73
1923,74
2095,75
2153,76
839,77
124,78
539,79
1357,80
603,81
1418,82
1612,83
2277,84
1536,85
25,86
1100,87
1868,88
145,89
831,90
1755,91
1507,92
658,93
1042,94
1838,95
256,96
319,97
412,98
1625,99
571,100
118,101
1310,102
2350,103
778,104
1514,105
163,106
1091,107
1092,108
485,109
516,110
641,111
1181,112
1608,113
1914,114
1924,115
2130,116
266,117
836,118
475,119
830,120
1151,121
1766,122
1919,123
2073,124
2074,125
2078,126
2094,127
1440,128
783,129
1364,130
2338,131
1644,132
233,133
479,134
1196,135
726,136
1217,137
1464,138
559,139
1728,140
1935,141
2385,142
359,143
1506,144
1594,145
2240,146
917,147
981,148
576,149
1531,150
1545,151
1606,152
2034,153
2143,154
191,155
505,156
936,157
1114,158
1451,159
1504,160
1876,161
467,162
646,163
1945,164
1846,165
2121,166
205,167
727,168
1174,169
1238,170
1443,171
1515,172
1516,173
2071,174
2294,175
2360,176
226,177
2087,178
1093,179
1111,180
348,181
1356,182
2120,183
2236,184
2246,185
1127,186
1133,187
1134,188
1492,189
1646,190
1922,191
49,192
258,193
534,194
654,195
859,196
921,197
1239,198
1272,199
1498,200
2384,201
1965,202
450,203
739,204
1079,205
1191,206
1261,207
1439,208
1812,209
2090,210
2250,211
2251,212
2287,213
1565,214
97,215
572,216
573,217
867,218
1268,219
2352,220
2136,221
2355,222
103,223
147,224
195,225
290,226
294,227
322,228
332,229
444,230
490,231
491,232
620,233
908,234
1033,235
1046,236
1204,237
1385,238
1467,239
1552,240
1628,241
1794,242
1940,243
2047,244
2137,245
2392,246
193,247
965,248
1486,249
1600,250
78,251
1368,252
684,253
2190,254
1478,255
1785,256
2135,257
2262,258
1878,259
2426,260
1733,261
56,262
422,263
680,264
2194,265
2045,266
347,267
391,268
363,269
676,270
421,271
731,272
2086,273
2125,274
2411,275
353,276
262,277
743,278
821,279
890,280
1719,281
801,282
509,283
1849,284
2401,285
744,286
1485,287
2380,288
2406,289
816,290
973,291
6,292
489,293
1358,294
677,295
2388,296
1983,297
15,298
81,299
1307,300
260,301
2225,302
91,303
93,304
486,305
824,306
877,307
881,308
1249,309
1634,310
1779,311
1780,312
1216,313
1234,314
1052,315
1517,316
1484,317
1958,318
1810,319
2019,320
324,321
868,322
1499,323
437,324
895,325
2092,326
141,327
1020,328
1459,329
1533,330
1621,331
1638,332
2169,333
265,334
286,335
9,336
361,337
1900,338
1474,339
1392,340
1609,341
851,342
102,343
666,344
2152,345
1220,346
713,347
1847,348
2226,349
2075,350
1428,351
581,352
1566,353
638,354
846,355
119,356
1548,357
857,358
1654,359
1989,360
644,361
720,362
905,363
1630,364
2368,365
986,366
1647,367
804,368
1757,369
2346,370
2015,371
2337,372
1982,373
185,374
1285,375
1832,376
915,377
1537,378
2016,379
1154,380
1182,381
1242,382
1617,383
156,384
1562,385
442,386
1335,387
995,388
263,389
1031,390
928,391
1667,392
523,393
2065,394
2356,395
2429,396
514,397
747,398
2119,399
522,400
788,401
2022,402
115,403
1801,404
109,405
2295,406
650,407
669,408
328,409
812,410
50,411
451,412
741,413
776,414
752,415
1648,416
2035,417
210,418
779,419
1233,420
1387,421
1541,422
2123,423
799,424
1579,425
1122,426
2140,427
668,428
700,429
13,430
2371,431
879,432
607,433
380,434
498,435
1581,436
1125,437
1256,438
352,439
809,440
32,441
834,442
640,443
1106,444
2278,445
1193,446
825,447
1273,448
31,449
410,450
506,451
2424,452
1767,453
18,454
1702,455
143,456
1795,457
1105,458
1361,459
1074,460
1787,461
1118,462
1490,463
609,464
2214,465
52,466
360,467
438,468
1685,469
2051,470
1747,471
432,472
649,473
756,474
2409,475
471,476
356,477
1649,478
1934,479
1038,480
1126,481
2025,482
662,483
405,484
474,485
1241,486
1583,487
759,488
2147,489
685,490
1577,491
1809,492
2056,493
848,494
1338,495
956,496
1290,497
880,498
47,499
1808,500
657,501
689,502
2266,503
832,504
1089,505
2221,506
2363,507
252,508
1211,509
1660,510
2076,511
1501,512
2370,513
1391,514
1805,515
2198,516
1197,517
1309,518
1557,519
2298,520
107,521
862,522
1448,523
1725,524
1909,525
2345,526
12,527
647,528
729,529
967,530
982,531
1088,532
350,533
214,534
1222,535
2364,536
991,537
992,538
1143,539
1320,540
1814,541
2291,542
75,543
618,544
769,545
955,546
1124,547
1166,548
1404,549
1599,550
1690,551
1855,552
1908,553
2189,554
974,555
1845,556
325,557
615,558
1072,559
1932,560
1244,561
1559,562
2308,563
925,564
2020,565
2066,566
105,567
2050,568
840,569
251,570
460,571
1170,572
1694,573
1017,574
1169,575
1437,576
34,577
425,578
601,579
763,580
933,581
2222,582
136,583
292,584
392,585
446,586
470,587
621,588
674,589
702,590
717,591
853,592
962,593
1519,594
1668,595
1811,596
1997,597
2207,598
2293,599
2358,600
2395,601
36,602
270,603
1055,604
1037,605
1966,606
481,607
998,608
1760,609
1129,610
1712,611
1894,612
1359,613
1626,614
2052,615
2281,616
376,617
870,618
1575,619
2372,620
623,621
390,622
1522,623
2099,624
37,625
234,626
817,627
2348,628
822,629
1870,630
672,631
912,632
994,633
1086,634
2000,635
2028,636
2029,637
960,638
541,639
1746,640
117,641
288,642
712,643
1386,644
1842,645
2242,646
599,647
335,648
1303,649
1960,650
1605,651
355,652
388,653
389,654
448,655
600,656
963,657
1582,658
1662,659
1874,660
2026,661
2091,662
2142,663
2381,664
2285,665
2141,666
2060,667
1048,668
533,669
706,670
1179,671
1372,672
1425,673
1988,674
2082,675
384,676
385,677
1036,678
1468,679
1469,680
2249,681
45,682
753,683
1138,684
1652,685
521,686
745,687
1455,688
1750,689
402,690
1693,691
2077,692
148,693
291,694
371,695
807,696
648,697
2089,698
2215,699
287,700
901,701
2132,702
2235,703
1016,704
83,705
782,706
827,707
1219,708
1371,709
1696,710
1765,711
2414,712
2416,713
1162,714
1045,715
525,716
28,717
29,718
211,719
1153,720
1671,721
1749,722
1895,723
2070,724
2212,725
465,726
775,727
1670,728
2290,729
346,730
507,731
561,732
562,733
687,734
688,735
748,736
793,737
794,738
1452,739
1763,740
1834,741
2299,742
1721,743
1781,744
121,745
563,746
1839,747
1094,748
1788,749
2245,750
2315,751
934,752
5,753
587,754
808,755
1095,756
1413,757
2203,758
882,759
1275,760
329,761
1406,762
1481,763
1450,764
517,765
692,766
820,767
863,768
1109,769
1415,770
1416,771
1463,772
1558,773
379,774
902,775
979,776
1254,777
1508,778
1653,779
1901,780
2267,781
2302,782
665,783
686,784
1312,785
1730,786
733,787
935,788
2114,789
537,790
602,791
1113,792
838,793
2079,794
161,795
1271,796
829,797
1024,798
786,799
1462,800
1493,801
1715,802
1085,803
1365,804
511,805
707,806
761,807
837,808
932,809
1025,810
1308,811
1414,812
1491,813
1704,814
1770,815
2032,816
2072,817
2097,818
2159,819
2160,820
2417,821
269,822
312,823
478,824
765,825
1026,826
1198,827
1758,828
2128,829
2223,830
2224,831
2347,832
519,833
751,834
1453,835
60,836
714,837
2228,838
8,839
1510,840
520,841
2057,842
1636,843
157,844
1289,845
626,846
1902,847
1903,848
382,849
492,850
1408,851
1791,852
1807,853
1951,854
530,855
1218,856
1458,857
2085,858
2096,859
2157,860
2158,861
2362,862
2376,863
106,864
424,865
762,866
1841,867
2040,868
1616,869
664,870
560,871
1311,872
2041,873
367,874
1931,875
70,876
894,877
2238,878
197,879
187,880
735,881
1132,882
2418,883
249,884
387,885
445,886
1482,887
1601,888
1995,889
2248,890
289,891
806,892
958,893
959,894
1713,895
1896,896
420,897
1131,898
1542,899
1543,900
7,901
112,902
