board,uid,pid_raw,x,y,w,h,w0,h0,rotated
1,1212,data2_1212,5.0,5.0,1938.0,1144.0,1938.0,1144.0,0
1,460,data2_460,1943.0,5.0,450.0,1124.0,450.0,1124.0,0
1,125,data2_125,5.0,1149.0,2321.0,60.0,2321.0,60.0,0
2,494,data2_494,5.0,5.0,1863.0,1124.0,1863.0,1124.0,0
2,506,data2_506,1868.0,5.0,543.0,1179.0,1179.0,543.0,1
2,2254,data2_2254,5.0,1129.0,1812.0,60.0,1812.0,60.0,0
3,1454,data2_1454,5.0,5.0,1863.0,1124.0,1863.0,1124.0,0
3,2424,data2_2424,1868.0,5.0,543.0,1179.0,1179.0,543.0,1
3,2253,data2_2253,5.0,1129.0,1552.0,70.0,1552.0,70.0,0
3,1677,data2_1677,1557.0,1129.0,300.0,70.0,70.0,300.0,1
4,1946,data2_1946,5.0,5.0,1863.0,1124.0,1863.0,1124.0,0
4,1074,data2_1074,1868.0,5.0,563.0,1107.0,1107.0,563.0,1
4,1743,data2_1743,5.0,1129.0,2313.0,70.0,2313.0,70.0,0
5,1953,data2_1953,5.0,5.0,1863.0,1124.0,1863.0,1124.0,0
5,1787,data2_1787,1868.0,5.0,563.0,1107.0,1107.0,563.0,1
5,1978,data2_1978,5.0,1129.0,2313.0,70.0,2313.0,70.0,0
6,2200,data2_2200,5.0,5.0,2295.0,830.0,2295.0,830.0,0
6,361,data2_361,5.0,835.0,2392.0,380.0,2392.0,380.0,0
6,1857,data2_1857,2300.0,5.0,120.0,754.0,754.0,120.0,1
7,77,data2_77,5.0,5.0,2320.0,683.0,2320.0,683.0,0
7,163,data2_163,5.0,688.0,2373.0,524.0,2373.0,524.0,0
7,172,data2_172,2325.0,5.0,110.0,550.0,550.0,110.0,1
8,1699,data2_1699,5.0,5.0,2320.0,677.0,2320.0,677.0,0
8,1091,data2_1091,5.0,682.0,2373.0,524.0,2373.0,524.0,0
8,338,data2_338,2325.0,5.0,110.0,509.0,509.0,110.0,1
9,1528,data2_1528,5.0,5.0,2295.0,683.0,2295.0,683.0,0
9,1092,data2_1092,5.0,688.0,2373.0,524.0,2373.0,524.0,0
9,1676,data2_1676,2300.0,5.0,132.0,535.0,132.0,535.0,0
10,1980,data2_1980,5.0,5.0,2295.0,683.0,2295.0,683.0,0
10,348,data2_348,5.0,688.0,2398.0,474.0,2398.0,474.0,0
10,168,data2_168,2300.0,5.0,70.0,509.0,509.0,70.0,1
10,1741,data2_1741,2370.0,5.0,60.0,426.0,426.0,60.0,1
11,1875,data2_1875,5.0,5.0,1952.0,798.0,1952.0,798.0,0
11,141,data2_141,5.0,803.0,2380.0,404.0,2380.0,404.0,0
11,1692,data2_1692,1957.0,5.0,473.0,773.0,773.0,473.0,1
12,990,data2_990,5.0,5.0,2395.0,650.0,2395.0,650.0,0
12,1726,data2_1726,5.0,655.0,2405.0,560.0,2405.0,560.0,0
13,1892,data2_1892,5.0,5.0,2395.0,650.0,2395.0,650.0,0
13,108,data2_108,5.0,655.0,2405.0,554.0,2405.0,554.0,0
14,19,data2_19,5.0,5.0,2107.0,725.0,2107.0,725.0,0
14,193,data2_193,5.0,730.0,2420.0,456.0,2420.0,456.0,0
14,20,data2_20,2112.0,5.0,311.0,642.0,642.0,311.0,1
15,624,data2_624,5.0,5.0,2345.0,630.0,2345.0,630.0,0
15,518,data2_518,5.0,635.0,2405.0,580.0,2405.0,580.0,0
15,179,data2_179,2350.0,5.0,75.0,584.0,584.0,75.0,1
16,227,data2_227,5.0,5.0,2417.0,605.0,2417.0,605.0,0
16,1388,data2_1388,5.0,610.0,2417.0,605.0,2417.0,605.0,0
17,653,data2_653,5.0,5.0,2000.0,723.0,2000.0,723.0,0
17,965,data2_965,5.0,728.0,2395.0,460.0,2395.0,460.0,0
17,1844,data2_1844,2005.0,5.0,422.0,683.0,683.0,422.0,1
18,207,data2_207,5.0,5.0,1200.0,1200.0,1200.0,1200.0,0
18,632,data2_632,1205.0,5.0,1200.0,1200.0,1200.0,1200.0,0
19,681,data2_681,5.0,5.0,1200.0,1200.0,1200.0,1200.0,0
