board,uid,pid_raw,x,y,w,h,w0,h0,rotated
1,1212,data2_1212,5.0,5.0,1938.0,1144.0,1938.0,1144.0,0
1,460,data2_460,1943.0,5.0,450.0,1124.0,450.0,1124.0,0
1,2255,data2_2255,5.0,1149.0,2313.0,62.0,2313.0,62.0,0
2,494,data2_494,5.0,5.0,1863.0,1124.0,1863.0,1124.0,0
2,506,data2_506,1868.0,5.0,543.0,1179.0,1179.0,543.0,1
2,2253,data2_2253,5.0,1129.0,1552.0,70.0,1552.0,70.0,0
3,1454,data2_1454,5.0,5.0,1863.0,1124.0,1863.0,1124.0,0
3,2424,data2_2424,1868.0,5.0,543.0,1179.0,1179.0,543.0,1
3,2106,data2_2106,5.0,1129.0,1517.0,70.0,1517.0,70.0,0
4,1946,data2_1946,5.0,5.0,1863.0,1124.0,1863.0,1124.0,0
4,1074,data2_1074,1868.0,5.0,563.0,1107.0,1107.0,563.0,1
4,1743,data2_1743,5.0,1129.0,2313.0,70.0,2313.0,70.0,0
5,1953,data2_1953,5.0,5.0,1863.0,1124.0,1863.0,1124.0,0
5,1787,data2_1787,1868.0,5.0,563.0,1107.0,1107.0,563.0,1
5,1978,data2_1978,5.0,1129.0,2313.0,70.0,2313.0,70.0,0
6,2200,data2_2200,5.0,5.0,2295.0,830.0,2295.0,830.0,0
6,119,data2_119,5.0,835.0,2270.0,380.0,2270.0,380.0,0
6,180,data2_180,2300.0,5.0,120.0,1180.0,120.0,1180.0,0
7,77,data2_77,5.0,5.0,2320.0,683.0,2320.0,683.0,0
7,163,data2_163,5.0,688.0,2373.0,524.0,2373.0,524.0,0
7,338,data2_338,2325.0,5.0,110.0,509.0,509.0,110.0,1
8,1699,data2_1699,5.0,5.0,2320.0,677.0,2320.0,677.0,0
8,1091,data2_1091,5.0,682.0,2373.0,524.0,2373.0,524.0,0
8,172,data2_172,2325.0,5.0,110.0,550.0,550.0,110.0,1
9,1528,data2_1528,5.0,5.0,2295.0,683.0,2295.0,683.0,0
9,1092,data2_1092,5.0,688.0,2373.0,524.0,2373.0,524.0,0
9,342,data2_342,2300.0,5.0,123.5,622.0,123.5,622.0,0
10,1980,data2_1980,5.0,5.0,2295.0,683.0,2295.0,683.0,0
10,348,data2_348,5.0,688.0,2398.0,474.0,2398.0,474.0,0
10,224,data2_224,2300.0,5.0,70.0,464.0,464.0,70.0,1
11,1875,data2_1875,5.0,5.0,1952.0,798.0,1952.0,798.0,0
11,1086,data2_1086,5.0,803.0,1284.0,383.0,1284.0,383.0,0
11,1966,data2_1966,1957.0,5.0,456.0,1100.0,1100.0,456.0,1
11,1231,data2_1231,1289.0,803.0,653.5,385.3,653.5,385.3,0
11,1282,data2_1282,1942.5,1105.0,463.0,100.0,463.0,100.0,0
12,990,data2_990,5.0,5.0,2395.0,650.0,2395.0,650.0,0
12,1726,data2_1726,5.0,655.0,2405.0,560.0,2405.0,560.0,0
13,1892,data2_1892,5.0,5.0,2395.0,650.0,2395.0,650.0,0
13,108,data2_108,5.0,655.0,2405.0,554.0,2405.0,554.0,0
14,19,data2_19,5.0,5.0,2107.0,725.0,2107.0,725.0,0
14,193,data2_193,5.0,730.0,2420.0,456.0,2420.0,456.0,0
14,267,data2_267,2112.0,5.0,323.0,414.0,414.0,323.0,1
14,1883,data2_1883,2112.0,419.0,280.0,259.5,259.5,280.0,1
15,624,data2_624,5.0,5.0,2345.0,630.0,2345.0,630.0,0
15,518,data2_518,5.0,635.0,2405.0,580.0,2405.0,580.0,0
15,179,data2_179,2350.0,5.0,75.0,584.0,584.0,75.0,1
16,227,data2_227,5.0,5.0,2417.0,605.0,2417.0,605.0,0
16,1388,data2_1388,5.0,610.0,2417.0,605.0,2417.0,605.0,0
17,653,data2_653,5.0,5.0,2000.0,723.0,2000.0,723.0,0
17,965,data2_965,5.0,728.0,2395.0,460.0,2395.0,460.0,0
17,1844,data2_1844,2005.0,5.0,422.0,683.0,683.0,422.0,1
18,207,data2_207,5.0,5.0,1200.0,1200.0,1200.0,1200.0,0
18,632,data2_632,1205.0,5.0,1200.0,1200.0,1200.0,1200.0,0
