uid,step
651,1
1159,2
1160,3
1614,4
2155,5
758,6
1827,7
33,8
1212,9
494,10
1454,11
1946,12
1953,13
2200,14
77,15
1699,16
1528,17
1980,18
1875,19
990,20
1892,21
19,22
624,23
227,24
1388,25
653,26
207,27
632,28
681,29
924,30
1318,31
1964,32
1283,33
518,34
2148,35
1041,36
502,37
1389,38
718,39
2270,40
1442,41
401,42
1527,43
1726,44
215,45
970,46
983,47
1175,48
1305,49
1529,50
1672,51
1920,52
108,53
1056,54
1716,55
698,56
699,57
194,58
1030,59
690,60
2391,61
2116,62
1115,63
2276,64
746,65
1039,66
1968,67
408,68
711,69
697,70
1034,71
1466,72
407,73
724,74
873,75
926,76
1019,77
1658,78
1879,79
1916,80
1913,81
1923,82
2095,83
2153,84
839,85
124,86
539,87
1357,88
603,89
1418,90
1612,91
2277,92
1536,93
25,94
1100,95
1868,96
145,97
831,98
1755,99
1507,100
658,101
1042,102
1838,103
256,104
319,105
412,106
1625,107
571,108
118,109
1310,110
2350,111
778,112
1514,113
163,114
1091,115
1092,116
485,117
516,118
641,119
1181,120
1608,121
1914,122
1924,123
2130,124
266,125
836,126
475,127
830,128
1151,129
1766,130
1919,131
2073,132
2074,133
2078,134
2094,135
1440,136
783,137
1364,138
2338,139
1644,140
233,141
479,142
1196,143
726,144
1217,145
1464,146
559,147
1728,148
1935,149
2385,150
359,151
1506,152
1594,153
2240,154
917,155
981,156
576,157
1531,158
1545,159
1606,160
2034,161
2143,162
191,163
505,164
936,165
1114,166
1451,167
1504,168
1876,169
467,170
646,171
1945,172
1846,173
2121,174
205,175
727,176
1174,177
1238,178
1443,179
1515,180
1516,181
2071,182
2294,183
2360,184
226,185
2087,186
1093,187
1111,188
348,189
1356,190
2120,191
2236,192
2246,193
1127,194
1133,195
1134,196
1492,197
1646,198
1922,199
49,200
258,201
534,202
654,203
859,204
921,205
1239,206
1272,207
1498,208
2384,209
1965,210
450,211
739,212
1079,213
1191,214
1261,215
1439,216
1812,217
2090,218
2250,219
2251,220
2287,221
1565,222
97,223
572,224
573,225
867,226
1268,227
2352,228
2136,229
2355,230
103,231
147,232
195,233
290,234
294,235
322,236
332,237
444,238
490,239
491,240
620,241
908,242
1033,243
1046,244
1204,245
1385,246
1467,247
1552,248
1628,249
1794,250
1940,251
2047,252
2137,253
2392,254
193,255
965,256
1486,257
1600,258
78,259
1368,260
684,261
2190,262
1478,263
1785,264
2135,265
2262,266
1878,267
2426,268
1733,269
56,270
422,271
680,272
2194,273
2045,274
347,275
391,276
363,277
676,278
421,279
731,280
2086,281
2125,282
2411,283
353,284
262,285
743,286
821,287
890,288
1719,289
801,290
509,291
1849,292
2401,293
744,294
1485,295
2380,296
2406,297
816,298
973,299
6,300
489,301
1358,302
677,303
2388,304
1983,305
15,306
81,307
1307,308
260,309
2225,310
91,311
93,312
486,313
824,314
877,315
881,316
1249,317
1634,318
1779,319
1780,320
1216,321
1234,322
1052,323
1517,324
1484,325
1958,326
1810,327
2019,328
324,329
868,330
1499,331
437,332
895,333
2092,334
141,335
1020,336
1459,337
1533,338
1621,339
1638,340
2169,341
265,342
286,343
9,344
361,345
1900,346
1474,347
1392,348
1609,349
851,350
102,351
666,352
2152,353
1220,354
713,355
1847,356
2226,357
2075,358
1428,359
581,360
1566,361
638,362
846,363
119,364
1548,365
857,366
1654,367
1989,368
644,369
720,370
905,371
1630,372
2368,373
986,374
1647,375
804,376
1757,377
2346,378
2015,379
2337,380
1982,381
185,382
1285,383
1832,384
915,385
1537,386
2016,387
1154,388
1182,389
1242,390
1617,391
156,392
1562,393
442,394
1335,395
995,396
263,397
1031,398
928,399
1667,400
523,401
2065,402
2356,403
2429,404
514,405
747,406
2119,407
522,408
788,409
2022,410
115,411
1801,412
109,413
2295,414
650,415
669,416
328,417
812,418
50,419
451,420
741,421
776,422
752,423
1648,424
2035,425
210,426
779,427
1233,428
1387,429
1541,430
2123,431
799,432
1579,433
1122,434
2140,435
668,436
700,437
13,438
2371,439
879,440
607,441
380,442
498,443
1581,444
1125,445
1256,446
352,447
809,448
32,449
834,450
640,451
1106,452
2278,453
1193,454
825,455
1273,456
31,457
410,458
506,459
2424,460
1767,461
18,462
1702,463
143,464
1795,465
1105,466
1361,467
1074,468
1787,469
1118,470
1490,471
609,472
2214,473
52,474
360,475
438,476
1685,477
2051,478
1747,479
432,480
649,481
756,482
2409,483
471,484
356,485
1649,486
1934,487
1038,488
1126,489
2025,490
662,491
405,492
474,493
1241,494
1583,495
759,496
2147,497
685,498
1577,499
1809,500
2056,501
848,502
1338,503
956,504
1290,505
880,506
47,507
1808,508
657,509
689,510
2266,511
832,512
1089,513
2221,514
2363,515
252,516
1211,517
1660,518
2076,519
1501,520
2370,521
1391,522
1805,523
2198,524
1197,525
1309,526
1557,527
2298,528
107,529
862,530
1448,531
1725,532
1909,533
2345,534
12,535
647,536
729,537
967,538
982,539
1088,540
350,541
214,542
1222,543
2364,544
991,545
992,546
1143,547
1320,548
1814,549
2291,550
75,551
618,552
769,553
955,554
1124,555
1166,556
1404,557
1599,558
1690,559
1855,560
1908,561
2189,562
974,563
1845,564
325,565
615,566
1072,567
1932,568
1244,569
1559,570
2308,571
925,572
2020,573
2066,574
105,575
2050,576
840,577
251,578
460,579
1170,580
1694,581
1017,582
1169,583
1437,584
34,585
425,586
601,587
763,588
933,589
2222,590
136,591
292,592
392,593
446,594
470,595
621,596
674,597
702,598
717,599
853,600
962,601
1519,602
1668,603
1811,604
1997,605
2207,606
2293,607
2358,608
2395,609
36,610
270,611
1055,612
1037,613
1966,614
481,615
998,616
1760,617
1129,618
1712,619
1894,620
1359,621
1626,622
