board,uid,pid_raw,x,y,w,h,w0,h0,rotated
1,651,data2_651,5.0,5.0,403.0,381.0,381.0,403.0,1
1,1159,data2_1159,5.0,386.0,403.0,381.0,381.0,403.0,1
1,1160,data2_1160,5.0,767.0,403.0,381.0,381.0,403.0,1
1,1614,data2_1614,408.0,5.0,403.0,381.0,381.0,403.0,1
1,2155,data2_2155,408.0,386.0,403.0,381.0,381.0,403.0,1
1,758,data2_758,811.0,5.0,400.0,382.0,400.0,382.0,0
1,1827,data2_1827,1211.0,5.0,400.0,382.0,400.0,382.0,0
1,33,data2_33,1611.0,5.0,362.0,371.0,362.0,371.0,0
1,713,data2_713,408.0,767.0,1984.0,442.0,1984.0,442.0,0
1,582,data2_582,1973.0,5.0,433.0,762.0,762.0,433.0,1
1,1447,data2_1447,1611.0,376.0,362.0,371.0,362.0,371.0,0
2,1212,data2_1212,5.0,5.0,1938.0,1144.0,1938.0,1144.0,0
2,460,data2_460,1943.0,5.0,450.0,1124.0,450.0,1124.0,0
2,2318,data2_2318,5.0,1149.0,992.0,60.0,992.0,60.0,0
2,245,data2_245,997.0,1149.0,935.0,60.0,935.0,60.0,0
2,947,data2_947,1943.0,1129.0,450.0,80.0,450.0,80.0,0
3,494,data2_494,5.0,5.0,1863.0,1124.0,1863.0,1124.0,0
3,506,data2_506,1868.0,5.0,543.0,1179.0,1179.0,543.0,1
3,1742,data2_1742,5.0,1129.0,764.0,70.0,764.0,70.0,0
3,345,data2_345,769.0,1129.0,752.0,70.0,752.0,70.0,0
4,1454,data2_1454,5.0,5.0,1863.0,1124.0,1863.0,1124.0,0
4,2424,data2_2424,1868.0,5.0,543.0,1179.0,1179.0,543.0,1
4,279,data2_279,5.0,1129.0,750.0,70.0,750.0,70.0,0
4,885,data2_885,755.0,1129.0,750.0,70.0,750.0,70.0,0
5,1946,data2_1946,5.0,5.0,1863.0,1124.0,1863.0,1124.0,0
5,1074,data2_1074,1868.0,5.0,563.0,1107.0,1107.0,563.0,1
5,1380,data2_1380,5.0,1129.0,748.0,71.0,748.0,71.0,0
5,1381,data2_1381,753.0,1129.0,748.0,71.0,748.0,71.0,0
5,1864,data2_1864,1501.0,1129.0,748.0,71.0,748.0,71.0,0
6,1953,data2_1953,5.0,5.0,1863.0,1124.0,1863.0,1124.0,0
6,1787,data2_1787,1868.0,5.0,563.0,1107.0,1107.0,563.0,1
6,1972,data2_1972,5.0,1129.0,879.0,70.0,879.0,70.0,0
6,237,data2_237,884.0,1129.0,874.0,70.0,874.0,70.0,0
6,550,data2_550,1758.0,1129.0,642.0,70.0,642.0,70.0,0
7,2200,data2_2200,5.0,5.0,2295.0,830.0,2295.0,830.0,0
7,361,data2_361,5.0,835.0,2392.0,380.0,2392.0,380.0,0
7,1327,data2_1327,2300.0,5.0,70.0,813.0,813.0,70.0,1
7,243,data2_243,2370.0,5.0,60.0,772.0,772.0,60.0,1
8,77,data2_77,5.0,5.0,2320.0,683.0,2320.0,683.0,0
8,163,data2_163,5.0,688.0,2373.0,524.0,2373.0,524.0,0
8,2102,data2_2102,2325.0,5.0,60.0,535.0,535.0,60.0,1
9,1699,data2_1699,5.0,5.0,2320.0,677.0,2320.0,677.0,0
9,1091,data2_1091,5.0,682.0,2373.0,524.0,2373.0,524.0,0
9,1282,data2_1282,2325.0,5.0,100.0,463.0,463.0,100.0,1
10,1528,data2_1528,5.0,5.0,2295.0,683.0,2295.0,683.0,0
10,1092,data2_1092,5.0,688.0,2373.0,524.0,2373.0,524.0,0
10,1066,data2_1066,2300.0,5.0,94.0,463.0,463.0,94.0,1
11,1980,data2_1980,5.0,5.0,2295.0,683.0,2295.0,683.0,0
11,348,data2_348,5.0,688.0,2398.0,474.0,2398.0,474.0,0
12,1875,data2_1875,5.0,5.0,1952.0,798.0,1952.0,798.0,0
12,141,data2_141,5.0,803.0,2380.0,404.0,2380.0,404.0,0
12,1692,data2_1692,1957.0,5.0,473.0,773.0,773.0,473.0,1
13,990,data2_990,5.0,5.0,2395.0,650.0,2395.0,650.0,0
