board,n_parts,used_area,waste_area,board_area,U
1,5,1615283.5,1361516.5,2976800.0,0.5426241265788766
2,10,2833068.0,143732.0,2976800.0,0.9517159365761892
3,3,2863032.0,113768.0,2976800.0,0.9617817790916421
4,4,2861609.0,115191.0,2976800.0,0.9613037489922064
5,4,2842719.0,134081.0,2976800.0,0.9549580085998387
6,3,2883293.0,93507.0,2976800.0,0.9685880811609783
7,3,2879163.0,97637.0,2976800.0,0.9672006852996506
8,3,2890627.0,86173.0,2976800.0,0.971051800591239
9,3,2856572.0,120228.0,2976800.0,0.9596116635313088
10,3,2843212.0,133588.0,2976800.0,0.9551236226820747
11,4,2873557.0,103243.0,2976800.0,0.965317454985219
12,2,2704137.0,272663.0,2976800.0,0.9084039908626713
13,5,2875568.5,101231.5,2976800.0,0.9659931805966138
14,2,2903550.0,73250.0,2976800.0,0.9753930395055093
15,2,2889120.0,87680.0,2976800.0,0.9705455522708949
16,3,2830757.0,146043.0,2976800.0,0.9509395995700081
17,3,2901590.0,75210.0,2976800.0,0.974734614350981
18,2,2924570.0,52230.0,2976800.0,0.9824543133566246
19,4,2846490.0,130310.0,2976800.0,0.9562248051599033
20,2,2880000.0,96800.0,2976800.0,0.9674818597151303
21,2,2880000.0,96800.0,2976800.0,0.9674818597151303
22,3,2894882.0,81918.0,2976800.0,0.9724811878527277
23,4,2864720.0,112080.0,2976800.0,0.9623488309594195
24,4,2833990.0,142810.0,2976800.0,0.9520256651437785
25,4,2880908.0,95892.0,2976800.0,0.9677868852459016
26,4,2876156.0,100644.0,2976800.0,0.9661905401773717
27,4,2795610.0,181190.0,2976800.0,0.9391326256382693
28,3,2740524.25,236275.75,2976800.0,0.92062760346681
29,3,2740524.25,236275.75,2976800.0,0.92062760346681
30,5,2905406.0,71394.0,2976800.0,0.9760165278151035
31,7,2897646.0,79154.0,2976800.0,0.9734097016930933
32,5,2893026.0,83774.0,2976800.0,0.9718576995431336
33,5,2855788.0,121012.0,2976800.0,0.9593482934694975
34,4,2860750.0,116050.0,2976800.0,0.9610151840902983
35,6,2859078.0,117722.0,2976800.0,0.9604535071217415
36,7,2871668.0,105132.0,2976800.0,0.9646828809459823
37,5,2840690.0,136110.0,2976800.0,0.9542764041924214
38,6,2851150.0,125650.0,2976800.0,0.9577902445579145
39,2,2599642.0,377158.0,2976800.0,0.8733008599838753
40,2,2593920.0,382880.0,2976800.0,0.871378661650094
41,2,2584500.0,392300.0,2976800.0,0.8682141897339425
42,4,2851880.0,124920.0,2976800.0,0.9580354743348563
43,2,2570560.0,406240.0,2976800.0,0.8635313087879603
