uid,step
1287,1
167,2
1622,3
2129,4
1523,5
997,6
2423,7
2155,8
1160,9
758,10
1827,11
1212,12
494,13
1454,14
1946,15
1953,16
2200,17
77,18
1699,19
1528,20
1980,21
1875,22
990,23
1892,24
19,25
624,26
227,27
1388,28
653,29
207,30
632,31
681,32
924,33
1318,34
1964,35
1283,36
518,37
2148,38
1041,39
502,40
1389,41
718,42
2270,43
1442,44
401,45
1527,46
1726,47
215,48
970,49
983,50
1175,51
1305,52
1529,53
1672,54
1920,55
108,56
1056,57
1716,58
698,59
699,60
194,61
1030,62
690,63
2391,64
2116,65
1115,66
2276,67
746,68
1039,69
1968,70
408,71
711,72
697,73
1034,74
1466,75
407,76
724,77
873,78
926,79
1019,80
1658,81
1879,82
1916,83
1913,84
1923,85
2095,86
2153,87
839,88
124,89
539,90
1357,91
603,92
1418,93
1612,94
2277,95
1536,96
25,97
1100,98
1868,99
145,100
831,101
1755,102
1507,103
658,104
1042,105
1838,106
256,107
319,108
412,109
1625,110
571,111
118,112
1310,113
2350,114
778,115
1514,116
163,117
1091,118
1092,119
485,120
516,121
641,122
1181,123
1608,124
1914,125
1924,126
2130,127
266,128
836,129
475,130
830,131
1151,132
1766,133
1919,134
2073,135
2074,136
2078,137
2094,138
1440,139
783,140
1364,141
2338,142
1644,143
233,144
479,145
1196,146
726,147
1217,148
1464,149
559,150
1728,151
1935,152
2385,153
359,154
1506,155
1594,156
2240,157
917,158
981,159
576,160
1531,161
1545,162
1606,163
2034,164
2143,165
191,166
505,167
936,168
1114,169
1451,170
1504,171
1876,172
467,173
646,174
1945,175
1846,176
2121,177
205,178
727,179
1174,180
1238,181
1443,182
1515,183
1516,184
2071,185
2294,186
2360,187
226,188
2087,189
1093,190
1111,191
348,192
1356,193
2120,194
2236,195
2246,196
1127,197
1133,198
1134,199
1492,200
1646,201
1922,202
49,203
258,204
534,205
654,206
859,207
921,208
1239,209
1272,210
1498,211
2384,212
1965,213
450,214
739,215
1079,216
1191,217
1261,218
1439,219
1812,220
2090,221
2250,222
2251,223
2287,224
1565,225
97,226
572,227
573,228
867,229
1268,230
2352,231
2136,232
2355,233
103,234
147,235
195,236
290,237
294,238
322,239
332,240
444,241
490,242
491,243
620,244
908,245
1033,246
1046,247
1204,248
1385,249
1467,250
1552,251
1628,252
1794,253
1940,254
2047,255
2137,256
2392,257
193,258
965,259
1486,260
1600,261
78,262
1368,263
684,264
2190,265
1478,266
1785,267
2135,268
2262,269
1878,270
2426,271
1733,272
56,273
422,274
680,275
2194,276
2045,277
347,278
391,279
363,280
676,281
421,282
731,283
2086,284
2125,285
2411,286
353,287
262,288
743,289
821,290
890,291
1719,292
801,293
509,294
1849,295
2401,296
744,297
1485,298
2380,299
2406,300
816,301
973,302
6,303
489,304
1358,305
677,306
2388,307
1983,308
15,309
81,310
1307,311
260,312
2225,313
91,314
93,315
486,316
824,317
877,318
881,319
1249,320
1634,321
1779,322
1780,323
1216,324
1234,325
1052,326
1517,327
1484,328
1958,329
1810,330
2019,331
324,332
868,333
1499,334
437,335
895,336
2092,337
141,338
1020,339
1459,340
1533,341
1621,342
1638,343
2169,344
265,345
286,346
9,347
361,348
1900,349
1474,350
1392,351
1609,352
851,353
102,354
666,355
2152,356
1220,357
713,358
1847,359
2226,360
2075,361
1428,362
581,363
1566,364
638,365
846,366
119,367
1548,368
857,369
1654,370
1989,371
644,372
720,373
