board,n_parts,used_area,waste_area,board_area,U
1,13,2356288.6,620511.3999999999,2976800.0,0.7915508599838753
2,10,2507220.0,469580.0,2976800.0,0.8422534264982532
3,3,2845699.0,131101.0,2976800.0,0.9559590835796828
4,4,2803478.75,173321.25,2976800.0,0.9417759842784198
5,3,2796860.0,179940.0,2976800.0,0.9395525396398817
6,4,2821226.0,155574.0,2976800.0,0.9477378392905133
7,2,2581088.0,395712.0,2976800.0,0.8670679924751411
8,2,2554950.0,421850.0,2976800.0,0.8582874227358237
9,2,2539330.0,437470.0,2976800.0,0.8530401773716743
10,4,2902050.0,74750.0,2976800.0,0.9748891427035743
11,7,2810902.0,165898.0,2976800.0,0.9442696855683956
12,5,2781933.0,194867.0,2976800.0,0.9345380945982262
13,4,2804977.0,171823.0,2976800.0,0.9422792932007524
14,6,2868343.25,108456.75,2976800.0,0.9635659936844934
15,3,2597198.0,379602.0,2976800.0,0.8724798441279226
16,6,2811675.0,165125.0,2976800.0,0.9445293603869928
17,3,2450840.0,525960.0,2976800.0,0.8233136253695243
18,5,2811868.5,164931.5,2976800.0,0.9445943630744423
19,4,2872285.5,104514.5,2976800.0,0.9648903184627788
20,6,2856273.5,120526.5,2976800.0,0.9595113880677237
21,5,2821041.25,155758.75,2976800.0,0.947675776001075
22,6,2836548.0,140252.0,2976800.0,0.9528849771566783
23,6,2880386.75,96413.25,2976800.0,0.9676117811072292
24,4,2756036.25,220763.75,2976800.0,0.9258385682612201
25,6,2788938.0,187862.0,2976800.0,0.9368912926632625
26,9,2859314.5,117485.5,2976800.0,0.9605329548508466
27,6,2815300.5,161499.5,2976800.0,0.9457472789572695
28,6,2714486.0,262314.0,2976800.0,0.9118805428648212
29,7,2854657.0,122143.0,2976800.0,0.9589683552808385
30,7,2855599.5,121200.5,2976800.0,0.9592849704380543
31,8,2834858.0,141942.0,2976800.0,0.9523172534264982
32,5,2763985.0,212815.0,2976800.0,0.9285088013974738
33,8,2855741.0,121059.0,2976800.0,0.9593325047030368
34,8,2787691.0,189109.0,2976800.0,0.936472386455254
35,9,2866209.0,110591.0,2976800.0,0.9628490325181402
36,8,2805345.0,171455.0,2976800.0,0.9424029158828272
37,6,2650055.0,326745.0,2976800.0,0.8902361596345069
38,9,2849751.0,127049.0,2976800.0,0.9573202768073099
39,8,2824937.5,151862.5,2976800.0,0.9489846479441011
40,6,2576227.0,400573.0,2976800.0,0.8654350309056705
41,10,2782589.0,194211.0,2976800.0,0.9347584654662725
42,10,2869862.5,106937.5,2976800.0,0.9640763571620532
43,8,2865318.05,111481.95000000019,2976800.0,0.9625497346143509
44,6,2502461.0,474339.0,2976800.0,0.8406547299113142
45,8,2738110.0,238690.0,2976800.0,0.9198165815640956
46,8,2751960.0,224840.0,2976800.0,0.9244692287019618
47,9,2856147.0,120653.0,2976800.0,0.9594688927707605
48,9,2708822.0,267978.0,2976800.0,0.9099778285407149
49,11,2862048.5,114751.5,2976800.0,0.9614513907551734
50,8,2442078.75,534721.25,2976800.0,0.8203704481322225
51,11,2770957.25,205842.75,2976800.0,0.9308509977156678
52,11,2778363.75,198436.25,2976800.0,0.933339072158022
53,9,2589549.5,387250.5,2976800.0,0.8699104743348562
54,10,2560216.5,416583.5,2976800.0,0.8600566044074174
55,10,2570240.5,406559.5,2976800.0,0.8634239787691481
56,10,2579635.0,397165.0,2976800.0,0.8665798844396667
57,12,2723163.25,253636.75,2976800.0,0.9147955018812147
58,11,2625477.25,351322.75,2976800.0,0.8819797265520022
59,13,2729323.5,247476.5,2976800.0,0.9168649220639613
60,14,2720080.25,256719.75,2976800.0,0.9137598259876377
61,12,2518429.75,458370.25,2976800.0,0.8460191312819134
62,13,2493654.0,483146.0,2976800.0,0.8376961838215533
63,14,2661920.0,314880.0,2976800.0,0.8942219833378124
64,13,2368443.0,608357.0,2976800.0,0.7956339021768342
65,16,2547801.3,428998.7000000002,2976800.0,0.855885951357162
66,18,2550128.5,426671.5,2976800.0,0.8566677304488041
67,21,2532294.45,444505.5499999998,2976800.0,0.8506767166084387
68,16,2685188.75,291611.25,2976800.0,0.9020386824778286
69,10,2557100.0,419700.0,2976800.0,0.8590096748185971
