board,uid,pid_raw,x,y,w,h,w0,h0,rotated
1,534,534,5.0,5.0,280.0,263.0,263.0,280.0,1
1,102,102,5.0,268.0,400.6,311.0,400.6,311.0,0
1,479,479,5.0,579.0,1044.0,351.0,1044.0,351.0,0
1,526,526,1049.0,5.0,367.0,982.0,982.0,367.0,1
1,381,381,1416.0,5.0,484.0,731.0,484.0,731.0,0
1,255,255,1900.0,5.0,330.0,1065.0,1065.0,330.0,1
1,416,416,1416.0,736.0,356.0,331.0,356.0,331.0,0
1,339,339,405.6,5.0,390.0,301.0,390.0,301.0,0
1,313,313,5.0,930.0,354.0,283.0,354.0,283.0,0
1,100,100,359.0,930.0,323.0,284.0,284.0,323.0,1
1,458,458,405.6,306.0,570.0,260.0,570.0,260.0,0
1,34,34,682.0,930.0,310.0,282.0,282.0,310.0,1
1,485,485,795.6,5.0,245.0,258.0,258.0,245.0,1
2,106,106,5.0,5.0,2119.0,160.0,2119.0,160.0,0
2,476,476,2124.0,5.0,309.0,1064.0,1064.0,309.0,1
2,290,290,5.0,165.0,356.0,328.0,356.0,328.0,0
2,549,549,5.0,493.0,361.0,323.0,323.0,361.0,1
2,437,437,361.0,165.0,388.0,299.0,388.0,299.0,0
2,119,119,749.0,165.0,311.0,373.0,373.0,311.0,1
2,247,247,1060.0,165.0,384.0,294.0,384.0,294.0,0
2,362,362,366.0,538.0,1650.0,554.0,1650.0,554.0,0
2,126,126,1444.0,165.0,680.0,330.0,680.0,330.0,0
2,45,45,5.0,816.0,321.0,382.0,382.0,321.0,1
3,13,13,5.0,5.0,2397.0,812.0,2397.0,812.0,0
3,294,294,5.0,817.0,2353.0,370.0,2353.0,370.0,0
3,199,199,2358.0,817.0,75.0,383.0,383.0,75.0,1
4,238,238,5.0,5.0,1563.5,917.5,1563.5,917.5,0
4,227,227,1568.5,5.0,732.0,1190.0,1190.0,732.0,1
4,90,90,5.0,922.5,1399.5,263.5,1399.5,263.5,0
4,292,292,2300.5,5.0,123.5,1045.5,123.5,1045.5,0
5,66,66,5.0,5.0,2400.0,580.0,2400.0,580.0,0
5,302,302,5.0,585.0,2330.0,586.0,2330.0,586.0,0
5,223,223,2335.0,585.0,70.0,564.0,564.0,70.0,1
6,4,4,5.0,5.0,2405.0,554.0,2405.0,554.0,0
6,95,95,5.0,559.0,2400.0,550.0,2400.0,550.0,0
