uid,step
534,1
102,2
479,3
526,4
381,5
255,6
106,7
476,8
416,9
339,10
290,11
549,12
437,13
119,14
247,15
313,16
100,17
13,18
238,19
66,20
302,21
4,22
95,23
127,24
166,25
410,26
342,27
40,28
430,29
404,30
54,31
439,32
236,33
162,34
311,35
378,36
152,37
215,38
84,39
133,40
146,41
76,42
475,43
452,44
15,45
481,46
492,47
434,48
185,49
347,50
362,51
227,52
294,53
151,54
57,55
36,56
22,57
43,58
200,59
349,60
385,61
74,62
521,63
563,64
187,65
515,66
26,67
464,68
527,69
338,70
82,71
433,72
103,73
160,74
431,75
199,76
335,77
270,78
81,79
176,80
286,81
330,82
142,83
51,84
254,85
70,86
118,87
354,88
60,89
395,90
72,91
98,92
497,93
301,94
47,95
136,96
288,97
506,98
251,99
154,100
172,101
345,102
268,103
203,104
182,105
123,106
41,107
224,108
201,109
278,110
296,111
164,112
69,113
89,114
364,115
68,116
194,117
503,118
141,119
107,120
135,121
149,122
480,123
501,124
551,125
148,126
104,127
552,128
156,129
143,130
377,131
24,132
137,133
514,134
414,135
249,136
449,137
474,138
282,139
304,140
555,141
500,142
67,143
443,144
368,145
165,146
353,147
56,148
124,149
558,150
6,151
310,152
273,153
539,154
128,155
48,156
550,157
258,158
42,159
512,160
300,161
260,162
32,163
202,164
295,165
459,166
11,167
218,168
86,169
405,170
329,171
257,172
554,173
101,174
473,175
153,176
336,177
29,178
382,179
322,180
448,181
483,182
403,183
259,184
113,185
494,186
316,187
471,188
168,189
358,190
112,191
90,192
85,193
436,194
209,195
352,196
361,197
188,198
266,199
241,200
435,201
564,202
465,203
491,204
28,205
244,206
65,207
424,208
447,209
12,210
30,211
105,212
83,213
205,214
331,215
235,216
212,217
408,218
277,219
478,220
144,221
390,222
413,223
280,224
543,225
21,226
453,227
406,228
163,229
327,230
3,231
52,232
117,233
394,234
536,235
537,236
517,237
344,238
561,239
97,240
438,241
31,242
138,243
1,244
547,245
328,246
419,247
287,248
389,249
472,250
341,251
505,252
248,253
9,254
8,255
307,256
462,257
91,258
140,259
35,260
291,261
297,262
400,263
177,264
216,265
190,266
269,267
429,268
456,269
155,270
440,271
158,272
388,273
467,274
298,275
333,276
125,277
412,278
121,279
444,280
50,281
55,282
252,283
490,284
379,285
525,286
332,287
427,288
159,289
418,290
245,291
49,292
355,293
544,294
518,295
167,296
265,297
38,298
115,299
524,300
319,301
78,302
93,303
186,304
139,305
387,306
445,307
211,308
281,309
308,310
415,311
116,312
535,313
337,314
460,315
560,316
548,317
482,318
19,319
261,320
173,321
359,322
264,323
126,324
546,325
120,326
340,327
455,328
369,329
529,330
253,331
17,332
246,333
79,334
386,335
114,336
75,337
371,338
531,339
33,340
46,341
229,342
363,343
366,344
393,345
170,346
122,347
367,348
196,349
18,350
397,351
171,352
557,353
88,354
454,355
461,356
250,357
157,358
504,359
279,360
391,361
325,362
174,363
237,364
432,365
39,366
530,367
468,368
204,369
487,370
64,371
58,372
383,373
411,374
496,375
71,376
73,377
376,378
305,379
380,380
16,381
147,382
469,383
306,384
384,385
502,386
195,387
94,388
421,389
62,390
53,391
23,392
489,393
463,394
92,395
488,396
175,397
61,398
523,399
417,400
303,401
44,402
284,403
324,404
407,405
321,406
110,407
27,408
99,409
326,410
470,411
392,412
528,413
458,414
348,415
45,416
233,417
309,418
513,419
334,420
231,421
420,422
183,423
37,424
374,425
2,426
25,427
234,428
498,429
562,430
312,431
317,432
283,433
556,434
292,435
320,436
457,437
495,438
217,439
77,440
451,441
442,442
272,443
189,444
532,445
538,446
360,447
14,448
318,449
365,450
230,451
396,452
446,453
299,454
275,455
293,456
184,457
425,458
80,459
243,460
150,461
499,462
34,463
343,464
520,465
553,466
370,467
240,468
108,469
426,470
228,471
179,472
10,473
197,474
96,475
132,476
509,477
263,478
207,479
5,480
372,481
161,482
214,483
256,484
409,485
219,486
222,487
519,488
193,489
423,490
192,491
198,492
484,493
87,494
346,495
220,496
402,497
262,498
486,499
485,500
131,501
180,502
232,503
511,504
191,505
516,506
533,507
129,508
356,509
20,510
541,511
314,512
206,513
242,514
507,515
145,516
178,517
285,518
542,519
267,520
540,521
510,522
239,523
208,524
289,525
373,526
109,527
223,528
221,529
210,530
399,531
375,532
508,533
398,534
450,535
169,536
130,537
315,538
422,539
181,540
350,541
477,542
401,543
323,544
271,545
274,546
7,547
441,548
225,549
559,550
59,551
63,552
134,553
357,554
466,555
226,556
276,557
428,558
111,559
522,560
351,561
493,562
213,563
545,564
