board,n_parts,used_area,waste_area,board_area,U
1,3,2800904.0,175896.0,2976800.0,0.9409110454178984
2,5,2815587.5,161212.5,2976800.0,0.9458436912120398
3,2,2747340.0,229460.0,2976800.0,0.9229172265520021
4,4,2907561.0,69239.0,2976800.0,0.9767404595538833
5,4,2844108.0,132692.0,2976800.0,0.9554246170384305
6,2,2554950.0,421850.0,2976800.0,0.8582874227358237
7,2,2539744.0,437056.0,2976800.0,0.8531792528890083
8,2,2527624.0,449176.0,2976800.0,0.8491077667293738
9,3,2615287.0,361513.0,2976800.0,0.8785565036280569
10,5,2801846.0,174954.0,2976800.0,0.9412274926095135
11,4,2868093.3,108706.70000000019,2976800.0,0.9634820276807309
12,5,2832441.0,144359.0,2976800.0,0.9515053077129804
13,4,2742377.0,234423.0,2976800.0,0.92125
14,6,2747182.5,229617.5,2976800.0,0.922864317387799
15,3,2454560.0,522240.0,2976800.0,0.824563289438323
16,5,2902985.0,73815.0,2976800.0,0.9752032383767805
17,5,2877681.25,99118.75,2976800.0,0.9667029192421392
18,4,2495170.5,481629.5,2976800.0,0.8382056234883096
19,7,2841801.25,134998.75,2976800.0,0.9546497077398549
20,6,2864449.0,112351.0,2976800.0,0.96225779360387
21,7,2892015.5,84784.5,2976800.0,0.97151824106423
22,7,2800333.0,176467.0,2976800.0,0.9407192287019618
23,5,2747338.0,229462.0,2976800.0,0.9229165546895995
24,4,2477528.0,499272.0,2976800.0,0.8322789572695511
25,5,2763754.0,213046.0,2976800.0,0.9284312012899758
26,6,2851854.25,124945.75,2976800.0,0.958026824106423
27,5,2487114.0,489686.0,2976800.0,0.8354991937651169
28,7,2863858.25,112941.75,2976800.0,0.9620593422467079
29,8,2824651.0,152149.0,2976800.0,0.9488884036549314
30,7,2803992.0,172808.0,2976800.0,0.9419484009674819
31,7,2877656.4,99143.6000000001,2976800.0,0.9666945713517872
32,8,2885768.0,91032.0,2976800.0,0.9694195108841709
33,4,2240590.0,736210.0,2976800.0,0.7526840902983069
34,8,2846836.5,129963.5,2976800.0,0.9563412053211502
35,6,2693077.0,283723.0,2976800.0,0.9046885917764041
36,5,2493629.0,483171.0,2976800.0,0.8376877855415211
37,7,2753648.5,223151.5,2976800.0,0.92503644853534
38,8,2845432.0,131368.0,2976800.0,0.9558693899489384
39,8,2854162.0,122638.0,2976800.0,0.9588020693361999
40,7,2799523.9,177276.1000000001,2976800.0,0.9404474267669981
41,6,2519720.4,457079.6000000001,2976800.0,0.8464527008868583
42,8,2705599.0,271201.0,2976800.0,0.9088951222789573
43,6,2515671.0,461129.0,2976800.0,0.8450923810803548
44,8,2816156.0,160644.0,2976800.0,0.9460346680999732
45,8,2831901.0,144899.0,2976800.0,0.9513239048642838
46,9,2790108.75,186691.25,2976800.0,0.9372845841171727
47,9,2758956.0,217844.0,2976800.0,0.9268194033861865
48,7,2531579.75,445220.25,2976800.0,0.8504366265788766
49,7,2538303.0,438497.0,2976800.0,0.8526951760279495
50,8,2530042.0,446758.0,2976800.0,0.849920048374093
51,8,2409274.5,567525.5,2976800.0,0.8093504770223058
52,7,2202039.0,774761.0,2976800.0,0.7397336065573771
53,11,2866790.25,110009.75,2976800.0,0.9630442925288901
54,8,2316379.0,660421.0,2976800.0,0.7781439801128729
55,12,2805675.5,171124.5,2976800.0,0.9425139411448535
56,9,2376055.5,600744.5,2976800.0,0.7981911784466541
57,11,2685879.8,290920.2000000002,2976800.0,0.9022708277344799
58,12,2603353.0,373447.0,2976800.0,0.8745475006718624
59,11,2462329.2,514470.7999999998,2976800.0,0.8271732061273852
60,11,2529805.0,446995.0,2976800.0,0.8498404326793872
61,14,2699774.25,277025.75,2976800.0,0.9069384070142434
62,16,2819220.0,157580.0,2976800.0,0.9470639613007256
63,12,2525966.5,450833.5,2976800.0,0.8485509607632357
64,13,2586964.0,389836.0,2976800.0,0.869041924213921
65,19,2775342.65,201457.3500000001,2976800.0,0.9323241904058048
66,15,2323540.15,653259.8500000001,2976800.0,0.7805496338349905
67,15,2164470.9,812329.1000000001,2976800.0,0.7271133095941951
68,19,2468378.0,508422.0,2976800.0,0.8292051867777479
69,22,2531787.1,445012.8999999999,2976800.0,0.8505062819134641
70,24,2390196.6,586603.3999999999,2976800.0,0.8029416151572158
71,8,630418.65,2346381.35,2976800.0,0.21177729441010482
