board,uid,pid_raw,x,y,w,h,w0,h0,rotated
1,75,75,5.0,5.0,2321.0,814.0,2321.0,814.0,0
1,554,554,5.0,819.0,2295.0,364.0,2295.0,364.0,0
1,162,162,2326.0,5.0,70.0,1089.0,1089.0,70.0,1
2,30,30,5.0,5.0,1395.0,1062.0,1395.0,1062.0,0
2,398,398,1400.0,5.0,983.0,868.5,983.0,868.5,0
2,369,369,1400.0,873.5,1014.0,323.0,1014.0,323.0,0
2,123,123,5.0,1067.0,844.0,110.0,844.0,110.0,0
2,79,79,849.0,1067.0,500.0,120.0,500.0,120.0,0
3,495,495,5.0,5.0,2400.0,580.0,2400.0,580.0,0
3,163,163,5.0,585.0,2305.0,588.0,2305.0,588.0,0
4,529,529,5.0,5.0,1534.0,894.0,1534.0,894.0,0
4,52,52,1539.0,5.0,570.0,1210.0,1210.0,570.0,1
4,324,324,5.0,899.0,1524.0,303.0,1524.0,303.0,0
4,439,439,2109.0,5.0,323.0,1191.0,1191.0,323.0,1
5,522,522,5.0,5.0,2347.0,560.0,2347.0,560.0,0
5,138,138,5.0,565.0,2382.0,544.0,2382.0,544.0,0
5,530,530,5.0,1109.0,2200.0,90.0,2200.0,90.0,0
5,257,257,2352.0,5.0,70.0,514.0,514.0,70.0,1
6,206,206,5.0,5.0,2350.0,544.0,2350.0,544.0,0
6,106,106,5.0,549.0,2321.0,550.0,2321.0,550.0,0
7,321,321,5.0,5.0,2360.0,540.0,2360.0,540.0,0
7,71,71,5.0,545.0,2326.0,544.0,2326.0,544.0,0
8,509,509,5.0,5.0,2300.0,550.0,2300.0,550.0,0
8,171,171,5.0,555.0,2321.0,544.0,2321.0,544.0,0
9,501,501,5.0,5.0,2352.0,524.0,2352.0,524.0,0
9,129,129,5.0,529.0,2150.0,560.0,2150.0,560.0,0
9,73,73,2155.0,529.0,279.0,641.0,641.0,279.0,1
10,544,544,5.0,5.0,2138.0,555.0,2138.0,555.0,0
10,7,7,5.0,560.0,2118.0,555.0,2118.0,555.0,0
10,20,20,2143.0,5.0,264.0,1114.0,1114.0,264.0,1
10,255,255,5.0,1115.0,1664.0,70.0,1664.0,70.0,0
10,78,78,1669.0,1115.0,417.0,70.0,417.0,70.0,0
11,366,366,5.0,5.0,2000.0,574.0,2000.0,574.0,0
11,279,279,5.0,579.0,2397.0,474.0,2397.0,474.0,0
11,414,414,5.0,1053.0,2200.0,160.0,2200.0,160.0,0
11,299,299,2005.0,5.0,427.1,543.0,427.1,543.0,0
12,430,430,5.0,5.0,1940.0,580.0,1940.0,580.0,0
12,326,326,5.0,585.0,2040.0,549.0,2040.0,549.0,0
12,99,99,2045.0,5.0,362.0,1080.5,1080.5,362.0,1
12,538,538,5.0,1134.0,2288.0,70.0,2288.0,70.0,0
12,424,424,1945.0,5.0,70.0,514.0,514.0,70.0,1
13,233,233,5.0,5.0,2040.0,544.0,2040.0,544.0,0
13,547,547,5.0,549.0,2040.0,544.0,2040.0,544.0,0
13,351,351,2045.0,5.0,343.0,1139.0,1139.0,343.0,1
13,121,121,5.0,1144.0,2203.0,60.0,2203.0,60.0,0
14,548,548,5.0,5.0,2040.0,544.0,2040.0,544.0,0
14,513,513,5.0,549.0,2000.0,554.0,2000.0,554.0,0
14,15,15,2045.0,5.0,371.0,1018.0,1018.0,371.0,1
14,41,41,2005.0,1023.0,319.0,175.5,175.5,319.0,1
14,304,304,5.0,1103.0,820.0,60.0,820.0,60.0,0
14,184,184,825.0,1103.0,776.0,60.0,776.0,60.0,0
15,458,458,5.0,5.0,1796.0,600.0,1796.0,600.0,0
15,118,118,5.0,605.0,2400.0,440.0,2400.0,440.0,0
15,173,173,1801.0,5.0,590.0,544.0,590.0,544.0,0
16,87,87,5.0,5.0,2220.0,474.0,2220.0,474.0,0
16,142,142,5.0,479.0,2360.0,444.0,2360.0,444.0,0
16,422,422,5.0,923.0,2320.0,288.0,2320.0,288.0,0
16,485,485,2225.0,5.0,199.0,405.0,405.0,199.0,1
16,102,102,2365.0,410.0,70.0,773.0,773.0,70.0,1
17,473,473,5.0,5.0,2397.0,430.0,2397.0,430.0,0
17,418,418,5.0,435.0,1810.0,550.0,1810.0,550.0,0
17,327,327,1815.0,435.0,553.0,780.0,780.0,553.0,1
17,517,517,5.0,985.0,1627.5,229.5,1627.5,229.5,0
17,100,100,2368.0,435.0,60.0,777.0,777.0,60.0,1
18,197,197,5.0,5.0,1650.0,580.0,1650.0,580.0,0
18,407,407,5.0,585.0,2000.0,442.0,2000.0,442.0,0
18,491,491,1655.0,5.0,777.0,543.0,777.0,543.0,0
18,357,357,2005.0,548.0,349.0,665.5,665.5,349.0,1
19,551,551,5.0,5.0,1335.0,700.0,1335.0,700.0,0
19,352,352,5.0,705.0,1924.0,417.5,1924.0,417.5,0
19,503,503,1340.0,5.0,975.0,664.0,975.0,664.0,0
19,471,471,1929.0,669.0,484.0,543.0,484.0,543.0,0
19,283,283,5.0,1122.5,1585.0,70.0,1585.0,70.0,0
19,227,227,2315.0,5.0,105.5,603.5,105.5,603.5,0
19,114,114,1590.0,1122.5,320.0,60.0,320.0,60.0,0
20,130,130,5.0,5.0,1340.0,675.0,1340.0,675.0,0
20,466,466,5.0,680.0,2054.0,383.0,2054.0,383.0,0
20,59,59,1345.0,5.0,1089.0,573.0,1089.0,573.0,0
20,183,183,5.0,1063.0,2200.0,150.0,2200.0,150.0,0
20,177,177,2059.0,578.0,354.0,475.0,475.0,354.0,1
20,539,539,1345.0,578.0,639.0,80.0,639.0,80.0,0
21,309,309,5.0,5.0,1576.0,550.0,1576.0,550.0,0
21,276,276,5.0,555.0,1468.0,580.0,1468.0,580.0,0
21,291,291,1581.0,5.0,679.5,1209.0,1209.0,679.5,1
21,303,303,2260.5,5.0,150.0,1210.0,1210.0,150.0,1
21,531,531,5.0,1135.0,892.0,80.0,892.0,80.0,0
21,2,2,897.0,1135.0,625.0,80.0,625.0,80.0,0
21,511,511,1473.0,555.0,100.0,494.0,100.0,494.0,0
22,225,225,5.0,5.0,1534.0,541.0,1534.0,541.0,0
22,36,36,5.0,546.0,1506.0,550.0,1506.0,550.0,0
22,191,191,1539.0,5.0,804.0,905.0,905.0,804.0,1
22,371,371,1511.0,910.0,869.0,299.0,869.0,299.0,0
22,178,178,5.0,1096.0,777.0,74.0,777.0,74.0,0
22,281,281,2343.0,5.0,70.0,773.0,773.0,70.0,1
22,256,256,782.0,1096.0,718.0,60.0,718.0,60.0,0
23,215,215,5.0,5.0,2420.0,324.0,2420.0,324.0,0
23,16,16,5.0,329.0,2321.0,334.0,2321.0,334.0,0
23,230,230,5.0,663.0,2321.0,334.0,2321.0,334.0,0
23,293,293,5.0,997.0,2200.0,160.0,2200.0,160.0,0
23,169,169,2326.0,329.0,70.0,869.0,869.0,70.0,1
24,208,208,5.0,5.0,2355.0,327.0,2355.0,327.0,0
24,249,249,5.0,332.0,1925.0,399.0,1925.0,399.0,0
24,126,126,5.0,731.0,2222.0,344.0,2222.0,344.0,0
24,272,272,1930.0,332.0,500.0,350.0,500.0,350.0,0
25,302,302,5.0,5.0,2090.0,364.0,2090.0,364.0,0
25,310,310,5.0,369.0,2090.0,364.0,2090.0,364.0,0
25,200,200,5.0,733.0,2068.5,364.0,2068.5,364.0,0
25,492,492,2095.0,5.0,320.0,1176.0,1176.0,320.0,1
25,454,454,5.0,1097.0,1614.0,70.0,1614.0,70.0,0
26,374,374,5.0,5.0,1456.5,514.0,1456.5,514.0,0
26,297,297,5.0,519.0,2106.0,353.0,2106.0,353.0,0
26,32,32,5.0,872.0,2267.0,324.0,2267.0,324.0,0
26,390,390,1461.5,5.0,939.5,483.5,939.5,483.5,0
26,202,202,2111.0,488.5,323.0,373.0,373.0,323.0,1
26,1,1,2272.0,861.5,158.0,320.0,320.0,158.0,1
27,76,76,5.0,5.0,2000.0,362.0,2000.0,362.0,0
27,319,319,5.0,367.0,2224.0,321.0,2224.0,321.0,0
27,181,181,5.0,688.0,2000.0,354.0,2000.0,354.0,0
27,322,322,2005.0,688.0,425.0,454.0,425.0,454.0,0
27,180,180,2005.0,5.0,420.0,353.0,420.0,353.0,0
28,448,448,5.0,5.0,2100.0,334.0,2100.0,334.0,0
28,137,137,5.0,339.0,1266.0,553.0,1266.0,553.0,0
28,526,526,5.0,892.0,2300.0,304.0,2300.0,304.0,0
28,111,111,1271.0,339.0,1153.5,483.5,1153.5,483.5,0
28,5,5,2105.0,5.0,321.0,326.0,326.0,321.0,1
28,258,258,1271.0,822.5,1044.0,60.0,1044.0,60.0,0
28,484,484,2305.0,882.5,118.5,322.0,118.5,322.0,0
29,331,331,5.0,5.0,1284.0,538.0,1284.0,538.0,0
29,338,338,5.0,543.0,1909.0,350.0,1909.0,350.0,0
29,474,474,5.0,893.0,2190.0,304.0,2190.0,304.0,0
29,459,459,1289.0,5.0,1018.0,463.0,1018.0,463.0,0
29,222,222,1914.0,468.0,474.0,411.0,474.0,411.0,0
29,296,296,2195.0,879.0,232.0,328.0,232.0,328.0,0
29,280,280,2307.0,5.0,70.0,414.0,414.0,70.0,1
29,122,122,1289.0,468.0,383.0,75.0,383.0,75.0,0
30,381,381,5.0,5.0,1140.0,585.0,1140.0,585.0,0
30,385,385,5.0,590.0,2197.0,300.0,2197.0,300.0,0
30,13,13,1145.0,5.0,1164.0,563.0,1164.0,563.0,0
30,361,361,5.0,890.0,2220.0,294.0,2220.0,294.0,0
30,168,168,2225.0,568.0,150.0,600.0,600.0,150.0,1
30,540,540,2375.0,5.0,60.0,962.0,962.0,60.0,1
30,423,423,2309.0,5.0,60.0,371.0,371.0,60.0,1
31,40,40,5.0,5.0,1457.0,450.0,1457.0,450.0,0
31,26,26,5.0,455.0,1792.0,362.0,1792.0,362.0,0
31,74,74,5.0,817.0,1980.0,324.0,1980.0,324.0,0
31,396,396,1797.0,5.0,635.0,782.0,782.0,635.0,1
31,271,271,1985.0,787.0,433.0,417.8,417.8,433.0,1
31,145,145,1462.0,5.0,321.0,425.0,425.0,321.0,1
31,228,228,5.0,1141.0,1684.0,70.0,1684.0,70.0,0
32,441,441,5.0,5.0,2100.0,304.0,2100.0,304.0,0
32,367,367,5.0,309.0,1259.0,500.0,1259.0,500.0,0
32,320,320,1264.0,309.0,1089.0,573.0,1089.0,573.0,0
32,496,496,5.0,882.0,1884.0,330.0,1884.0,330.0,0
32,478,478,1889.0,882.0,509.0,331.0,509.0,331.0,0
32,69,69,2105.0,5.0,323.0,284.0,284.0,323.0,1
32,179,179,5.0,809.0,1247.0,60.0,1247.0,60.0,0
32,287,287,2353.0,289.0,80.0,464.0,464.0,80.0,1
33,11,11,5.0,5.0,820.0,751.0,820.0,751.0,0
33,141,141,5.0,756.0,2271.0,270.0,2271.0,270.0,0
33,349,349,825.0,5.0,1050.0,580.0,1050.0,580.0,0
33,311,311,1875.0,5.0,550.0,732.0,732.0,550.0,1
34,442,442,5.0,5.0,814.5,731.0,731.0,814.5,1
34,493,493,5.0,736.0,1445.0,411.0,1445.0,411.0,0
34,400,400,1450.0,5.0,683.0,861.5,683.0,861.5,0
34,91,91,2133.0,5.0,299.0,1149.0,1149.0,299.0,1
34,21,21,819.5,5.0,458.5,717.5,717.5,458.5,1
34,159,159,1450.0,866.5,666.0,330.0,666.0,330.0,0
34,453,453,1278.0,5.0,145.5,640.5,145.5,640.5,0
34,150,150,5.0,1147.0,1394.0,60.0,1394.0,60.0,0
35,198,198,5.0,5.0,1924.0,303.0,1924.0,303.0,0
35,131,131,5.0,308.0,2020.0,284.0,2020.0,284.0,0
35,120,120,5.0,592.0,1847.0,310.0,1847.0,310.0,0
35,313,313,5.0,902.0,2230.0,254.0,2230.0,254.0,0
35,98,98,2025.0,5.0,380.0,875.0,875.0,380.0,1
35,489,489,2235.0,880.0,195.0,333.0,333.0,195.0,1
36,148,148,5.0,5.0,1607.0,354.0,1607.0,354.0,0
36,205,205,5.0,359.0,1802.0,313.0,1802.0,313.0,0
36,242,242,5.0,672.0,1590.0,354.0,1590.0,354.0,0
36,70,70,1807.0,5.0,603.0,895.0,895.0,603.0,1
36,504,504,1595.0,900.0,827.5,312.0,827.5,312.0,0
37,383,383,5.0,5.0,2347.0,234.0,2347.0,234.0,0
37,340,340,5.0,239.0,970.0,553.0,970.0,553.0,0
37,425,425,5.0,792.0,1558.0,344.0,1558.0,344.0,0
37,64,64,975.0,239.0,1403.0,380.0,1403.0,380.0,0
37,113,113,1563.0,619.0,866.0,543.0,866.0,543.0,0
37,515,515,975.0,619.0,419.0,159.5,159.5,419.0,1
37,455,455,5.0,1136.0,884.0,70.0,884.0,70.0,0
38,308,308,5.0,5.0,1679.0,318.0,1679.0,318.0,0
38,34,34,5.0,323.0,1600.0,330.0,1600.0,330.0,0
38,115,115,5.0,653.0,962.0,548.0,962.0,548.0,0
38,333,333,967.0,653.0,953.0,548.0,953.0,548.0,0
38,542,542,1920.0,5.0,509.0,932.0,932.0,509.0,1
