board,n_parts,used_area,waste_area,board_area,U
1,13,2809424.2,167375.7999999998,2976800.0,0.9437732464391293
2,3,2796034.0,180766.0,2976800.0,0.9392750604676162
3,6,2820997.5,155802.5,2976800.0,0.9476610790110186
4,3,2807340.0,169460.0,2976800.0,0.9430730986294007
5,4,2874446.0,102354.0,2976800.0,0.9656160978231658
6,4,2844108.0,132692.0,2976800.0,0.9554246170384305
7,2,2554950.0,421850.0,2976800.0,0.8582874227358237
8,2,2539744.0,437056.0,2976800.0,0.8531792528890083
9,2,2527624.0,449176.0,2976800.0,0.8491077667293738
10,5,2696947.0,279853.0,2976800.0,0.9059886455253964
11,5,2805136.0,171664.0,2976800.0,0.9423327062617576
12,6,2855597.5,121202.5,2976800.0,0.9592842985756517
13,5,2845861.0,130939.0,2976800.0,0.9560135044342919
14,3,2610197.0,366603.0,2976800.0,0.876846613813491
15,3,2595438.0,381362.0,2976800.0,0.8718886052136522
16,3,2454560.0,522240.0,2976800.0,0.824563289438323
17,5,2902985.0,73815.0,2976800.0,0.9752032383767805
18,5,2877681.25,99118.75,2976800.0,0.9667029192421392
19,6,2870261.55,106538.45000000019,2976800.0,0.9642104105079279
20,6,2769565.0,207235.0,2976800.0,0.9303832975006718
21,8,2797925.5,178874.5,2976800.0,0.9399104743348562
22,5,2769500.8,207299.2000000002,2976800.0,0.930361730717549
23,5,2735708.0,241092.0,2976800.0,0.9190096748185972
24,4,2492528.0,484272.0,2976800.0,0.8373179252889008
25,6,2805752.0,171048.0,2976800.0,0.9425396398817523
26,6,2841667.25,135132.75,2976800.0,0.9546046929588821
27,7,2774461.75,202338.25,2976800.0,0.9320282686105885
28,5,2786214.0,190586.0,2976800.0,0.9359762160709487
29,6,2885763.0,91037.0,2976800.0,0.9694178312281645
30,6,2848206.0,128594.0,2976800.0,0.9568012631013169
31,7,2748494.0,228306.0,2976800.0,0.9233048911582907
32,9,2868628.0,108172.0,2976800.0,0.9636616500940607
33,5,2588981.0,387819.0,2976800.0,0.8697194974469229
34,5,2429915.0,546885.0,2976800.0,0.8162842649825316
35,7,2743185.25,233614.75,2976800.0,0.9215215163934426
36,8,2822256.0,154544.0,2976800.0,0.948083848427842
37,8,2784058.0,192742.0,2976800.0,0.9352519484009675
38,8,2828292.0,148508.0,2976800.0,0.9501115291588282
39,10,2859537.4,117262.6000000001,2976800.0,0.960607833915614
40,7,2829219.4,147580.6000000001,2976800.0,0.9504230717549046
41,8,2815110.0,161690.0,2976800.0,0.9456832840634238
42,6,2525106.0,451694.0,2976800.0,0.8482618919645256
43,9,2812327.0,164473.0,2976800.0,0.9447483875302338
44,9,2848949.0,127851.0,2976800.0,0.9570508599838753
45,9,2843011.5,133788.5,2976800.0,0.955056268476216
46,8,2757197.0,219603.0,2976800.0,0.9262285004031174
47,6,2423740.0,553060.0,2976800.0,0.814209889814566
48,9,2715725.0,261075.0,2976800.0,0.9122967616232196
49,7,2557412.0,419388.0,2976800.0,0.8591144853533996
50,8,2399408.0,577392.0,2976800.0,0.8060360118247782
51,8,2523301.0,453499.0,2976800.0,0.8476555361461973
52,10,2773512.5,203287.5,2976800.0,0.9317093859177641
53,9,2590041.0,386759.0,2976800.0,0.8700755845202902
54,9,2601526.5,375273.5,2976800.0,0.8739339223327063
55,13,2783976.0,192824.0,2976800.0,0.9352244020424617
56,12,2796949.75,179850.25,2976800.0,0.9395826894651975
57,12,2797130.5,179669.5,2976800.0,0.9396434090298307
58,12,2763981.5,212818.5,2976800.0,0.9285076256382693
59,15,2830369.7,146430.2999999998,2976800.0,0.9508094934157485
60,11,2516106.0,460694.0,2976800.0,0.8452385111529159
61,12,2614853.75,361946.25,2976800.0,0.8784109614350981
62,14,2753892.0,222908.0,2976800.0,0.9251182477828541
63,17,2794733.0,182067.0,2976800.0,0.938838013974738
64,12,2385633.0,591167.0,2976800.0,0.8014085595270088
65,14,2380490.4499999997,596309.5500000003,2976800.0,0.799681016527815
66,19,2697080.65,279719.3500000001,2976800.0,0.9060335427304488
67,18,2551936.15,424863.8500000001,2976800.0,0.8572749764848159
68,19,2446246.25,530553.75,2976800.0,0.8217704414135985
69,22,2585917.0,390883.0,2976800.0,0.8686902042461704
70,3,311278.5,2665521.5,2976800.0,0.10456816044074174
