board,uid,pid_raw,x,y,w,h,w0,h0,rotated
1,203,203,5.0,5.0,310.7,293.0,310.7,293.0,0
1,440,440,5.0,298.0,310.7,293.0,310.7,293.0,0
1,213,213,5.0,591.0,310.0,293.0,310.0,293.0,0
1,329,329,315.0,591.0,300.0,300.0,300.0,300.0,0
1,557,557,5.0,884.0,310.0,282.0,282.0,310.0,1
1,354,354,315.7,5.0,296.0,273.0,296.0,273.0,0
1,197,197,611.7,5.0,1650.0,580.0,1650.0,580.0,0
1,309,309,615.0,585.0,1576.0,550.0,1576.0,550.0,0
1,69,69,315.0,891.0,284.0,323.0,284.0,323.0,0
1,510,510,2191.0,585.0,233.0,415.0,415.0,233.0,1
1,186,186,315.7,278.0,260.0,300.0,260.0,300.0,0
1,283,283,599.0,1135.0,1585.0,70.0,1585.0,70.0,0
1,139,139,2261.7,5.0,161.0,479.0,479.0,161.0,1
2,75,75,5.0,5.0,2321.0,814.0,2321.0,814.0,0
2,554,554,5.0,819.0,2295.0,364.0,2295.0,364.0,0
2,531,531,2326.0,5.0,80.0,892.0,892.0,80.0,1
3,30,30,5.0,5.0,1395.0,1062.0,1395.0,1062.0,0
3,398,398,1400.0,5.0,983.0,868.5,983.0,868.5,0
3,369,369,1400.0,873.5,1014.0,323.0,1014.0,323.0,0
3,161,161,5.0,1067.0,1004.0,110.0,1004.0,110.0,0
3,403,403,1009.0,1067.0,365.0,70.0,365.0,70.0,0
3,423,423,1009.0,1137.0,371.0,60.0,371.0,60.0,0
4,495,495,5.0,5.0,2400.0,580.0,2400.0,580.0,0
4,163,163,5.0,585.0,2305.0,588.0,2305.0,588.0,0
4,79,79,2310.0,585.0,120.0,500.0,500.0,120.0,1
5,529,529,5.0,5.0,1534.0,894.0,1534.0,894.0,0
5,191,191,1539.0,5.0,804.0,905.0,905.0,804.0,1
5,526,526,5.0,910.0,2300.0,304.0,2300.0,304.0,0
5,162,162,2343.0,5.0,70.0,1089.0,1089.0,70.0,1
6,522,522,5.0,5.0,2347.0,560.0,2347.0,560.0,0
6,138,138,5.0,565.0,2382.0,544.0,2382.0,544.0,0
6,530,530,5.0,1109.0,2200.0,90.0,2200.0,90.0,0
6,257,257,2352.0,5.0,70.0,514.0,514.0,70.0,1
7,206,206,5.0,5.0,2350.0,544.0,2350.0,544.0,0
7,106,106,5.0,549.0,2321.0,550.0,2321.0,550.0,0
8,321,321,5.0,5.0,2360.0,540.0,2360.0,540.0,0
8,71,71,5.0,545.0,2326.0,544.0,2326.0,544.0,0
9,509,509,5.0,5.0,2300.0,550.0,2300.0,550.0,0
9,171,171,5.0,555.0,2321.0,544.0,2321.0,544.0,0
10,501,501,5.0,5.0,2352.0,524.0,2352.0,524.0,0
10,129,129,5.0,529.0,2150.0,560.0,2150.0,560.0,0
10,73,73,2155.0,529.0,279.0,641.0,641.0,279.0,1
10,256,256,5.0,1089.0,718.0,60.0,718.0,60.0,0
10,170,170,723.0,1089.0,643.0,60.0,643.0,60.0,0
11,544,544,5.0,5.0,2138.0,555.0,2138.0,555.0,0
11,7,7,5.0,560.0,2118.0,555.0,2118.0,555.0,0
11,20,20,2143.0,5.0,264.0,1114.0,1114.0,264.0,1
11,255,255,5.0,1115.0,1664.0,70.0,1664.0,70.0,0
11,482,482,1669.0,1115.0,464.0,70.0,464.0,70.0,0
12,366,366,5.0,5.0,2000.0,574.0,2000.0,574.0,0
12,279,279,5.0,579.0,2397.0,474.0,2397.0,474.0,0
12,414,414,5.0,1053.0,2200.0,160.0,2200.0,160.0,0
12,143,143,2005.0,5.0,298.0,384.0,384.0,298.0,1
12,515,515,2005.0,389.0,419.0,159.5,159.5,419.0,1
12,484,484,2303.0,5.0,118.5,322.0,118.5,322.0,0
13,430,430,5.0,5.0,1940.0,580.0,1940.0,580.0,0
13,326,326,5.0,585.0,2040.0,549.0,2040.0,549.0,0
13,99,99,2045.0,5.0,362.0,1080.5,1080.5,362.0,1
13,538,538,5.0,1134.0,2288.0,70.0,2288.0,70.0,0
13,511,511,1945.0,5.0,100.0,494.0,100.0,494.0,0
14,233,233,5.0,5.0,2040.0,544.0,2040.0,544.0,0
14,547,547,5.0,549.0,2040.0,544.0,2040.0,544.0,0
14,351,351,2045.0,5.0,343.0,1139.0,1139.0,343.0,1
15,548,548,5.0,5.0,2040.0,544.0,2040.0,544.0,0
15,513,513,5.0,549.0,2000.0,554.0,2000.0,554.0,0
15,15,15,2045.0,5.0,371.0,1018.0,1018.0,371.0,1
16,458,458,5.0,5.0,1796.0,600.0,1796.0,600.0,0
