board,uid,pid_raw,x,y,w,h,w0,h0,rotated
1,1212,1212,5.0,5.0,1938.0,1144.0,1938.0,1144.0,0
1,460,460,1943.0,5.0,450.0,1124.0,450.0,1124.0,0
1,2255,2255,5.0,1149.0,2313.0,62.0,2313.0,62.0,0
2,494,494,5.0,5.0,1863.0,1124.0,1863.0,1124.0,0
2,506,506,1868.0,5.0,543.0,1179.0,1179.0,543.0,1
2,2253,2253,5.0,1129.0,1552.0,70.0,1552.0,70.0,0
3,1454,1454,5.0,5.0,1863.0,1124.0,1863.0,1124.0,0
3,2424,2424,1868.0,5.0,543.0,1179.0,1179.0,543.0,1
3,2106,2106,5.0,1129.0,1517.0,70.0,1517.0,70.0,0
4,1946,1946,5.0,5.0,1863.0,1124.0,1863.0,1124.0,0
4,1074,1074,1868.0,5.0,563.0,1107.0,1107.0,563.0,1
4,1743,1743,5.0,1129.0,2313.0,70.0,2313.0,70.0,0
5,1953,1953,5.0,5.0,1863.0,1124.0,1863.0,1124.0,0
5,1787,1787,1868.0,5.0,563.0,1107.0,1107.0,563.0,1
5,1978,1978,5.0,1129.0,2313.0,70.0,2313.0,70.0,0
6,2200,2200,5.0,5.0,2295.0,830.0,2295.0,830.0,0
6,119,119,5.0,835.0,2270.0,380.0,2270.0,380.0,0
6,180,180,2300.0,5.0,120.0,1180.0,120.0,1180.0,0
7,77,77,5.0,5.0,2320.0,683.0,2320.0,683.0,0
7,163,163,5.0,688.0,2373.0,524.0,2373.0,524.0,0
7,338,338,2325.0,5.0,110.0,509.0,509.0,110.0,1
8,1699,1699,5.0,5.0,2320.0,677.0,2320.0,677.0,0
8,1091,1091,5.0,682.0,2373.0,524.0,2373.0,524.0,0
8,172,172,2325.0,5.0,110.0,550.0,550.0,110.0,1
9,1528,1528,5.0,5.0,2295.0,683.0,2295.0,683.0,0
9,1092,1092,5.0,688.0,2373.0,524.0,2373.0,524.0,0
9,342,342,2300.0,5.0,123.5,622.0,123.5,622.0,0
10,1980,1980,5.0,5.0,2295.0,683.0,2295.0,683.0,0
10,348,348,5.0,688.0,2398.0,474.0,2398.0,474.0,0
10,224,224,2300.0,5.0,70.0,464.0,464.0,70.0,1
11,1875,1875,5.0,5.0,1952.0,798.0,1952.0,798.0,0
11,1086,1086,5.0,803.0,1284.0,383.0,1284.0,383.0,0
11,1966,1966,1957.0,5.0,456.0,1100.0,1100.0,456.0,1
11,1231,1231,1289.0,803.0,653.5,385.3,653.5,385.3,0
11,1282,1282,1942.5,1105.0,463.0,100.0,463.0,100.0,0
12,990,990,5.0,5.0,2395.0,650.0,2395.0,650.0,0
12,1726,1726,5.0,655.0,2405.0,560.0,2405.0,560.0,0
13,1892,1892,5.0,5.0,2395.0,650.0,2395.0,650.0,0
13,108,108,5.0,655.0,2405.0,554.0,2405.0,554.0,0
14,19,19,5.0,5.0,2107.0,725.0,2107.0,725.0,0
14,193,193,5.0,730.0,2420.0,456.0,2420.0,456.0,0
14,267,267,2112.0,5.0,323.0,414.0,414.0,323.0,1
14,1883,1883,2112.0,419.0,280.0,259.5,259.5,280.0,1
15,624,624,5.0,5.0,2345.0,630.0,2345.0,630.0,0
15,518,518,5.0,635.0,2405.0,580.0,2405.0,580.0,0
15,179,179,2350.0,5.0,75.0,584.0,584.0,75.0,1
16,227,227,5.0,5.0,2417.0,605.0,2417.0,605.0,0
16,1388,1388,5.0,610.0,2417.0,605.0,2417.0,605.0,0
17,653,653,5.0,5.0,2000.0,723.0,2000.0,723.0,0
17,965,965,5.0,728.0,2395.0,460.0,2395.0,460.0,0
17,1844,1844,2005.0,5.0,422.0,683.0,683.0,422.0,1
18,207,207,5.0,5.0,1200.0,1200.0,1200.0,1200.0,0
18,632,632,1205.0,5.0,1200.0,1200.0,1200.0,1200.0,0
19,681,681,5.0,5.0,1200.0,1200.0,1200.0,1200.0,0
19,924,924,1205.0,5.0,1200.0,1200.0,1200.0,1200.0,0
20,1318,1318,5.0,5.0,1200.0,1200.0,1200.0,1200.0,0
20,1964,1964,1205.0,5.0,1200.0,1200.0,1200.0,1200.0,0
21,1283,1283,5.0,5.0,2300.0,610.0,2300.0,610.0,0
21,2148,2148,5.0,615.0,2405.0,580.0,2405.0,580.0,0
21,2171,2171,2305.0,5.0,121.5,473.0,121.5,473.0,0
22,1041,1041,5.0,5.0,2300.0,604.0,2300.0,604.0,0
22,502,502,5.0,609.0,2379.0,580.0,2379.0,580.0,0
22,2177,2177,2305.0,5.0,70.0,514.0,514.0,70.0,1
22,1859,1859,2375.0,5.0,60.0,528.0,528.0,60.0,1
23,1389,1389,5.0,5.0,2410.0,570.0,2410.0,570.0,0
23,215,215,5.0,575.0,2342.0,574.0,2342.0,574.0,0
23,340,340,5.0,1149.0,2336.0,60.0,2336.0,60.0,0
23,546,546,2347.0,575.0,88.0,600.0,600.0,88.0,1
24,718,718,5.0,5.0,1230.0,1110.0,1230.0,1110.0,0
24,1133,1133,1235.0,5.0,1200.0,942.0,1200.0,942.0,0
24,2421,2421,1235.0,947.0,1122.0,260.0,260.0,1122.0,1
24,1737,1737,5.0,1115.0,1000.0,99.0,1000.0,99.0,0
25,2270,2270,5.0,5.0,1230.0,1110.0,1230.0,1110.0,0
25,1134,1134,1235.0,5.0,1200.0,942.0,1200.0,942.0,0
25,110,110,1235.0,947.0,1109.5,251.0,1109.5,251.0,0
25,282,282,5.0,1115.0,953.0,100.0,953.0,100.0,0
26,1442,1442,5.0,5.0,1950.0,697.0,1950.0,697.0,0
26,1127,1127,5.0,702.0,2320.0,488.0,2320.0,488.0,0
26,907,907,1955.0,5.0,452.3,543.0,452.3,543.0,0
26,566,566,1955.0,548.0,455.0,143.5,143.5,455.0,1
