uid,step
366,1
705,2
602,3
973,4
310,5
516,6
1164,7
526,8
490,9
597,10
465,11
231,12
994,13
644,14
39,15
113,16
263,17
311,18
494,19
583,20
852,21
178,22
1113,23
188,24
1053,25
142,26
976,27
1173,28
838,29
618,30
82,31
260,32
423,33
675,34
832,35
1098,36
1115,37
1190,38
1233,39
714,40
43,41
1057,42
287,43
453,44
1163,45
94,46
849,47
685,48
889,49
747,50
139,51
424,52
84,53
1059,54
88,55
534,56
120,57
277,58
298,59
412,60
737,61
758,62
1037,63
79,64
106,65
136,66
195,67
325,68
327,69
355,70
467,71
503,72
505,73
577,74
622,75
628,76
629,77
773,78
775,79
795,80
904,81
958,82
991,83
1118,84
472,85
744,86
172,87
413,88
468,89
601,90
796,91
196,92
224,93
210,94
434,95
752,96
1100,97
680,98
996,99
69,100
1038,101
1175,102
986,103
1224,104
73,105
248,106
1019,107
1066,108
911,109
1040,110
270,111
662,112
152,113
808,114
1188,115
426,116
903,117
238,118
242,119
244,120
672,121
267,122
908,123
670,124
557,125
1045,126
1181,127
42,128
246,129
436,130
790,131
1227,132
687,133
1180,134
185,135
147,136
938,137
1052,138
1093,139
1195,140
933,141
985,142
68,143
444,144
742,145
1032,146
116,147
611,148
679,149
984,150
1089,151
479,152
853,153
1088,154
845,155
1110,156
663,157
203,158
858,159
463,160
387,161
762,162
487,163
841,164
932,165
1199,166
916,167
1051,168
576,169
30,170
513,171
748,172
207,173
646,174
818,175
264,176
204,177
382,178
473,179
497,180
1036,181
1096,182
1101,183
734,184
215,185
138,186
1189,187
85,188
455,189
18,190
712,191
418,192
961,193
625,194
26,195
405,196
543,197
226,198
357,199
401,200
866,201
306,202
307,203
283,204
1107,205
440,206
1034,207
1025,208
634,209
1186,210
954,211
1017,212
691,213
252,214
1104,215
766,216
842,217
141,218
652,219
91,220
156,221
636,222
302,223
1128,224
599,225
787,226
698,227
724,228
1139,229
295,230
923,231
67,232
442,233
64,234
159,235
200,236
495,237
584,238
881,239
488,240
358,241
230,242
235,243
446,244
501,245
573,246
930,247
931,248
1135,249
374,250
530,251
846,252
1176,253
119,254
228,255
408,256
476,257
477,258
512,259
643,260
815,261
33,262
71,263
280,264
506,265
739,266
1138,267
1030,268
175,269
237,270
304,271
484,272
569,273
606,274
772,275
840,276
1041,277
41,278
651,279
87,280
217,281
349,282
448,283
515,284
998,285
273,286
227,287
233,288
696,289
733,290
1015,291
1065,292
924,293
173,294
529,295
620,296
935,297
510,298
410,299
697,300
28,301
268,302
338,303
768,304
820,305
205,306
521,307
988,308
989,309
1094,310
894,311
171,312
192,313
300,314
326,315
769,316
745,317
927,318
78,319
229,320
619,321
109,322
1197,323
163,324
328,325
345,326
356,327
365,328
419,329
422,330
552,331
715,332
879,333
275,334
568,335
540,336
45,337
55,338
956,339
253,340
323,341
631,342
245,343
213,344
585,345
851,346
257,347
308,348
421,349
1229,350
8,351
471,352
962,353
666,354
150,355
221,356
334,357
347,358
369,359
549,360
586,361
587,362
922,363
1119,364
1008,365
942,366
225,367
844,368
428,369
499,370
741,371
191,372
101,373
276,374
13,375
563,376
692,377
425,378
475,379
564,380
590,381
1179,382
810,383
919,384
902,385
478,386
975,387
1174,388
319,389
1183,390
1154,391
1169,392
432,393
767,394
560,395
247,396
411,397
928,398
1007,399
249,400
409,401
430,402
466,403
759,404
979,405
1171,406
117,407
107,408
359,409
32,410
216,411
321,412
322,413
504,414
983,415
378,416
158,417
169,418
170,419
285,420
293,421
312,422
630,423
637,424
833,425
835,426
850,427
964,428
86,429
1024,430
19,431
686,432
802,433
953,434
132,435
415,436
518,437
604,438
749,439
897,440
437,441
925,442
337,443
385,444
329,445
673,446
218,447
324,448
389,449
647,450
878,451
1026,452
1114,453
118,454
817,455
340,456
955,457
541,458
296,459
757,460
1219,461
144,462
174,463
206,464
303,465
517,466
605,467
750,468
951,469
952,470
371,471
177,472
856,473
699,474
959,475
301,476
502,477
265,478
380,479
862,480
1116,481
1191,482
452,483
804,484
805,485
58,486
1156,487
1221,488
1201,489
214,490
96,491
500,492
997,493
713,494
1049,495
667,496
165,497
377,498
1202,499
209,500
362,501
843,502
888,503
912,504
803,505
24,506
164,507
166,508
1054,509
1203,510
859,511
1086,512
1151,513
1220,514
937,515
417,516
486,517
914,518
1222,519
921,520
807,521
1028,522
36,523
272,524
884,525
75,526
110,527
509,528
740,529
1047,530
987,531
193,532
489,533
736,534
102,535
703,536
591,537
1010,538
99,539
571,540
103,541
407,542
907,543
186,544
255,545
1228,546
353,547
34,548
76,549
181,550
197,551
15,552
344,553
654,554
29,555
537,556
482,557
360,558
491,559
289,560
492,561
641,562
831,563
920,564
594,565
379,566
638,567
660,568
811,569
968,570
1012,571
1192,572
1187,573
222,574
967,575
579,576
718,577
155,578
1020,579
533,580
676,581
318,582
616,583
394,584
609,585
721,586
1103,587
262,588
693,589
14,590
16,591
176,592
1184,593
208,594
393,595
658,596
190,597
261,598
683,599
154,600
397,601
716,602
809,603
1031,604
22,605
162,606
665,607
813,608
1027,609
847,610
1092,611
17,612
182,613
183,614
456,615
623,616
865,617
1091,618
1198,619
314,620
6,621
7,622
149,623
167,624
180,625
212,626
547,627
556,628
627,629
717,630
901,631
1117,632
1193,633
194,634
383,635
814,636
234,637
299,638
241,639
536,640
140,641
1044,642
910,643
981,644
1137,645
83,646
445,647
892,648
137,649
522,650
1055,651
243,652
474,653
551,654
38,655
553,656
309,657
153,658
368,659
70,660
567,661
695,662
977,663
305,664
343,665
570,666
438,667
946,668
1018,669
1168,670
61,671
187,672
459,673
578,674
1060,675
384,676
565,677
46,678
143,679
454,680
481,681
1063,682
290,683
1132,684
146,685
719,686
861,687
351,688
361,689
447,690
528,691
707,692
364,693
684,694
386,695
439,696
538,697
792,698
793,699
826,700
966,701
254,702
621,703
755,704
131,705
1039,706
219,707
346,708
1099,709
44,710
97,711
274,712
288,713
297,714
339,715
429,716
464,717
524,718
559,719
600,720
732,721
743,722
883,723
885,724
886,725
906,726
909,727
945,728
970,729
1064,730
1109,731
689,732
427,733
940,734
1014,735
316,736
965,737
441,738
320,739
341,740
342,741
457,742
632,743
839,744
863,745
887,746
47,747
124,748
729,749
779,750
799,751
867,752
1068,753
1084,754
1140,755
1143,756
98,757
735,758
1131,759
1170,760
995,761
972,762
3,763
1,764
352,765
485,766
1080,767
11,768
827,769
104,770
279,771
388,772
539,773
572,774
653,775
706,776
770,777
929,778
974,779
978,780
1087,781
1133,782
1161,783
1162,784
1172,785
1146,786
266,787
1129,788
65,789
168,790
548,791
834,792
963,793
363,794
934,795
250,796
514,797
837,798
1111,799
199,800
532,801
626,802
848,803
189,804
450,805
331,806
400,807
403,808
493,809
544,810
555,811
581,812
202,813
1218,814
1155,815
57,816
1153,817
184,818
240,819
281,820
330,821
354,822
542,823
915,824
81,825
1177,826
236,827
603,828
100,829
794,830
1134,831
957,832
1167,833
443,834
56,835
806,836
77,837
89,838
470,839
829,840
23,841
373,842
1231,843
392,844
645,845
864,846
1058,847
1108,848
520,849
1021,850
854,851
969,852
40,853
160,854
291,855
562,856
659,857
1033,858
1232,859
639,860
582,861
1062,862
151,863
671,864
899,865
900,866
824,867
74,868
469,869
664,870
558,871
668,872
788,873
694,874
12,875
700,876
1182,877
1225,878
134,879
828,880
431,881
462,882
642,883
895,884
943,885
1105,886
593,887
1046,888
1130,889
677,890
1127,891
10,892
1121,893
145,894
93,895
251,896
5,897
63,898
112,899
211,900
588,901
896,902
1204,903
546,904
1011,905
133,906
414,907
416,908
574,909
761,910
1165,911
751,912
115,913
822,914
708,915
4,916
367,917
391,918
402,919
458,920
608,921
648,922
682,923
1042,924
1112,925
1123,926
1090,927
404,928
2,929
918,930
990,931
650,932
399,933
420,934
531,935
232,936
825,937
451,938
523,939
37,940
198,941
239,942
774,943
1050,944
860,945
1152,946
607,947
1022,948
92,949
561,950
315,951
613,952
731,953
791,954
823,955
855,956
905,957
944,958
1122,959
1157,960
1158,961
1196,962
525,963
971,964
390,965
688,966
122,967
765,968
635,969
1097,970
507,971
508,972
575,973
913,974
720,975
135,976
1124,977
1125,978
1126,979
1223,980
31,981
738,982
760,983
982,984
596,985
784,986
1216,987
80,988
278,989
1234,990
157,991
179,992
259,993
284,994
375,995
335,996
836,997
406,998
498,999
20,1000
35,1001
62,1002
350,1003
395,1004
396,1005
460,1006
610,1007
656,1008
711,1009
819,1010
1002,1011
148,1012
727,1013
161,1014
51,1015
