board,uid,pid_raw,x,y,w,h,w0,h0,rotated
1,1455,1455,5.0,5.0,337.0,315.0,337.0,315.0,0
1,1560,1560,5.0,320.0,337.0,315.0,337.0,315.0,0
1,1501,1501,5.0,635.0,257.0,256.9,256.9,257.0,1
1,39,39,5.0,891.9,257.0,256.8,256.8,257.0,1
1,345,345,262.0,635.0,334.0,303.0,334.0,303.0,0
1,412,412,342.0,5.0,334.0,303.0,334.0,303.0,0
1,1260,1260,676.0,5.0,334.0,303.0,334.0,303.0,0
1,1303,1303,1010.0,5.0,334.0,303.0,334.0,303.0,0
1,1338,1338,342.0,308.0,282.0,327.0,282.0,327.0,0
1,567,567,596.0,635.0,322.0,282.5,282.5,322.0,1
1,798,798,1344.0,5.0,322.2,280.0,322.2,280.0,0
1,953,953,1666.2,5.0,307.0,282.0,282.0,307.0,1
1,955,955,1973.2,5.0,307.0,282.0,282.0,307.0,1
1,83,83,596.0,917.5,257.0,256.8,256.8,257.0,1
1,851,851,853.0,917.5,257.0,256.8,256.8,257.0,1
1,1522,1522,624.0,308.0,257.0,256.8,256.8,257.0,1
1,832,832,881.0,308.0,313.5,257.0,313.5,257.0,0
1,768,768,918.0,565.0,309.0,259.0,259.0,309.0,1
1,1212,1212,1344.0,285.0,250.0,313.0,313.0,250.0,1
1,660,660,1110.0,824.0,275.0,275.0,275.0,275.0,0
1,1180,1180,262.0,938.0,275.0,275.0,275.0,275.0,0
1,1257,1257,1385.0,598.0,300.0,250.0,250.0,300.0,1
1,397,397,1385.0,848.0,293.5,252.0,293.5,252.0,0
1,1567,1567,1678.5,848.0,293.5,252.0,293.5,252.0,0
1,1350,1350,1685.0,287.0,750.0,550.0,750.0,550.0,0
1,472,472,1972.0,837.0,423.0,373.0,423.0,373.0,0
2,918,918,5.0,5.0,2325.0,913.0,2325.0,913.0,0
2,1555,1555,5.0,918.0,2390.0,284.0,2390.0,284.0,0
2,1085,1085,2330.0,5.0,100.0,864.0,864.0,100.0,1
3,1356,1356,5.0,5.0,1684.0,1166.5,1684.0,1166.5,0
3,1516,1516,1689.0,5.0,725.0,1210.0,1210.0,725.0,1
4,1064,1064,5.0,5.0,2385.0,794.0,2385.0,794.0,0
4,506,506,5.0,799.0,2420.0,397.0,2420.0,397.0,0
5,1289,1289,5.0,5.0,1834.0,1019.5,1834.0,1019.5,0
5,808,808,1839.0,5.0,543.0,1059.0,1059.0,543.0,1
5,1576,1576,5.0,1024.5,1684.0,179.0,1684.0,179.0,0
5,486,486,1689.0,1064.0,714.0,120.0,714.0,120.0,0
6,694,694,5.0,5.0,1746.0,1050.0,1746.0,1050.0,0
6,168,168,1751.0,5.0,639.0,913.0,913.0,639.0,1
6,52,52,1751.0,918.0,669.0,274.0,669.0,274.0,0
6,1301,1301,5.0,1055.0,1032.0,160.0,160.0,1032.0,1
6,155,155,1037.0,1055.0,714.0,120.0,714.0,120.0,0
7,240,240,5.0,5.0,1600.0,1128.0,1600.0,1128.0,0
7,165,165,1605.0,5.0,775.0,1164.0,775.0,1164.0,0
7,373,373,5.0,1133.0,1495.0,70.0,1495.0,70.0,0
8,1439,1439,5.0,5.0,2325.0,680.0,2325.0,680.0,0
8,433,433,5.0,685.0,2310.0,514.0,2310.0,514.0,0
8,326,326,2330.0,5.0,100.0,920.0,100.0,920.0,0
9,1518,1518,5.0,5.0,2325.0,680.0,2325.0,680.0,0
9,222,222,5.0,685.0,2282.0,489.0,2282.0,489.0,0
9,1037,1037,2330.0,5.0,100.0,920.0,100.0,920.0,0
10,449,449,5.0,5.0,1684.0,925.0,1684.0,925.0,0
10,18,18,5.0,930.0,2346.0,269.0,2346.0,269.0,0
10,48,48,1689.0,5.0,642.0,913.0,913.0,642.0,1
10,423,423,2331.0,5.0,94.0,864.0,864.0,94.0,1
10,1580,1580,2351.0,869.0,80.0,326.0,80.0,326.0,0
11,698,698,5.0,5.0,1350.0,1050.0,1350.0,1050.0,0
11,817,817,1355.0,5.0,1050.0,1114.0,1050.0,1114.0,0
11,1384,1384,5.0,1055.0,767.0,60.0,767.0,60.0,0
11,418,418,5.0,1115.0,904.0,60.0,904.0,60.0,0
11,1645,1645,909.0,1055.0,430.0,160.0,160.0,430.0,1
12,1420,1420,5.0,5.0,1434.5,964.0,1434.5,964.0,0
12,737,737,1439.5,5.0,925.0,984.0,925.0,984.0,0
12,1361,1361,5.0,989.0,2290.0,225.0,2290.0,225.0,0
12,487,487,2364.5,5.0,60.0,1194.0,1194.0,60.0,1
13,899,899,5.0,5.0,2414.0,560.0,2414.0,560.0,0
