uid,step
1455,1
1560,2
1501,3
39,4
345,5
412,6
1260,7
1303,8
1338,9
567,10
798,11
953,12
955,13
83,14
851,15
1522,16
832,17
768,18
1212,19
660,20
1180,21
1257,22
397,23
1567,24
918,25
1356,26
1064,27
1289,28
694,29
240,30
1439,31
1518,32
449,33
698,34
1420,35
899,36
883,37
1295,38
47,39
97,40
873,41
1147,42
1169,43
1197,44
1590,45
189,46
1078,47
1353,48
425,49
609,50
970,51
1014,52
1143,53
244,54
1358,55
1104,56
409,57
829,58
296,59
745,60
1227,61
1608,62
1063,63
636,64
952,65
1020,66
1103,67
1315,68
233,69
1489,70
587,71
1426,72
1597,73
749,74
1442,75
1237,76
71,77
565,78
666,79
1204,80
1592,81
1179,82
1201,83
1362,84
1459,85
433,86
817,87
275,88
945,89
838,90
6,91
520,92
1093,93
1499,94
1378,95
222,96
659,97
867,98
908,99
1191,100
1633,101
1131,102
691,103
398,104
445,105
1047,106
1612,107
415,108
432,109
717,110
1357,111
820,112
192,113
243,114
1092,115
1577,116
909,117
1146,118
827,119
1637,120
173,121
1554,122
1010,123
506,124
968,125
280,126
984,127
273,128
794,129
1184,130
348,131
828,132
727,133
880,134
737,135
1249,136
733,137
165,138
389,139
1177,140
615,141
578,142
131,143
474,144
1138,145
1354,146
1516,147
381,148
1578,149
548,150
1622,151
783,152
1360,153
188,154
1537,155
430,156
431,157
1,158
355,159
339,160
707,161
630,162
281,163
309,164
394,165
876,166
544,167
1422,168
1394,169
1059,170
1277,171
1336,172
512,173
28,174
35,175
98,176
1118,177
1545,178
1345,179
44,180
777,181
966,182
1520,183
1513,184
1009,185
1547,186
292,187
395,188
775,189
127,190
1505,191
416,192
1539,193
975,194
1528,195
901,196
64,197
495,198
135,199
913,200
1140,201
1555,202
66,203
335,204
653,205
726,206
998,207
1562,208
752,209
898,210
1502,211
1530,212
1564,213
941,214
10,215
288,216
467,217
652,218
1188,219
1460,220
633,221
919,222
18,223
1305,224
60,225
1234,226
63,227
1286,228
453,229
174,230
158,231
956,232
634,233
144,234
596,235
1105,236
1646,237
1203,238
1418,239
875,240
48,241
1096,242
1226,243
91,244
1255,245
168,246
251,247
1236,248
1328,249
247,250
1251,251
382,252
808,253
504,254
1275,255
254,256
1113,257
751,258
964,259
510,260
680,261
542,262
774,263
187,264
238,265
1452,266
235,267
1182,268
304,269
921,270
195,271
1106,272
145,273
812,274
864,275
1588,276
911,277
1351,278
1572,279
406,280
1186,281
268,282
367,283
848,284
92,285
689,286
42,287
695,288
175,289
716,290
134,291
1060,292
1283,293
1619,294
517,295
960,296
976,297
1065,298
1421,299
413,300
1369,301
1573,302
882,303
59,304
84,305
566,306
618,307
1000,308
1490,309
1563,310
128,311
1015,312
1321,313
1361,314
437,315
1290,316
1527,317
1615,318
368,319
334,320
451,321
65,322
1263,323
755,324
1265,325
610,326
518,327
1017,328
1293,329
1399,330
1575,331
831,332
521,333
1127,334
1246,335
1316,336
949,337
1250,338
1430,339
1447,340
516,341
625,342
714,343
86,344
299,345
424,346
1005,347
711,348
1569,349
626,350
1308,351
1380,352
352,353
907,354
111,355
836,356
681,357
734,358
1247,359
999,360
1044,361
186,362
444,363
593,364
1099,365
1130,366
1207,367
1441,368
1462,369
1507,370
1266,371
1413,372
791,373
857,374
340,375
858,376
1319,377
847,378
1230,379
1242,380
757,381
982,382
744,383
906,384
245,385
250,386
1094,387
61,388
171,389
388,390
400,391
656,392
837,393
951,394
1292,395
1508,396
790,397
14,398
1273,399
203,400
58,401
287,402
588,403
688,404
1168,405
200,406
43,407
255,408
1543,409
764,410
840,411
1445,412
1623,413
442,414
1072,415
27,416
34,417
1038,418
568,419
1016,420
439,421
765,422
1048,423
1302,424
277,425
541,426
2,427
509,428
719,429
753,430
1596,431
1061,432
1553,433
870,434
499,435
482,436
1162,437
157,438
1443,439
826,440
1557,441
96,442
511,443
125,444
228,445
538,446
1451,447
1067,448
1252,449
37,450
100,451
362,452
513,453
648,454
724,455
917,456
967,457
1200,458
730,459
1620,460
807,461
1069,462
1231,463
307,464
169,465
822,466
1291,467
1355,468
799,469
236,470
1132,471
1350,472
1551,473
357,474
697,475
1165,476
1400,477
1571,478
1593,479
249,480
70,481
1561,482
1004,483
1259,484
552,485
30,486
392,487
393,488
440,489
758,490
852,491
154,492
429,493
314,494
844,495
977,496
1055,497
219,498
1052,499
1579,500
878,501
924,502
41,503
664,504
1438,505
118,506
574,507
295,508
246,509
1108,510
1640,511
156,512
167,513
586,514
1062,515
1536,516
954,517
1049,518
1304,519
514,520
850,521
1195,522
1515,523
537,524
1128,525
944,526
1377,527
536,528
1404,529
1446,530
130,531
708,532
1281,533
1461,534
1478,535
599,536
706,537
1066,538
1245,539
112,540
549,541
458,542
1175,543
912,544
712,545
582,546
1647,547
230,548
500,549
843,550
1114,551
1171,552
1598,553
657,554
1630,555
1091,556
1274,557
272,558
1558,559
635,560
823,561
1056,562
1125,563
120,564
959,565
1026,566
1376,567
170,568
1476,569
786,570
1628,571
225,572
1599,573
242,574
460,575
1117,576
363,577
1649,578
1276,579
62,580
114,581
115,582
576,583
383,584
1185,585
1538,586
824,587
402,588
502,589
1471,590
16,591
159,592
1074,593
1075,594
797,595
788,596
201,597
1284,598
939,599
11,600
443,601
308,602
319,603
1638,604
269,605
1051,606
718,607
1095,608
756,609
1173,610
67,611
546,612
611,613
761,614
1280,615
1300,616
1325,617
1477,618
1533,619
475,620
818,621
1352,622
143,623
1330,624
129,625
591,626
1506,627
1526,628
231,629
1210,630
19,631
162,632
414,633
577,634
957,635
1160,636
1241,637
1331,638
1626,639
108,640
