board,n_parts,used_area,waste_area,board_area,U
1,4,2915220.25,61579.75,2976800.0,0.9793134406073636
2,3,2885510.0,91290.0,2976800.0,0.9693328406342381
3,3,2850550.0,126250.0,2976800.0,0.9575886858371405
4,2,2754085.0,222715.0,2976800.0,0.925183082504703
5,3,2858031.0,118769.0,2976800.0,0.9601017871539909
6,4,2900920.0,75880.0,2976800.0,0.9745095404461166
7,4,2897920.0,78880.0,2976800.0,0.9735017468422467
8,3,2868040.0,108760.0,2976800.0,0.9634641225477022
9,3,2814010.0,162790.0,2976800.0,0.9453137597420048
10,2,2777450.0,199350.0,2976800.0,0.9330321150228433
11,3,2834094.0,142706.0,2976800.0,0.9520606019887127
12,3,2740735.0,236065.0,2976800.0,0.9206984009674819
13,4,2855984.0,120816.0,2976800.0,0.9594141359849503
14,3,2796594.0,180206.0,2976800.0,0.9394631819403386
15,5,2800436.0,176364.0,2976800.0,0.9407538296156948
16,5,2798276.0,178524.0,2976800.0,0.9400282182209083
17,6,2770912.0,205888.0,2976800.0,0.9308357968288095
18,2,2403000.0,573800.0,2976800.0,0.8072426766998119
19,5,2792856.9,183943.1000000001,2976800.0,0.9382077734479978
20,3,2833985.0,142815.0,2976800.0,0.9520239854877721
21,5,2865513.5,111286.5,2976800.0,0.9626153923676432
22,5,2851584.25,125215.75,2976800.0,0.9579361226820747
23,4,2730924.25,245875.75,2976800.0,0.9174026639344263
24,4,2883160.5,93639.5,2976800.0,0.9685435702768073
25,4,2883160.5,93639.5,2976800.0,0.9685435702768073
26,5,2885619.75,91180.25,2976800.0,0.9693697090835797
27,3,2733640.0,243160.0,2976800.0,0.9183149690943295
28,4,2867687.0,109113.0,2976800.0,0.9633455388336468
29,3,2588121.0,388679.0,2976800.0,0.8694305966138135
30,4,2910208.0,66592.0,2976800.0,0.9776296694436979
31,3,2805688.75,171111.25,2976800.0,0.9425183922332706
32,4,2766646.0,210154.0,2976800.0,0.9294027143241064
33,6,2907782.0,69018.0,2976800.0,0.9768147003493685
34,5,2818567.0,158233.0,2976800.0,0.9468445982262833
35,4,2880662.0,96138.0,2976800.0,0.9677042461703843
36,4,2842379.0,134421.0,2976800.0,0.9548437919914001
37,4,2854518.0,122282.0,2976800.0,0.9589216608438592
38,5,2921092.0,55708.0,2976800.0,0.981285944638538
39,6,2900439.0,76361.0,2976800.0,0.9743479575382962
40,3,2654125.75,322674.25,2976800.0,0.891603651572158
41,6,2842895.0,133905.0,2976800.0,0.9550171324912657
42,7,2861664.0,115136.0,2976800.0,0.9613222252082774
43,5,2908999.5,67800.5,2976800.0,0.977223696586939
44,5,2741742.5,235057.5,2976800.0,0.9210368516527815
45,5,2741742.5,235057.5,2976800.0,0.9210368516527815
46,3,2381920.5,594879.5,2976800.0,0.8001614149422198
47,4,2789574.25,187225.75,2976800.0,0.9371050288900833
48,4,2850138.25,126661.75,2976800.0,0.9574503661650094
49,5,2881151.25,95648.75,2976800.0,0.9678686005106154
50,5,2803907.1,172892.8999999999,2976800.0,0.9419198804084924
51,7,2775797.75,201002.25,2976800.0,0.9324770726955119
52,4,2422664.0,554136.0,2976800.0,0.813848427841978
53,6,2828456.0,148344.0,2976800.0,0.9501666218758398
54,8,2885363.0,91437.0,2976800.0,0.9692834587476484
55,6,2803501.75,173298.25,2976800.0,0.9417837106960495
56,5,2767054.75,209745.25,2976800.0,0.9295400262026337
57,8,2888641.0,88159.0,2976800.0,0.9703846412254771
58,3,1927433.0,1049367.0,2976800.0,0.647484883095942
59,7,2885987.9,90812.1000000001,2976800.0,0.9694933821553345
60,6,2868584.0,108216.0,2976800.0,0.963646869121204
61,6,2888046.0,88754.0,2976800.0,0.9701847621607095
62,5,2717669.5,259130.5,2976800.0,0.912949979844128
63,5,2841227.0,135573.0,2976800.0,0.9544567992475141
64,5,2795431.0,181369.0,2976800.0,0.9390724939532383
65,5,2764515.25,212284.75,2976800.0,0.9286869289169578
66,5,2641922.25,334877.75,2976800.0,0.8875041151572158
67,8,2836796.25,140003.75,2976800.0,0.9529683720773986
68,7,2807126.0,169674.0,2976800.0,0.9430012093523247
69,5,2769789.0,207011.0,2976800.0,0.9304585460897609
70,8,2900084.75,76715.25,2976800.0,0.9742289539102392
71,6,2826075.5,150724.5,2976800.0,0.9493669376511691
72,6,2794416.75,182383.25,2976800.0,0.93873177573233
73,7,2867374.75,109425.25,2976800.0,0.9632406443160441
74,6,2835218.75,141581.25,2976800.0,0.9524384406073636
75,7,2873361.5,103438.5,2976800.0,0.9652517804353669
76,6,2776983.5,199816.5,2976800.0,0.9328754031174415
77,6,2843416.0,133384.0,2976800.0,0.9551921526471379
78,7,2771037.5,205762.5,2976800.0,0.9308779561945714
79,8,2835437.0,141363.0,2976800.0,0.9525117575920451
80,7,2786973.5,189826.5,2976800.0,0.9362313558183284
81,7,2810035.5,166764.5,2976800.0,0.9439786011824778
82,7,2822116.0,154684.0,2976800.0,0.9480368180596613
83,6,2835520.0,141280.0,2976800.0,0.9525396398817522
84,7,2799423.0,177377.0,2976800.0,0.9404135313087879
85,9,2863775.0,113025.0,2976800.0,0.9620313759742005
86,7,2826430.0,150370.0,2976800.0,0.9494860252620263
87,7,2864459.25,112340.75,2976800.0,0.9622612368986831
88,7,2863679.25,113120.75,2976800.0,0.9619992105616769
89,6,2809291.0,167509.0,2976800.0,0.9437285004031174
