board,n_parts,used_area,waste_area,board_area,U
1,21,2671053.0,305747.0,2976800.0,0.8972900429991938
2,20,2623705.0,353095.0,2976800.0,0.881384372480516
3,16,2445136.0,531664.0,2976800.0,0.8213974737973663
4,15,2861383.25,115416.75,2976800.0,0.9612279125235151
5,15,2836968.0,139832.0,2976800.0,0.95302606826122
6,15,2808604.0,168196.0,2976800.0,0.9434977156678312
7,15,2461742.0,515058.0,2976800.0,0.8269759473259877
8,14,2810238.5,166561.5,2976800.0,0.9440467952163397
9,14,2790291.0,186509.0,2976800.0,0.9373458075786079
10,14,2775324.5,201475.5,2976800.0,0.9323180932545014
11,14,2764038.5,212761.5,2976800.0,0.9285267737167429
12,14,2714391.25,262408.75,2976800.0,0.911848713383499
13,15,2732043.0,244757.0,2976800.0,0.9177784869658694
14,13,2811548.0,165252.0,2976800.0,0.9444866971244289
15,13,2808133.0,168667.0,2976800.0,0.9433394920720236
16,13,2771939.7,204860.2999999998,2976800.0,0.9311810333243752
17,12,2858157.0,118643.0,2976800.0,0.9601441144853534
18,12,2839200.0,137600.0,2976800.0,0.9537758667024994
19,12,2758704.0,218096.0,2976800.0,0.9267347487234614
20,13,2749403.0,227397.0,2976800.0,0.9236102526202634
21,12,2625094.9,351705.1000000001,2976800.0,0.8818512832571889
22,12,2466400.5,510399.5,2976800.0,0.828540882827197
23,11,2860762.0,116038.0,2976800.0,0.9610192152647138
24,11,2499305.5,477494.5,2976800.0,0.8395946990056437
25,11,2437976.0,538824.0,2976800.0,0.81899220639613
26,10,2861790.0,115010.0,2976800.0,0.9613645525396399
27,10,2857148.5,119651.5,2976800.0,0.9598053278688524
28,10,2807507.0,169293.0,2976800.0,0.9431291991400161
29,10,2787515.0,189285.0,2976800.0,0.936413262563827
30,10,2632587.0,344213.0,2976800.0,0.8843681134103736
31,10,2445523.0,531277.0,2976800.0,0.8215274791722655
32,9,2828455.25,148344.75,2976800.0,0.9501663699274389
33,9,2827029.0,149771.0,2976800.0,0.949687248051599
34,9,2806651.0,170149.0,2976800.0,0.942841642031712
35,11,2797968.25,178831.75,2976800.0,0.9399248353937114
36,9,2767635.0,209165.0,2976800.0,0.9297349502821822
37,9,2688140.25,288659.75,2976800.0,0.9030301834184359
38,9,2475764.75,501035.25,2976800.0,0.8316866265788766
39,8,2869540.0,107260.0,2976800.0,0.9639680193496372
40,8,2864431.0,112369.0,2976800.0,0.9622517468422467
41,8,2856009.0,120791.0,2976800.0,0.9594225342649826
42,8,2852077.5,124722.5,2976800.0,0.958101820747111
43,8,2842227.0,134573.0,2976800.0,0.9547927304488041
44,8,2838378.0,138422.0,2976800.0,0.953499731255039
45,8,2837648.0,139152.0,2976800.0,0.9532545014780973
46,8,2816697.0,160103.0,2976800.0,0.946216406879871
47,8,2857489.75,119310.25,2976800.0,0.9599199643912927
48,9,2802802.75,173997.25,2976800.0,0.9415488947863477
49,8,2809129.0,167671.0,2976800.0,0.9436740795485085
50,8,2802392.5,174407.5,2976800.0,0.9414110790110185
51,8,2790227.5,186572.5,2976800.0,0.937324475947326
52,8,2775685.5,201114.5,2976800.0,0.9324393644181671
53,8,2765255.0,211545.0,2976800.0,0.9289354340231121
54,8,2738180.5,238619.5,2976800.0,0.9198402647137867
55,6,2635974.0,340826.0,2976800.0,0.8855059123891427
56,8,2653760.5,323039.5,2976800.0,0.8914809527008869
57,8,2577808.0,398992.0,2976800.0,0.86596613813491
58,11,2861336.0,115464.0,2976800.0,0.9612120397742542
59,8,2487002.0,489798.0,2976800.0,0.8354615694705724
60,8,2480772.0,496028.0,2976800.0,0.8333687180865359
61,7,2899228.0,77572.0,2976800.0,0.973941144853534
62,7,2876570.0,100230.0,2976800.0,0.9663296156947058
63,7,2874862.0,101938.0,2976800.0,0.9657558452029025
64,7,2800979.25,175820.75,2976800.0,0.9409363242407954
65,7,2841149.0,135651.0,2976800.0,0.9544305966138135
66,4,2485835.5,490964.5,2976800.0,0.8350697057242676
67,7,2823355.75,153444.25,2976800.0,0.9484532887664606
68,6,2772683.0,204117.0,2976800.0,0.931430730986294
69,7,2631164.5,345635.5,2976800.0,0.8838902512765385
70,7,2470381.25,506418.75,2976800.0,0.8298781409567321
71,6,2859319.0,117481.0,2976800.0,0.9605344665412523
72,6,2854046.0,122754.0,2976800.0,0.9587631013168503
73,6,2828903.0,147897.0,2976800.0,0.9503167831228164
74,5,2805397.0,171403.0,2976800.0,0.9424203843052943
75,6,2782538.0,194262.0,2976800.0,0.9347413329750067
76,6,2779727.0,197073.0,2976800.0,0.9337970303681806
77,6,2777689.0,199111.0,2976800.0,0.9331124025799516
78,6,2771722.0,205078.0,2976800.0,0.9311079011018544
79,6,2769381.0,207419.0,2976800.0,0.9303214861596345
80,6,2754044.0,222756.0,2976800.0,0.9251693093254502
81,6,2630266.0,346534.0,2976800.0,0.8835884170921795
82,6,2620715.7,356084.2999999998,2976800.0,0.8803801733404999
83,6,2611174.0,365626.0,2976800.0,0.8771748185971513
84,6,2606450.0,370350.0,2976800.0,0.8755878796022575
85,5,2500653.0,476147.0,2976800.0,0.8400473662993819
