board,n_parts,used_area,waste_area,board_area,U
1,10,2310959.5,665840.5,2976800.0,0.7763234009674819
2,3,2861170.0,115630.0,2976800.0,0.9611562751948401
3,3,2828100.0,148700.0,2976800.0,0.9500470303681806
4,4,2894831.5,81968.5,2976800.0,0.9724642233270626
5,4,2851450.0,125350.0,2976800.0,0.9578910239183015
6,4,2906297.0,70503.0,2976800.0,0.9763158425154528
7,7,2861694.0,115106.0,2976800.0,0.9613323031443161
8,7,2891680.75,85119.25,2976800.0,0.9714057880945982
9,3,2827734.5,149065.5,2976800.0,0.9499242475141091
10,4,2848912.0,127888.0,2976800.0,0.9570384305294276
11,5,2872606.0,104194.0,2976800.0,0.9649979844127923
12,6,2902240.0,74560.0,2976800.0,0.9749529696318194
13,2,2405520.0,571280.0,2976800.0,0.8080892233270626
14,3,2556343.0,420457.0,2976800.0,0.8587553748992206
15,6,2857536.0,119264.0,2976800.0,0.9599355012093523
16,4,2847150.0,129650.0,2976800.0,0.9564465197527546
17,4,2838200.0,138600.0,2976800.0,0.9534399355012093
18,5,2807001.0,169799.0,2976800.0,0.9429592179521634
19,5,2919299.5,57500.5,2976800.0,0.9806837879602257
20,4,2852720.0,124080.0,2976800.0,0.9583176565439399
21,4,2852720.0,124080.0,2976800.0,0.9583176565439399
22,5,2902265.5,74534.5,2976800.0,0.9749615358774523
23,7,2838897.0,137903.0,2976800.0,0.9536740795485085
24,5,2871179.0,105621.0,2976800.0,0.9645186105885515
25,4,2863079.0,113721.0,2976800.0,0.9617975678581027
26,5,2859772.0,117028.0,2976800.0,0.9606866433754367
27,5,2886643.0,90157.0,2976800.0,0.9697134506852997
28,4,2707016.0,269784.0,2976800.0,0.9093711367911852
29,6,2813820.0,162980.0,2976800.0,0.9452499328137598
30,4,2830641.5,146158.5,2976800.0,0.950900799516259
31,6,2784830.0,191970.0,2976800.0,0.9355112872883633
32,5,2861134.0,115666.0,2976800.0,0.9611441816715937
33,4,2637664.0,339136.0,2976800.0,0.8860736361193228
34,4,2637664.0,339136.0,2976800.0,0.8860736361193228
35,4,2637664.0,339136.0,2976800.0,0.8860736361193228
36,4,2638259.0,338541.0,2976800.0,0.8862735151840903
37,4,2630608.0,346192.0,2976800.0,0.8837033055630207
38,4,2627008.0,349792.0,2976800.0,0.8824939532383768
39,4,2606348.0,370452.0,2976800.0,0.8755536146197259
40,4,2602816.0,373984.0,2976800.0,0.8743671056167697
41,4,2602816.0,373984.0,2976800.0,0.8743671056167697
42,4,2602816.0,373984.0,2976800.0,0.8743671056167697
43,4,2602816.0,373984.0,2976800.0,0.8743671056167697
44,6,2851788.0,125012.0,2976800.0,0.9580045686643376
45,6,2778817.0,197983.0,2976800.0,0.9334913329750067
46,6,2777977.0,198823.0,2976800.0,0.9332091507659231
47,4,2640943.0,335857.0,2976800.0,0.8871751545283526
48,4,2879096.0,97704.0,2976800.0,0.9671781779091642
49,5,2860660.0,116140.0,2976800.0,0.9609849502821822
50,7,2901369.0,75431.0,2976800.0,0.9746603735554958
51,4,2761256.0,215544.0,2976800.0,0.9275920451491535
52,4,2851552.5,125247.5,2976800.0,0.9579254568664337
53,5,2869874.5,106925.5,2976800.0,0.9640803883364687
54,5,2878665.5,98134.5,2976800.0,0.9670335595270089
55,3,2613940.0,362860.0,2976800.0,0.8781040042999194
56,3,2500710.0,476090.0,2976800.0,0.8400665143778554
57,4,2882854.0,93946.0,2976800.0,0.9684406073636119
58,4,2447229.0,529571.0,2976800.0,0.8221005778016662
59,5,2873136.0,103664.0,2976800.0,0.965176027949476
60,7,2839443.0,137357.0,2976800.0,0.9538574979844128
61,4,2589606.0,387194.0,2976800.0,0.8699294544477291
62,3,2452454.0,524346.0,2976800.0,0.8238558183284064
63,6,2828903.0,147897.0,2976800.0,0.9503167831228164
64,4,2841307.0,135493.0,2976800.0,0.9544836737436173
65,6,2865982.0,110818.0,2976800.0,0.9627727761354474
66,4,2490939.0,485861.0,2976800.0,0.8367841306100511
67,5,2857452.0,119348.0,2976800.0,0.959907282988444
68,3,2284131.25,692668.75,2976800.0,0.767310954716474
69,4,2833500.0,143300.0,2976800.0,0.9518610588551465
70,4,2881871.25,94928.75,2976800.0,0.9681104709755443
71,4,2832816.5,143983.5,2976800.0,0.9516314498790648
72,3,2497440.0,479360.0,2976800.0,0.8389680193496372
73,4,2575480.7,401319.2999999998,2976800.0,0.8651843254501479
74,4,2641195.25,335604.75,2976800.0,0.887259893173878
75,4,2739428.0,237372.0,2976800.0,0.9202593388873959
76,5,2748815.75,227984.25,2976800.0,0.9234129770223058
77,4,2519064.75,457735.25,2976800.0,0.8462324475947326
78,8,2880591.0,96209.0,2976800.0,0.9676803950550927
79,7,2846739.0,130061.0,2976800.0,0.9563084520290245
80,6,2804515.0,172285.0,2976800.0,0.9421240929857565
81,5,2609709.0,367091.0,2976800.0,0.8766826793872615
82,5,2583759.5,393040.5,2976800.0,0.8679654326793873
83,5,2797662.0,179138.0,2976800.0,0.9398219564633163
84,6,2702559.75,274240.25,2976800.0,0.9078741433754367
85,6,2541633.0,435167.0,2976800.0,0.8538138269282451
86,7,2874862.0,101938.0,2976800.0,0.9657558452029025
87,4,2376489.75,600310.25,2976800.0,0.7983370565708143
88,8,2854058.0,122742.0,2976800.0,0.9587671324912658
89,7,2786619.0,190181.0,2976800.0,0.9361122682074711
90,5,2422292.0,554508.0,2976800.0,0.8137234614350981
