board,uid,pid_raw,x,y,w,h,w0,h0,rotated
1,785,785,5.0,5.0,2172.5,918.5,2172.5,918.5,0
1,827,827,5.0,923.5,2285.0,289.0,2285.0,289.0,0
1,60,60,2177.5,5.0,251.0,814.0,814.0,251.0,1
1,1009,1009,2290.0,819.0,145.0,380.0,380.0,145.0,1
2,533,533,5.0,5.0,2360.0,800.0,2360.0,800.0,0
2,81,81,5.0,805.0,2299.0,400.0,2299.0,400.0,0
2,13,13,2365.0,5.0,70.0,1113.0,1113.0,70.0,1
3,569,569,5.0,5.0,2360.0,800.0,2360.0,800.0,0
3,788,788,5.0,805.0,2335.0,380.0,2335.0,380.0,0
3,618,618,2365.0,5.0,70.0,1075.0,1075.0,70.0,1
4,900,900,5.0,5.0,2400.0,750.0,2400.0,750.0,0
4,539,539,5.0,755.0,2299.0,415.0,2299.0,415.0,0
5,332,332,5.0,5.0,2390.0,655.0,2390.0,655.0,0
5,474,474,5.0,660.0,2299.0,540.0,2299.0,540.0,0
5,616,616,2304.0,660.0,109.0,469.0,469.0,109.0,1
6,355,355,5.0,5.0,2240.0,684.0,2240.0,684.0,0
6,86,86,5.0,689.0,2340.0,522.0,2340.0,522.0,0
6,394,394,2245.0,5.0,182.0,600.0,600.0,182.0,1
6,282,282,2345.0,605.0,70.0,544.0,544.0,70.0,1
7,792,792,5.0,5.0,2240.0,684.0,2240.0,684.0,0
7,891,891,5.0,689.0,2340.0,522.0,2340.0,522.0,0
7,68,68,2245.0,5.0,180.0,590.0,180.0,590.0,0
7,810,810,2345.0,595.0,70.0,544.0,544.0,70.0,1
8,848,848,5.0,5.0,2240.0,684.0,2240.0,684.0,0
8,628,628,5.0,689.0,2299.0,520.0,2299.0,520.0,0
8,420,420,2304.0,5.0,120.0,1170.0,1170.0,120.0,1
9,979,979,5.0,5.0,2240.0,684.0,2240.0,684.0,0
9,375,375,5.0,689.0,2390.0,495.0,2390.0,495.0,0
9,738,738,2245.0,5.0,190.0,520.0,520.0,190.0,1
10,744,744,5.0,5.0,2333.0,600.0,2333.0,600.0,0
10,265,265,5.0,605.0,2335.0,590.0,2335.0,590.0,0
11,1050,1050,5.0,5.0,2315.0,590.0,2315.0,590.0,0
11,913,913,5.0,595.0,2299.0,590.0,2299.0,590.0,0
11,142,142,2320.0,5.0,109.0,1026.0,1026.0,109.0,1
12,1105,1105,5.0,5.0,2295.0,573.0,2295.0,573.0,0
12,314,314,5.0,578.0,2150.0,590.0,2150.0,590.0,0
12,381,381,2155.0,578.0,262.0,600.0,600.0,262.0,1
13,274,274,5.0,5.0,1852.0,683.0,1852.0,683.0,0
13,706,706,5.0,688.0,2360.0,500.0,2360.0,500.0,0
13,293,293,1857.0,5.0,574.0,667.0,667.0,574.0,1
13,746,746,2365.0,672.0,70.0,403.0,403.0,70.0,1
14,948,948,5.0,5.0,1852.0,683.0,1852.0,683.0,0
14,194,194,5.0,688.0,2335.0,492.0,2335.0,492.0,0
14,294,294,1857.0,5.0,574.0,667.0,667.0,574.0,1
15,447,447,5.0,5.0,2254.0,550.0,2254.0,550.0,0
15,780,780,5.0,555.0,2254.0,550.0,2254.0,550.0,0
15,78,78,5.0,1105.0,2000.0,63.0,2000.0,63.0,0
15,515,515,2259.0,5.0,167.0,708.0,708.0,167.0,1
15,773,773,2259.0,713.0,160.0,480.0,480.0,160.0,1
16,959,959,5.0,5.0,2254.0,550.0,2254.0,550.0,0
16,1111,1111,5.0,555.0,2254.0,550.0,2254.0,550.0,0
16,998,998,5.0,1105.0,1560.0,80.0,1560.0,80.0,0
16,719,719,2259.0,5.0,167.0,708.0,708.0,167.0,1
16,36,36,2259.0,713.0,158.0,480.0,480.0,158.0,1
17,82,82,5.0,5.0,2254.0,544.0,2254.0,544.0,0
17,147,147,5.0,549.0,2254.0,544.0,2254.0,544.0,0
17,206,206,5.0,1093.0,1661.0,70.0,1661.0,70.0,0
17,690,690,2259.0,5.0,158.0,480.0,480.0,158.0,1
17,734,734,2259.0,485.0,158.0,480.0,480.0,158.0,1
17,211,211,1666.0,1093.0,723.0,70.0,723.0,70.0,0
18,219,219,5.0,5.0,2250.0,534.0,2250.0,534.0,0
18,269,269,5.0,539.0,2250.0,534.0,2250.0,534.0,0
19,429,429,5.0,5.0,2250.0,534.0,2250.0,534.0,0
19,378,378,5.0,539.0,2100.0,560.0,2100.0,560.0,0
19,535,535,2105.0,539.0,297.0,609.7,609.7,297.0,1
19,77,77,5.0,1099.0,1956.0,81.0,1956.0,81.0,0
19,52,52,2255.0,5.0,158.0,480.0,480.0,158.0,1
20,537,537,5.0,5.0,1207.0,983.5,1207.0,983.5,0
20,588,588,1212.0,5.0,1207.0,983.5,1207.0,983.5,0
20,541,541,5.0,988.5,2254.0,204.0,2254.0,204.0,0
21,841,841,5.0,5.0,1360.0,869.0,1360.0,869.0,0
21,469,469,1365.0,5.0,973.5,1187.0,1187.0,973.5,1
21,561,561,5.0,874.0,1260.0,334.0,1260.0,334.0,0
21,422,422,2338.5,5.0,94.0,913.5,913.5,94.0,1
21,283,283,1265.0,874.0,70.0,306.0,306.0,70.0,1
22,123,123,5.0,5.0,1523.5,765.5,1523.5,765.5,0
22,631,631,5.0,770.5,2205.0,419.0,2205.0,419.0,0
22,360,360,1528.5,5.0,782.0,755.0,755.0,782.0,1
22,1004,1004,2310.5,5.0,120.0,1170.0,1170.0,120.0,1
22,1066,1066,2210.0,760.0,80.0,383.0,383.0,80.0,1
23,300,300,5.0,5.0,1523.5,765.5,1523.5,765.5,0
23,144,144,5.0,770.5,2187.0,419.0,2187.0,419.0,0
23,3,3,1528.5,5.0,870.0,633.0,870.0,633.0,0
23,623,623,2192.0,638.0,183.5,532.0,183.5,532.0,0
24,272,272,5.0,5.0,2100.0,554.0,2100.0,554.0,0
24,311,311,5.0,559.0,2100.0,554.0,2100.0,554.0,0
24,350,350,2105.0,5.0,311.0,1155.5,1155.5,311.0,1
24,748,748,5.0,1113.0,1970.0,100.0,1970.0,100.0,0
25,328,328,5.0,5.0,2100.0,554.0,2100.0,554.0,0
25,683,683,5.0,559.0,2100.0,554.0,2100.0,554.0,0
25,478,478,2105.0,5.0,311.0,1155.5,1155.5,311.0,1
25,875,875,5.0,1113.0,1970.0,100.0,1970.0,100.0,0
26,1030,1030,5.0,5.0,2100.0,554.0,2100.0,554.0,0
26,1031,1031,5.0,559.0,2100.0,554.0,2100.0,554.0,0
26,599,599,2105.0,5.0,298.5,1133.5,298.5,1133.5,0
26,1067,1067,5.0,1113.0,1770.0,100.0,1770.0,100.0,0
26,874,874,1775.0,1138.5,621.0,70.0,621.0,70.0,0
27,817,817,5.0,5.0,2000.0,580.0,2000.0,580.0,0
27,912,912,5.0,585.0,2000.0,580.0,2000.0,580.0,0
27,226,226,2005.0,5.0,383.0,1080.0,1080.0,383.0,1
28,724,724,5.0,5.0,1187.0,973.5,1187.0,973.5,0
28,709,709,1192.0,5.0,1215.0,947.5,1215.0,947.5,0
28,425,425,5.0,978.5,2254.0,230.0,2254.0,230.0,0
28,118,118,2259.0,952.5,163.5,260.0,163.5,260.0,0
29,1021,1021,5.0,5.0,1215.0,947.5,1215.0,947.5,0
29,183,183,1220.0,5.0,1073.0,1062.5,1073.0,1062.5,0
29,572,572,5.0,952.5,1133.0,262.0,1133.0,262.0,0
30,621,621,5.0,5.0,1908.0,603.0,1908.0,603.0,0
30,766,766,5.0,608.0,1908.0,603.0,1908.0,603.0,0
30,622,622,1913.0,5.0,510.0,964.0,964.0,510.0,1
30,1024,1024,1913.0,969.0,520.0,226.0,226.0,520.0,1
31,776,776,5.0,5.0,2335.0,492.0,2335.0,492.0,0
31,401,401,5.0,497.0,1610.5,707.5,1610.5,707.5,0
31,664,664,1615.5,497.0,784.0,660.0,784.0,660.0,0
32,35,35,5.0,5.0,2100.0,534.0,2100.0,534.0,0
32,639,639,5.0,539.0,2100.0,534.0,2100.0,534.0,0
32,666,666,2105.0,5.0,283.0,1164.0,1164.0,283.0,1
32,207,207,5.0,1073.0,1451.0,134.0,1451.0,134.0,0
33,1096,1096,5.0,5.0,2100.0,534.0,2100.0,534.0,0
33,725,725,5.0,539.0,2018.5,552.0,2018.5,552.0,0
33,1022,1022,2105.0,5.0,330.0,982.0,982.0,330.0,1
33,1000,1000,5.0,1091.0,2400.0,120.0,2400.0,120.0,0
33,484,484,2023.5,987.0,383.0,80.0,383.0,80.0,0
33,877,877,2023.5,539.0,70.0,421.0,421.0,70.0,1
34,958,958,5.0,5.0,2299.0,480.0,2299.0,480.0,0
34,659,659,5.0,485.0,1887.0,550.0,1887.0,550.0,0
34,64,64,1892.0,485.0,528.0,711.5,711.5,528.0,1
34,596,596,5.0,1035.0,1652.0,159.0,1652.0,159.0,0
34,1059,1059,2304.0,5.0,122.0,318.5,318.5,122.0,1
35,715,715,5.0,5.0,1887.0,550.0,1887.0,550.0,0
35,779,779,5.0,555.0,1887.0,550.0,1887.0,550.0,0
35,250,250,1892.0,5.0,523.0,1194.0,1194.0,523.0,1
35,813,813,5.0,1105.0,1805.0,100.0,1805.0,100.0,0
36,96,96,5.0,5.0,1417.0,725.0,1417.0,725.0,0
36,865,865,5.0,730.0,2385.0,365.0,2385.0,365.0,0
36,195,195,1422.0,5.0,963.0,683.0,963.0,683.0,0
36,76,76,5.0,1095.0,2390.0,120.0,2390.0,120.0,0
37,89,89,5.0,5.0,1887.0,544.0,1887.0,544.0,0
37,186,186,5.0,549.0,1887.0,544.0,1887.0,544.0,0
37,1102,1102,1892.0,5.0,523.0,1194.0,1194.0,523.0,1
37,617,617,5.0,1093.0,1770.0,100.0,1770.0,100.0,0
38,336,336,5.0,5.0,1887.0,544.0,1887.0,544.0,0
38,655,655,5.0,549.0,1887.0,544.0,1887.0,544.0,0
38,27,27,1892.0,5.0,543.0,1012.0,1012.0,543.0,1
38,944,944,5.0,1093.0,2400.0,120.0,2400.0,120.0,0
38,483,483,1892.0,1017.0,436.0,70.0,436.0,70.0,0
39,849,849,5.0,5.0,1887.0,544.0,1887.0,544.0,0
39,892,892,5.0,549.0,1715.0,590.0,1715.0,590.0,0
39,656,656,1892.0,5.0,543.0,1012.0,1012.0,543.0,1
39,487,487,5.0,1139.0,1874.0,70.0,1874.0,70.0,0
39,153,153,1879.0,1017.0,520.0,197.0,520.0,197.0,0
39,876,876,1720.0,549.0,143.5,550.0,143.5,550.0,0
40,595,595,5.0,5.0,1535.5,582.0,1535.5,582.0,0
40,521,521,5.0,587.0,1523.5,578.5,1523.5,578.5,0
40,592,592,1540.5,5.0,814.0,1080.0,1080.0,814.0,1
41,238,238,5.0,5.0,1240.0,700.0,1240.0,700.0,0
41,794,794,5.0,705.0,2390.0,363.0,2390.0,363.0,0
41,228,228,1245.0,5.0,1013.5,692.0,692.0,1013.5,1
41,10,10,5.0,1068.0,1791.0,145.0,1791.0,145.0,0
41,128,128,2258.5,5.0,158.0,480.0,480.0,158.0,1
41,1064,1064,1796.0,1068.0,592.0,119.0,592.0,119.0,0
42,540,540,5.0,5.0,1240.0,700.0,1240.0,700.0,0
42,805,805,5.0,705.0,2390.0,363.0,2390.0,363.0,0
42,287,287,1245.0,5.0,1013.5,692.0,692.0,1013.5,1
42,936,936,5.0,1068.0,1791.0,144.0,1791.0,144.0,0
42,162,162,2258.5,5.0,158.0,480.0,480.0,158.0,1
42,940,940,1796.0,1068.0,322.0,144.0,144.0,322.0,1
42,549,549,2118.0,1068.0,310.0,144.0,144.0,310.0,1
43,62,62,5.0,5.0,1865.5,463.5,1865.5,463.5,0
43,798,798,5.0,468.5,1865.5,463.5,1865.5,463.5,0
43,104,104,5.0,932.0,2345.0,280.0,2345.0,280.0,0
43,330,330,1870.5,5.0,549.0,919.0,919.0,549.0,1
43,1065,1065,2350.0,924.0,70.0,265.0,265.0,70.0,1
44,597,597,5.0,5.0,1134.0,759.0,1134.0,759.0,0
44,641,641,1139.0,5.0,1134.0,759.0,1134.0,759.0,0
44,134,134,5.0,764.0,2100.5,397.0,2100.5,397.0,0
44,791,791,2105.5,764.0,288.0,384.0,384.0,288.0,1
44,392,392,2273.0,5.0,158.0,480.0,480.0,158.0,1
45,701,701,5.0,5.0,1134.0,759.0,1134.0,759.0,0
45,952,952,1139.0,5.0,1134.0,759.0,1134.0,759.0,0
45,740,740,5.0,764.0,2100.5,397.0,2100.5,397.0,0
45,918,918,2105.5,764.0,288.0,384.0,384.0,288.0,1
45,449,449,2273.0,5.0,158.0,480.0,480.0,158.0,1
46,679,679,5.0,5.0,1676.5,513.0,1676.5,513.0,0
46,1104,1104,5.0,518.0,1550.5,552.0,1550.5,552.0,0
46,1089,1089,1681.5,5.0,600.0,1110.0,1110.0,600.0,1
47,783,783,5.0,5.0,1600.0,530.0,1600.0,530.0,0
47,290,290,5.0,535.0,1600.0,524.0,1600.0,524.0,0
47,386,386,1605.0,5.0,805.5,1013.5,805.5,1013.5,0
47,1074,1074,5.0,1059.0,2390.0,120.0,2390.0,120.0,0
48,29,29,5.0,5.0,1600.0,518.0,1600.0,518.0,0
48,505,505,5.0,523.0,1600.0,518.0,1600.0,518.0,0
48,770,770,1605.0,5.0,805.5,1013.5,805.5,1013.5,0
48,1011,1011,5.0,1041.0,2187.0,172.0,2187.0,172.0,0
49,576,576,5.0,5.0,2172.5,378.5,2172.5,378.5,0
49,699,699,5.0,383.5,1796.0,455.0,1796.0,455.0,0
49,601,601,5.0,838.5,2160.0,374.0,2160.0,374.0,0
49,317,317,2177.5,5.0,250.0,1177.0,250.0,1177.0,0
49,377,377,1801.0,383.5,330.0,423.0,423.0,330.0,1
50,1014,1014,5.0,5.0,2247.0,354.0,2247.0,354.0,0
50,1028,1028,5.0,359.0,2247.0,354.0,2247.0,354.0,0
50,9,9,5.0,713.0,1755.5,448.2,1755.5,448.2,0
50,4,4,1760.5,713.0,652.5,472.0,652.5,472.0,0
50,180,180,2252.0,5.0,167.0,708.0,708.0,167.0,1
51,461,461,5.0,5.0,1519.0,522.0,1519.0,522.0,0
51,373,373,5.0,527.0,1315.0,600.0,1315.0,600.0,0
51,557,557,1524.0,5.0,802.5,873.5,873.5,802.5,1
51,1107,1107,1320.0,878.5,1113.0,300.0,1113.0,300.0,0
51,234,234,1320.0,527.0,182.0,298.0,182.0,298.0,0
51,941,941,5.0,1127.0,895.0,60.0,895.0,60.0,0
51,1008,1008,2326.5,5.0,60.0,851.0,851.0,60.0,1
52,506,506,5.0,5.0,2090.0,374.0,2090.0,374.0,0
52,464,464,5.0,379.0,2258.0,344.0,2258.0,344.0,0
52,528,528,5.0,723.0,2258.0,344.0,2258.0,344.0,0
52,1097,1097,2095.0,5.0,250.0,350.0,250.0,350.0,0
53,845,845,5.0,5.0,2258.0,344.0,2258.0,344.0,0
53,846,846,5.0,349.0,2258.0,344.0,2258.0,344.0,0
53,964,964,5.0,693.0,2258.0,344.0,2258.0,344.0,0
53,209,209,5.0,1037.0,1910.0,150.0,1910.0,150.0,0
53,943,943,2263.0,5.0,140.0,1135.0,1135.0,140.0,1
53,189,189,1915.0,1037.0,330.0,160.0,160.0,330.0,1
54,1082,1082,5.0,5.0,2258.0,344.0,2258.0,344.0,0
54,441,441,5.0,349.0,1320.0,574.0,1320.0,574.0,0
54,437,437,1325.0,349.0,963.0,683.0,963.0,683.0,0
54,199,199,5.0,923.0,1302.0,288.0,1302.0,288.0,0
54,722,722,1307.0,1032.0,708.0,167.0,708.0,167.0,0
54,14,14,2288.0,5.0,70.0,983.0,983.0,70.0,1
54,488,488,2358.0,5.0,70.0,974.0,974.0,70.0,1
54,803,803,2015.0,1032.0,350.0,180.0,180.0,350.0,1
55,784,784,5.0,5.0,1320.0,574.0,1320.0,574.0,0
55,608,608,5.0,579.0,1771.5,426.5,1771.5,426.5,0
55,297,297,1776.5,5.0,599.0,1063.0,1063.0,599.0,1
55,323,323,5.0,1005.5,1698.0,200.0,1698.0,200.0,0
55,1079,1079,1325.0,5.0,440.0,534.0,440.0,534.0,0
55,999,999,1703.0,1068.0,718.0,110.0,718.0,110.0,0
56,1049,1049,5.0,5.0,1771.5,426.5,1771.5,426.5,0
56,178,178,5.0,431.5,1887.0,400.0,1887.0,400.0,0
56,629,629,5.0,831.5,2120.0,350.0,2120.0,350.0,0
56,201,201,1892.0,5.0,534.0,755.0,755.0,534.0,1
56,218,218,2125.0,760.0,264.0,422.5,422.5,264.0,1
57,823,823,5.0,5.0,2120.0,350.0,2120.0,350.0,0
57,2,2,5.0,355.0,1866.5,397.0,1866.5,397.0,0
57,741,741,5.0,752.0,1866.5,397.0,1866.5,397.0,0
57,341,341,1871.5,355.0,543.0,840.0,840.0,543.0,1
57,697,697,2125.0,5.0,250.0,350.0,250.0,350.0,0
57,619,619,5.0,1149.0,1302.0,60.0,1302.0,60.0,0
57,1071,1071,1307.0,1149.0,451.0,60.0,451.0,60.0,0
57,997,997,2375.0,5.0,60.0,264.0,264.0,60.0,1
58,777,777,5.0,5.0,1413.0,523.0,1413.0,523.0,0
58,309,309,5.0,528.0,1414.0,516.0,1414.0,516.0,0
58,990,990,1418.0,5.0,946.0,485.0,946.0,485.0,0
59,245,245,5.0,5.0,2115.0,344.0,2115.0,344.0,0
59,844,844,5.0,349.0,2115.0,344.0,2115.0,344.0,0
59,504,504,5.0,693.0,1600.0,446.0,1600.0,446.0,0
59,193,193,1605.0,693.0,762.0,517.0,762.0,517.0,0
