board,uid,pid_raw,x,y,w,h,w0,h0,rotated
1,662,662,5.0,5.0,273.0,264.0,264.0,273.0,1
1,793,793,5.0,269.0,273.0,264.0,264.0,273.0,1
1,909,909,5.0,533.0,273.0,264.0,264.0,273.0,1
1,1099,1099,5.0,797.0,273.0,264.0,264.0,273.0,1
1,434,434,278.0,5.0,421.5,371.0,421.5,371.0,0
1,472,472,278.0,376.0,421.5,371.0,421.5,371.0,0
1,640,640,278.0,747.0,421.5,371.0,421.5,371.0,0
1,44,44,699.5,5.0,483.0,303.0,483.0,303.0,0
1,125,125,1182.5,5.0,483.0,303.0,483.0,303.0,0
1,146,146,1665.5,5.0,483.0,303.0,483.0,303.0,0
1,288,288,699.5,308.0,465.0,303.0,465.0,303.0,0
1,313,313,1164.5,308.0,483.0,303.0,483.0,303.0,0
1,315,315,1647.5,308.0,483.0,303.0,483.0,303.0,0
1,554,554,699.5,611.0,483.0,303.0,483.0,303.0,0
1,574,574,1182.5,611.0,483.0,303.0,483.0,303.0,0
1,198,198,1665.5,611.0,465.0,309.0,465.0,309.0,0
1,385,385,2130.5,308.0,297.0,480.0,297.0,480.0,0
1,324,324,699.5,914.0,464.0,297.0,464.0,297.0,0
1,120,120,1163.5,914.0,465.0,301.0,465.0,301.0,0
1,176,176,1628.5,920.0,373.0,259.0,373.0,259.0,0
1,427,427,2001.5,920.0,373.0,259.0,373.0,259.0,0
1,90,90,2148.5,5.0,247.0,251.0,247.0,251.0,0
2,399,399,5.0,5.0,465.0,303.0,465.0,303.0,0
2,710,710,5.0,308.0,465.0,303.0,465.0,303.0,0
2,960,960,5.0,611.0,465.0,303.0,465.0,303.0,0
2,1020,1020,470.0,5.0,465.0,303.0,465.0,303.0,0
2,1045,1045,470.0,308.0,423.0,330.0,423.0,330.0,0
2,730,730,470.0,638.0,311.0,264.0,264.0,311.0,1
2,954,954,781.0,638.0,311.0,264.0,264.0,311.0,1
2,212,212,893.0,308.0,456.0,311.0,456.0,311.0,0
2,326,326,1092.0,619.0,456.0,311.0,456.0,311.0,0
2,1029,1029,5.0,914.0,465.0,301.0,465.0,301.0,0
2,586,586,935.0,5.0,531.0,251.0,531.0,251.0,0
2,691,691,1349.0,256.0,469.0,253.0,469.0,253.0,0
2,694,694,1548.0,509.0,421.5,371.0,421.5,371.0,0
2,751,751,1818.0,5.0,421.5,371.0,421.5,371.0,0
2,975,975,1969.5,376.0,371.0,421.5,421.5,371.0,1
2,491,491,1969.5,797.5,464.0,297.0,464.0,297.0,0
2,767,767,470.0,902.0,464.0,297.0,464.0,297.0,0
2,1043,1043,1548.0,880.0,311.0,264.0,264.0,311.0,1
2,1090,1090,934.0,930.0,311.0,264.0,264.0,311.0,1
2,661,661,1245.0,930.0,273.0,264.0,264.0,273.0,1
2,1109,1109,1466.0,5.0,247.0,251.0,247.0,251.0,0
2,119,119,2239.5,5.0,167.0,353.0,353.0,167.0,1
3,624,624,5.0,5.0,531.0,251.0,531.0,251.0,0
3,902,902,536.0,5.0,531.0,251.0,531.0,251.0,0
3,396,396,1067.0,5.0,373.0,341.0,373.0,341.0,0
3,438,438,1440.0,5.0,373.0,341.0,373.0,341.0,0
3,567,567,1813.0,5.0,373.0,341.0,373.0,341.0,0
3,658,658,5.0,256.0,373.0,341.0,373.0,341.0,0
3,705,705,378.0,256.0,373.0,341.0,373.0,341.0,0
3,897,897,5.0,597.0,373.0,341.0,373.0,341.0,0
3,950,950,378.0,597.0,373.0,341.0,373.0,341.0,0
3,1108,1108,751.0,346.0,373.0,341.0,373.0,341.0,0
3,452,452,751.0,687.0,379.0,333.0,379.0,333.0,0
3,335,335,1130.0,346.0,354.0,343.0,354.0,343.0,0
3,883,883,1130.0,689.0,354.0,343.0,354.0,343.0,0
3,824,824,1484.0,346.0,469.0,253.0,469.0,253.0,0
3,1078,1078,1484.0,599.0,469.0,253.0,469.0,253.0,0
3,895,895,1484.0,852.0,373.0,259.0,373.0,259.0,0
3,968,968,1857.0,852.0,373.0,259.0,373.0,259.0,0
3,216,216,1953.0,346.0,264.0,311.0,264.0,311.0,0
3,217,217,5.0,938.0,311.0,264.0,264.0,311.0,1
3,343,343,316.0,938.0,311.0,264.0,264.0,311.0,1
3,337,337,2186.0,5.0,247.0,251.0,247.0,251.0,0
4,303,303,5.0,5.0,522.0,318.5,318.5,522.0,1
4,295,295,5.0,323.5,472.0,342.0,472.0,342.0,0
4,836,836,5.0,665.5,472.0,342.0,472.0,342.0,0
4,512,512,527.0,5.0,522.0,318.5,318.5,522.0,1
4,284,284,1049.0,5.0,400.0,398.0,398.0,400.0,1
4,38,38,477.0,323.5,371.0,421.5,421.5,371.0,1
4,8,8,1449.0,5.0,319.5,490.5,490.5,319.5,1
4,856,856,1768.5,5.0,319.5,490.5,490.5,319.5,1
4,99,99,477.0,745.0,371.0,421.5,421.5,371.0,1
4,268,268,848.0,403.0,371.0,421.5,421.5,371.0,1
4,305,305,1219.0,495.5,421.5,371.0,421.5,371.0,0
4,320,320,1640.5,495.5,421.5,371.0,421.5,371.0,0
4,321,321,2062.0,495.5,371.0,421.5,421.5,371.0,1
4,1112,1112,2088.0,5.0,329.0,456.0,456.0,329.0,1
4,527,527,848.0,824.5,259.0,373.0,373.0,259.0,1
4,403,403,1107.0,866.5,311.0,264.0,264.0,311.0,1
4,502,502,1418.0,866.5,311.0,264.0,264.0,311.0,1
4,560,560,1729.0,866.5,311.0,264.0,264.0,311.0,1
4,693,693,2040.0,917.0,311.0,264.0,264.0,311.0,1
4,1015,1015,5.0,1007.5,350.0,201.0,350.0,201.0,0
4,1073,1073,1107.0,1130.5,775.7,70.0,775.7,70.0,0
5,230,230,5.0,5.0,551.0,381.5,381.5,551.0,1
5,251,251,5.0,386.5,551.0,381.5,381.5,551.0,1
5,291,291,5.0,768.0,551.0,381.5,381.5,551.0,1
5,329,329,556.0,5.0,551.0,381.5,381.5,551.0,1
5,520,520,556.0,386.5,551.0,381.5,381.5,551.0,1
5,579,579,556.0,768.0,551.0,381.5,381.5,551.0,1
5,889,889,1107.0,5.0,551.0,381.5,381.5,551.0,1
5,1040,1040,1658.0,5.0,551.0,381.5,381.5,551.0,1
5,605,605,1107.0,386.5,463.5,452.5,452.5,463.5,1
5,857,857,1570.5,386.5,463.5,452.5,452.5,463.5,1
5,577,577,2034.0,386.5,379.0,549.0,379.0,549.0,0
5,789,789,1107.0,839.0,690.0,298.5,298.5,690.0,1
5,839,839,1797.0,935.5,600.0,262.0,600.0,262.0,0
5,723,723,2209.0,5.0,213.0,350.0,350.0,213.0,1
5,210,210,5.0,1149.5,1012.0,60.0,1012.0,60.0,0
5,749,749,1017.0,1149.5,384.0,60.0,384.0,60.0,0
5,74,74,1401.0,1137.5,384.0,60.0,384.0,60.0,0
6,986,986,5.0,5.0,460.0,414.5,414.5,460.0,1
6,702,702,5.0,419.5,484.0,380.0,484.0,380.0,0
6,108,108,465.0,5.0,514.0,353.0,514.0,353.0,0
6,468,468,489.0,358.0,498.0,360.0,498.0,360.0,0
6,498,498,489.0,718.0,498.0,360.0,498.0,360.0,0
6,781,781,987.0,5.0,498.0,360.0,498.0,360.0,0
6,816,816,1485.0,5.0,498.0,360.0,498.0,360.0,0
6,1095,1095,987.0,365.0,491.0,364.0,364.0,491.0,1
6,949,949,987.0,729.0,615.0,290.0,615.0,290.0,0
6,286,286,1478.0,365.0,498.0,355.0,498.0,355.0,0
6,299,299,1602.0,720.0,498.0,355.0,498.0,355.0,0
6,644,644,1983.0,5.0,355.0,498.0,498.0,355.0,1
6,57,57,2100.0,503.0,330.0,530.0,530.0,330.0,1
6,139,139,5.0,799.5,450.0,382.0,382.0,450.0,1
6,855,855,987.0,1019.0,353.0,167.0,353.0,167.0,0
6,534,534,2100.0,1033.0,280.0,182.0,182.0,280.0,1
7,984,984,5.0,5.0,495.5,473.5,495.5,473.5,0
7,28,28,5.0,478.5,531.0,429.0,429.0,531.0,1
7,223,223,500.5,5.0,531.0,429.0,429.0,531.0,1
7,233,233,1031.5,5.0,531.0,429.0,429.0,531.0,1
7,465,465,1562.5,5.0,531.0,429.0,429.0,531.0,1
7,417,417,536.0,434.0,579.0,391.0,579.0,391.0,0
7,743,743,1115.0,434.0,579.0,391.0,579.0,391.0,0
7,802,802,1694.0,434.0,579.0,391.0,579.0,391.0,0
7,398,398,536.0,825.0,784.0,284.0,784.0,284.0,0
7,152,152,1320.0,825.0,584.0,373.0,584.0,373.0,0
7,270,270,1904.0,825.0,530.0,382.0,382.0,530.0,1
7,32,32,5.0,907.5,483.0,303.0,483.0,303.0,0
7,525,525,2093.5,5.0,330.0,423.0,423.0,330.0,1
7,1060,1060,488.0,1109.0,775.7,70.0,775.7,70.0,0
7,145,145,2273.0,428.0,160.0,330.0,160.0,330.0,0
8,1013,1013,5.0,5.0,498.0,355.0,498.0,355.0,0
8,966,966,5.0,360.0,530.0,330.0,530.0,330.0,0
8,1088,1088,5.0,690.0,580.0,299.0,580.0,299.0,0
8,490,490,535.0,5.0,450.0,382.0,382.0,450.0,1
8,526,526,985.0,5.0,494.0,342.0,494.0,342.0,0
8,391,391,1479.0,5.0,480.0,350.0,480.0,350.0,0
8,555,555,985.0,347.0,392.5,428.0,392.5,428.0,0
8,840,840,1377.5,355.0,428.0,392.5,392.5,428.0,1
8,140,140,1377.5,747.5,498.0,337.0,498.0,337.0,0
8,499,499,585.0,775.0,498.0,337.0,498.0,337.0,0
8,25,25,1875.5,355.0,392.0,428.0,392.0,428.0,0
8,556,556,1875.5,783.0,392.0,428.0,392.0,428.0,0
8,853,853,1959.0,5.0,472.0,343.0,472.0,343.0,0
8,117,117,585.0,387.0,373.0,341.0,373.0,341.0,0
8,163,163,1083.0,775.0,259.0,373.0,373.0,259.0,1
9,70,70,5.0,5.0,478.5,438.0,478.5,438.0,0
9,669,669,5.0,443.0,549.0,379.0,379.0,549.0,1
9,882,882,483.5,5.0,530.0,382.0,382.0,530.0,1
9,899,899,1013.5,5.0,530.0,382.0,382.0,530.0,1
9,977,977,1543.5,5.0,530.0,382.0,382.0,530.0,1
9,263,263,554.0,387.0,531.0,379.0,379.0,531.0,1
9,301,301,1085.0,387.0,531.0,379.0,379.0,531.0,1
9,645,645,1616.0,387.0,531.0,379.0,379.0,531.0,1
9,670,670,554.0,766.0,531.0,379.0,379.0,531.0,1
9,1036,1036,1085.0,766.0,470.0,419.0,470.0,419.0,0
9,920,920,1555.0,766.0,460.0,414.5,414.5,460.0,1
9,654,654,5.0,822.0,484.0,380.0,484.0,380.0,0
